Model,Precision,Recall,F1Score,Accuracy,RunTime,XAI
DecisionTree,0.980319803198032,0.9719512195121951,0.9761175750153093,0.9740691489361702,0.037677764892578125,"{'SHAP': array([[-0.00379968,  0.00379968],
       [ 0.00025986, -0.00025986],
       [ 0.00402342, -0.00402342],
       [-0.00127362,  0.00127362],
       [-0.01143327,  0.01143327],
       [ 0.        ,  0.        ],
       [ 0.0056827 , -0.0056827 ],
       [ 0.03049133, -0.03049133],
       [-0.00982284,  0.00982284],
       [ 0.0001747 , -0.0001747 ],
       [-0.00029106,  0.00029106],
       [ 0.00602206, -0.00602206]])}"
RandomForest,0.982360097323601,0.9847560975609756,0.9835566382460413,0.9820478723404256,0.561617374420166,"{'SHAP': array([[-7.47666223e-04,  7.47666223e-04],
       [-6.62055685e-03,  6.62055685e-03],
       [ 3.89629820e-03, -3.89629820e-03],
       [-3.46245180e-03,  3.46245180e-03],
       [-5.35703956e-03,  5.35703956e-03],
       [-4.21658910e-05,  4.21658910e-05],
       [ 2.84712600e-03, -2.84712600e-03],
       [ 2.24535406e-02, -2.24535406e-02],
       [-8.78977892e-03,  8.78977892e-03],
       [ 1.18900931e-03, -1.18900931e-03],
       [ 3.97272606e-03, -3.97272606e-03],
       [ 2.44872507e-03, -2.44872507e-03]])}"
Logistic Regression,0.8119072708113804,0.9396341463414634,0.8711136235161107,0.848404255319149,2.535053253173828,"{'SHAP': array([[ 0.0004554 , -0.0004554 ],
       [ 0.00042483, -0.00042483],
       [ 0.00172491, -0.00172491],
       [-0.00157224,  0.00157224],
       [-0.00048836,  0.00048836],
       [-0.00283872,  0.00283872],
       [ 0.00279759, -0.00279759],
       [ 0.06557894, -0.06557894],
       [-0.00966372,  0.00966372],
       [-0.00471436,  0.00471436],
       [ 0.00713514, -0.00713514],
       [-0.00047511,  0.00047511]])}"
Naive Bayes,0.8870967741935484,0.10060975609756098,0.18072289156626506,0.5026595744680851,0.0070040225982666016,"{'SHAP': array([[ 3.97092373e-04, -3.97092373e-04],
       [-5.77609270e-03,  5.77609270e-03],
       [-1.51897047e-03,  1.51897047e-03],
       [ 1.44996955e-03, -1.44996955e-03],
       [ 7.45685189e-03, -7.45685189e-03],
       [-4.62107659e-04,  4.62107659e-04],
       [-9.40934996e-04,  9.40934996e-04],
       [ 4.44425153e-03, -4.44425153e-03],
       [-9.45568774e-04,  9.45568774e-04],
       [ 3.12770089e-06, -3.12770089e-06],
       [ 1.73031713e-03, -1.73031713e-03],
       [ 2.37131032e-03, -2.37131032e-03]])}"
MLP,0.5449101796407185,0.998780487804878,0.7051226861816615,0.5445478723404256,1.037499189376831,"{'SHAP': array([[-1.16324299e-03,  1.16324299e-03],
       [-5.80287220e-03,  5.80287220e-03],
       [-1.74979840e-05,  1.74979840e-05],
       [-3.39320212e-03,  3.39320212e-03],
       [ 3.06572013e-04, -3.06572013e-04],
       [-5.29676966e-04,  5.29676966e-04],
       [-3.53923406e-04,  3.53923406e-04],
       [ 7.59996456e-05, -7.59996456e-05],
       [ 1.45747279e-05, -1.45747279e-05],
       [-1.24447495e-05,  1.24447495e-05],
       [ 3.36143546e-06, -3.36143546e-06],
       [ 1.46232298e-04, -1.46232298e-04]])}"
Stochastic Gradient Descent,0.7182901191310441,0.625,0.6684056080860775,0.6619015957446809,0.04149627685546875,"{'SHAP': array([[ 1.21939800e-02, -1.21939800e-02],
       [ 2.46883868e-03, -2.46883868e-03],
       [ 1.20750509e-02, -1.20750509e-02],
       [-3.46942047e-02,  3.46942047e-02],
       [-1.05016064e-02,  1.05016064e-02],
       [-1.87444873e-05,  1.87444873e-05],
       [-4.47467622e-06,  4.47467622e-06],
       [ 1.01054974e-01, -1.01054974e-01],
       [ 4.56749399e-04, -4.56749399e-04],
       [ 9.40803857e-07, -9.40803857e-07],
       [ 8.17705593e-03, -8.17705593e-03],
       [ 4.38984510e-03, -4.38984510e-03]])}"
ADA Boost,0.9699754901960784,0.9652439024390244,0.9676039119804402,0.9647606382978723,1.0204722881317139,"{'SHAP': array([[ 7.46623157e-04, -7.46623157e-04],
       [ 2.51662847e-04, -2.51662847e-04],
       [ 6.81578767e-05, -6.81578767e-05],
       [-9.86789542e-05,  9.86789542e-05],
       [-8.65446625e-04,  8.65446625e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.05286643e-04, -1.05286643e-04],
       [ 1.34060379e-03, -1.34060379e-03],
       [-2.15876889e-04,  2.15876889e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.14505239e-04, -1.14505239e-04],
       [ 7.00994580e-05, -7.00994580e-05]])}"
Gradient Boosting,0.9780353874313605,0.9774390243902439,0.9777371149740773,0.9757313829787234,0.6790525913238525,"{'SHAP': array([[ 5.41809560e-03, -5.41809560e-03],
       [ 1.07700228e-03, -1.07700228e-03],
       [ 2.85430132e-03, -2.85430132e-03],
       [ 4.04825410e-04, -4.04825410e-04],
       [-7.97407301e-03,  7.97407301e-03],
       [ 7.38448868e-05, -7.38448868e-05],
       [ 2.98781532e-03, -2.98781532e-03],
       [ 2.99287303e-02, -2.99287303e-02],
       [-7.95813019e-03,  7.95813019e-03],
       [ 2.28089442e-04, -2.28089442e-04],
       [ 3.06896880e-04, -3.06896880e-04],
       [ 7.09304127e-04, -7.09304127e-04]])}"
XGBoost,0.9841752891052952,0.9859756097560975,0.9850746268656717,0.9837101063829787,0.1209268569946289,"{'SHAP': array([[-0.0015772 ,  0.0015772 ],
       [-0.01510846,  0.01510846],
       [ 0.00216823, -0.00216823],
       [ 0.00908355, -0.00908355],
       [-0.00620867,  0.00620867],
       [ 0.        ,  0.        ],
       [ 0.00348759, -0.00348759],
       [ 0.03173827, -0.03173827],
       [-0.00877658,  0.00877658],
       [ 0.        ,  0.        ],
       [-0.00108639,  0.00108639],
       [-0.0004902 ,  0.0004902 ]])}"
LightGBM,0.9865607819181429,0.9847560975609756,0.9856576136710405,0.984375,0.11620140075683594,"{'SHAP': array([[ 9.25925663e-04, -9.25925663e-04],
       [-1.11396391e-02,  1.11396391e-02],
       [ 7.76113388e-04, -7.76113388e-04],
       [ 8.15620369e-03, -8.15620369e-03],
       [-5.64348743e-03,  5.64348743e-03],
       [ 2.69795904e-05, -2.69795904e-05],
       [ 3.17852473e-03, -3.17852473e-03],
       [ 2.99187395e-02, -2.99187395e-02],
       [-1.07030735e-02,  1.07030735e-02],
       [ 4.02316936e-05, -4.02316936e-05],
       [ 9.76757881e-04, -9.76757881e-04],
       [-8.13218778e-04,  8.13218778e-04]])}"
CatBoost,0.9769417475728155,0.9817073170731707,0.9793187347931873,0.9773936170212766,0.21314120292663574,"{'SHAP': array([[-2.41575116e-03,  2.41575116e-03],
       [ 2.26304436e-03, -2.26304436e-03],
       [ 4.16543331e-03, -4.16543331e-03],
       [-1.20582771e-03,  1.20582771e-03],
       [-1.24980953e-02,  1.24980953e-02],
       [ 1.24439494e-05, -1.24439494e-05],
       [ 2.96347770e-03, -2.96347770e-03],
       [ 3.56766410e-02, -3.56766410e-02],
       [-8.70757710e-03,  8.70757710e-03],
       [ 4.70721443e-04, -4.70721443e-04],
       [ 6.45981474e-04, -6.45981474e-04],
       [-1.16042164e-03,  1.16042164e-03]])}"
DNN,0.8311205523101434,0.9542682926829268,0.8884473460119217,0.8693484042553191,1.598623514175415,{'SHAP': array([-0.03687612])}
CNN,0.9245757385292269,0.8969512195121951,0.9105540080470442,0.9039228723404256,1.5789484977722168,{'SHAP': None}
RNN,0.9611590628853267,0.9506097560975609,0.9558553034947884,0.9521276595744681,6.27331280708313,{'SHAP': None}
