Model,Precision,Recall,F1Score,Accuracy,RunTime,XAI
DecisionTree,0.9683470105509965,0.9775147928994082,0.9729093050647821,0.9694047223145993,0.009515523910522461,"{'SHAP': array([[-0.00699364,  0.00699364],
       [-0.0002373 ,  0.0002373 ],
       [-0.02125371,  0.02125371],
       [-0.00206284,  0.00206284]])}"
RandomForest,0.9736225087924971,0.9828402366863905,0.9782096584216726,0.9753907549052212,0.29899168014526367,"{'SHAP': array([[-0.01207137,  0.01207137],
       [-0.00171428,  0.00171428],
       [-0.01713257,  0.01713257],
       [-0.00199002,  0.00199002]])}"
Logistic Regression,0.8135330578512396,0.9319526627218935,0.8687258687258687,0.8417026937146658,0.03179764747619629,"{'SHAP': array([[-0.00099555,  0.00099555],
       [ 0.00028692, -0.00028692],
       [-0.03951409,  0.03951409],
       [-0.00056555,  0.00056555]])}"
Naive Bayes,0.9592901878914405,0.5437869822485207,0.6941087613293051,0.7306285334220153,0.003000497817993164,"{'SHAP': array([[-0.00717924,  0.00717924],
       [ 0.02157755, -0.02157755],
       [-0.02408096,  0.02408096],
       [-0.00050675,  0.00050675]])}"
MLP,0.5624791736087971,0.9988165680473373,0.719675975271797,0.562687063518457,0.5345814228057861,"{'SHAP': array([[ 0.00633835, -0.00633835],
       [ 0.00692791, -0.00692791],
       [ 0.00047095, -0.00047095],
       [ 0.00013877, -0.00013877]])}"
Stochastic Gradient Descent,0.8241758241758241,0.7544378698224852,0.7877664504170527,0.7715330894579315,0.018660545349121094,"{'SHAP': array([[ 1.07609269e-02, -1.07609269e-02],
       [ 1.03084548e-03, -1.03084548e-03],
       [-4.61004271e-02,  4.61004271e-02],
       [-3.12370620e-05,  3.12370620e-05]])}"
ADA Boost,0.9560117302052786,0.9644970414201184,0.9602356406480118,0.9551047555703359,0.461564302444458,"{'SHAP': array([[-0.00026356,  0.00026356],
       [ 0.0011529 , -0.0011529 ],
       [-0.00068292,  0.00068292],
       [ 0.0003373 , -0.0003373 ]])}"
Gradient Boosting,0.9722222222222222,0.9733727810650887,0.9727971614429333,0.9694047223145993,0.504662275314331,"{'SHAP': array([[-0.00801376,  0.00801376],
       [ 0.00744866, -0.00744866],
       [-0.0126078 ,  0.0126078 ],
       [ 0.00052568, -0.00052568]])}"
XGBoost,0.9782224838140082,0.9834319526627219,0.9808203009737385,0.9783837712005321,0.056120872497558594,"{'SHAP': array([[-0.01439793,  0.01439793],
       [-0.005563  ,  0.005563  ],
       [-0.01453844,  0.01453844],
       [ 0.00093599, -0.00093599]])}"
LightGBM,0.9765944997074313,0.9875739644970414,0.9820535451603413,0.9797140006651147,0.055426836013793945,"{'SHAP': array([[-0.01343446,  0.01343446],
       [-0.00198579,  0.00198579],
       [-0.01256635,  0.01256635],
       [-0.00394397,  0.00394397]])}"
CatBoost,0.9704142011834319,0.9704142011834319,0.9704142011834319,0.966744263385434,0.21755552291870117,"{'SHAP': array([[-0.00490788,  0.00490788],
       [ 0.01194486, -0.01194486],
       [-0.01886779,  0.01886779],
       [ 0.00111475, -0.00111475]])}"
DNN,0.9739039665970772,0.5520710059171597,0.7046827794561934,0.7399401396740938,1.9768664836883545,{'SHAP': array([0.160035])}
CNN,0.9158180583842498,0.7982248520710059,0.8529876699336073,0.845360824742268,1.7261998653411865,{'SHAP': None}
RNN,0.9167148640832852,0.9378698224852071,0.9271716876279614,0.9171932158297307,5.161798715591431,{'SHAP': None}
