Model,Precision,Recall,F1 Score,Accuracy,Runtime,XAI
DecisionTree,0.9264099037138928,0.8213414634146341,0.8707175177763413,0.8670212765957447,0.0030028820037841797,"{'SHAP': array([[ 0.06014366, -0.06014366]])}"
RandomForest,0.9134808853118712,0.8304878048780487,0.8700095816033215,0.8646941489361702,0.1550304889678955,"{'SHAP': array([[ 0.05512107, -0.05512107]])}"
Logistic Regression,0.5452127659574468,1.0,0.7056798623063684,0.5452127659574468,0.008029937744140625,"{'SHAP': array([[-0.00022754,  0.00022754]])}"
Naive Bayes,0.856,0.06524390243902439,0.12124645892351275,0.484375,0.002001047134399414,"{'SHAP': array([[ 0.01434828, -0.01434828]])}"
MLP,0.5452127659574468,1.0,0.7056798623063684,0.5452127659574468,0.4862034320831299,"{'SHAP': array([[ 0.00656181, -0.00656181]])}"
Stochastic Gradient Descent,0.25,0.026829268292682926,0.04845814977973568,0.425531914893617,0.008524417877197266,"{'SHAP': array([[-0.00829546,  0.00829546]])}"
ADA Boost,0.955153422501967,0.7402439024390244,0.8340776365510135,0.8394281914893617,0.3076951503753662,"{'SHAP': array([[ 0.00125428, -0.00125428]])}"
Gradient Boosting,0.9567854435178166,0.7695121951219512,0.8529908752957079,0.8553856382978723,0.23461461067199707,"{'SHAP': array([[ 0.05374825, -0.05374825]])}"
XGBoost,0.927960057061341,0.7932926829268293,0.8553583168967784,0.8537234042553191,0.03662896156311035,"{'SHAP': array([[ 0.05668725, -0.05668725]])}"
LightGBM,0.9237170596393898,0.8121951219512196,0.864373783257625,0.8610372340425532,0.047409772872924805,"{'SHAP': array([[ 0.05817735, -0.05817735]])}"
CatBoost,0.9597834493426141,0.7567073170731707,0.8462325264234571,0.8500664893617021,0.17725515365600586,"{'SHAP': array([[ 0.05510507, -0.05510507]])}"
DNN,0.5452127659574468,1.0,0.7056798623063684,0.5452127659574468,1.3527107238769531,{'SHAP': None}
RNN,0.9211711711711712,0.7481707317073171,0.825706594885599,0.8277925531914894,3.3348114490509033,{'SHAP': None}
