Model,Precision,Recall,F1Score,Accuracy,RunTime
DecisionTree,0.8644979163866111,0.850211528291909,0.8572952076251417,0.8664545908183633,1.352830171585083
RandomForest,0.924804821257362,0.8926493918561608,0.9084426505213589,0.9151072854291418,7.294862508773804
Logistic Regression,0.7282788449306704,0.7568746694870438,0.7423014586709887,0.7520583832335329,0.752882719039917
Naive Bayes,0.8835117773019272,0.2727392913802221,0.4168097787655319,0.6399076846307385,0.13913846015930176
MLP,0.8540714861596345,0.8402961396086727,0.8471278155404505,0.8569111776447106,22.65858292579651
Stochastic Gradient Descent,0.765579147246677,0.5863299841353781,0.664071273489556,0.720122255489022,0.16677069664001465
ADA Boost,0.8091025641025641,0.8343469063987309,0.8215308513407966,0.8289670658682635,18.713546991348267
Gradient Boosting,0.8303664921465969,0.8387096774193549,0.8345172323072876,0.8430638722554891,40.63799715042114
XGBoost,0.8960578186596584,0.9015071390798519,0.8987742190589165,0.9041916167664671,1.864722728729248
LightGBM,0.8890514833045098,0.8835272342675833,0.8862807506133545,0.8930264471057884,0.7160694599151611
CatBoost,0.8625230445088228,0.8659439450026442,0.8642301095131283,0.8716317365269461,2.7181785106658936
DNN,0.8528651150129305,0.828397673188789,0.8404533565823888,0.8516092814371258,5.46968674659729
CNN,0.8376847630888244,0.8016922263352724,0.8192933864757144,0.8331462075848304,22.34012508392334
RNN,0.55,0.0014542570068746695,0.0029008438818565402,0.528318363273453,261.15531396865845
