Model,Precision,Recall,F1Score,Accuracy,RunTime
DecisionTree,0.8619123931623932,0.8532522474881016,0.8575604570821154,0.8662674650698603,2.63004469871521
RandomForest,0.9208692086920869,0.8907985193019566,0.9055843021302331,0.9123627744510978,15.44630742073059
Logistic Regression,0.7282207808724406,0.757006874669487,0.7423348674402023,0.7520583832335329,1.6620395183563232
Naive Bayes,0.8853448275862069,0.2715494447382337,0.41562120598947794,0.6397205588822356,0.2776627540588379
MLP,0.8385409857497712,0.8479640401903754,0.8432261881285743,0.8512350299401198,34.99353361129761
Stochastic Gradient Descent,0.7657113259668509,0.5863299841353781,0.6641209943096735,0.7201846307385229,0.5148525238037109
ADA Boost,0.8096645675363063,0.8328926493918561,0.8211143695014661,0.8287799401197605,43.770424604415894
Gradient Boosting,0.8319843342036554,0.8425436277102062,0.8372306883867577,0.8454341317365269,97.57126760482788
XGBoost,0.8918067226890757,0.8979375991538868,0.8948616600790514,0.9004491017964071,6.593238592147827
LightGBM,0.8885793871866295,0.8856425171866738,0.8871085214857977,0.8936501996007984,3.1979057788848877
CatBoost,0.8647649234020074,0.8656795346377578,0.8652219873150107,0.8727544910179641,10.48428201675415
DNN,0.779890685493054,0.9054732945531465,0.8380031812064114,0.8348303393213573,31.695743799209595
CNN,0.7806390081068193,0.8656795346377578,0.820962888665998,0.8218562874251497,63.029091358184814
RNN,0.6919403848936478,0.6322051824431518,0.6607253886010364,0.6936751497005988,328.8429343700409
