Model,Precision,Recall,F1Score,Accuracy,RunTime
DecisionTree,0.7285714285714285,0.6219512195121951,0.6710526315789473,0.6894409937888198,0.01259613037109375
RandomForest,0.8395061728395061,0.8292682926829268,0.8343558282208587,0.8322981366459627,0.08316755294799805
Logistic Regression,0.7375,0.7195121951219512,0.7283950617283951,0.7267080745341615,2.672823905944824
Naive Bayes,0.6533333333333333,0.5975609756097561,0.6242038216560509,0.6335403726708074,0.002009868621826172
MLP,0.5093167701863354,1.0,0.6748971193415638,0.5093167701863354,0.43357205390930176
Stochastic Gradient Descent,0.5359477124183006,1.0,0.6978723404255319,0.5590062111801242,0.004001140594482422
ADA Boost,0.7888888888888889,0.8658536585365854,0.8255813953488372,0.8136645962732919,0.2930142879486084
Gradient Boosting,0.7926829268292683,0.7926829268292683,0.7926829268292683,0.7888198757763976,0.8018262386322021
XGBoost,0.7777777777777778,0.7682926829268293,0.773006134969325,0.7701863354037267,1.3386802673339844
LightGBM,0.8271604938271605,0.8170731707317073,0.8220858895705522,0.8198757763975155,0.14994215965270996
CatBoost,0.8117647058823529,0.8414634146341463,0.8263473053892215,0.8198757763975155,0.5027647018432617
DNN,0.48717948717948717,0.4634146341463415,0.47500000000000003,0.4782608695652174,0.9588446617126465
CNN,0.6385542168674698,0.6463414634146342,0.6424242424242423,0.6335403726708074,0.957688570022583
RNN,0.7931034482758621,0.5609756097560976,0.6571428571428573,0.7018633540372671,4.662092924118042
