Model,Precision,Recall,F1Score,Accuracy,RunTime
DecisionTree,0.8631112305212252,0.8494182971972501,0.8562100213219617,0.8653942115768463,1.7021687030792236
RandomForest,0.9206564492065645,0.8974087784241143,0.9088839793800629,0.9151072854291418,9.366436958312988
Logistic Regression,0.7282788449306704,0.7568746694870438,0.7423014586709887,0.7520583832335329,0.8874273300170898
Naive Bayes,0.8835117773019272,0.2727392913802221,0.4168097787655319,0.6399076846307385,0.12143468856811523
MLP,0.8540714861596345,0.8402961396086727,0.8471278155404505,0.8569111776447106,28.85211181640625
Stochastic Gradient Descent,0.765579147246677,0.5863299841353781,0.664071273489556,0.720122255489022,0.28986620903015137
ADA Boost,0.8091025641025641,0.8343469063987309,0.8215308513407966,0.8289670658682635,25.807409524917603
Gradient Boosting,0.8303664921465969,0.8387096774193549,0.8345172323072876,0.8430638722554891,60.336881160736084
XGBoost,0.8960578186596584,0.9015071390798519,0.8987742190589165,0.9041916167664671,2.15934419631958
LightGBM,0.8890514833045098,0.8835272342675833,0.8862807506133545,0.8930264471057884,0.8046514987945557
CatBoost,0.8625230445088228,0.8659439450026442,0.8642301095131283,0.8716317365269461,3.7013142108917236
DNN,0.8253203095268299,0.8601269169751454,0.8423642131158153,0.8481162674650699,6.9616241455078125
RNN,0.5842414890539107,0.8008989952406135,0.6756259410026209,0.6371631736526946,277.4960358142853
