Model,Precision,Recall,F1Score,Accuracy,RunTime
DecisionTree,0.8613782051282052,0.8527234267583289,0.8570289662503322,0.8657684630738522,2.131014108657837
RandomForest,0.9168136789252272,0.8931782125859333,0.9048416259291502,0.9113647704590818,13.00560212135315
Logistic Regression,0.7282207808724406,0.757006874669487,0.7423348674402023,0.7520583832335329,0.9913995265960693
Naive Bayes,0.8853448275862069,0.2715494447382337,0.41562120598947794,0.6397205588822356,0.1315174102783203
MLP,0.8385409857497712,0.8479640401903754,0.8432261881285743,0.8512350299401198,33.196402072906494
Stochastic Gradient Descent,0.7657113259668509,0.5863299841353781,0.6641209943096735,0.7201846307385229,0.22146320343017578
ADA Boost,0.8096645675363063,0.8328926493918561,0.8211143695014661,0.8287799401197605,30.66668128967285
Gradient Boosting,0.8319843342036554,0.8425436277102062,0.8372306883867577,0.8454341317365269,74.54875421524048
XGBoost,0.8918067226890757,0.8979375991538868,0.8948616600790514,0.9004491017964071,2.8573806285858154
LightGBM,0.8885793871866295,0.8856425171866738,0.8871085214857977,0.8936501996007984,1.5563685894012451
CatBoost,0.8647649234020074,0.8656795346377578,0.8652219873150107,0.8727544910179641,5.667552709579468
DNN,0.8514999321297679,0.829323109465891,0.8402652200120555,0.8512350299401198,8.544003248214722
CNN,0.8630360587624276,0.7689053410893707,0.8132559602880515,0.8333957085828343,30.138357162475586
RNN,0.640360250343459,0.5546007403490217,0.5944031172511514,0.6429016966067864,305.5584833621979
