Model,Precision,Recall,F1Score,Accuracy,RunTime
DecisionTree,0.8640698455339154,0.8504759386567954,0.8572190019321742,0.8663298403193613,2.158414125442505
RandomForest,0.9231713973799127,0.8943680592279217,0.9085414987912974,0.9150449101796407,12.481137752532959
Logistic Regression,0.7282788449306704,0.7568746694870438,0.7423014586709887,0.7520583832335329,1.0571367740631104
Naive Bayes,0.8835117773019272,0.2727392913802221,0.4168097787655319,0.6399076846307385,0.1574568748474121
MLP,0.8540714861596345,0.8402961396086727,0.8471278155404505,0.8569111776447106,35.87760138511658
Stochastic Gradient Descent,0.765579147246677,0.5863299841353781,0.664071273489556,0.720122255489022,0.31327366828918457
ADA Boost,0.8091025641025641,0.8343469063987309,0.8215308513407966,0.8289670658682635,31.50252676010132
Gradient Boosting,0.8303664921465969,0.8387096774193549,0.8345172323072876,0.8430638722554891,70.874751329422
XGBoost,0.8960578186596584,0.9015071390798519,0.8987742190589165,0.9041916167664671,3.45175838470459
LightGBM,0.8890514833045098,0.8835272342675833,0.8862807506133545,0.8930264471057884,1.0247647762298584
CatBoost,0.8625230445088228,0.8659439450026442,0.8642301095131283,0.8716317365269461,4.3355629444122314
DNN,0.8302549427679501,0.8438656795346378,0.8370049829530554,0.844935129740519,7.7570695877075195
CNN,0.8328402366863905,0.8187466948704389,0.8257333333333333,0.8369510978043913,31.80717635154724
RNN,0.5859226979916635,0.8176890534108937,0.6826710816777042,0.6413423153692615,295.1975688934326
