Model,Precision,Recall,F1Score,Accuracy,RunTime
DecisionTree,0.8640763646141436,0.8496827075621365,0.856819090787895,0.8660179640718563,1.9403815269470215
RandomForest,0.9187906724511931,0.8959545214172395,0.9072289156626505,0.9135479041916168,10.291236877441406
Logistic Regression,0.7282788449306704,0.7568746694870438,0.7423014586709887,0.7520583832335329,1.4813780784606934
Naive Bayes,0.8835117773019272,0.2727392913802221,0.4168097787655319,0.6399076846307385,0.21823358535766602
MLP,0.8540714861596345,0.8402961396086727,0.8471278155404505,0.8569111776447106,33.98420166969299
Stochastic Gradient Descent,0.765579147246677,0.5863299841353781,0.664071273489556,0.720122255489022,0.27974605560302734
ADA Boost,0.8091025641025641,0.8343469063987309,0.8215308513407966,0.8289670658682635,32.28233361244202
Gradient Boosting,0.8303664921465969,0.8387096774193549,0.8345172323072876,0.8430638722554891,69.90175175666809
XGBoost,0.8960578186596584,0.9015071390798519,0.8987742190589165,0.9041916167664671,2.4165353775024414
LightGBM,0.8890514833045098,0.8835272342675833,0.8862807506133545,0.8930264471057884,0.9882280826568604
CatBoost,0.8625230445088228,0.8659439450026442,0.8642301095131283,0.8716317365269461,4.379100561141968
DNN,0.7608528409715354,0.9152564780539397,0.8309428074176318,0.8242889221556886,7.364103078842163
RNN,0.6383928571428571,0.7562136435748281,0.6923263132413459,0.6828842315369261,281.12057662010193
