Model,Precision,Recall,F1Score,Accuracy,RunTime
DecisionTree,0.8613967151822673,0.8528556319407721,0.8571048960340133,0.8658308383233533,2.6444590091705322
RandomForest,0.9199728260869565,0.8951612903225806,0.9073974805682122,0.9137974051896207,15.26380467414856
Logistic Regression,0.7282207808724406,0.757006874669487,0.7423348674402023,0.7520583832335329,1.606929063796997
Naive Bayes,0.8853448275862069,0.2715494447382337,0.41562120598947794,0.6397205588822356,0.26691102981567383
MLP,0.8385409857497712,0.8479640401903754,0.8432261881285743,0.8512350299401198,35.54831337928772
Stochastic Gradient Descent,0.7657113259668509,0.5863299841353781,0.6641209943096735,0.7201846307385229,0.529097318649292
ADA Boost,0.8096645675363063,0.8328926493918561,0.8211143695014661,0.8287799401197605,46.90049958229065
Gradient Boosting,0.8319843342036554,0.8425436277102062,0.8372306883867577,0.8454341317365269,95.12957072257996
XGBoost,0.8918067226890757,0.8979375991538868,0.8948616600790514,0.9004491017964071,3.482151508331299
LightGBM,0.8885793871866295,0.8856425171866738,0.8871085214857977,0.8936501996007984,1.7346246242523193
CatBoost,0.8647649234020074,0.8656795346377578,0.8652219873150107,0.8727544910179641,5.242101430892944
DNN,0.8239719157472417,0.8688524590163934,0.8458172458172458,0.8505489021956087,8.347598552703857
CNN,0.835335402888379,0.8182178741406663,0.8266880384692447,0.8381362275449101,38.58000898361206
RNN,0.6959948320413437,0.7121893178212586,0.7039989545216938,0.7174401197604791,358.13052773475647
