Model,Precision,Recall,F1Score,Accuracy,RunTime
DecisionTree,0.8639720692896469,0.8506081438392386,0.8572380254480048,0.8663298403193613,1.6217901706695557
RandomForest,0.921152800435019,0.8958223162347964,0.9083109919571045,0.9146706586826348,10.08704137802124
Logistic Regression,0.7282788449306704,0.7568746694870438,0.7423014586709887,0.7520583832335329,1.0308287143707275
Naive Bayes,0.8835117773019272,0.2727392913802221,0.4168097787655319,0.6399076846307385,0.12453556060791016
MLP,0.8540714861596345,0.8402961396086727,0.8471278155404505,0.8569111776447106,31.4657940864563
Stochastic Gradient Descent,0.765579147246677,0.5863299841353781,0.664071273489556,0.720122255489022,0.1999986171722412
ADA Boost,0.8091025641025641,0.8343469063987309,0.8215308513407966,0.8289670658682635,21.900909662246704
Gradient Boosting,0.8303664921465969,0.8387096774193549,0.8345172323072876,0.8430638722554891,50.06688141822815
XGBoost,0.8960578186596584,0.9015071390798519,0.8987742190589165,0.9041916167664671,2.0922157764434814
LightGBM,0.8890514833045098,0.8835272342675833,0.8862807506133545,0.8930264471057884,0.7030322551727295
CatBoost,0.8625230445088228,0.8659439450026442,0.8642301095131283,0.8716317365269461,3.7493162155151367
DNN,0.8180338134001253,0.8635642517186674,0.8401826484018264,0.8449975049900199,5.879100799560547
CNN,0.786808714388317,0.8689846641988366,0.8258575197889182,0.8270958083832335,22.05760622024536
RNN,0.0,0.0,0.0,0.5281936127744511,298.79473662376404
