Model,Precision,Recall,F1Score,Accuracy,RunTime,XAI
DecisionTree,0.7190631413738984,0.787414066631412,0.7516880166593046,0.7545533932135728,0.11043429374694824,"{'SHAP': array([[-0.00632638,  0.00632638],
       [-0.01308458,  0.01308458],
       [-0.00951435,  0.00951435],
       [-0.00106689,  0.00106689],
       [ 0.00604482, -0.00604482]])}"
RandomForest,0.6961687358163129,0.6894500264410365,0.6927930919960147,0.7115144710578842,4.957748651504517,"{'SHAP': array([[-0.01114811,  0.01114811],
       [-0.01547991,  0.01547991],
       [-0.00969905,  0.00969905],
       [-0.01428731,  0.01428731],
       [-0.00569097,  0.00569097]])}"
Logistic Regression,0.6599449035812672,0.791776837652036,0.7198749924875293,0.7092689620758483,0.06391215324401855,"{'SHAP': array([[-0.00783061,  0.00783061],
       [ 0.00069938, -0.00069938],
       [ 0.02465926, -0.02465926],
       [-0.00549677,  0.00549677],
       [ 0.00593131, -0.00593131]])}"
Naive Bayes,0.5628402366863905,0.9431517715494447,0.704975542269875,0.627557385229541,0.012003660202026367,"{'SHAP': array([[-0.00168706,  0.00168706],
       [-0.0016994 ,  0.0016994 ],
       [ 0.04640732, -0.04640732],
       [-0.00081261,  0.00081261],
       [ 0.00791379, -0.00791379]])}"
MLP,0.7133379405666898,0.6823109465891063,0.6974795594296913,0.720746007984032,6.826128244400024,"{'SHAP': array([[-0.01215376,  0.01215376],
       [-0.00369805,  0.00369805],
       [ 0.01870227, -0.01870227],
       [-0.00332645,  0.00332645],
       [ 0.00141802, -0.00141802]])}"
Stochastic Gradient Descent,0.7342265943012212,0.572316234796404,0.6432392273402675,0.7004740518962076,0.0945277214050293,"{'SHAP': array([[-0.00742862,  0.00742862],
       [ 0.0006185 , -0.0006185 ],
       [ 0.02158849, -0.02158849],
       [-0.00467849,  0.00467849],
       [ 0.00419601, -0.00419601]])}"
ADA Boost,0.6954278171126845,0.7661290322580645,0.7290683776813235,0.7313498003992016,2.6755197048187256,"{'SHAP': array([[-1.36233363e-04,  1.36233363e-04],
       [ 6.52378625e-06, -6.52378625e-06],
       [ 1.77695731e-04, -1.77695731e-04],
       [ 7.52679456e-05, -7.52679456e-05],
       [ 4.01471033e-04, -4.01471033e-04]])}"
Gradient Boosting,0.7266692199668071,0.7525118984664199,0.7393648113268819,0.749688123752495,3.7177627086639404,"{'SHAP': array([[-0.0041527 ,  0.0041527 ],
       [-0.00408443,  0.00408443],
       [ 0.00388483, -0.00388483],
       [-0.00020227,  0.00020227],
       [ 0.00418327, -0.00418327]])}"
XGBoost,0.7439751230888831,0.7591221575885775,0.751472320376914,0.7630988023952096,0.26673078536987305,"{'SHAP': array([[-0.00868457,  0.00868458],
       [-0.01391672,  0.01391672],
       [-0.00146984,  0.00146984],
       [-0.00268305,  0.00268305],
       [ 0.00592466, -0.00592466]])}"
LightGBM,0.7407596227377007,0.7683765203595981,0.7543153796236212,0.7638473053892215,0.14155030250549316,"{'SHAP': array([[-0.00630331,  0.00630331],
       [-0.01085749,  0.01085749],
       [-0.00062104,  0.00062104],
       [ 0.00058198, -0.00058198],
       [ 0.00526869, -0.00526869]])}"
CatBoost,0.7309308544505284,0.7588577472236911,0.744632548485438,0.7544286427145709,0.6663355827331543,"{'SHAP': array([[-0.00607167,  0.00607167],
       [-0.00683661,  0.00683661],
       [ 0.00320295, -0.00320295],
       [ 0.00053622, -0.00053622],
       [ 0.00361535, -0.00361535]])}"
DNN,0.7135073492143943,0.7444473823373876,0.7286490683229814,0.7383982035928144,6.4365222454071045,{'SHAP': array([-0.02505184])}
CNN,0.7409128630705394,0.5901639344262295,0.6570019869011701,0.7092689620758483,7.037578105926514,{'SHAP': None}
RNN,0.6565997888067582,0.8220518244315177,0.7300692732182693,0.7131986027944112,25.172699451446533,{'SHAP': None}
