Model,Precision,Recall,F1Score,Accuracy,RunTime,XAI
DecisionTree,0.8268474576271186,0.8061872025383395,0.8163866389985943,0.8289046906187625,0.8428792953491211,"{'SHAP': array([[ 3.48106571e-03, -3.48106571e-03],
       [-3.55206933e-03,  3.55206933e-03],
       [ 5.07654351e-04, -5.07654351e-04],
       [-3.00218131e-03,  3.00218131e-03],
       [-3.22716915e-03,  3.22716915e-03],
       [-2.47139402e-03,  2.47139402e-03],
       [ 1.30045981e-02, -1.30045981e-02],
       [-1.92248174e-03,  1.92248174e-03],
       [-8.61823625e-04,  8.61823625e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-2.56779011e-03,  2.56779011e-03],
       [-1.04242480e-05,  1.04242480e-05],
       [ 1.06164675e-02, -1.06164675e-02],
       [-1.33946250e-02,  1.33946250e-02],
       [-2.23602667e-04,  2.23602667e-04],
       [-7.95191867e-04,  7.95191867e-04],
       [ 3.93481249e-03, -3.93481249e-03],
       [ 5.35896676e-03, -5.35896676e-03],
       [ 2.06213108e-03, -2.06213108e-03],
       [-2.18204110e-03,  2.18204110e-03],
       [-7.20668545e-03,  7.20668545e-03],
       [-4.30923898e-04,  4.30923898e-04],
       [ 5.13675663e-04, -5.13675663e-04],
       [-1.36026504e-05,  1.36026504e-05]])}"
RandomForest,0.8904656930283825,0.8544420941300899,0.872082040210498,0.8817365269461078,10.7127845287323,"{'SHAP': array([[-2.60326001e-03,  2.60326001e-03],
       [-1.71976921e-03,  1.71976921e-03],
       [-2.79041502e-03,  2.79041502e-03],
       [-3.40484639e-03,  3.40484639e-03],
       [-3.43641705e-03,  3.43641705e-03],
       [-3.91336928e-04,  3.91336928e-04],
       [ 1.82325979e-03, -1.82325979e-03],
       [-1.58335409e-03,  1.58335409e-03],
       [-3.09125062e-03,  3.09125062e-03],
       [-9.42764471e-05,  9.42764471e-05],
       [-3.16032084e-04,  3.16032084e-04],
       [ 8.43265514e-04, -8.43265514e-04],
       [-1.48963941e-03,  1.48963941e-03],
       [-1.04496712e-02,  1.04496712e-02],
       [ 1.77598213e-03, -1.77598213e-03],
       [-3.24063124e-04,  3.24063124e-04],
       [ 3.80506680e-03, -3.80506680e-03],
       [-2.34335993e-03,  2.34335993e-03],
       [-1.58398697e-03,  1.58398697e-03],
       [-4.32214486e-03,  4.32214486e-03],
       [-6.26200400e-03,  6.26200400e-03],
       [-3.32547235e-04,  3.32547235e-04],
       [-1.94356509e-03,  1.94356509e-03],
       [-5.81452890e-04,  5.81452890e-04]])}"
Logistic Regression,0.6787236791112259,0.6946060285563194,0.6865730153544592,0.7007859281437125,0.15714406967163086,"{'SHAP': array([[-0.00045898,  0.00045898],
       [ 0.00308233, -0.00308233],
       [-0.00133561,  0.00133561],
       [-0.00859396,  0.00859396],
       [-0.00311472,  0.00311472],
       [ 0.00201477, -0.00201477],
       [ 0.00339074, -0.00339074],
       [-0.00399643,  0.00399643],
       [-0.00067526,  0.00067526],
       [-0.0022195 ,  0.0022195 ],
       [ 0.00198557, -0.00198557],
       [-0.00033256,  0.00033256],
       [ 0.00333234, -0.00333234],
       [-0.0006177 ,  0.0006177 ],
       [ 0.01908164, -0.01908164],
       [-0.00096956,  0.00096956],
       [ 0.00170005, -0.00170005],
       [-0.0058179 ,  0.0058179 ],
       [ 0.00647517, -0.00647517],
       [ 0.00041649, -0.00041649],
       [ 0.00154893, -0.00154893],
       [ 0.00022127, -0.00022127],
       [ 0.00013918, -0.00013918],
       [-0.00108197,  0.00108197]])}"
Naive Bayes,0.8662239089184061,0.12070333157059757,0.21188210721745185,0.5763473053892215,0.06991696357727051,"{'SHAP': array([[-0.00030964,  0.00030964],
       [-0.00087987,  0.00087987],
       [ 0.00040944, -0.00040944],
       [-0.00137265,  0.00137265],
       [-0.00088607,  0.00088607],
       [ 0.00117147, -0.00117147],
       [ 0.00131287, -0.00131287],
       [-0.00109063,  0.00109063],
       [-0.00045256,  0.00045256],
       [-0.0079935 ,  0.0079935 ],
       [ 0.00067876, -0.00067876],
       [-0.00083175,  0.00083175],
       [ 0.0008163 , -0.0008163 ],
       [-0.00018589,  0.00018589],
       [ 0.0018166 , -0.0018166 ],
       [-0.00349502,  0.00349502],
       [ 0.00015352, -0.00015352],
       [-0.00018601,  0.00018601],
       [ 0.00036101, -0.00036101],
       [ 0.00039408, -0.00039408],
       [ 0.00039402, -0.00039402],
       [-0.00257479,  0.00257479],
       [ 0.00052763, -0.00052763],
       [-0.00010514,  0.00010514]])}"
MLP,0.7244856797095603,0.7123215230037018,0.7183521098593427,0.7364645708582834,12.237090826034546,"{'SHAP': array([[-1.35415764e-03,  1.35415764e-03],
       [ 5.05398442e-03, -5.05398442e-03],
       [-7.65691746e-04,  7.65691746e-04],
       [-1.51436270e-02,  1.51436270e-02],
       [-7.23991985e-03,  7.23991985e-03],
       [ 6.16342478e-03, -6.16342478e-03],
       [ 4.45745122e-03, -4.45745122e-03],
       [-5.12615334e-03,  5.12615334e-03],
       [-4.64856789e-03,  4.64856789e-03],
       [-2.47763496e-03,  2.47763496e-03],
       [-2.67545958e-04,  2.67545958e-04],
       [-3.63496013e-04,  3.63496013e-04],
       [ 2.60745786e-03, -2.60745786e-03],
       [-3.59285667e-03,  3.59285667e-03],
       [ 1.53492730e-02, -1.53492730e-02],
       [-1.55487069e-03,  1.55487069e-03],
       [ 1.71764573e-03, -1.71764573e-03],
       [-5.38894668e-03,  5.38894668e-03],
       [ 7.52751466e-03, -7.52751466e-03],
       [ 1.34604048e-03, -1.34604048e-03],
       [-2.21534027e-03,  2.21534027e-03],
       [-6.66259048e-05,  6.66259048e-05],
       [-2.24686511e-04,  2.24686511e-04],
       [-8.98564429e-04,  8.98564429e-04]])}"
Stochastic Gradient Descent,0.7175295186194369,0.5222104706504495,0.60448389318234,0.6775823353293413,0.21253442764282227,"{'SHAP': array([[-0.00078138,  0.00078138],
       [ 0.00118388, -0.00118388],
       [-0.00071959,  0.00071959],
       [-0.00852381,  0.00852381],
       [-0.0010821 ,  0.0010821 ],
       [ 0.00130723, -0.00130723],
       [ 0.00218433, -0.00218433],
       [-0.00263465,  0.00263465],
       [-0.00051592,  0.00051592],
       [-0.00187152,  0.00187152],
       [ 0.001855  , -0.001855  ],
       [-0.00036835,  0.00036835],
       [ 0.00186753, -0.00186753],
       [-0.00055348,  0.00055348],
       [ 0.01325259, -0.01325259],
       [-0.00079558,  0.00079558],
       [ 0.00141238, -0.00141238],
       [-0.00468894,  0.00468894],
       [ 0.00783597, -0.00783597],
       [ 0.00074359, -0.00074359],
       [ 0.0010104 , -0.0010104 ],
       [ 0.00042634, -0.00042634],
       [ 0.00021394, -0.00021394],
       [-0.00104164,  0.00104164]])}"
ADA Boost,0.7612672322375398,0.7592543627710207,0.7602594651840084,0.7740768463073853,14.32804799079895,"{'SHAP': array([[ 1.63403038e-05, -1.63403038e-05],
       [ 1.26703632e-05, -1.26703632e-05],
       [ 2.65246711e-04, -2.65246711e-04],
       [-1.29069192e-04,  1.29069192e-04],
       [-1.54176090e-05,  1.54176090e-05],
       [ 8.52131049e-05, -8.52131049e-05],
       [ 1.40645790e-04, -1.40645790e-04],
       [-1.42832233e-04,  1.42832233e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-6.71979070e-04,  6.71979070e-04],
       [ 3.98007571e-05, -3.98007571e-05],
       [ 6.15976436e-05, -6.15976436e-05],
       [ 7.63612723e-05, -7.63612723e-05],
       [-1.80560669e-04,  1.80560669e-04],
       [ 2.15822633e-05, -2.15822633e-05],
       [-1.93537070e-04,  1.93537070e-04],
       [ 1.07856413e-04, -1.07856413e-04],
       [ 6.28938532e-06, -6.28938532e-06],
       [ 1.06274205e-04, -1.06274205e-04],
       [ 1.53959680e-04, -1.53959680e-04],
       [-1.47926782e-04,  1.47926782e-04],
       [ 1.76486021e-04, -1.76486021e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-2.72357514e-05,  2.72357514e-05]])}"
Gradient Boosting,0.7910447761194029,0.7847699629825489,0.7878948765595963,0.8006487025948104,35.42571687698364,"{'SHAP': array([[ 9.96788793e-04, -9.96788793e-04],
       [-5.08819553e-04,  5.08819553e-04],
       [ 8.62506327e-03, -8.62506327e-03],
       [-1.89721524e-03,  1.89721524e-03],
       [-1.10276655e-03,  1.10276655e-03],
       [ 1.89124281e-03, -1.89124281e-03],
       [ 7.27504737e-03, -7.27504737e-03],
       [-1.57352280e-03,  1.57352280e-03],
       [-1.09043838e-03,  1.09043838e-03],
       [-3.22199581e-04,  3.22199581e-04],
       [ 3.14547523e-04, -3.14547523e-04],
       [ 1.26958031e-03, -1.26958031e-03],
       [ 2.92364358e-03, -2.92364358e-03],
       [-1.01072146e-02,  1.01072146e-02],
       [ 4.01267781e-03, -4.01267781e-03],
       [-9.77518551e-04,  9.77518551e-04],
       [ 4.78952631e-03, -4.78952631e-03],
       [ 5.40465558e-03, -5.40465558e-03],
       [ 1.16940162e-03, -1.16940162e-03],
       [ 1.72622099e-03, -1.72622099e-03],
       [-3.75657421e-03,  3.75657421e-03],
       [ 9.99201753e-05, -9.99201753e-05],
       [-5.82437233e-04,  5.82437233e-04],
       [-8.73246703e-04,  8.73246703e-04]])}"
XGBoost,0.8589692895742718,0.86158117398202,0.8602732492904758,0.8679515968063872,1.0490753650665283,"{'SHAP': array([[ 1.69375804e-03, -1.69375808e-03],
       [ 4.83039628e-04, -4.83039696e-04],
       [ 3.09085361e-03, -3.09085371e-03],
       [-2.59728142e-03,  2.59728138e-03],
       [-4.54581801e-03,  4.54581794e-03],
       [ 1.09313365e-04, -1.09313471e-04],
       [ 3.50538317e-03, -3.50538323e-03],
       [-2.83731400e-03,  2.83731389e-03],
       [-2.46833258e-03,  2.46833254e-03],
       [-1.70730979e-03,  1.70730979e-03],
       [ 2.10467523e-03, -2.10467536e-03],
       [ 9.34966624e-04, -9.34966631e-04],
       [ 4.84490174e-03, -4.84490175e-03],
       [-1.58511942e-02,  1.58511941e-02],
       [-1.04863331e-03,  1.04863335e-03],
       [-1.50204867e-03,  1.50204867e-03],
       [ 7.19985433e-03, -7.19985437e-03],
       [-1.86610168e-03,  1.86610165e-03],
       [ 3.25685361e-05, -3.25686166e-05],
       [-3.15185565e-03,  3.15185560e-03],
       [-6.56073561e-04,  6.56073475e-04],
       [-6.24912525e-04,  6.24912462e-04],
       [-3.12957948e-03,  3.12957942e-03],
       [-7.01638460e-04,  7.01638401e-04]])}"
LightGBM,0.8525339427342384,0.8384452670544685,0.8454309138172367,0.8553517964071856,3.874994993209839,"{'SHAP': array([[-0.00021903,  0.00021903],
       [-0.00014565,  0.00014565],
       [ 0.00307905, -0.00307905],
       [-0.00279358,  0.00279358],
       [-0.00372274,  0.00372274],
       [ 0.0004786 , -0.0004786 ],
       [ 0.00436563, -0.00436563],
       [-0.00051756,  0.00051756],
       [-0.0008167 ,  0.0008167 ],
       [-0.00139662,  0.00139662],
       [ 0.00090973, -0.00090973],
       [ 0.00102938, -0.00102938],
       [ 0.00038028, -0.00038028],
       [-0.01625403,  0.01625403],
       [ 0.00214483, -0.00214483],
       [-0.00127659,  0.00127659],
       [ 0.00840049, -0.00840049],
       [ 0.00177606, -0.00177606],
       [-0.00100686,  0.00100686],
       [-0.00055733,  0.00055733],
       [-0.00387589,  0.00387589],
       [ 0.00126242, -0.00126242],
       [-0.00165635,  0.00165635],
       [-0.00162474,  0.00162474]])}"
