Model,Precision,Recall,F1Score,Accuracy,RunTime
DecisionTree,0.9745712596096984,0.9751479289940829,0.9748595090209996,0.9717326238776189,0.11081862449645996
RandomForest,0.9794961921499707,0.9893491124260355,0.9843979982337357,0.98237445959428,0.9843218326568604
Logistic Regression,0.7622211675367822,0.9502958579881656,0.8459309981564392,0.8054539408047888,0.1006629467010498
Naive Bayes,0.9118387909319899,0.21420118343195266,0.3469094393866794,0.5467243099434652,0.005579710006713867
MLP,0.8914127423822714,0.9520710059171598,0.9207439198855507,0.9078816095776522,40.95618939399719
Stochastic Gradient Descent,0.8784624081401922,0.919526627218935,0.8985255854293149,0.8832723644828733,0.017693758010864258
ADA Boost,0.9734513274336283,0.9763313609467456,0.9748892171344165,0.9717326238776189,1.7563517093658447
Gradient Boosting,0.9776207302709069,0.9822485207100592,0.9799291617473436,0.9773860991020951,2.0035455226898193
XGBoost,0.9818075117370892,0.9899408284023669,0.9858573954036536,0.9840372464250083,2.752798557281494
LightGBM,0.982373678025852,0.9893491124260355,0.9858490566037736,0.9840372464250083,0.824209451675415
CatBoost,0.9741480611045829,0.9810650887573964,0.9775943396226414,0.9747256401729298,1.042436122894287
DNN,0.8816091954022989,0.9076923076923077,0.894460641399417,0.879614233455271,6.469491004943848
CNN,0.8700629650829994,0.8994082840236687,0.8844922897876055,0.867974725640173,7.369205474853516
RNN,0.6458333333333334,0.9538461538461539,0.7701863354037267,0.680079813767875,25.285779237747192
