Model,Precision,Recall,F1Score,Accuracy,RunTime
DecisionTree,0.9751332149200711,0.9745562130177515,0.9748446285883396,0.9717326238776189,0.02434849739074707
RandomForest,0.9823840281855549,0.9899408284023669,0.986147951665193,0.984369803791154,0.35393691062927246
Logistic Regression,0.7622211675367822,0.9502958579881656,0.8459309981564392,0.8054539408047888,0.018044710159301758
Naive Bayes,0.9118387909319899,0.21420118343195266,0.3469094393866794,0.5467243099434652,0.0030100345611572266
MLP,0.8914127423822714,0.9520710059171598,0.9207439198855507,0.9078816095776522,12.140712976455688
Stochastic Gradient Descent,0.8784624081401922,0.919526627218935,0.8985255854293149,0.8832723644828733,0.016798019409179688
ADA Boost,0.9734513274336283,0.9763313609467456,0.9748892171344165,0.9717326238776189,0.6108899116516113
Gradient Boosting,0.9776207302709069,0.9822485207100592,0.9799291617473436,0.9773860991020951,0.8200020790100098
XGBoost,0.9818075117370892,0.9899408284023669,0.9858573954036536,0.9840372464250083,1.340688943862915
LightGBM,0.982373678025852,0.9893491124260355,0.9858490566037736,0.9840372464250083,0.21750259399414062
CatBoost,0.9741480611045829,0.9810650887573964,0.9775943396226414,0.9747256401729298,0.43883347511291504
DNN,0.882842509603073,0.8159763313609467,0.8480934809348094,0.8357166611240439,1.8459553718566895
CNN,0.8768768768768769,0.863905325443787,0.8703427719821163,0.8553375457266379,1.9813289642333984
RNN,0.956140350877193,0.19349112426035503,0.3218503937007874,0.5417359494512803,8.148845672607422
