Model,Precision,Recall,F1Score,Accuracy,RunTime
DecisionTree,0.9761175750153093,0.9719512195121951,0.9740299419492819,0.9717420212765957,0.026174068450927734
RandomForest,0.9800362976406534,0.9878048780487805,0.9839052535681749,0.9823803191489362,0.33972692489624023
Logistic Regression,0.79833246482543,0.9341463414634147,0.8609159876369769,0.835438829787234,1.0150575637817383
Naive Bayes,0.861271676300578,0.09085365853658536,0.1643684500827358,0.496343085106383,0.0030066967010498047
MLP,0.5452127659574468,1.0,0.7056798623063684,0.5452127659574468,0.7719042301177979
Stochastic Gradient Descent,0.5826914363389216,0.7841463414634147,0.6685729139589291,0.5761303191489362,0.020679712295532227
ADA Boost,0.9629404617253949,0.9664634146341463,0.9646987218502739,0.961436170212766,0.5951333045959473
Gradient Boosting,0.9726775956284153,0.9768292682926829,0.9747490112564648,0.972406914893617,0.790236234664917
XGBoost,0.9836759371221282,0.9920731707317073,0.9878567091681845,0.9867021276595744,1.3904623985290527
LightGBM,0.9860267314702309,0.9896341463414634,0.9878271454656117,0.9867021276595744,0.2321169376373291
CatBoost,0.9686369119420989,0.9792682926829268,0.9739235900545785,0.9714095744680851,0.368175745010376
DNN,0.7915376676986584,0.9353658536585366,0.8574622694242594,0.8304521276595744,1.8032691478729248
CNN,0.820230607966457,0.9542682926829268,0.8821871476888388,0.8610372340425532,1.9193365573883057
RNN,0.9300947867298578,0.9573170731707317,0.9435096153846153,0.9375,8.671617031097412
