Model,Precision,Recall,F1Score,Accuracy,RunTime
DecisionTree,0.97397989355411,0.9745562130177515,0.9742679680567881,0.9710675091453276,0.06066536903381348
RandomForest,0.9846878680800942,0.9893491124260355,0.987012987012987,0.985367475889591,1.0489895343780518
Logistic Regression,0.7622211675367822,0.9502958579881656,0.8459309981564392,0.8054539408047888,0.09728479385375977
Naive Bayes,0.9118387909319899,0.21420118343195266,0.3469094393866794,0.5467243099434652,0.012878894805908203
MLP,0.8914127423822714,0.9520710059171598,0.9207439198855507,0.9078816095776522,52.33360004425049
Stochastic Gradient Descent,0.8784624081401922,0.919526627218935,0.8985255854293149,0.8832723644828733,0.10307812690734863
ADA Boost,0.9734513274336283,0.9763313609467456,0.9748892171344165,0.9717326238776189,2.294071912765503
Gradient Boosting,0.9776207302709069,0.9822485207100592,0.9799291617473436,0.9773860991020951,2.86185359954834
XGBoost,0.9818075117370892,0.9899408284023669,0.9858573954036536,0.9840372464250083,2.6335463523864746
LightGBM,0.982373678025852,0.9893491124260355,0.9858490566037736,0.9840372464250083,1.2056550979614258
CatBoost,0.9741480611045829,0.9810650887573964,0.9775943396226414,0.9747256401729298,1.494410514831543
DNN,0.8787709497206704,0.9307692307692308,0.9040229885057471,0.8889258397073495,10.447615146636963
CNN,0.8745603751465416,0.8828402366863906,0.8786808009422851,0.862986365147988,12.709323167800903
RNN,0.6405458089668616,0.972189349112426,0.7722679200940071,0.6777519122048553,40.042752265930176
