Model,Precision,Recall,F1Score,Accuracy,RunTime
DecisionTree,0.9739490822972173,0.9733727810650887,0.9736608464042615,0.9704023944130362,0.023705005645751953
RandomForest,0.9800936768149883,0.9905325443786982,0.985285462036492,0.983372131692717,0.3688185214996338
Logistic Regression,0.7622211675367822,0.9502958579881656,0.8459309981564392,0.8054539408047888,0.023932218551635742
Naive Bayes,0.9118387909319899,0.21420118343195266,0.3469094393866794,0.5467243099434652,0.0050008296966552734
MLP,0.8914127423822714,0.9520710059171598,0.9207439198855507,0.9078816095776522,13.329168796539307
Stochastic Gradient Descent,0.8784624081401922,0.919526627218935,0.8985255854293149,0.8832723644828733,0.015756845474243164
ADA Boost,0.9734513274336283,0.9763313609467456,0.9748892171344165,0.9717326238776189,0.6455717086791992
Gradient Boosting,0.9776207302709069,0.9822485207100592,0.9799291617473436,0.9773860991020951,0.8797163963317871
XGBoost,0.9818075117370892,0.9899408284023669,0.9858573954036536,0.9840372464250083,1.5943517684936523
LightGBM,0.982373678025852,0.9893491124260355,0.9858490566037736,0.9840372464250083,0.2681093215942383
CatBoost,0.9741480611045829,0.9810650887573964,0.9775943396226414,0.9747256401729298,0.514101505279541
DNN,0.8781302170283807,0.9337278106508876,0.9050759965586465,0.8899235118057865,1.9202759265899658
CNN,0.8768971332209107,0.9230769230769231,0.8993946382242722,0.8839374792151646,2.1751039028167725
RNN,0.6557114228456914,0.9680473372781065,0.7818399044205495,0.6963751247090123,8.704907894134521
