Model,Precision,Recall,F1Score,Accuracy,RunTime
DecisionTree,0.968476357267951,0.9816568047337279,0.9750220393770204,0.9717326238776189,0.06601619720458984
RandomForest,0.9741632413388138,0.9816568047337279,0.97789566755084,0.9750581975390755,1.8729915618896484
Logistic Regression,0.8135330578512396,0.9319526627218935,0.8687258687258687,0.8417026937146658,0.2021188735961914
Naive Bayes,0.9592901878914405,0.5437869822485207,0.6941087613293051,0.7306285334220153,0.004999637603759766
MLP,0.5624791736087971,0.9988165680473373,0.719675975271797,0.562687063518457,2.7650022506713867
Stochastic Gradient Descent,0.8241758241758241,0.7544378698224852,0.7877664504170527,0.7715330894579315,0.07656121253967285
ADA Boost,0.9560117302052786,0.9644970414201184,0.9602356406480118,0.9551047555703359,2.3133418560028076
Gradient Boosting,0.9722222222222222,0.9733727810650887,0.9727971614429333,0.9694047223145993,1.889233112335205
XGBoost,0.9782224838140082,0.9834319526627219,0.9808203009737385,0.9783837712005321,23.37704110145569
LightGBM,0.9765944997074313,0.9875739644970414,0.9820535451603413,0.9797140006651147,73.66367077827454
CatBoost,0.9704142011834319,0.9704142011834319,0.9704142011834319,0.966744263385434,2.851841688156128
DNN,0.8004938271604938,0.9591715976331361,0.872678331090175,0.8427003658131028,10.275338649749756
CNN,0.9162045594577942,0.8798816568047337,0.8976758225173559,0.8872630528766212,10.955185890197754
RNN,0.9056271981242673,0.9142011834319527,0.9098939929328622,0.898237445959428,25.744317293167114
