Model,Precision,Recall,F1Score,Accuracy,RunTime
DecisionTree,0.9745562130177515,0.9745562130177515,0.9745562130177515,0.9714000665114733,0.02720808982849121
RandomForest,0.9835487661574618,0.9905325443786982,0.9870283018867925,0.985367475889591,0.35016345977783203
Logistic Regression,0.7622211675367822,0.9502958579881656,0.8459309981564392,0.8054539408047888,0.02262258529663086
Naive Bayes,0.9118387909319899,0.21420118343195266,0.3469094393866794,0.5467243099434652,0.0033566951751708984
MLP,0.8914127423822714,0.9520710059171598,0.9207439198855507,0.9078816095776522,14.544244527816772
Stochastic Gradient Descent,0.8784624081401922,0.919526627218935,0.8985255854293149,0.8832723644828733,0.013272285461425781
ADA Boost,0.9734513274336283,0.9763313609467456,0.9748892171344165,0.9717326238776189,0.6957728862762451
Gradient Boosting,0.9776207302709069,0.9822485207100592,0.9799291617473436,0.9773860991020951,0.9045193195343018
XGBoost,0.9818075117370892,0.9899408284023669,0.9858573954036536,0.9840372464250083,1.9365882873535156
LightGBM,0.982373678025852,0.9893491124260355,0.9858490566037736,0.9840372464250083,0.3154470920562744
CatBoost,0.9741480611045829,0.9810650887573964,0.9775943396226414,0.9747256401729298,0.47176098823547363
DNN,0.8318537859007833,0.942603550295858,0.8837725381414702,0.8606584635849684,2.174922466278076
CNN,0.8727064220183486,0.9005917159763314,0.8864298194525334,0.8703026272031925,2.380755662918091
RNN,0.6851136851136851,0.9449704142011834,0.7943297687142502,0.724975058197539,9.184425830841064
