Model,Precision,Recall,F1Score,Accuracy,RunTime
DecisionTree,0.9745260663507109,0.9733727810650887,0.9739490822972173,0.9707349517791819,0.025162458419799805
RandomForest,0.9829512051734274,0.9893491124260355,0.9861397817752875,0.984369803791154,0.2906770706176758
Logistic Regression,0.7622211675367822,0.9502958579881656,0.8459309981564392,0.8054539408047888,0.025781869888305664
Naive Bayes,0.9118387909319899,0.21420118343195266,0.3469094393866794,0.5467243099434652,0.0036649703979492188
MLP,0.8914127423822714,0.9520710059171598,0.9207439198855507,0.9078816095776522,10.909969091415405
Stochastic Gradient Descent,0.8784624081401922,0.919526627218935,0.8985255854293149,0.8832723644828733,0.018472909927368164
ADA Boost,0.9734513274336283,0.9763313609467456,0.9748892171344165,0.9717326238776189,0.6264784336090088
Gradient Boosting,0.9776207302709069,0.9822485207100592,0.9799291617473436,0.9773860991020951,0.7696666717529297
XGBoost,0.9818075117370892,0.9899408284023669,0.9858573954036536,0.9840372464250083,1.3370625972747803
LightGBM,0.982373678025852,0.9893491124260355,0.9858490566037736,0.9840372464250083,0.1738574504852295
CatBoost,0.9741480611045829,0.9810650887573964,0.9775943396226414,0.9747256401729298,0.3874330520629883
DNN,0.8798866855524079,0.9189349112426035,0.898986975397974,0.8839374792151646,1.764749526977539
CNN,0.8372703412073491,0.9437869822485208,0.8873435326842838,0.8653142667110076,1.9016740322113037
RNN,0.6623481781376518,0.9680473372781065,0.7865384615384615,0.7046890588626538,7.845363140106201
