Model,Precision,Recall,F1Score,Accuracy,RunTime
DecisionTree,0.9739490822972173,0.9733727810650887,0.9736608464042615,0.9704023944130362,0.06058168411254883
RandomForest,0.9806904622586308,0.991715976331361,0.9861724036481319,0.984369803791154,0.9345235824584961
Logistic Regression,0.7622211675367822,0.9502958579881656,0.8459309981564392,0.8054539408047888,0.028437376022338867
Naive Bayes,0.9118387909319899,0.21420118343195266,0.3469094393866794,0.5467243099434652,0.07754254341125488
MLP,0.8914127423822714,0.9520710059171598,0.9207439198855507,0.9078816095776522,36.15297484397888
Stochastic Gradient Descent,0.8784624081401922,0.919526627218935,0.8985255854293149,0.8832723644828733,0.01588606834411621
ADA Boost,0.9734513274336283,0.9763313609467456,0.9748892171344165,0.9717326238776189,1.746241807937622
Gradient Boosting,0.9776207302709069,0.9822485207100592,0.9799291617473436,0.9773860991020951,2.267674207687378
XGBoost,0.9818075117370892,0.9899408284023669,0.9858573954036536,0.9840372464250083,2.560962200164795
LightGBM,0.982373678025852,0.9893491124260355,0.9858490566037736,0.9840372464250083,0.9226877689361572
CatBoost,0.9741480611045829,0.9810650887573964,0.9775943396226414,0.9747256401729298,1.0499277114868164
DNN,0.880656108597285,0.921301775147929,0.9005205320994794,0.8856002660458929,6.723361492156982
CNN,0.875,0.9402366863905326,0.9064460924130063,0.8909211839042235,8.551880598068237
RNN,0.6197447447447447,0.9769230769230769,0.7583830960036747,0.6501496508147655,26.393776416778564
