Model,Precision,Recall,F1Score,Accuracy,RunTime
DecisionTree,0.97397989355411,0.9745562130177515,0.9742679680567881,0.9710675091453276,0.027774572372436523
RandomForest,0.9812646370023419,0.991715976331361,0.9864626250735727,0.9847023611572996,0.35822081565856934
Logistic Regression,0.7622211675367822,0.9502958579881656,0.8459309981564392,0.8054539408047888,0.02526116371154785
Naive Bayes,0.9118387909319899,0.21420118343195266,0.3469094393866794,0.5467243099434652,0.005004167556762695
MLP,0.8914127423822714,0.9520710059171598,0.9207439198855507,0.9078816095776522,13.931256532669067
Stochastic Gradient Descent,0.8784624081401922,0.919526627218935,0.8985255854293149,0.8832723644828733,0.01750922203063965
ADA Boost,0.9734513274336283,0.9763313609467456,0.9748892171344165,0.9717326238776189,0.667224645614624
Gradient Boosting,0.9776207302709069,0.9822485207100592,0.9799291617473436,0.9773860991020951,0.8813650608062744
XGBoost,0.9818075117370892,0.9899408284023669,0.9858573954036536,0.9840372464250083,1.9942312240600586
LightGBM,0.982373678025852,0.9893491124260355,0.9858490566037736,0.9840372464250083,0.29893016815185547
CatBoost,0.9741480611045829,0.9810650887573964,0.9775943396226414,0.9747256401729298,0.4814269542694092
DNN,0.8783482142857143,0.9313609467455621,0.9040781160252729,0.8889258397073495,2.0269460678100586
CNN,0.8229541945445188,0.9461538461538461,0.8802642444260942,0.8553375457266379,2.258068323135376
RNN,0.7113767153607791,0.9508875739644971,0.8138769308685744,0.7555703358829398,8.657753705978394
