Model,Precision,Recall,F1Score,Accuracy,RunTime
DecisionTree,0.97397989355411,0.9745562130177515,0.9742679680567881,0.9710675091453276,0.03173041343688965
RandomForest,0.9800936768149883,0.9905325443786982,0.985285462036492,0.983372131692717,0.3976247310638428
Logistic Regression,0.7622211675367822,0.9502958579881656,0.8459309981564392,0.8054539408047888,0.021672964096069336
Naive Bayes,0.9118387909319899,0.21420118343195266,0.3469094393866794,0.5467243099434652,0.0052642822265625
MLP,0.8914127423822714,0.9520710059171598,0.9207439198855507,0.9078816095776522,13.759016036987305
Stochastic Gradient Descent,0.8784624081401922,0.919526627218935,0.8985255854293149,0.8832723644828733,0.016383647918701172
ADA Boost,0.9734513274336283,0.9763313609467456,0.9748892171344165,0.9717326238776189,0.6280169486999512
Gradient Boosting,0.9776207302709069,0.9822485207100592,0.9799291617473436,0.9773860991020951,0.9091196060180664
XGBoost,0.9818075117370892,0.9899408284023669,0.9858573954036536,0.9840372464250083,1.4116604328155518
LightGBM,0.982373678025852,0.9893491124260355,0.9858490566037736,0.9840372464250083,0.246323823928833
CatBoost,0.9741480611045829,0.9810650887573964,0.9775943396226414,0.9747256401729298,0.4869668483734131
DNN,0.870950027457441,0.9384615384615385,0.903446311592139,0.8872630528766212,1.9541041851043701
CNN,0.8777341559169939,0.9260355029585798,0.901238122660524,0.8859328234120386,2.19989275932312
RNN,0.9504289799809342,0.5899408284023668,0.7280029207740051,0.7522447622214832,8.555505990982056
