Model,Precision,Recall,F1Score,Accuracy,RunTime,XAI
DecisionTree,0.9745411486086442,0.9739644970414201,0.9742527374963006,0.9710675091453276,0.03430914878845215,"{'SHAP': array([[-0.00448625,  0.00448625],
       [-0.0060353 ,  0.0060353 ],
       [-0.00205818,  0.00205818],
       [-0.0109595 ,  0.0109595 ],
       [-0.00274274,  0.00274274],
       [ 0.        ,  0.        ],
       [ 0.00528126, -0.00528126],
       [-0.01040528,  0.01040528],
       [ 0.00554105, -0.00554105],
       [ 0.        ,  0.        ],
       [-0.00216754,  0.00216754],
       [-0.0006052 ,  0.0006052 ]])}"
RandomForest,0.9817968291250734,0.9893491124260355,0.985558502799882,0.9837046890588627,0.8258152008056641,"{'SHAP': array([[-0.00697734,  0.00697734],
       [ 0.00121184, -0.00121184],
       [-0.00377401,  0.00377401],
       [-0.00720007,  0.00720007],
       [-0.00275632,  0.00275632],
       [-0.00055902,  0.00055902],
       [ 0.00169186, -0.00169186],
       [-0.00559258,  0.00559258],
       [-0.00032612,  0.00032612],
       [-0.00075635,  0.00075635],
       [-0.00128214,  0.00128214],
       [-0.00173636,  0.00173636]])}"
Logistic Regression,0.7622211675367822,0.9502958579881656,0.8459309981564392,0.8054539408047888,0.03300762176513672,"{'SHAP': array([[-3.83621111e-04,  3.83621111e-04],
       [ 1.92110861e-04, -1.92110861e-04],
       [-1.57080779e-03,  1.57080779e-03],
       [-6.20878745e-04,  6.20878745e-04],
       [-1.24133046e-04,  1.24133046e-04],
       [ 8.79356994e-04, -8.79356994e-04],
       [-5.42146475e-04,  5.42146475e-04],
       [-1.83735429e-02,  1.83735429e-02],
       [-1.34814728e-04,  1.34814728e-04],
       [-6.86982253e-03,  6.86982253e-03],
       [-7.78193138e-05,  7.78193138e-05],
       [-9.42826703e-07,  9.42826703e-07]])}"
Naive Bayes,0.9118387909319899,0.21420118343195266,0.3469094393866794,0.5467243099434652,0.005001068115234375,"{'SHAP': array([[-1.40933129e-03,  1.40933129e-03],
       [ 1.02674329e-02, -1.02674329e-02],
       [ 6.21414419e-06, -6.21414419e-06],
       [-1.03620811e-03,  1.03620811e-03],
       [-5.38986532e-03,  5.38986532e-03],
       [ 2.03063428e-02, -2.03063428e-02],
       [ 1.54209550e-02, -1.54209550e-02],
       [-1.15907716e-03,  1.15907716e-03],
       [-6.65427142e-04,  6.65427142e-04],
       [-1.94278585e-04,  1.94278585e-04],
       [-5.01090122e-04,  5.01090122e-04],
       [ 5.61185159e-04, -5.61185159e-04]])}"
MLP,0.8914127423822714,0.9520710059171598,0.9207439198855507,0.9078816095776522,21.38907551765442,"{'SHAP': array([[-5.20465280e-03,  5.20465280e-03],
       [ 7.89095210e-03, -7.89095210e-03],
       [-3.20838308e-03,  3.20838308e-03],
       [-3.26287095e-03,  3.26287095e-03],
       [-2.55690064e-03,  2.55690064e-03],
       [-5.29961936e-03,  5.29961936e-03],
       [ 9.72866366e-03, -9.72866366e-03],
       [-2.00322686e-02,  2.00322686e-02],
       [ 5.65281351e-03, -5.65281351e-03],
       [ 1.15014099e-03, -1.15014099e-03],
       [-3.68291302e-03,  3.68291302e-03],
       [ 4.12660353e-05, -4.12660353e-05]])}"
Stochastic Gradient Descent,0.8784624081401922,0.919526627218935,0.8985255854293149,0.8832723644828733,0.01750969886779785,"{'SHAP': array([[-4.35272168e-04,  4.35272168e-04],
       [ 2.35855535e-04, -2.35855535e-04],
       [-2.02773336e-03,  2.02773336e-03],
       [-6.80001713e-04,  6.80001713e-04],
       [-1.53536855e-04,  1.53536855e-04],
       [ 7.39293980e-04, -7.39293980e-04],
       [-7.50198290e-04,  7.50198290e-04],
       [-1.99835535e-02,  1.99835535e-02],
       [-7.87956611e-04,  7.87956611e-04],
       [-6.01419277e-03,  6.01419277e-03],
       [-1.07777220e-04,  1.07777220e-04],
       [-1.82513412e-06,  1.82513412e-06]])}"
ADA Boost,0.9734513274336283,0.9763313609467456,0.9748892171344165,0.9717326238776189,0.760261058807373,"{'SHAP': array([[-2.94414904e-04,  2.94414904e-04],
       [ 4.43543901e-04, -4.43543901e-04],
       [ 1.09782823e-04, -1.09782823e-04],
       [-6.11652885e-04,  6.11652885e-04],
       [-4.82373956e-04,  4.82373956e-04],
       [-7.07253831e-05,  7.07253831e-05],
       [ 9.35765358e-05, -9.35765358e-05],
       [-5.19868598e-04,  5.19868598e-04],
       [ 3.32931054e-04, -3.32931054e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-2.81303559e-04,  2.81303559e-04],
       [ 2.06568240e-05, -2.06568240e-05]])}"
Gradient Boosting,0.9776207302709069,0.9822485207100592,0.9799291617473436,0.9773860991020951,2.6619198322296143,"{'SHAP': array([[-0.00081994,  0.00081994],
       [ 0.00307343, -0.00307343],
       [-0.00382662,  0.00382662],
       [-0.01064392,  0.01064392],
       [-0.00217333,  0.00217333],
       [-0.00088468,  0.00088468],
       [ 0.00243447, -0.00243447],
       [-0.00928996,  0.00928996],
       [-0.0005078 ,  0.0005078 ],
       [-0.00015702,  0.00015702],
       [-0.00035132,  0.00035132],
       [-0.00108125,  0.00108125]])}"
XGBoost,0.9818075117370892,0.9899408284023669,0.9858573954036536,0.9840372464250083,0.5202093124389648,"{'SHAP': array([[-0.00492409,  0.00492409],
       [-0.00033955,  0.00033955],
       [-0.00565504,  0.00565504],
       [-0.0158541 ,  0.0158541 ],
       [-0.00377932,  0.00377932],
       [ 0.        ,  0.        ],
       [ 0.00157566, -0.00157566],
       [-0.00658001,  0.00658001],
       [ 0.00078674, -0.00078674],
       [ 0.        ,  0.        ],
       [ 0.00093724, -0.00093724],
       [-0.00041459,  0.00041459]])}"
LightGBM,0.982373678025852,0.9893491124260355,0.9858490566037736,0.9840372464250083,67.38570141792297,"{'SHAP': array([[-1.91196551e-03,  1.91196551e-03],
       [ 1.12888901e-03, -1.12888901e-03],
       [-4.58408455e-03,  4.58408455e-03],
       [-1.50229457e-02,  1.50229457e-02],
       [-6.60555521e-03,  6.60555521e-03],
       [-3.93554757e-05,  3.93554757e-05],
       [ 1.73399081e-03, -1.73399081e-03],
       [-3.29245722e-03,  3.29245722e-03],
       [-3.86356515e-03,  3.86356515e-03],
       [-3.62185030e-05,  3.62185030e-05],
       [ 3.60578102e-05, -3.60578102e-05],
       [-6.41413039e-04,  6.41413039e-04]])}"
CatBoost,0.9741480611045829,0.9810650887573964,0.9775943396226414,0.9747256401729298,0.2641575336456299,"{'SHAP': array([[-9.63490814e-04,  9.63490814e-04],
       [ 5.27037158e-03, -5.27037158e-03],
       [-3.17137036e-03,  3.17137036e-03],
       [-6.07026136e-03,  6.07026136e-03],
       [-1.21289938e-03,  1.21289938e-03],
       [-3.23754787e-05,  3.23754787e-05],
       [ 2.84997684e-03, -2.84997684e-03],
       [-1.46195319e-02,  1.46195319e-02],
       [ 1.49540911e-03, -1.49540911e-03],
       [ 8.88050984e-05, -8.88050984e-05],
       [-1.60147597e-04,  1.60147597e-04],
       [-8.91011782e-04,  8.91011782e-04]])}"
DNN,0.8824194460146976,0.9236686390532545,0.9025729979762936,0.8879281676089126,1.9102749824523926,{'SHAP': array([0.02584697])}
CNN,0.8744892002335085,0.8863905325443787,0.8803996473699676,0.8646491519787163,6.650081396102905,{'SHAP': None}
RNN,0.7294776119402985,0.9254437869822485,0.8158581116327595,0.7652144995011639,23.720741987228394,{'SHAP': None}
