Model,Precision,Recall,F1Score,Accuracy,RunTime,XAI
DecisionTree,0.9745260663507109,0.9733727810650887,0.9739490822972173,0.9707349517791819,0.018608808517456055,"{'SHAP': array([[-0.00180202,  0.00180202],
       [-0.0082579 ,  0.0082579 ],
       [-0.00304503,  0.00304503],
       [-0.01337393,  0.01337393],
       [-0.00335051,  0.00335051],
       [ 0.        ,  0.        ],
       [ 0.0057545 , -0.0057545 ],
       [-0.00866799,  0.00866799],
       [ 0.00470975, -0.00470975],
       [ 0.        ,  0.        ],
       [ 0.00046801, -0.00046801],
       [-0.00073999,  0.00073999]])}"
RandomForest,0.9823943661971831,0.9905325443786982,0.986446670595168,0.9847023611572996,0.32450246810913086,"{'SHAP': array([[-6.29398404e-03,  6.29398404e-03],
       [ 8.63801131e-05, -8.63801131e-05],
       [-3.64345693e-03,  3.64345693e-03],
       [-8.04469737e-03,  8.04469737e-03],
       [-3.00657632e-03,  3.00657632e-03],
       [-5.15902893e-04,  5.15902893e-04],
       [ 2.17765381e-03, -2.17765381e-03],
       [-6.04471400e-03,  6.04471400e-03],
       [-4.91691054e-04,  4.91691054e-04],
       [-8.85450615e-04,  8.85450615e-04],
       [-1.89514300e-03,  1.89514300e-03],
       [-1.45957765e-03,  1.45957765e-03]])}"
Logistic Regression,0.7622211675367822,0.9502958579881656,0.8459309981564392,0.8054539408047888,0.02470111846923828,"{'SHAP': array([[-3.83213858e-04,  3.83213858e-04],
       [ 1.91792546e-04, -1.91792546e-04],
       [-1.57125570e-03,  1.57125570e-03],
       [-6.21041016e-04,  6.21041016e-04],
       [-1.23678564e-04,  1.23678564e-04],
       [ 8.64588144e-04, -8.64588144e-04],
       [-5.46822340e-04,  5.46822340e-04],
       [-1.83665789e-02,  1.83665789e-02],
       [-1.27488466e-04,  1.27488466e-04],
       [-6.86532508e-03,  6.86532508e-03],
       [-7.70892483e-05,  7.70892483e-05],
       [-9.49101478e-07,  9.49101478e-07]])}"
Naive Bayes,0.9118387909319899,0.21420118343195266,0.3469094393866794,0.5467243099434652,0.004370212554931641,"{'SHAP': array([[-1.41374891e-03,  1.41374891e-03],
       [ 1.02526361e-02, -1.02526361e-02],
       [ 4.74467149e-06, -4.74467149e-06],
       [-1.01765528e-03,  1.01765528e-03],
       [-5.37301215e-03,  5.37301215e-03],
       [ 2.03853036e-02, -2.03853036e-02],
       [ 1.54451463e-02, -1.54451463e-02],
       [-1.18033684e-03,  1.18033684e-03],
       [-6.01289518e-04,  6.01289518e-04],
       [-3.83219492e-04,  3.83219492e-04],
       [-4.70029201e-04,  4.70029201e-04],
       [ 5.58313011e-04, -5.58313011e-04]])}"
MLP,0.8914127423822714,0.9520710059171598,0.9207439198855507,0.9078816095776522,14.347678661346436,"{'SHAP': array([[-5.29939812e-03,  5.29939812e-03],
       [ 7.97330648e-03, -7.97330648e-03],
       [-3.14977107e-03,  3.14977107e-03],
       [-3.25254259e-03,  3.25254259e-03],
       [-2.56216560e-03,  2.56216560e-03],
       [-5.30198135e-03,  5.30198135e-03],
       [ 9.67490680e-03, -9.67490680e-03],
       [-2.03026950e-02,  2.03026950e-02],
       [ 5.70898471e-03, -5.70898471e-03],
       [ 1.24522746e-03, -1.24522746e-03],
       [-3.55582440e-03,  3.55582440e-03],
       [ 3.81805070e-05, -3.81805070e-05]])}"
Stochastic Gradient Descent,0.8784624081401922,0.919526627218935,0.8985255854293149,0.8832723644828733,0.01740288734436035,"{'SHAP': array([[-4.35528658e-04,  4.35528658e-04],
       [ 2.35728119e-04, -2.35728119e-04],
       [-2.02778552e-03,  2.02778552e-03],
       [-6.80406851e-04,  6.80406851e-04],
       [-1.53417818e-04,  1.53417818e-04],
       [ 7.31516226e-04, -7.31516226e-04],
       [-7.51391585e-04,  7.51391585e-04],
       [-2.00036071e-02,  2.00036071e-02],
       [-7.57393694e-04,  7.57393694e-04],
       [-6.01604583e-03,  6.01604583e-03],
       [-1.06691983e-04,  1.06691983e-04],
       [-1.87344491e-06,  1.87344491e-06]])}"
ADA Boost,0.9734513274336283,0.9763313609467456,0.9748892171344165,0.9717326238776189,0.684192419052124,"{'SHAP': array([[-2.94417457e-04,  2.94417457e-04],
       [ 4.43523394e-04, -4.43523394e-04],
       [ 1.09784074e-04, -1.09784074e-04],
       [-6.11640067e-04,  6.11640067e-04],
       [-4.82366919e-04,  4.82366919e-04],
       [-7.07258162e-05,  7.07258162e-05],
       [ 9.35767171e-05, -9.35767171e-05],
       [-5.19875589e-04,  5.19875589e-04],
       [ 3.32938413e-04, -3.32938413e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-2.81299440e-04,  2.81299440e-04],
       [ 2.06545419e-05, -2.06545419e-05]])}"
Gradient Boosting,0.9776207302709069,0.9822485207100592,0.9799291617473436,0.9773860991020951,1.019301414489746,"{'SHAP': array([[-7.22370741e-04,  7.22370741e-04],
       [ 2.58243802e-03, -2.58243802e-03],
       [-3.96874221e-03,  3.96874221e-03],
       [-1.05383703e-02,  1.05383703e-02],
       [-2.09784322e-03,  2.09784322e-03],
       [-8.93153437e-04,  8.93153437e-04],
       [ 2.44805260e-03, -2.44805260e-03],
       [-9.27008269e-03,  9.27008269e-03],
       [-3.63735995e-04,  3.63735995e-04],
       [-1.67668865e-05,  1.67668865e-05],
       [-2.99353459e-04,  2.99353459e-04],
       [-1.08358929e-03,  1.08358929e-03]])}"
XGBoost,0.9818075117370892,0.9899408284023669,0.9858573954036536,0.9840372464250083,53.43863081932068,"{'SHAP': array([[-0.00492091,  0.00492091],
       [-0.00039533,  0.00039533],
       [-0.00578916,  0.00578916],
       [-0.01564404,  0.01564404],
       [-0.00372002,  0.00372002],
       [ 0.        ,  0.        ],
       [ 0.00163801, -0.00163801],
       [-0.00667971,  0.00667971],
       [ 0.00081504, -0.00081504],
       [ 0.        ,  0.        ],
       [ 0.00087625, -0.00087625],
       [-0.0004272 ,  0.0004272 ]])}"
LightGBM,0.982373678025852,0.9893491124260355,0.9858490566037736,0.9840372464250083,105.37709760665894,"{'SHAP': array([[-1.93541370e-03,  1.93541370e-03],
       [ 6.70224234e-04, -6.70224234e-04],
       [-4.72507199e-03,  4.72507199e-03],
       [-1.47912476e-02,  1.47912476e-02],
       [-6.47112174e-03,  6.47112174e-03],
       [-4.20916313e-05,  4.20916313e-05],
       [ 1.69373615e-03, -1.69373615e-03],
       [-3.25411073e-03,  3.25411073e-03],
       [-3.65761974e-03,  3.65761974e-03],
       [-4.01024582e-05,  4.01024582e-05],
       [ 1.68949267e-04, -1.68949267e-04],
       [-7.14752803e-04,  7.14752803e-04]])}"
CatBoost,0.9741480611045829,0.9810650887573964,0.9775943396226414,0.9747256401729298,0.7642741203308105,"{'SHAP': array([[-1.13019056e-03,  1.13019056e-03],
       [ 5.30872981e-03, -5.30872981e-03],
       [-3.16008015e-03,  3.16008015e-03],
       [-5.96961523e-03,  5.96961523e-03],
       [-1.17426251e-03,  1.17426251e-03],
       [-3.48726018e-05,  3.48726018e-05],
       [ 2.84547314e-03, -2.84547314e-03],
       [-1.45156655e-02,  1.45156655e-02],
       [ 1.40948058e-03, -1.40948058e-03],
       [ 8.84460420e-05, -8.84460420e-05],
       [-1.62640055e-04,  1.62640055e-04],
       [-9.21329078e-04,  9.21329078e-04]])}"
DNN,0.8866822429906542,0.8982248520710059,0.892416225749559,0.8782840039906884,1.9729657173156738,{'SHAP': array([0.02493686])}
CNN,0.874926943308007,0.8857988165680474,0.8803293149073802,0.8646491519787163,2.2162625789642334,{'SHAP': None}
RNN,0.6776586974443528,0.9727810650887574,0.7988338192419825,0.7246425008313934,8.543712377548218,{'SHAP': None}
