Model,Precision,Recall,F1Score,Accuracy,RunTime,XAI
DecisionTree,0.9743276283618582,0.9719512195121951,0.9731379731379731,0.9707446808510638,0.02047586441040039,"{'SHAP': array([[-0.00651147,  0.00651147],
       [-0.00281567,  0.00281567],
       [-0.00343859,  0.00343859],
       [ 0.00252186, -0.00252186],
       [-0.0010059 ,  0.0010059 ],
       [ 0.00026001, -0.00026001],
       [ 0.00341217, -0.00341217],
       [ 0.00451009, -0.00451009],
       [ 0.0039057 , -0.0039057 ],
       [ 0.        ,  0.        ],
       [ 0.0004227 , -0.0004227 ],
       [-0.00299923,  0.00299923]])}"
RandomForest,0.9764776839565742,0.9871951219512195,0.9818071558520315,0.9800531914893617,0.3370511531829834,"{'SHAP': array([[ 0.00233318, -0.00233318],
       [-0.00753   ,  0.00753   ],
       [-0.00506785,  0.00506785],
       [ 0.01162171, -0.01162171],
       [ 0.00158114, -0.00158114],
       [ 0.00020833, -0.00020833],
       [ 0.00133779, -0.00133779],
       [-0.00217426,  0.00217426],
       [ 0.00463404, -0.00463404],
       [-0.00020881,  0.00020881],
       [ 0.0003692 , -0.0003692 ],
       [-0.0017909 ,  0.0017909 ]])}"
Logistic Regression,0.79833246482543,0.9341463414634147,0.8609159876369769,0.835438829787234,1.0500428676605225,"{'SHAP': array([[ 2.25567944e-04, -2.25567944e-04],
       [ 2.03031081e-04, -2.03031081e-04],
       [ 4.18535316e-04, -4.18535316e-04],
       [-1.30962380e-03,  1.30962380e-03],
       [-1.90041689e-04,  1.90041689e-04],
       [-1.18509850e-02,  1.18509850e-02],
       [ 1.82371035e-03, -1.82371035e-03],
       [ 3.74226869e-02, -3.74226869e-02],
       [-8.03642280e-03,  8.03642280e-03],
       [ 4.31331573e-04, -4.31331573e-04],
       [-3.50882292e-06,  3.50882292e-06],
       [-3.22674430e-04,  3.22674430e-04]])}"
Naive Bayes,0.861271676300578,0.09085365853658536,0.1643684500827358,0.496343085106383,0.005118370056152344,"{'SHAP': array([[ 4.62755676e-03, -4.62755676e-03],
       [-5.19299361e-03,  5.19299361e-03],
       [ 2.21098966e-03, -2.21098966e-03],
       [-4.37524599e-03,  4.37524599e-03],
       [-6.33630348e-03,  6.33630348e-03],
       [ 9.94858481e-04, -9.94858481e-04],
       [ 8.95593308e-03, -8.95593308e-03],
       [-4.77827496e-05,  4.77827496e-05],
       [-1.33404265e-03,  1.33404265e-03],
       [-1.15522660e-04,  1.15522660e-04],
       [ 2.78737949e-03, -2.78737949e-03],
       [-4.53487727e-04,  4.53487727e-04]])}"
MLP,0.5452127659574468,1.0,0.7056798623063684,0.5452127659574468,0.8216907978057861,"{'SHAP': array([[-8.27706058e-04,  8.27706058e-04],
       [-1.99027346e-03,  1.99027346e-03],
       [-1.83640548e-04,  1.83640548e-04],
       [-1.30318115e-03,  1.30318115e-03],
       [-8.95647483e-06,  8.95647483e-06],
       [-8.60323706e-05,  8.60323706e-05],
       [-4.41444854e-05,  4.41444854e-05],
       [-2.33508197e-05,  2.33508197e-05],
       [-6.89711196e-05,  6.89711196e-05],
       [ 1.21636008e-05, -1.21636008e-05],
       [-2.96996804e-05,  2.96996804e-05],
       [-1.57899542e-04,  1.57899542e-04]])}"
Stochastic Gradient Descent,0.5826914363389216,0.7841463414634147,0.6685729139589291,0.5761303191489362,0.02213311195373535,"{'SHAP': array([[-4.33352051e-03,  4.33352051e-03],
       [ 1.70795194e-03, -1.70795194e-03],
       [-1.73448819e-03,  1.73448819e-03],
       [-2.44370641e-02,  2.44370641e-02],
       [-6.45841413e-04,  6.45841413e-04],
       [-1.95447428e-05,  1.95447428e-05],
       [-1.89293478e-05,  1.89293478e-05],
       [ 2.43492379e-02, -2.43492379e-02],
       [ 3.22525625e-05, -3.22525625e-05],
       [ 3.19967169e-06, -3.19967169e-06],
       [ 1.20610100e-04, -1.20610100e-04],
       [ 1.25462981e-03, -1.25462981e-03]])}"
ADA Boost,0.9629404617253949,0.9664634146341463,0.9646987218502739,0.961436170212766,0.642409086227417,"{'SHAP': array([[ 4.20380409e-05, -4.20380409e-05],
       [-4.79610303e-04,  4.79610303e-04],
       [-1.89405424e-04,  1.89405424e-04],
       [ 5.68538166e-04, -5.68538166e-04],
       [-4.04826999e-04,  4.04826999e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 2.23139049e-05, -2.23139049e-05],
       [ 8.95258103e-05, -8.95258103e-05],
       [-9.39952519e-05,  9.39952519e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.25204352e-04, -1.25204352e-04],
       [-1.16552631e-04,  1.16552631e-04]])}"
Gradient Boosting,0.9726775956284153,0.9768292682926829,0.9747490112564648,0.972406914893617,2.7091434001922607,"{'SHAP': array([[ 9.38520168e-05, -9.38520168e-05],
       [-9.78625417e-03,  9.78625417e-03],
       [-4.31266905e-03,  4.31266905e-03],
       [ 1.32210026e-02, -1.32210026e-02],
       [-1.01344569e-03,  1.01344569e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.64721138e-03, -1.64721138e-03],
       [-2.25112136e-03,  2.25112136e-03],
       [ 5.09417874e-03, -5.09417874e-03],
       [ 1.59333957e-05, -1.59333957e-05],
       [ 8.38972445e-05, -8.38972445e-05],
       [-2.17092568e-03,  2.17092568e-03]])}"
XGBoost,0.9836759371221282,0.9920731707317073,0.9878567091681845,0.9867021276595744,0.6915788650512695,"{'SHAP': array([[ 0.00060565, -0.00060565],
       [-0.00394284,  0.00394285],
       [-0.00599852,  0.00599852],
       [ 0.02046408, -0.02046408],
       [ 0.00090735, -0.00090735],
       [ 0.        ,  0.        ],
       [ 0.00122486, -0.00122486],
       [-0.00529672,  0.00529672],
       [ 0.00306022, -0.00306022],
       [ 0.        ,  0.        ],
       [-0.00065127,  0.00065127],
       [-0.00219742,  0.00219742]])}"
LightGBM,0.9860267314702309,0.9896341463414634,0.9878271454656117,0.9867021276595744,473.36230993270874,"{'SHAP': array([[ 0.00288403, -0.00288403],
       [-0.00920804,  0.00920804],
       [-0.00533497,  0.00533497],
       [ 0.02186693, -0.02186693],
       [-0.0003845 ,  0.0003845 ],
       [ 0.        ,  0.        ],
       [ 0.00150926, -0.00150926],
       [-0.00760709,  0.00760709],
       [ 0.00771949, -0.00771949],
       [ 0.        ,  0.        ],
       [ 0.0007697 , -0.0007697 ],
       [-0.00267405,  0.00267405]])}"
CatBoost,0.9686369119420989,0.9792682926829268,0.9739235900545785,0.9714095744680851,0.5011711120605469,"{'SHAP': array([[-9.42242502e-05,  9.42242502e-05],
       [-6.97830063e-03,  6.97830063e-03],
       [-3.14262674e-03,  3.14262674e-03],
       [ 1.11561090e-02, -1.11561090e-02],
       [-4.44344292e-04,  4.44344292e-04],
       [ 7.73039047e-05, -7.73039047e-05],
       [ 1.74813007e-03, -1.74813007e-03],
       [ 1.76695287e-03, -1.76695287e-03],
       [ 1.91435632e-03, -1.91435632e-03],
       [-6.43966632e-04,  6.43966632e-04],
       [ 1.35778192e-04, -1.35778192e-04],
       [-1.60295315e-03,  1.60295315e-03]])}"
DNN,0.7498822421102214,0.9707317073170731,0.8461334041987775,0.8075132978723404,1.8848655223846436,{'SHAP': array([-0.00677528])}
CNN,0.8614357262103506,0.9439024390243902,0.9007855688100087,0.8866356382978723,2.260239601135254,{'SHAP': None}
RNN,0.9415971394517283,0.9634146341463414,0.9523809523809524,0.9474734042553191,8.467994689941406,{'SHAP': None}
