Model,Precision,Recall,F1Score,Accuracy,RunTime,XAI
DecisionTree,0.9733885274985216,0.9739644970414201,0.9736764270925761,0.9704023944130362,0.13860726356506348,"{'SHAP': array([[-0.00467575,  0.00467575],
       [-0.00606415,  0.00606415],
       [-0.00485567,  0.00485567],
       [-0.01065525,  0.01065525],
       [-0.00220749,  0.00220749],
       [ 0.        ,  0.        ],
       [ 0.00568872, -0.00568872],
       [-0.00964909,  0.00964909],
       [ 0.00596609, -0.00596609],
       [ 0.        ,  0.        ],
       [ 0.00021023, -0.00021023],
       [-0.0032267 ,  0.0032267 ]])}"
RandomForest,0.9829512051734274,0.9893491124260355,0.9861397817752875,0.984369803791154,1.3195569515228271,"{'SHAP': array([[-0.00497707,  0.00497707],
       [-0.00148972,  0.00148972],
       [-0.00392959,  0.00392959],
       [-0.00912808,  0.00912808],
       [-0.00224402,  0.00224402],
       [-0.00031848,  0.00031848],
       [ 0.00194676, -0.00194676],
       [-0.00462969,  0.00462969],
       [-0.00216678,  0.00216678],
       [-0.00075988,  0.00075988],
       [-0.0015935 ,  0.0015935 ],
       [-0.00211195,  0.00211195]])}"
Logistic Regression,0.7622211675367822,0.9502958579881656,0.8459309981564392,0.8054539408047888,0.01996159553527832,"{'SHAP': array([[-3.83217621e-04,  3.83217621e-04],
       [ 1.91858969e-04, -1.91858969e-04],
       [-1.57047148e-03,  1.57047148e-03],
       [-6.20608068e-04,  6.20608068e-04],
       [-1.22946514e-04,  1.22946514e-04],
       [ 8.70047526e-04, -8.70047526e-04],
       [-5.45304887e-04,  5.45304887e-04],
       [-1.83665531e-02,  1.83665531e-02],
       [-1.29316491e-04,  1.29316491e-04],
       [-6.87219035e-03,  6.87219035e-03],
       [-7.74075551e-05,  7.74075551e-05],
       [-9.52073243e-07,  9.52073243e-07]])}"
Naive Bayes,0.9118387909319899,0.21420118343195266,0.3469094393866794,0.5467243099434652,0.0030705928802490234,"{'SHAP': array([[-1.41127622e-03,  1.41127622e-03],
       [ 1.02608258e-02, -1.02608258e-02],
       [ 3.04644373e-06, -3.04644373e-06],
       [-1.03024003e-03,  1.03024003e-03],
       [-5.39614035e-03,  5.39614035e-03],
       [ 2.03143837e-02, -2.03143837e-02],
       [ 1.54749789e-02, -1.54749789e-02],
       [-1.15080716e-03,  1.15080716e-03],
       [-6.35116346e-04,  6.35116346e-04],
       [-2.30951121e-04,  2.30951121e-04],
       [-5.22684591e-04,  5.22684591e-04],
       [ 5.30833221e-04, -5.30833221e-04]])}"
MLP,0.8914127423822714,0.9520710059171598,0.9207439198855507,0.9078816095776522,11.068311214447021,"{'SHAP': array([[-5.27318878e-03,  5.27318878e-03],
       [ 7.77831690e-03, -7.77831690e-03],
       [-3.13091515e-03,  3.13091515e-03],
       [-3.22866927e-03,  3.22866927e-03],
       [-2.53406844e-03,  2.53406844e-03],
       [-5.28640768e-03,  5.28640768e-03],
       [ 9.63575222e-03, -9.63575222e-03],
       [-2.01184736e-02,  2.01184736e-02],
       [ 5.58177149e-03, -5.58177149e-03],
       [ 1.19578464e-03, -1.19578464e-03],
       [-3.42507161e-03,  3.42507161e-03],
       [ 2.13971601e-05, -2.13971601e-05]])}"
Stochastic Gradient Descent,0.8784624081401922,0.919526627218935,0.8985255854293149,0.8832723644828733,0.014556884765625,"{'SHAP': array([[-4.36037316e-04,  4.36037316e-04],
       [ 2.35696559e-04, -2.35696559e-04],
       [-2.02915633e-03,  2.02915633e-03],
       [-6.85751027e-04,  6.85751027e-04],
       [-1.52686723e-04,  1.52686723e-04],
       [ 7.44136036e-04, -7.44136036e-04],
       [-7.47997993e-04,  7.47997993e-04],
       [-1.99866480e-02,  1.99866480e-02],
       [-7.77803795e-04,  7.77803795e-04],
       [-6.02256954e-03,  6.02256954e-03],
       [-1.06234877e-04,  1.06234877e-04],
       [-1.84507304e-06,  1.84507304e-06]])}"
ADA Boost,0.9734513274336283,0.9763313609467456,0.9748892171344165,0.9717326238776189,0.5334486961364746,"{'SHAP': array([[-2.94422054e-04,  2.94422054e-04],
       [ 4.43515301e-04, -4.43515301e-04],
       [ 1.09779023e-04, -1.09779023e-04],
       [-6.11633086e-04,  6.11633086e-04],
       [-4.82363718e-04,  4.82363718e-04],
       [-7.07255514e-05,  7.07255514e-05],
       [ 9.35757742e-05, -9.35757742e-05],
       [-5.19870259e-04,  5.19870259e-04],
       [ 3.32942816e-04, -3.32942816e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-2.81301296e-04,  2.81301296e-04],
       [ 2.06549023e-05, -2.06549023e-05]])}"
Gradient Boosting,0.9776207302709069,0.9822485207100592,0.9799291617473436,0.9773860991020951,0.859738826751709,"{'SHAP': array([[-0.00046429,  0.00046429],
       [ 0.00283771, -0.00283771],
       [-0.00407548,  0.00407548],
       [-0.01059147,  0.01059147],
       [-0.00211691,  0.00211691],
       [-0.00088729,  0.00088729],
       [ 0.00245729, -0.00245729],
       [-0.00942658,  0.00942658],
       [-0.00041874,  0.00041874],
       [-0.00015411,  0.00015411],
       [-0.00029016,  0.00029016],
       [-0.00109938,  0.00109938]])}"
XGBoost,0.9818075117370892,0.9899408284023669,0.9858573954036536,0.9840372464250083,0.11028814315795898,"{'SHAP': array([[-0.005166  ,  0.005166  ],
       [ 0.00018051, -0.0001805 ],
       [-0.00577322,  0.00577322],
       [-0.0155514 ,  0.0155514 ],
       [-0.00397223,  0.00397223],
       [ 0.        ,  0.        ],
       [ 0.0015977 , -0.0015977 ],
       [-0.00684844,  0.00684844],
       [ 0.00083019, -0.00083019],
       [ 0.        ,  0.        ],
       [ 0.00095027, -0.00095027],
       [-0.00049444,  0.00049444]])}"
LightGBM,0.982373678025852,0.9893491124260355,0.9858490566037736,0.9840372464250083,0.2966902256011963,"{'SHAP': array([[-1.88574814e-03,  1.88574814e-03],
       [ 7.06883101e-04, -7.06883101e-04],
       [-4.76587612e-03,  4.76587612e-03],
       [-1.49693860e-02,  1.49693860e-02],
       [-6.45736477e-03,  6.45736477e-03],
       [-3.99623169e-05,  3.99623169e-05],
       [ 1.69552883e-03, -1.69552883e-03],
       [-3.25948425e-03,  3.25948425e-03],
       [-3.59877184e-03,  3.59877184e-03],
       [-3.85685794e-05,  3.85685794e-05],
       [ 1.58243394e-04, -1.58243394e-04],
       [-6.44116011e-04,  6.44116011e-04]])}"
