Model,Precision,Recall,F1Score,Accuracy,RunTime,XAI
DecisionTree,0.9677608440797186,0.9769230769230769,0.9723203769140164,0.9687396075823079,0.03952765464782715,"{'SHAP': array([[-0.0110954 ,  0.0110954 ],
       [ 0.00199353, -0.00199353],
       [-0.01904487,  0.01904487],
       [-0.00240074,  0.00240074]])}"
RandomForest,0.9730205278592375,0.9816568047337279,0.977319587628866,0.9743930828067842,1.448897123336792,"{'SHAP': array([[-0.00903142,  0.00903142],
       [-0.00256726,  0.00256726],
       [-0.01479315,  0.01479315],
       [-0.00119234,  0.00119234]])}"
Logistic Regression,0.8135330578512396,0.9319526627218935,0.8687258687258687,0.8417026937146658,0.1686112880706787,"{'SHAP': array([[-0.00099555,  0.00099555],
       [ 0.00028692, -0.00028692],
       [-0.03951409,  0.03951409],
       [-0.00056555,  0.00056555]])}"
Naive Bayes,0.9592901878914405,0.5437869822485207,0.6941087613293051,0.7306285334220153,0.045592308044433594,"{'SHAP': array([[-0.00717924,  0.00717924],
       [ 0.02157755, -0.02157755],
       [-0.02408096,  0.02408096],
       [-0.00050675,  0.00050675]])}"
MLP,0.5624791736087971,0.9988165680473373,0.719675975271797,0.562687063518457,2.11020827293396,"{'SHAP': array([[ 0.00633835, -0.00633835],
       [ 0.00692791, -0.00692791],
       [ 0.00047095, -0.00047095],
       [ 0.00013877, -0.00013877]])}"
Stochastic Gradient Descent,0.8241758241758241,0.7544378698224852,0.7877664504170527,0.7715330894579315,0.09055185317993164,"{'SHAP': array([[ 1.07609269e-02, -1.07609269e-02],
       [ 1.03084548e-03, -1.03084548e-03],
       [-4.61004271e-02,  4.61004271e-02],
       [-3.12370620e-05,  3.12370620e-05]])}"
ADA Boost,0.9560117302052786,0.9644970414201184,0.9602356406480118,0.9551047555703359,1.8928894996643066,"{'SHAP': array([[-0.00026356,  0.00026356],
       [ 0.0011529 , -0.0011529 ],
       [-0.00068292,  0.00068292],
       [ 0.0003373 , -0.0003373 ]])}"
Gradient Boosting,0.9722222222222222,0.9733727810650887,0.9727971614429333,0.9694047223145993,1.845066785812378,"{'SHAP': array([[-0.00802804,  0.00802804],
       [ 0.00763648, -0.00763648],
       [-0.01266729,  0.01266729],
       [ 0.00041164, -0.00041164]])}"
XGBoost,0.9782224838140082,0.9834319526627219,0.9808203009737385,0.9783837712005321,24.634255170822144,"{'SHAP': array([[-0.01439793,  0.01439793],
       [-0.005563  ,  0.005563  ],
       [-0.01453844,  0.01453844],
       [ 0.00093599, -0.00093599]])}"
LightGBM,0.9765944997074313,0.9875739644970414,0.9820535451603413,0.9797140006651147,27.88341975212097,"{'SHAP': array([[-0.01343446,  0.01343446],
       [-0.00198579,  0.00198579],
       [-0.01256635,  0.01256635],
       [-0.00394397,  0.00394397]])}"
CatBoost,0.9704142011834319,0.9704142011834319,0.9704142011834319,0.966744263385434,1.578129768371582,"{'SHAP': array([[-0.00490788,  0.00490788],
       [ 0.01194486, -0.01194486],
       [-0.01886779,  0.01886779],
       [ 0.00111475, -0.00111475]])}"
DNN,0.8911525029103609,0.9059171597633137,0.8984741784037559,0.8849351513136016,8.82326626777649,{'SHAP': array([0.11494099])}
CNN,0.899796885578876,0.7863905325443787,0.8392800757814967,0.830728300631859,2.511430501937866,{'SHAP': None}
RNN,0.9426987060998152,0.9053254437869822,0.9236341684274072,0.915862986365148,6.5942864418029785,{'SHAP': None}
