Model,Precision,Recall,F1Score,Accuracy,RunTime,XAI
DecisionTree,0.9745562130177515,0.9745562130177515,0.9745562130177515,0.9714000665114733,0.02431344985961914,"{'SHAP': array([[-0.0042932 ,  0.0042932 ],
       [-0.00765629,  0.00765629],
       [ 0.00077003, -0.00077003],
       [-0.01071634,  0.01071634],
       [-0.00396158,  0.00396158],
       [ 0.        ,  0.        ],
       [ 0.00541477, -0.00541477],
       [-0.01176702,  0.01176702],
       [ 0.00580538, -0.00580538],
       [-0.00216079,  0.00216079],
       [ 0.00040777, -0.00040777],
       [-0.00097925,  0.00097925]])}"
RandomForest,0.982363315696649,0.9887573964497042,0.985549985255087,0.9837046890588627,0.4391305446624756,"{'SHAP': array([[-0.00657577,  0.00657577],
       [-0.00061086,  0.00061086],
       [-0.00499505,  0.00499505],
       [-0.00832733,  0.00832733],
       [-0.00398137,  0.00398137],
       [-0.00074444,  0.00074444],
       [ 0.00222227, -0.00222227],
       [-0.00360317,  0.00360317],
       [-0.00211403,  0.00211403],
       [-0.00027533,  0.00027533],
       [-0.00156607,  0.00156607],
       [-0.00179187,  0.00179187]])}"
Logistic Regression,0.7622211675367822,0.9502958579881656,0.8459309981564392,0.8054539408047888,0.11449050903320312,"{'SHAP': array([[-3.83084445e-04,  3.83084445e-04],
       [ 1.91789710e-04, -1.91789710e-04],
       [-1.56982393e-03,  1.56982393e-03],
       [-6.21375574e-04,  6.21375574e-04],
       [-1.24081595e-04,  1.24081595e-04],
       [ 8.72528111e-04, -8.72528111e-04],
       [-5.40125697e-04,  5.40125697e-04],
       [-1.83813443e-02,  1.83813443e-02],
       [-1.24906671e-04,  1.24906671e-04],
       [-6.86997563e-03,  6.86997563e-03],
       [-7.57226984e-05,  7.57226984e-05],
       [-9.38928513e-07,  9.38928513e-07]])}"
Naive Bayes,0.9118387909319899,0.21420118343195266,0.3469094393866794,0.5467243099434652,0.009466409683227539,"{'SHAP': array([[-1.41840308e-03,  1.41840308e-03],
       [ 1.02382719e-02, -1.02382719e-02],
       [ 2.71462952e-06, -2.71462952e-06],
       [-1.04588041e-03,  1.04588041e-03],
       [-5.46519602e-03,  5.46519602e-03],
       [ 2.02645473e-02, -2.02645473e-02],
       [ 1.55086471e-02, -1.55086471e-02],
       [-1.10511782e-03,  1.10511782e-03],
       [-6.12807870e-04,  6.12807870e-04],
       [-3.54878467e-04,  3.54878467e-04],
       [-4.62479144e-04,  4.62479144e-04],
       [ 6.57434220e-04, -6.57434220e-04]])}"
MLP,0.8914127423822714,0.9520710059171598,0.9207439198855507,0.9078816095776522,33.1444616317749,"{'SHAP': array([[-5.20982523e-03,  5.20982523e-03],
       [ 8.03052513e-03, -8.03052513e-03],
       [-3.19072587e-03,  3.19072587e-03],
       [-3.21796570e-03,  3.21796570e-03],
       [-2.54142665e-03,  2.54142665e-03],
       [-5.41484624e-03,  5.41484624e-03],
       [ 9.71392255e-03, -9.71392255e-03],
       [-2.02063159e-02,  2.02063159e-02],
       [ 5.54244051e-03, -5.54244051e-03],
       [ 1.34907767e-03, -1.34907767e-03],
       [-3.68635494e-03,  3.68635494e-03],
       [ 4.77225421e-05, -4.77225421e-05]])}"
Stochastic Gradient Descent,0.8784624081401922,0.919526627218935,0.8985255854293149,0.8832723644828733,0.024912118911743164,"{'SHAP': array([[-4.36031632e-04,  4.36031632e-04],
       [ 2.35277057e-04, -2.35277057e-04],
       [-2.02565183e-03,  2.02565183e-03],
       [-6.81783996e-04,  6.81783996e-04],
       [-1.53605282e-04,  1.53605282e-04],
       [ 7.34286208e-04, -7.34286208e-04],
       [-7.55622411e-04,  7.55622411e-04],
       [-1.99928860e-02,  1.99928860e-02],
       [-7.78152923e-04,  7.78152923e-04],
       [-6.00244287e-03,  6.00244287e-03],
       [-1.08426760e-04,  1.08426760e-04],
       [-1.85764800e-06,  1.85764800e-06]])}"
ADA Boost,0.9734513274336283,0.9763313609467456,0.9748892171344165,0.9717326238776189,1.506009817123413,"{'SHAP': array([[-2.94418184e-04,  2.94418184e-04],
       [ 4.43512333e-04, -4.43512333e-04],
       [ 1.09786867e-04, -1.09786867e-04],
       [-6.11638408e-04,  6.11638408e-04],
       [-4.82362759e-04,  4.82362759e-04],
       [-7.07262206e-05,  7.07262206e-05],
       [ 9.35755252e-05, -9.35755252e-05],
       [-5.19876218e-04,  5.19876218e-04],
       [ 3.32939760e-04, -3.32939760e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-2.81299349e-04,  2.81299349e-04],
       [ 2.06585047e-05, -2.06585047e-05]])}"
Gradient Boosting,0.9776207302709069,0.9822485207100592,0.9799291617473436,0.9773860991020951,1.1328651905059814,"{'SHAP': array([[-5.32009763e-04,  5.32009763e-04],
       [ 2.95042660e-03, -2.95042660e-03],
       [-4.07117880e-03,  4.07117880e-03],
       [-1.06071894e-02,  1.06071894e-02],
       [-2.14923740e-03,  2.14923740e-03],
       [-9.05243765e-04,  9.05243765e-04],
       [ 2.42181456e-03, -2.42181456e-03],
       [-9.27447548e-03,  9.27447548e-03],
       [-4.06798511e-04,  4.06798511e-04],
       [-1.89763040e-05,  1.89763040e-05],
       [-4.04726063e-04,  4.04726063e-04],
       [-1.22447522e-03,  1.22447522e-03]])}"
XGBoost,0.9818075117370892,0.9899408284023669,0.9858573954036536,0.9840372464250083,20.95971989631653,"{'SHAP': array([[-0.00495063,  0.00495063],
       [-0.00025721,  0.00025721],
       [-0.00568542,  0.00568542],
       [-0.0152974 ,  0.0152974 ],
       [-0.00378596,  0.00378596],
       [ 0.        ,  0.        ],
       [ 0.00155919, -0.00155919],
       [-0.00706234,  0.00706234],
       [ 0.00064546, -0.00064546],
       [ 0.        ,  0.        ],
       [ 0.00102486, -0.00102486],
       [-0.00043763,  0.00043763]])}"
LightGBM,0.982373678025852,0.9893491124260355,0.9858490566037736,0.9840372464250083,1.1098387241363525,"{'SHAP': array([[-1.90736170e-03,  1.90736170e-03],
       [ 4.67234499e-04, -4.67234499e-04],
       [-4.54297857e-03,  4.54297857e-03],
       [-1.48555298e-02,  1.48555298e-02],
       [-6.60223029e-03,  6.60223029e-03],
       [-4.24759826e-05,  4.24759826e-05],
       [ 1.75123254e-03, -1.75123254e-03],
       [-3.12122868e-03,  3.12122868e-03],
       [-3.59914669e-03,  3.59914669e-03],
       [-3.79628733e-05,  3.79628733e-05],
       [ 8.95565227e-05, -8.95565227e-05],
       [-6.97731663e-04,  6.97731663e-04]])}"
