Model,Precision,Recall,F1Score,Accuracy,RunTime,XAI
DecisionTree,0.9739490822972173,0.9733727810650887,0.9736608464042615,0.9704023944130362,0.023339509963989258,"{'SHAP': array([[-0.00613438,  0.00613438],
       [-0.00827693,  0.00827693],
       [ 0.00026802, -0.00026802],
       [-0.00949784,  0.00949784],
       [-0.00362969,  0.00362969],
       [ 0.        ,  0.        ],
       [ 0.00575353, -0.00575353],
       [-0.00970179,  0.00970179],
       [ 0.00535475, -0.00535475],
       [ 0.        ,  0.        ],
       [-0.00189773,  0.00189773],
       [-0.0010419 ,  0.0010419 ]])}"
RandomForest,0.9795441262419637,0.991715976331361,0.985592472802117,0.9837046890588627,0.25186967849731445,"{'SHAP': array([[-0.00607364,  0.00607364],
       [ 0.00078658, -0.00078658],
       [-0.0034217 ,  0.0034217 ],
       [-0.0071    ,  0.0071    ],
       [-0.00283132,  0.00283132],
       [-0.00065268,  0.00065268],
       [ 0.00173654, -0.00173654],
       [-0.0059706 ,  0.0059706 ],
       [-0.00144566,  0.00144566],
       [-0.00051188,  0.00051188],
       [-0.00085536,  0.00085536],
       [-0.00181758,  0.00181758]])}"
Logistic Regression,0.7622211675367822,0.9502958579881656,0.8459309981564392,0.8054539408047888,0.023432493209838867,"{'SHAP': array([[-3.83310608e-04,  3.83310608e-04],
       [ 1.92383618e-04, -1.92383618e-04],
       [-1.57133886e-03,  1.57133886e-03],
       [-6.18914939e-04,  6.18914939e-04],
       [-1.23863947e-04,  1.23863947e-04],
       [ 8.69388734e-04, -8.69388734e-04],
       [-5.38479553e-04,  5.38479553e-04],
       [-1.83715555e-02,  1.83715555e-02],
       [-1.31535594e-04,  1.31535594e-04],
       [-6.87064533e-03,  6.87064533e-03],
       [-7.82295869e-05,  7.82295869e-05],
       [-9.60005438e-07,  9.60005438e-07]])}"
Naive Bayes,0.9118387909319899,0.21420118343195266,0.3469094393866794,0.5467243099434652,0.005001068115234375,"{'SHAP': array([[-1.40562639e-03,  1.40562639e-03],
       [ 1.02620938e-02, -1.02620938e-02],
       [ 6.31720826e-06, -6.31720826e-06],
       [-1.00607545e-03,  1.00607545e-03],
       [-5.35245960e-03,  5.35245960e-03],
       [ 2.02292444e-02, -2.02292444e-02],
       [ 1.54967107e-02, -1.54967107e-02],
       [-1.18527430e-03,  1.18527430e-03],
       [-6.35937147e-04,  6.35937147e-04],
       [-3.00111174e-04,  3.00111174e-04],
       [-4.66814691e-04,  4.66814691e-04],
       [ 5.64784910e-04, -5.64784910e-04]])}"
MLP,0.8914127423822714,0.9520710059171598,0.9207439198855507,0.9078816095776522,13.97350549697876,"{'SHAP': array([[-5.41379347e-03,  5.41379347e-03],
       [ 7.88106053e-03, -7.88106053e-03],
       [-3.08392409e-03,  3.08392409e-03],
       [-3.25389060e-03,  3.25389060e-03],
       [-2.53695866e-03,  2.53695866e-03],
       [-5.47590572e-03,  5.47590572e-03],
       [ 9.67303361e-03, -9.67303361e-03],
       [-2.00014639e-02,  2.00014639e-02],
       [ 5.57000235e-03, -5.57000235e-03],
       [ 1.48431867e-03, -1.48431867e-03],
       [-3.65902493e-03,  3.65902493e-03],
       [ 3.27740398e-05, -3.27740398e-05]])}"
Stochastic Gradient Descent,0.8784624081401922,0.919526627218935,0.8985255854293149,0.8832723644828733,0.020354032516479492,"{'SHAP': array([[-4.35167542e-04,  4.35167542e-04],
       [ 2.35574075e-04, -2.35574075e-04],
       [-2.03075431e-03,  2.03075431e-03],
       [-6.84431182e-04,  6.84431182e-04],
       [-1.52360411e-04,  1.52360411e-04],
       [ 7.46717525e-04, -7.46717525e-04],
       [-7.51065433e-04,  7.51065433e-04],
       [-2.00013409e-02,  2.00013409e-02],
       [-7.75566142e-04,  7.75566142e-04],
       [-6.00827007e-03,  6.00827007e-03],
       [-1.08404360e-04,  1.08404360e-04],
       [-1.82931536e-06,  1.82931536e-06]])}"
ADA Boost,0.9734513274336283,0.9763313609467456,0.9748892171344165,0.9717326238776189,0.8260922431945801,"{'SHAP': array([[-2.94421520e-04,  2.94421520e-04],
       [ 4.43511979e-04, -4.43511979e-04],
       [ 1.09789425e-04, -1.09789425e-04],
       [-6.11626010e-04,  6.11626010e-04],
       [-4.82376224e-04,  4.82376224e-04],
       [-7.07259118e-05,  7.07259118e-05],
       [ 9.35774548e-05, -9.35774548e-05],
       [-5.19862213e-04,  5.19862213e-04],
       [ 3.32928852e-04, -3.32928852e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-2.81302038e-04,  2.81302038e-04],
       [ 2.06580566e-05, -2.06580566e-05]])}"
Gradient Boosting,0.9776207302709069,0.9822485207100592,0.9799291617473436,0.9773860991020951,1.244549036026001,"{'SHAP': array([[-6.22217569e-04,  6.22217569e-04],
       [ 2.73327731e-03, -2.73327731e-03],
       [-3.90629273e-03,  3.90629273e-03],
       [-1.04134055e-02,  1.04134055e-02],
       [-2.18040516e-03,  2.18040516e-03],
       [-9.04278573e-04,  9.04278573e-04],
       [ 2.43909759e-03, -2.43909759e-03],
       [-9.35787211e-03,  9.35787211e-03],
       [-6.24847904e-04,  6.24847904e-04],
       [-1.98097191e-05,  1.98097191e-05],
       [-3.02125093e-04,  3.02125093e-04],
       [-1.06037220e-03,  1.06037220e-03]])}"
XGBoost,0.9818075117370892,0.9899408284023669,0.9858573954036536,0.9840372464250083,0.18319201469421387,"{'SHAP': array([[-0.00483773,  0.00483773],
       [-0.00037323,  0.00037323],
       [-0.00583168,  0.00583168],
       [-0.01536776,  0.01536776],
       [-0.00369995,  0.00369995],
       [ 0.        ,  0.        ],
       [ 0.00160771, -0.00160771],
       [-0.0068937 ,  0.00689371],
       [ 0.00067576, -0.00067576],
       [ 0.        ,  0.        ],
       [ 0.00085373, -0.00085373],
       [-0.00038022,  0.00038022]])}"
LightGBM,0.982373678025852,0.9893491124260355,0.9858490566037736,0.9840372464250083,56.776331424713135,"{'SHAP': array([[-1.88845259e-03,  1.88845259e-03],
       [ 7.94738685e-04, -7.94738685e-04],
       [-4.61915945e-03,  4.61915945e-03],
       [-1.48880122e-02,  1.48880122e-02],
       [-6.65086548e-03,  6.65086548e-03],
       [-4.66180734e-05,  4.66180734e-05],
       [ 1.72725580e-03, -1.72725580e-03],
       [-3.17962602e-03,  3.17962602e-03],
       [-3.67890658e-03,  3.67890658e-03],
       [-3.75289702e-05,  3.75289702e-05],
       [ 5.03270993e-05, -5.03270993e-05],
       [-6.81774936e-04,  6.81774936e-04]])}"
