Model,Precision,Recall,F1Score,Accuracy,RunTime,XAI
DecisionTree,0.9745562130177515,0.9745562130177515,0.9745562130177515,0.9714000665114733,0.021597623825073242,"{'SHAP': array([[-0.00490005,  0.00490005],
       [-0.01088119,  0.01088119],
       [-0.00012939,  0.00012939],
       [-0.00804197,  0.00804197],
       [-0.00282307,  0.00282307],
       [ 0.        ,  0.        ],
       [ 0.0054344 , -0.0054344 ],
       [-0.00940102,  0.00940102],
       [ 0.00436425, -0.00436425],
       [-0.00224526,  0.00224526],
       [ 0.00043697, -0.00043697],
       [-0.00095019,  0.00095019]])}"
RandomForest,0.9835294117647059,0.9893491124260355,0.9864306784660767,0.9847023611572996,0.8685219287872314,"{'SHAP': array([[-6.45314100e-03,  6.45314100e-03],
       [-8.87911540e-05,  8.87911540e-05],
       [-3.59190223e-03,  3.59190223e-03],
       [-7.61892418e-03,  7.61892418e-03],
       [-3.03265713e-03,  3.03265713e-03],
       [-6.01594613e-04,  6.01594613e-04],
       [ 1.82039075e-03, -1.82039075e-03],
       [-6.09749751e-03,  6.09749751e-03],
       [-9.60292650e-04,  9.60292650e-04],
       [-6.93506817e-04,  6.93506817e-04],
       [-1.30727469e-03,  1.30727469e-03],
       [-1.34308281e-03,  1.34308281e-03]])}"
Logistic Regression,0.7622211675367822,0.9502958579881656,0.8459309981564392,0.8054539408047888,0.0345149040222168,"{'SHAP': array([[-3.83096577e-04,  3.83096577e-04],
       [ 1.91922856e-04, -1.91922856e-04],
       [-1.56930868e-03,  1.56930868e-03],
       [-6.21841876e-04,  6.21841876e-04],
       [-1.23392878e-04,  1.23392878e-04],
       [ 8.76913859e-04, -8.76913859e-04],
       [-5.47121199e-04,  5.47121199e-04],
       [-1.83757268e-02,  1.83757268e-02],
       [-1.27161881e-04,  1.27161881e-04],
       [-6.87238992e-03,  6.87238992e-03],
       [-7.49243788e-05,  7.49243788e-05],
       [-9.34071850e-07,  9.34071850e-07]])}"
Naive Bayes,0.9118387909319899,0.21420118343195266,0.3469094393866794,0.5467243099434652,0.006001949310302734,"{'SHAP': array([[-1.43037079e-03,  1.43037079e-03],
       [ 1.02682955e-02, -1.02682955e-02],
       [ 3.11075575e-06, -3.11075575e-06],
       [-1.00930272e-03,  1.00930272e-03],
       [-5.43335725e-03,  5.43335725e-03],
       [ 2.02718808e-02, -2.02718808e-02],
       [ 1.54718028e-02, -1.54718028e-02],
       [-1.17744163e-03,  1.17744163e-03],
       [-5.81486935e-04,  5.81486935e-04],
       [-2.29910010e-04,  2.29910010e-04],
       [-5.20841300e-04,  5.20841300e-04],
       [ 5.74473082e-04, -5.74473082e-04]])}"
MLP,0.8914127423822714,0.9520710059171598,0.9207439198855507,0.9078816095776522,20.970896244049072,"{'SHAP': array([[-5.16973318e-03,  5.16973318e-03],
       [ 7.75634131e-03, -7.75634131e-03],
       [-3.11277351e-03,  3.11277351e-03],
       [-3.29119693e-03,  3.29119693e-03],
       [-2.52135764e-03,  2.52135764e-03],
       [-5.38461253e-03,  5.38461253e-03],
       [ 9.72733229e-03, -9.72733229e-03],
       [-2.04622309e-02,  2.04622309e-02],
       [ 5.64837278e-03, -5.64837278e-03],
       [ 1.38343745e-03, -1.38343745e-03],
       [-3.38578115e-03,  3.38578115e-03],
       [ 2.84298773e-05, -2.84298773e-05]])}"
Stochastic Gradient Descent,0.8784624081401922,0.919526627218935,0.8985255854293149,0.8832723644828733,0.017508983612060547,"{'SHAP': array([[-4.35230932e-04,  4.35230932e-04],
       [ 2.35495517e-04, -2.35495517e-04],
       [-2.03044192e-03,  2.03044192e-03],
       [-6.82553847e-04,  6.82553847e-04],
       [-1.51962847e-04,  1.51962847e-04],
       [ 7.33294041e-04, -7.33294041e-04],
       [-7.50651191e-04,  7.50651191e-04],
       [-1.99923025e-02,  1.99923025e-02],
       [-7.66731111e-04,  7.66731111e-04],
       [-6.01216582e-03,  6.01216582e-03],
       [-1.11815485e-04,  1.11815485e-04],
       [-1.83199972e-06,  1.83199972e-06]])}"
ADA Boost,0.9734513274336283,0.9763313609467456,0.9748892171344165,0.9717326238776189,0.8616716861724854,"{'SHAP': array([[-2.94414625e-04,  2.94414625e-04],
       [ 4.43522950e-04, -4.43522950e-04],
       [ 1.09788848e-04, -1.09788848e-04],
       [-6.11652167e-04,  6.11652167e-04],
       [-4.82375582e-04,  4.82375582e-04],
       [-7.07251278e-05,  7.07251278e-05],
       [ 9.35775985e-05, -9.35775985e-05],
       [-5.19860375e-04,  5.19860375e-04],
       [ 3.32933884e-04, -3.32933884e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-2.81301468e-04,  2.81301468e-04],
       [ 2.06579150e-05, -2.06579150e-05]])}"
Gradient Boosting,0.9776207302709069,0.9822485207100592,0.9799291617473436,0.9773860991020951,2.3633761405944824,"{'SHAP': array([[-5.43879364e-04,  5.43879364e-04],
       [ 3.07744466e-03, -3.07744466e-03],
       [-4.13588765e-03,  4.13588765e-03],
       [-1.06772611e-02,  1.06772611e-02],
       [-2.13311330e-03,  2.13311330e-03],
       [-8.96675399e-04,  8.96675399e-04],
       [ 2.42987621e-03, -2.42987621e-03],
       [-9.35959453e-03,  9.35959453e-03],
       [-3.02729224e-04,  3.02729224e-04],
       [-1.76458679e-05,  1.76458679e-05],
       [-4.48444219e-04,  4.48444219e-04],
       [-1.21619787e-03,  1.21619787e-03]])}"
XGBoost,0.9818075117370892,0.9899408284023669,0.9858573954036536,0.9840372464250083,1.3063316345214844,"{'SHAP': array([[-0.00468517,  0.00468517],
       [-0.00071376,  0.00071376],
       [-0.00566449,  0.00566449],
       [-0.01563445,  0.01563445],
       [-0.00362294,  0.00362294],
       [ 0.        ,  0.        ],
       [ 0.0015524 , -0.0015524 ],
       [-0.00675881,  0.00675882],
       [ 0.00077761, -0.00077761],
       [ 0.        ,  0.        ],
       [ 0.00094075, -0.00094075],
       [-0.00043821,  0.00043821]])}"
LightGBM,0.982373678025852,0.9893491124260355,0.9858490566037736,0.9840372464250083,3.0022976398468018,"{'SHAP': array([[-2.05282568e-03,  2.05282568e-03],
       [ 6.03570419e-04, -6.03570419e-04],
       [-4.40697806e-03,  4.40697806e-03],
       [-1.47122740e-02,  1.47122740e-02],
       [-6.34560752e-03,  6.34560752e-03],
       [-4.25233035e-05,  4.25233035e-05],
       [ 1.73086092e-03, -1.73086092e-03],
       [-3.44874300e-03,  3.44874300e-03],
       [-3.77933781e-03,  3.77933781e-03],
       [-4.11374022e-05,  4.11374022e-05],
       [ 7.96013750e-05, -7.96013750e-05],
       [-6.83228669e-04,  6.83228669e-04]])}"
