Model,Precision,Recall,F1Score,Accuracy,RunTime,XAI
DecisionTree,0.9728132387706856,0.9739644970414201,0.9733885274985216,0.9700698370468905,0.027955293655395508,"{'SHAP': array([[-0.00555113,  0.00555113],
       [-0.00591206,  0.00591206],
       [-0.00055921,  0.00055921],
       [-0.00956038,  0.00956038],
       [-0.00193287,  0.00193287],
       [ 0.        ,  0.        ],
       [ 0.00530769, -0.00530769],
       [-0.00948733,  0.00948733],
       [ 0.00490524, -0.00490524],
       [ 0.        ,  0.        ],
       [-0.00641722,  0.00641722],
       [-0.00059437,  0.00059437]])}"
RandomForest,0.9823943661971831,0.9905325443786982,0.986446670595168,0.9847023611572996,0.3545951843261719,"{'SHAP': array([[-0.00487482,  0.00487482],
       [-0.00207991,  0.00207991],
       [-0.00316518,  0.00316518],
       [-0.00848503,  0.00848503],
       [-0.00332984,  0.00332984],
       [-0.00102683,  0.00102683],
       [ 0.00141725, -0.00141725],
       [-0.00551346,  0.00551346],
       [-0.00121651,  0.00121651],
       [-0.00070486,  0.00070486],
       [-0.00156175,  0.00156175],
       [-0.00184156,  0.00184156]])}"
Logistic Regression,0.7622211675367822,0.9502958579881656,0.8459309981564392,0.8054539408047888,0.07160258293151855,"{'SHAP': array([[-3.83100705e-04,  3.83100705e-04],
       [ 1.91760356e-04, -1.91760356e-04],
       [-1.57045736e-03,  1.57045736e-03],
       [-6.19549392e-04,  6.19549392e-04],
       [-1.23675826e-04,  1.23675826e-04],
       [ 8.74034681e-04, -8.74034681e-04],
       [-5.48076391e-04,  5.48076391e-04],
       [-1.83771519e-02,  1.83771519e-02],
       [-1.22824063e-04,  1.22824063e-04],
       [-6.87247555e-03,  6.87247555e-03],
       [-7.46174120e-05,  7.46174120e-05],
       [-9.28033096e-07,  9.28033096e-07]])}"
Naive Bayes,0.9118387909319899,0.21420118343195266,0.3469094393866794,0.5467243099434652,0.01806926727294922,"{'SHAP': array([[-1.40202783e-03,  1.40202783e-03],
       [ 1.02195307e-02, -1.02195307e-02],
       [ 8.49791573e-06, -8.49791573e-06],
       [-1.06277007e-03,  1.06277007e-03],
       [-5.41287711e-03,  5.41287711e-03],
       [ 2.03944949e-02, -2.03944949e-02],
       [ 1.54962859e-02, -1.54962859e-02],
       [-1.19780235e-03,  1.19780235e-03],
       [-6.12512286e-04,  6.12512286e-04],
       [-3.13003554e-04,  3.13003554e-04],
       [-4.56811953e-04,  4.56811953e-04],
       [ 5.45848073e-04, -5.45848073e-04]])}"
MLP,0.8914127423822714,0.9520710059171598,0.9207439198855507,0.9078816095776522,56.656742811203,"{'SHAP': array([[-5.39215405e-03,  5.39215405e-03],
       [ 8.02865691e-03, -8.02865691e-03],
       [-3.14058557e-03,  3.14058557e-03],
       [-3.22246037e-03,  3.22246037e-03],
       [-2.51734058e-03,  2.51734058e-03],
       [-5.45135878e-03,  5.45135878e-03],
       [ 9.66487661e-03, -9.66487661e-03],
       [-2.02584605e-02,  2.02584605e-02],
       [ 5.70587409e-03, -5.70587409e-03],
       [ 1.31973904e-03, -1.31973904e-03],
       [-3.54327710e-03,  3.54327710e-03],
       [ 2.27181736e-05, -2.27181736e-05]])}"
Stochastic Gradient Descent,0.8784624081401922,0.919526627218935,0.8985255854293149,0.8832723644828733,0.14653992652893066,"{'SHAP': array([[-4.35533458e-04,  4.35533458e-04],
       [ 2.35735453e-04, -2.35735453e-04],
       [-2.02756301e-03,  2.02756301e-03],
       [-6.82734046e-04,  6.82734046e-04],
       [-1.52858437e-04,  1.52858437e-04],
       [ 7.47507048e-04, -7.47507048e-04],
       [-7.57144761e-04,  7.57144761e-04],
       [-2.00028220e-02,  2.00028220e-02],
       [-7.68719062e-04,  7.68719062e-04],
       [-6.01014136e-03,  6.01014136e-03],
       [-1.10783363e-04,  1.10783363e-04],
       [-1.84111930e-06,  1.84111930e-06]])}"
ADA Boost,0.9734513274336283,0.9763313609467456,0.9748892171344165,0.9717326238776189,2.3783650398254395,"{'SHAP': array([[-2.94425963e-04,  2.94425963e-04],
       [ 4.43535766e-04, -4.43535766e-04],
       [ 1.09786592e-04, -1.09786592e-04],
       [-6.11659171e-04,  6.11659171e-04],
       [-4.82354993e-04,  4.82354993e-04],
       [-7.07265708e-05,  7.07265708e-05],
       [ 9.35742776e-05, -9.35742776e-05],
       [-5.19861509e-04,  5.19861509e-04],
       [ 3.32931286e-04, -3.32931286e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-2.81301630e-04,  2.81301630e-04],
       [ 2.06537661e-05, -2.06537661e-05]])}"
Gradient Boosting,0.9776207302709069,0.9822485207100592,0.9799291617473436,0.9773860991020951,0.8077740669250488,"{'SHAP': array([[-0.00074953,  0.00074953],
       [ 0.00303047, -0.00303047],
       [-0.00396015,  0.00396015],
       [-0.01058379,  0.01058379],
       [-0.00222204,  0.00222204],
       [-0.00092725,  0.00092725],
       [ 0.00245572, -0.00245572],
       [-0.00949725,  0.00949725],
       [-0.00024216,  0.00024216],
       [ 0.        ,  0.        ],
       [-0.00043413,  0.00043413],
       [-0.00109809,  0.00109809]])}"
XGBoost,0.9818075117370892,0.9899408284023669,0.9858573954036536,0.9840372464250083,0.06708383560180664,"{'SHAP': array([[-0.00522609,  0.00522609],
       [-0.00038592,  0.00038592],
       [-0.00596626,  0.00596626],
       [-0.01535761,  0.01535761],
       [-0.00369377,  0.00369377],
       [ 0.        ,  0.        ],
       [ 0.00158989, -0.00158989],
       [-0.00670918,  0.00670918],
       [ 0.00094721, -0.00094721],
       [ 0.        ,  0.        ],
       [ 0.00096037, -0.00096037],
       [-0.00040571,  0.00040571]])}"
LightGBM,0.982373678025852,0.9893491124260355,0.9858490566037736,0.9840372464250083,0.06649303436279297,"{'SHAP': array([[-2.11799086e-03,  2.11799086e-03],
       [ 4.16935478e-04, -4.16935478e-04],
       [-4.38092498e-03,  4.38092498e-03],
       [-1.46839312e-02,  1.46839312e-02],
       [-6.37703131e-03,  6.37703131e-03],
       [-4.19688019e-05,  4.19688019e-05],
       [ 1.78738091e-03, -1.78738091e-03],
       [-3.22405256e-03,  3.22405256e-03],
       [-3.77090416e-03,  3.77090416e-03],
       [-3.77029269e-05,  3.77029269e-05],
       [ 8.86471016e-05, -8.86471016e-05],
       [-7.57079393e-04,  7.57079393e-04]])}"
CatBoost,0.9741480611045829,0.9810650887573964,0.9775943396226414,0.9747256401729298,0.24724936485290527,"{'SHAP': array([[-9.38453667e-04,  9.38453667e-04],
       [ 5.32601954e-03, -5.32601954e-03],
       [-3.24762293e-03,  3.24762293e-03],
       [-6.18310465e-03,  6.18310465e-03],
       [-1.24011990e-03,  1.24011990e-03],
       [-3.34476938e-05,  3.34476938e-05],
       [ 2.86434569e-03, -2.86434569e-03],
       [-1.43417951e-02,  1.43417951e-02],
       [ 1.38598398e-03, -1.38598398e-03],
       [ 8.82801982e-05, -8.82801982e-05],
       [-1.57062285e-04,  1.57062285e-04],
       [-9.39549213e-04,  9.39549213e-04]])}"
DNN,0.8799102132435466,0.927810650887574,0.9032258064516129,0.8882607249750581,1.7602300643920898,{'SHAP': array([0.02744502])}
CNN,0.8764115432873275,0.8266272189349112,0.8507917174177831,0.8370468905886266,1.677992820739746,{'SHAP': None}
RNN,0.8065162907268171,0.9520710059171598,0.8732700135685211,0.8446957100099767,6.978712558746338,{'SHAP': None}
