Model,Precision,Recall,F1Score,Accuracy,RunTime,XAI
DecisionTree,0.9745411486086442,0.9739644970414201,0.9742527374963006,0.9710675091453276,0.023806333541870117,"{'SHAP': array([[-0.0038826 ,  0.0038826 ],
       [-0.00899927,  0.00899927],
       [-0.00251357,  0.00251357],
       [-0.01043857,  0.01043857],
       [-0.00154062,  0.00154062],
       [ 0.        ,  0.        ],
       [ 0.00573364, -0.00573364],
       [-0.01039117,  0.01039117],
       [ 0.00525222, -0.00525222],
       [ 0.        ,  0.        ],
       [-0.00146011,  0.00146011],
       [-0.00056392,  0.00056392]])}"
RandomForest,0.981786133960047,0.9887573964497042,0.9852594339622641,0.983372131692717,0.3702712059020996,"{'SHAP': array([[-0.0055818 ,  0.0055818 ],
       [-0.00243128,  0.00243128],
       [-0.00408579,  0.00408579],
       [-0.00811917,  0.00811917],
       [-0.00300989,  0.00300989],
       [-0.00054031,  0.00054031],
       [ 0.00180558, -0.00180558],
       [-0.00625976,  0.00625976],
       [-0.00087401,  0.00087401],
       [-0.00017226,  0.00017226],
       [-0.00138689,  0.00138689],
       [-0.00154643,  0.00154643]])}"
Logistic Regression,0.7622211675367822,0.9502958579881656,0.8459309981564392,0.8054539408047888,0.027512073516845703,"{'SHAP': array([[-3.82981523e-04,  3.82981523e-04],
       [ 1.91406222e-04, -1.91406222e-04],
       [-1.56979646e-03,  1.56979646e-03],
       [-6.23219766e-04,  6.23219766e-04],
       [-1.23940790e-04,  1.23940790e-04],
       [ 8.64329602e-04, -8.64329602e-04],
       [-5.43949914e-04,  5.43949914e-04],
       [-1.83627742e-02,  1.83627742e-02],
       [-1.23645364e-04,  1.23645364e-04],
       [-6.87467800e-03,  6.87467800e-03],
       [-7.68603685e-05,  7.68603685e-05],
       [-9.51077520e-07,  9.51077520e-07]])}"
Naive Bayes,0.9118387909319899,0.21420118343195266,0.3469094393866794,0.5467243099434652,0.005002021789550781,"{'SHAP': array([[-1.42277470e-03,  1.42277470e-03],
       [ 1.02914766e-02, -1.02914766e-02],
       [-1.21593726e-06,  1.21593726e-06],
       [-1.02230721e-03,  1.02230721e-03],
       [-5.43342935e-03,  5.43342935e-03],
       [ 2.03050057e-02, -2.03050057e-02],
       [ 1.55108209e-02, -1.55108209e-02],
       [-1.12358088e-03,  1.12358088e-03],
       [-6.47687963e-04,  6.47687963e-04],
       [-3.19538586e-04,  3.19538586e-04],
       [-4.68718329e-04,  4.68718329e-04],
       [ 5.38801986e-04, -5.38801986e-04]])}"
MLP,0.8914127423822714,0.9520710059171598,0.9207439198855507,0.9078816095776522,14.844472885131836,"{'SHAP': array([[-5.42615081e-03,  5.42615081e-03],
       [ 7.95711658e-03, -7.95711658e-03],
       [-3.06761374e-03,  3.06761374e-03],
       [-3.23784184e-03,  3.23784184e-03],
       [-2.53208852e-03,  2.53208852e-03],
       [-5.35862634e-03,  5.35862634e-03],
       [ 9.65165524e-03, -9.65165524e-03],
       [-2.01428045e-02,  2.01428045e-02],
       [ 5.36651930e-03, -5.36651930e-03],
       [ 1.52422864e-03, -1.52422864e-03],
       [-3.56014676e-03,  3.56014676e-03],
       [ 4.19805993e-05, -4.19805993e-05]])}"
Stochastic Gradient Descent,0.8784624081401922,0.919526627218935,0.8985255854293149,0.8832723644828733,0.014179229736328125,"{'SHAP': array([[-4.36074614e-04,  4.36074614e-04],
       [ 2.35721803e-04, -2.35721803e-04],
       [-2.02717215e-03,  2.02717215e-03],
       [-6.80620886e-04,  6.80620886e-04],
       [-1.53514829e-04,  1.53514829e-04],
       [ 7.35444128e-04, -7.35444128e-04],
       [-7.55774140e-04,  7.55774140e-04],
       [-2.00063704e-02,  2.00063704e-02],
       [-7.67303821e-04,  7.67303821e-04],
       [-5.99977199e-03,  5.99977199e-03],
       [-1.09607803e-04,  1.09607803e-04],
       [-1.85333868e-06,  1.85333868e-06]])}"
ADA Boost,0.9734513274336283,0.9763313609467456,0.9748892171344165,0.9717326238776189,1.621863842010498,"{'SHAP': array([[-2.94415896e-04,  2.94415896e-04],
       [ 4.43525940e-04, -4.43525940e-04],
       [ 1.09786374e-04, -1.09786374e-04],
       [-6.11658362e-04,  6.11658362e-04],
       [-4.82365437e-04,  4.82365437e-04],
       [-7.07253571e-05,  7.07253571e-05],
       [ 9.35773104e-05, -9.35773104e-05],
       [-5.19860136e-04,  5.19860136e-04],
       [ 3.32934164e-04, -3.32934164e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-2.81306861e-04,  2.81306861e-04],
       [ 2.06601121e-05, -2.06601121e-05]])}"
Gradient Boosting,0.9776207302709069,0.9822485207100592,0.9799291617473436,0.9773860991020951,1.4464271068572998,"{'SHAP': array([[-0.00079615,  0.00079615],
       [ 0.00296599, -0.00296599],
       [-0.00376812,  0.00376812],
       [-0.01080068,  0.01080068],
       [-0.00211086,  0.00211086],
       [-0.0008878 ,  0.0008878 ],
       [ 0.00245249, -0.00245249],
       [-0.00939614,  0.00939614],
       [-0.00033376,  0.00033376],
       [-0.00017426,  0.00017426],
       [-0.00033031,  0.00033031],
       [-0.00104923,  0.00104923]])}"
XGBoost,0.9818075117370892,0.9899408284023669,0.9858573954036536,0.9840372464250083,24.117756366729736,"{'SHAP': array([[-0.00444406,  0.00444406],
       [-0.00058895,  0.00058895],
       [-0.00585099,  0.00585099],
       [-0.01589603,  0.01589603],
       [-0.00371031,  0.00371031],
       [ 0.        ,  0.        ],
       [ 0.00160811, -0.00160811],
       [-0.00668862,  0.00668862],
       [ 0.00081881, -0.00081881],
       [ 0.        ,  0.        ],
       [ 0.00089368, -0.00089368],
       [-0.00038872,  0.00038872]])}"
LightGBM,0.982373678025852,0.9893491124260355,0.9858490566037736,0.9840372464250083,113.99168848991394,"{'SHAP': array([[-1.72343709e-03,  1.72343709e-03],
       [ 3.17542037e-04, -3.17542037e-04],
       [-4.54394578e-03,  4.54394578e-03],
       [-1.46544000e-02,  1.46544000e-02],
       [-6.41350707e-03,  6.41350707e-03],
       [-4.29176457e-05,  4.29176457e-05],
       [ 1.68079069e-03, -1.68079069e-03],
       [-3.39638934e-03,  3.39638934e-03],
       [-3.69984943e-03,  3.69984943e-03],
       [-3.59006762e-05,  3.59006762e-05],
       [ 9.26124247e-05, -9.26124247e-05],
       [-6.79220803e-04,  6.79220803e-04]])}"
