Model,Precision,Recall,F1Score,Accuracy,RunTime,XAI
DecisionTree,0.9751479289940829,0.9751479289940829,0.9751479289940829,0.9720651812437645,0.027196407318115234,"{'SHAP': array([[-8.94125818e-03,  8.94125818e-03],
       [-9.34234520e-03,  9.34234520e-03],
       [-2.51095601e-03,  2.51095601e-03],
       [-5.33728249e-03,  5.33728249e-03],
       [-2.87296144e-03,  2.87296144e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 5.26666306e-03, -5.26666306e-03],
       [-1.02019777e-02,  1.02019777e-02],
       [ 4.08305558e-03, -4.08305558e-03],
       [-7.73195876e-06,  7.73195876e-06],
       [ 1.43296695e-03, -1.43296695e-03],
       [-7.04694997e-04,  7.04694997e-04]])}"
RandomForest,0.9841549295774648,0.9923076923076923,0.9882144961697112,0.9866977053541736,0.3657560348510742,"{'SHAP': array([[-0.00647897,  0.00647897],
       [-0.00149809,  0.00149809],
       [-0.0040257 ,  0.0040257 ],
       [-0.00854724,  0.00854724],
       [-0.00291994,  0.00291994],
       [-0.00042552,  0.00042552],
       [ 0.00178071, -0.00178071],
       [-0.006286  ,  0.006286  ],
       [-0.00055102,  0.00055102],
       [-0.00031535,  0.00031535],
       [-0.00146405,  0.00146405],
       [-0.00161763,  0.00161763]])}"
Logistic Regression,0.7622211675367822,0.9502958579881656,0.8459309981564392,0.8054539408047888,0.020116806030273438,"{'SHAP': array([[-3.83213595e-04,  3.83213595e-04],
       [ 1.91500140e-04, -1.91500140e-04],
       [-1.56898580e-03,  1.56898580e-03],
       [-6.18793565e-04,  6.18793565e-04],
       [-1.23413075e-04,  1.23413075e-04],
       [ 8.68532144e-04, -8.68532144e-04],
       [-5.43578540e-04,  5.43578540e-04],
       [-1.83663135e-02,  1.83663135e-02],
       [-1.31211647e-04,  1.31211647e-04],
       [-6.87293285e-03,  6.87293285e-03],
       [-7.76967352e-05,  7.76967352e-05],
       [-9.54600858e-07,  9.54600858e-07]])}"
Naive Bayes,0.9118387909319899,0.21420118343195266,0.3469094393866794,0.5467243099434652,0.005053043365478516,"{'SHAP': array([[-1.44217375e-03,  1.44217375e-03],
       [ 1.02470761e-02, -1.02470761e-02],
       [ 5.77889904e-06, -5.77889904e-06],
       [-1.01284165e-03,  1.01284165e-03],
       [-5.38948624e-03,  5.38948624e-03],
       [ 2.02297635e-02, -2.02297635e-02],
       [ 1.54877407e-02, -1.54877407e-02],
       [-1.16595980e-03,  1.16595980e-03],
       [-5.69187571e-04,  5.69187571e-04],
       [-3.04468203e-04,  3.04468203e-04],
       [-4.62013447e-04,  4.62013447e-04],
       [ 5.82623707e-04, -5.82623707e-04]])}"
MLP,0.8914127423822714,0.9520710059171598,0.9207439198855507,0.9078816095776522,12.862939357757568,"{'SHAP': array([[-5.22021471e-03,  5.22021471e-03],
       [ 7.88093332e-03, -7.88093332e-03],
       [-3.19070279e-03,  3.19070279e-03],
       [-3.25782082e-03,  3.25782082e-03],
       [-2.53492107e-03,  2.53492107e-03],
       [-5.38063906e-03,  5.38063906e-03],
       [ 9.72014743e-03, -9.72014743e-03],
       [-2.01472130e-02,  2.01472130e-02],
       [ 5.64436413e-03, -5.64436413e-03],
       [ 1.22477947e-03, -1.22477947e-03],
       [-3.53925104e-03,  3.53925104e-03],
       [ 1.67660119e-05, -1.67660119e-05]])}"
Stochastic Gradient Descent,0.8784624081401922,0.919526627218935,0.8985255854293149,0.8832723644828733,0.013398170471191406,"{'SHAP': array([[-4.35567572e-04,  4.35567572e-04],
       [ 2.35275352e-04, -2.35275352e-04],
       [-2.02882701e-03,  2.02882701e-03],
       [-6.82048469e-04,  6.82048469e-04],
       [-1.53600204e-04,  1.53600204e-04],
       [ 7.49090864e-04, -7.49090864e-04],
       [-7.53956548e-04,  7.53956548e-04],
       [-2.00108860e-02,  2.00108860e-02],
       [-7.72081386e-04,  7.72081386e-04],
       [-6.00514453e-03,  6.00514453e-03],
       [-1.07308291e-04,  1.07308291e-04],
       [-1.84426773e-06,  1.84426773e-06]])}"
ADA Boost,0.9734513274336283,0.9763313609467456,0.9748892171344165,0.9717326238776189,0.6049232482910156,"{'SHAP': array([[-2.94411598e-04,  2.94411598e-04],
       [ 4.43534072e-04, -4.43534072e-04],
       [ 1.09770986e-04, -1.09770986e-04],
       [-6.11644297e-04,  6.11644297e-04],
       [-4.82360953e-04,  4.82360953e-04],
       [-7.07259954e-05,  7.07259954e-05],
       [ 9.35764666e-05, -9.35764666e-05],
       [-5.19875035e-04,  5.19875035e-04],
       [ 3.32932389e-04, -3.32932389e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-2.81303527e-04,  2.81303527e-04],
       [ 2.06593436e-05, -2.06593436e-05]])}"
Gradient Boosting,0.9776207302709069,0.9822485207100592,0.9799291617473436,0.9773860991020951,3.1224231719970703,"{'SHAP': array([[-0.00027796,  0.00027796],
       [ 0.0027335 , -0.0027335 ],
       [-0.00397244,  0.00397244],
       [-0.01063641,  0.01063641],
       [-0.00214989,  0.00214989],
       [-0.00089117,  0.00089117],
       [ 0.00246423, -0.00246423],
       [-0.00942204,  0.00942204],
       [-0.00038419,  0.00038419],
       [-0.00031316,  0.00031316],
       [-0.00033054,  0.00033054],
       [-0.00103866,  0.00103866]])}"
XGBoost,0.9818075117370892,0.9899408284023669,0.9858573954036536,0.9840372464250083,115.9801025390625,"{'SHAP': array([[-0.00482773,  0.00482773],
       [-0.00029652,  0.00029652],
       [-0.00580441,  0.00580441],
       [-0.01566842,  0.01566842],
       [-0.00382885,  0.00382885],
       [ 0.        ,  0.        ],
       [ 0.00161046, -0.00161046],
       [-0.00681767,  0.00681767],
       [ 0.0009367 , -0.0009367 ],
       [ 0.        ,  0.        ],
       [ 0.00089596, -0.00089596],
       [-0.0004466 ,  0.0004466 ]])}"
LightGBM,0.982373678025852,0.9893491124260355,0.9858490566037736,0.9840372464250083,18.44178533554077,"{'SHAP': array([[-2.01988066e-03,  2.01988066e-03],
       [ 8.09578744e-04, -8.09578744e-04],
       [-4.71653862e-03,  4.71653862e-03],
       [-1.47493067e-02,  1.47493067e-02],
       [-6.65421689e-03,  6.65421689e-03],
       [-4.31514388e-05,  4.31514388e-05],
       [ 1.68528022e-03, -1.68528022e-03],
       [-3.24398510e-03,  3.24398510e-03],
       [-3.57113833e-03,  3.57113833e-03],
       [-3.80127067e-05,  3.80127067e-05],
       [ 6.82229234e-05, -6.82229234e-05],
       [-6.25474128e-04,  6.25474128e-04]])}"
