Model,Precision,Recall,F1Score,Accuracy,RunTime,XAI
DecisionTree,0.8729133010231557,0.9591715976331361,0.914011840992388,0.8985700033255737,0.009118795394897461,"{'SHAP': array([[ 0.00923634, -0.00923634],
       [ 0.00766944, -0.00766944],
       [ 0.01569705, -0.01569705],
       [ 0.00929791, -0.00929791],
       [-0.00757811,  0.00757811]])}"
RandomForest,0.8746652383502946,0.9662721893491124,0.9181894855215069,0.9032258064516129,0.19826197624206543,"{'SHAP': array([[ 0.00915641, -0.00915641],
       [ 0.00122502, -0.00122502],
       [ 0.01771516, -0.01771516],
       [ 0.00778561, -0.00778561],
       [-0.00369445,  0.00369445]])}"
Logistic Regression,0.749185667752443,0.9526627218934911,0.8387600937744203,0.7941469903558364,0.017861366271972656,"{'SHAP': array([[ 8.55092600e-04, -8.55092600e-04],
       [-1.86624772e-02,  1.86624772e-02],
       [ 3.01809648e-06, -3.01809648e-06],
       [-6.79474671e-03,  6.79474671e-03],
       [-7.71906710e-05,  7.71906710e-05]])}"
Naive Bayes,0.7265486725663717,0.9715976331360947,0.8313924050632912,0.7785167941469904,0.004506111145019531,"{'SHAP': array([[ 0.01359758, -0.01359758],
       [-0.01725782,  0.01725782],
       [ 0.00207975, -0.00207975],
       [ 0.00677959, -0.00677959],
       [-0.0065933 ,  0.0065933 ]])}"
MLP,0.8726042841037204,0.9159763313609467,0.8937644341801385,0.877618889258397,2.6390998363494873,"{'SHAP': array([[-0.00611499,  0.00611499],
       [-0.04019654,  0.04019654],
       [ 0.00314054, -0.00314054],
       [ 0.00511148, -0.00511148],
       [-0.00452359,  0.00452359]])}"
Stochastic Gradient Descent,0.8269331930562862,0.9301775147928995,0.8755221386800334,0.85134685733289,0.014364004135131836,"{'SHAP': array([[ 0.00063084, -0.00063084],
       [-0.02037803,  0.02037803],
       [-0.00053715,  0.00053715],
       [-0.0058295 ,  0.0058295 ],
       [-0.0001025 ,  0.0001025 ]])}"
ADA Boost,0.8719376391982183,0.9266272189349113,0.8984509466437177,0.8822746923844363,0.4623866081237793,"{'SHAP': array([[ 0.00028873, -0.00028873],
       [ 0.00023677, -0.00023677],
       [ 0.00013382, -0.00013382],
       [-0.00068777,  0.00068777],
       [-0.00032824,  0.00032824]])}"
Gradient Boosting,0.8808347062053816,0.9491124260355029,0.913699800626602,0.8992351180578649,0.43712687492370605,"{'SHAP': array([[ 0.00858352, -0.00858352],
       [-0.02110441,  0.02110441],
       [ 0.01735444, -0.01735444],
       [ 0.00568837, -0.00568837],
       [-0.00168611,  0.00168611]])}"
XGBoost,0.8746637977407208,0.9621301775147929,0.9163144547759932,0.9012304622547389,90.03077292442322,"{'SHAP': array([[ 0.00840874, -0.00840874],
       [-0.00265521,  0.00265521],
       [ 0.01865007, -0.01865007],
       [ 0.00762699, -0.00762699],
       [-0.01035465,  0.01035465]])}"
LightGBM,0.8765498652291105,0.9621301775147929,0.917348377997179,0.9025606917193216,0.3149724006652832,"{'SHAP': array([[ 0.00844738, -0.00844738],
       [-0.00101061,  0.00101061],
       [ 0.01937998, -0.01937998],
       [ 0.00761368, -0.00761368],
       [-0.00742069,  0.00742069]])}"
CatBoost,0.8819290465631929,0.9414201183431953,0.9107040641099027,0.896242101762554,0.24980616569519043,"{'SHAP': array([[ 0.00917734, -0.00917734],
       [-0.02432853,  0.02432853],
       [ 0.01469612, -0.01469612],
       [ 0.00395607, -0.00395607],
       [-0.00140231,  0.00140231]])}"
DNN,0.8741721854304636,0.9372781065088758,0.9046259280411193,0.8889258397073495,5.673098564147949,{'SHAP': array([0.06478506])}
CNN,0.8735244519392917,0.919526627218935,0.8959354280772557,0.8799467908214167,2.2990384101867676,{'SHAP': None}
RNN,0.822303282959875,0.9337278106508876,0.8744804655029094,0.849351513136016,7.427557468414307,{'SHAP': None}
