Model,Precision,Recall,F1Score,Accuracy,RunTime,XAI
DecisionTree,0.9146974063400576,0.9390532544378698,0.9267153284671532,0.9165281010974393,0.011989355087280273,"{'SHAP': array([[-0.01448616,  0.01448616],
       [-0.00344944,  0.00344944],
       [ 0.01048154, -0.01048154],
       [-0.00136821,  0.00136821],
       [ 0.00063582, -0.00063582]])}"
RandomForest,0.922209026128266,0.9189349112426035,0.920569057498518,0.9108746258729631,0.36347293853759766,"{'SHAP': array([[-0.01892822,  0.01892822],
       [-0.00213301,  0.00213301],
       [ 0.00865056, -0.00865056],
       [-0.00078198,  0.00078198],
       [-0.00184476,  0.00184476]])}"
Logistic Regression,0.7139718804920914,0.9615384615384616,0.8194654563792234,0.7618889258397074,0.017132043838500977,"{'SHAP': array([[-0.00043685,  0.00043685],
       [ 0.00102775, -0.00102775],
       [-0.00054384,  0.00054384],
       [-0.01838575,  0.01838575],
       [-0.00885379,  0.00885379]])}"
Naive Bayes,0.9136125654450262,0.20650887573964496,0.33687258687258687,0.543066178915863,0.0040361881256103516,"{'SHAP': array([[-0.00158761,  0.00158761],
       [ 0.01916463, -0.01916463],
       [ 0.01464193, -0.01464193],
       [-0.00049882,  0.00049882],
       [ 0.00097185, -0.00097185]])}"
MLP,0.8089764641488779,0.8745562130177514,0.8404890531703155,0.8134353175922847,2.993086814880371,"{'SHAP': array([[-0.00251403,  0.00251403],
       [-0.00051505,  0.00051505],
       [ 0.00504193, -0.00504193],
       [-0.049729  ,  0.049729  ],
       [-0.00125065,  0.00125065]])}"
Stochastic Gradient Descent,0.815655133295519,0.850887573964497,0.8328989284679987,0.8081143997339542,0.015003204345703125,"{'SHAP': array([[-0.00042852,  0.00042852],
       [ 0.00129148, -0.00129148],
       [-0.00080185,  0.00080185],
       [-0.01934745,  0.01934745],
       [-0.00834451,  0.00834451]])}"
ADA Boost,0.9027856736782263,0.9396449704142011,0.920846622209336,0.9092118390422348,0.4855175018310547,"{'SHAP': array([[-2.74049564e-04,  2.74049564e-04],
       [-7.77685734e-05,  7.77685734e-05],
       [ 7.65253224e-05, -7.65253224e-05],
       [-2.68561477e-04,  2.68561477e-04],
       [-7.05620891e-04,  7.05620891e-04]])}"
Gradient Boosting,0.9237875288683602,0.9467455621301775,0.9351256575102279,0.9261722647156635,0.47249865531921387,"{'SHAP': array([[-0.01009769,  0.01009769],
       [-0.00297723,  0.00297723],
       [ 0.00792493, -0.00792493],
       [-0.00789379,  0.00789379],
       [ 0.00056608, -0.00056608]])}"
XGBoost,0.9320732427643237,0.9337278106508876,0.9328997930830625,0.9245094778849352,0.11553215980529785,"{'SHAP': array([[-0.0178705 ,  0.0178705 ],
       [-0.0024032 ,  0.0024032 ],
       [ 0.00717673, -0.00717673],
       [-0.00243842,  0.00243842],
       [ 0.00239365, -0.00239365]])}"
LightGBM,0.9275618374558304,0.9319526627218935,0.9297520661157025,0.9208513468573329,98.53627276420593,"{'SHAP': array([[-0.02173608,  0.02173608],
       [-0.00253034,  0.00253034],
       [ 0.00546633, -0.00546633],
       [-0.00162014,  0.00162014],
       [ 0.00431674, -0.00431674]])}"
CatBoost,0.9146620847651775,0.9449704142011834,0.929569266589057,0.9195211173927502,0.2857372760772705,"{'SHAP': array([[-0.00311796,  0.00311796],
       [-0.0023302 ,  0.0023302 ],
       [ 0.00637302, -0.00637302],
       [-0.0134433 ,  0.0134433 ],
       [ 0.00029175, -0.00029175]])}"
DNN,0.8074195308237861,0.8757396449704142,0.8401930173147886,0.8127702028599934,2.0983705520629883,{'SHAP': array([0.0530575])}
CNN,0.8165548098434005,0.863905325443787,0.8395629672225418,0.8144329896907216,8.371269941329956,{'SHAP': None}
RNN,0.8075040783034257,0.878698224852071,0.8415981864550863,0.814100432324576,7.0632452964782715,{'SHAP': None}
