Model,Precision,Recall,F1 Score,Accuracy,Runtime
DecisionTree,0.8952134540750324,0.8439024390243902,0.8688010043942247,0.8610372340425532,0.0050013065338134766
RandomForest,0.8978668390433097,0.8469512195121951,0.8716661437088171,0.864029255319149,0.1617732048034668
Logistic Regression,0.5452127659574468,1.0,0.7056798623063684,0.5452127659574468,0.00800180435180664
Naive Bayes,0.8608695652173913,0.060365853658536583,0.11282051282051281,0.48238031914893614,0.0010001659393310547
MLP,0.5452127659574468,1.0,0.7056798623063684,0.5452127659574468,0.7291121482849121
Stochastic Gradient Descent,0.5323076923076923,0.949390243902439,0.6821467688937568,0.5176196808510638,0.010720252990722656
ADA Boost,0.9618677042801557,0.7536585365853659,0.8451282051282052,0.8494015957446809,0.3031332492828369
Gradient Boosting,0.9678407350689127,0.7707317073170732,0.858112695179905,0.8610372340425532,0.2785525321960449
XGBoost,0.9138047138047138,0.8274390243902439,0.8684799999999999,0.8633643617021277,1.3033809661865234
LightGBM,0.9000644745325597,0.8512195121951219,0.8749608273268568,0.8673537234042553,0.16942310333251953
CatBoost,0.952416918429003,0.7689024390243903,0.850877192982456,0.8530585106382979,0.3731198310852051
DNN,1.0,0.04939024390243903,0.09413131900058107,0.4817154255319149,1.8304684162139893
RNN,0.914580265095729,0.7573170731707317,0.828552368245497,0.8291223404255319,3.856492280960083
