Model,Precision,Recall,F1Score,Accuracy,RunTime
DecisionTree,1.0,0.999886736889795,0.9999433652375829,0.9999431139427726,0.5507335662841797
RandomForest,0.999886736889795,0.999886736889795,0.999886736889795,0.9998862278855453,3.020854949951172
Logistic Regression,0.994912379875636,0.9967153698040548,0.9958130587303384,0.9957904317651743,0.46195244789123535
Naive Bayes,0.9897534061479563,0.9955827387020048,0.9926595143986447,0.9926048125604414,0.0769493579864502
MLP,0.9981879954699887,0.9983010533469249,0.9982445212073163,0.9982365322259514,5.706959962844849
Stochastic Gradient Descent,0.9906521004617637,0.9962623173632348,0.9934492884571945,0.9934012173616247,0.1144099235534668
ADA Boost,1.0,1.0,1.0,1.0,16.83345055580139
Gradient Boosting,1.0,0.9996602106693849,0.9998300764655904,0.9998293418283178,42.53437852859497
XGBoost,1.0,0.999886736889795,0.9999433652375829,0.9999431139427726,1.7856979370117188
LightGBM,0.9998867497168743,1.0,0.9999433716518489,0.9999431139427726,0.6524555683135986
CatBoost,1.0,1.0,1.0,1.0,2.968153238296509
DNN,0.9993185689948892,0.9966021066938499,0.9979584892820688,0.9979521019398145,7.953040838241577
CNN,0.9972872160054256,0.99932042133877,0.9983027834351663,0.9982934182831787,17.503557443618774
RNN,0.9961049375644404,0.9848227432325292,0.9904317120400957,0.9904431423858012,129.67654299736023
