Model,Precision,Recall,F1Score,Accuracy,RunTime
DecisionTree,0.99977347377959,0.99977347377959,0.99977347377959,0.9997724557710905,0.5887796878814697
RandomForest,0.999886736889795,0.999886736889795,0.999886736889795,0.9998862278855453,3.260993003845215
Logistic Regression,0.9997733967822343,0.999433684448975,0.9996035117530445,0.9996017975994084,62.26385021209717
Naive Bayes,0.9884256658051467,0.9962623173632348,0.9923285198555957,0.9922634962170772,0.0769357681274414
MLP,0.9501399956924402,0.99932042133877,0.974109853712393,0.9733204391603618,8.569382429122925
Stochastic Gradient Descent,0.9966262651505685,0.9033865669951296,0.9477186311787071,0.9499402696399113,0.9527478218078613
ADA Boost,0.9997735250820972,1.0,0.9998867497168743,0.9998862278855453,15.387953519821167
Gradient Boosting,0.9995470501641943,0.99977347377959,0.9996602491506229,0.9996586836566358,32.66768741607666
XGBoost,0.9997734994337486,0.999886736889795,0.9998301149555467,0.9998293418283178,1.7188820838928223
LightGBM,0.9996602876231457,0.999886736889795,0.9997734994337486,0.9997724557710905,0.5550799369812012
CatBoost,0.9998867497168743,1.0,0.9999433716518489,0.9999431139427726,1.56288743019104
DNN,0.9949095022624435,0.9961490542530298,0.9955288924104364,0.9955060014790375,7.610427141189575
CNN,0.9933491150941269,0.9980745271265149,0.9957062146892657,0.9956766596507196,15.596879720687866
RNN,0.9880232818446385,0.99977347377959,0.993863649158363,0.9937994197622163,118.74204111099243
