Model,Precision,Recall,F1Score,Accuracy,RunTime
DecisionTree,1.0,0.999886736889795,0.9999433652375829,0.9999431139427726,0.5678472518920898
RandomForest,0.999886736889795,0.999886736889795,0.999886736889795,0.9998862278855453,2.8274271488189697
Logistic Regression,0.994912379875636,0.9967153698040548,0.9958130587303384,0.9957904317651743,0.46878695487976074
Naive Bayes,0.9897534061479563,0.9955827387020048,0.9926595143986447,0.9926048125604414,0.05750894546508789
MLP,0.9981879954699887,0.9983010533469249,0.9982445212073163,0.9982365322259514,5.7679443359375
Stochastic Gradient Descent,0.9906521004617637,0.9962623173632348,0.9934492884571945,0.9934012173616247,0.10707378387451172
ADA Boost,1.0,1.0,1.0,1.0,15.578470468521118
Gradient Boosting,1.0,0.9996602106693849,0.9998300764655904,0.9998293418283178,33.223615884780884
XGBoost,1.0,0.999886736889795,0.9999433652375829,0.9999431139427726,1.5631637573242188
LightGBM,0.9998867497168743,1.0,0.9999433716518489,0.9999431139427726,0.47510290145874023
CatBoost,1.0,1.0,1.0,1.0,2.2816200256347656
DNN,0.9953745487364621,0.99932042133877,0.9973435822076527,0.9973263553103134,7.090957164764404
CNN,0.9981871742578745,0.9978480009061049,0.9980175587652225,0.998008987997042,14.89959168434143
RNN,0.9383019674935843,0.9938837920489296,0.9652934382047192,0.9641048978895272,130.48275470733643
