Model,Precision,Recall,F1Score,Accuracy,RunTime
DecisionTree,0.999886736889795,0.999886736889795,0.999886736889795,0.9998862278855453,0.9978623390197754
RandomForest,0.999886736889795,0.999886736889795,0.999886736889795,0.9998862278855453,6.5367443561553955
Logistic Regression,0.994912379875636,0.9967153698040548,0.9958130587303384,0.9957904317651743,0.644446611404419
Naive Bayes,0.9897534061479563,0.9955827387020048,0.9926595143986447,0.9926048125604414,0.10120368003845215
MLP,0.9981879954699887,0.9983010533469249,0.9982445212073163,0.9982365322259514,11.154623985290527
Stochastic Gradient Descent,0.9906521004617637,0.9962623173632348,0.9934492884571945,0.9934012173616247,0.2055521011352539
ADA Boost,1.0,1.0,1.0,1.0,27.80733561515808
Gradient Boosting,1.0,0.9996602106693849,0.9998300764655904,0.9998293418283178,53.70848059654236
XGBoost,1.0,0.999886736889795,0.9999433652375829,0.9999431139427726,1.9390385150909424
LightGBM,0.9998867497168743,1.0,0.9999433716518489,0.9999431139427726,0.6857559680938721
CatBoost,1.0,1.0,1.0,1.0,2.6787939071655273
DNN,0.9995405467493682,0.9856155850039642,0.9925292272597662,0.9925479265032141,9.109455585479736
CNN,0.9993198050107698,0.9984143164571299,0.9988668555240793,0.9988622788554525,21.1201331615448
RNN,0.9960901563937442,0.981085060595764,0.988530670470756,0.9885659024972979,141.80481600761414
