Model,Precision,Recall,F1Score,Accuracy,RunTime
DecisionTree,0.9997733967822343,0.999433684448975,0.9996035117530445,0.9996017975994084,0.13054418563842773
RandomForest,1.0,0.999886736889795,0.9999433652375829,0.9999431139427726,1.6206369400024414
Logistic Regression,0.9995463309515709,0.9981877902367199,0.9988665986625863,0.9988622788554525,17.72298550605774
Naive Bayes,0.9887438090950023,0.9949031600407747,0.9918139219782081,0.9917515217020308,0.019879579544067383
MLP,0.9962487211549392,0.9926378978366746,0.994440031771247,0.9944251663917174,12.36961579322815
Stochastic Gradient Descent,0.982906937772316,0.9964888435836448,0.9896512935883015,0.9895329654701632,1.3315870761871338
ADA Boost,0.9998866983911171,0.9995469475591799,0.9997167941093175,0.9997155697138631,5.206592798233032
Gradient Boosting,1.0,0.9996602106693849,0.9998300764655904,0.9998293418283178,9.196911811828613
XGBoost,1.0,0.99977347377959,0.9998867240598097,0.9998862278855453,1.3947598934173584
LightGBM,0.9998866855524079,0.999433684448975,0.9996601336807522,0.9996586836566358,0.28611159324645996
CatBoost,0.9995469475591799,0.9995469475591799,0.9995469475591799,0.9995449115421811,0.9678294658660889
DNN,0.9957882754695504,0.9908256880733946,0.9933007834676962,0.9932874452471699,6.406038761138916
CNN,0.9938712972420838,0.9918450560652395,0.9928571428571428,0.9928323567893509,8.547736167907715
RNN,0.9980692788188529,0.9953562124815948,0.9967108993988885,0.9967006086808123,42.87378430366516
