Model,Precision,Recall,F1Score,Accuracy,RunTime
DecisionTree,1.0,0.999886736889795,0.9999433652375829,0.9999431139427726,0.9012298583984375
RandomForest,0.999886736889795,0.999886736889795,0.999886736889795,0.9998862278855453,4.538815498352051
Logistic Regression,0.994912379875636,0.9967153698040548,0.9958130587303384,0.9957904317651743,0.76228928565979
Naive Bayes,0.9897534061479563,0.9955827387020048,0.9926595143986447,0.9926048125604414,0.12760472297668457
MLP,0.9981879954699887,0.9983010533469249,0.9982445212073163,0.9982365322259514,8.944763898849487
Stochastic Gradient Descent,0.9906521004617637,0.9962623173632348,0.9934492884571945,0.9934012173616247,0.24507379531860352
ADA Boost,1.0,1.0,1.0,1.0,23.554849863052368
Gradient Boosting,1.0,0.9996602106693849,0.9998300764655904,0.9998293418283178,46.45119547843933
XGBoost,1.0,0.999886736889795,0.9999433652375829,0.9999431139427726,35.61520767211914
LightGBM,0.9998867497168743,1.0,0.9999433716518489,0.9999431139427726,60.4275918006897
CatBoost,1.0,1.0,1.0,1.0,5.004649639129639
DNN,0.9984150345296049,0.9988673688979499,0.9986411504925831,0.9986347346265431,9.728044271469116
CNN,0.9981892258940697,0.9989806320081549,0.9985847721483159,0.9985778485693156,20.57917618751526
RNN,0.9953430258973194,0.9925246347264696,0.9939318323597799,0.993913191876671,158.88436937332153
