Model,Precision,Recall,F1Score,Accuracy,RunTime
DecisionTree,1.0,0.999886736889795,0.9999433652375829,0.9999431139427726,1.039851188659668
RandomForest,1.0,0.999886736889795,0.9999433652375829,0.9999431139427726,5.298670291900635
Logistic Regression,0.994912379875636,0.9967153698040548,0.9958130587303384,0.9957904317651743,0.673583984375
Naive Bayes,0.9897534061479563,0.9955827387020048,0.9926595143986447,0.9926048125604414,0.09911227226257324
MLP,0.9981879954699887,0.9983010533469249,0.9982445212073163,0.9982365322259514,10.693471908569336
Stochastic Gradient Descent,0.9906521004617637,0.9962623173632348,0.9934492884571945,0.9934012173616247,0.22434234619140625
ADA Boost,1.0,1.0,1.0,1.0,28.253668308258057
Gradient Boosting,1.0,0.9996602106693849,0.9998300764655904,0.9998293418283178,49.79362082481384
XGBoost,1.0,0.999886736889795,0.9999433652375829,0.9999431139427726,1.9021892547607422
LightGBM,0.9998867497168743,1.0,0.9999433716518489,0.9999431139427726,0.6421952247619629
CatBoost,1.0,1.0,1.0,1.0,2.660696268081665
DNN,0.9950332994694661,0.9984143164571299,0.9967209407507914,0.9967006086808123,8.299210786819458
CNN,0.9986393015081075,0.9975082115754899,0.9980734360834088,0.9980658740542693,20.142369270324707
RNN,0.9959076958053882,0.9922981085060596,0.99409962555316,0.9940838500483532,140.3184266090393
