Model,Precision,Recall,F1Score,Accuracy,RunTime
DecisionTree,1.0,0.999886736889795,0.9999433652375829,0.9999431139427726,2.03680419921875
RandomForest,0.9997734994337486,0.999886736889795,0.9998301149555467,0.9998293418283178,13.683000087738037
Logistic Regression,0.994912379875636,0.9967153698040548,0.9958130587303384,0.9957904317651743,1.6731040477752686
Naive Bayes,0.9897534061479563,0.9955827387020048,0.9926595143986447,0.9926048125604414,0.22469472885131836
MLP,0.9981879954699887,0.9983010533469249,0.9982445212073163,0.9982365322259514,23.365527153015137
Stochastic Gradient Descent,0.9906521004617637,0.9962623173632348,0.9934492884571945,0.9934012173616247,0.5311832427978516
ADA Boost,1.0,1.0,1.0,1.0,65.34358739852905
Gradient Boosting,1.0,0.9996602106693849,0.9998300764655904,0.9998293418283178,140.66404151916504
XGBoost,1.0,0.999886736889795,0.9999433652375829,0.9999431139427726,3.3457858562469482
LightGBM,0.9998867497168743,1.0,0.9999433716518489,0.9999431139427726,3.8615212440490723
CatBoost,1.0,1.0,1.0,1.0,10.1860032081604
DNN,0.9988677536231884,0.999207158228565,0.9990374270992582,0.9990329370271347,33.01070594787598
CNN,0.9995456094513234,0.9966021066938499,0.9980716878402904,0.9980658740542693,57.63080883026123
RNN,0.9825999101930849,0.9913920036244195,0.9869763770648925,0.9868593207804767,423.7635986804962
