Model,Precision,Recall,F1Score,Accuracy,RunTime
DecisionTree,1.0,0.999886736889795,0.9999433652375829,0.9999431139427726,0.7614114284515381
RandomForest,0.9998867497168743,1.0,0.9999433716518489,0.9999431139427726,3.699023485183716
Logistic Regression,0.994912379875636,0.9967153698040548,0.9958130587303384,0.9957904317651743,0.6002118587493896
Naive Bayes,0.9897534061479563,0.9955827387020048,0.9926595143986447,0.9926048125604414,0.07390069961547852
MLP,0.9981879954699887,0.9983010533469249,0.9982445212073163,0.9982365322259514,6.546485424041748
Stochastic Gradient Descent,0.9906521004617637,0.9962623173632348,0.9934492884571945,0.9934012173616247,0.17792916297912598
ADA Boost,1.0,1.0,1.0,1.0,20.039666414260864
Gradient Boosting,1.0,0.9996602106693849,0.9998300764655904,0.9998293418283178,44.08539843559265
XGBoost,1.0,0.999886736889795,0.9999433652375829,0.9999431139427726,1.8837192058563232
LightGBM,0.9998867497168743,1.0,0.9999433716518489,0.9999431139427726,0.621196985244751
CatBoost,1.0,1.0,1.0,1.0,2.519658088684082
DNN,0.9952638700947226,0.9996602106693849,0.9974571961349381,0.9974401274247682,8.045836687088013
CNN,0.9988674971687429,0.9989806320081549,0.9989240613851293,0.9989191649126798,20.531502962112427
RNN,0.5022469992604812,1.0,0.6686610118146016,0.5022469992604812,137.43307089805603
