Model,Precision,Recall,F1Score,Accuracy,RunTime
DecisionTree,0.999886736889795,0.999886736889795,0.999886736889795,0.9998862278855453,1.7483224868774414
RandomForest,0.999886736889795,0.999886736889795,0.999886736889795,0.9998862278855453,10.189163208007812
Logistic Regression,0.994912379875636,0.9967153698040548,0.9958130587303384,0.9957904317651743,1.2368574142456055
Naive Bayes,0.9897534061479563,0.9955827387020048,0.9926595143986447,0.9926048125604414,0.26639819145202637
MLP,0.9981879954699887,0.9983010533469249,0.9982445212073163,0.9982365322259514,15.02194094657898
Stochastic Gradient Descent,0.9906521004617637,0.9962623173632348,0.9934492884571945,0.9934012173616247,0.46941637992858887
ADA Boost,1.0,1.0,1.0,1.0,47.58131551742554
Gradient Boosting,1.0,0.9996602106693849,0.9998300764655904,0.9998293418283178,75.383962392807
XGBoost,1.0,0.999886736889795,0.9999433652375829,0.9999431139427726,4.021835565567017
LightGBM,0.9998867497168743,1.0,0.9999433716518489,0.9999431139427726,2.136986494064331
CatBoost,1.0,1.0,1.0,1.0,4.6335389614105225
DNN,0.9933551075571574,0.9989806320081549,0.9961599277162864,0.9961317481085386,12.758158445358276
CNN,0.9984146755746801,0.9986408426775399,0.9985277463193658,0.9985209625120883,24.621644258499146
RNN,0.0,0.0,0.0,0.4977530007395187,154.01038646697998
