Model,Precision,Recall,F1Score,Accuracy,RunTime,XAI
DecisionTree,1.0,0.999886736889795,0.9999433652375829,0.9999431139427726,0.5193707942962646,"{'SHAP': array([[ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.87826384e-03, -1.87826384e-03],
       [-5.65202799e-03,  5.65202799e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.58854315e-03,  1.58854315e-03],
       [-1.05114057e-03,  1.05114057e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.70715058e-04, -1.70715058e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-5.72615052e-04,  5.72615052e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 5.29950509e-04, -5.29950509e-04],
       [-1.59224074e-03,  1.59224074e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [-3.62364185e-05,  3.62364185e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 7.55748336e-03, -7.55748336e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.48873656e-02,  1.48873656e-02],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 3.05364355e-03, -3.05364355e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00]])}"
RandomForest,1.0,1.0,1.0,1.0,3.0965545177459717,"{'SHAP': array([[ 1.06820638e-05, -1.06820638e-05],
       [-6.06522555e-04,  6.06522555e-04],
       [-9.11511463e-04,  9.11511463e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.51612606e-03,  1.51612606e-03],
       [-6.75056602e-04,  6.75056602e-04],
       [-3.28142670e-04,  3.28142670e-04],
       [-1.85971898e-05,  1.85971898e-05],
       [-8.40990955e-04,  8.40990955e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-3.98131862e-04,  3.98131862e-04],
       [-2.18522100e-04,  2.18522100e-04],
       [ 3.49769611e-05, -3.49769611e-05],
       [-7.11666193e-04,  7.11666193e-04],
       [-1.17897264e-03,  1.17897264e-03],
       [ 4.73974629e-06, -4.73974629e-06],
       [-3.91273679e-04,  3.91273679e-04],
       [-1.45982138e-04,  1.45982138e-04],
       [ 1.21648558e-04, -1.21648558e-04],
       [ 4.04668070e-04, -4.04668070e-04],
       [ 6.29040332e-04, -6.29040332e-04],
       [ 1.95751749e-04, -1.95751749e-04],
       [ 2.01331134e-04, -2.01331134e-04],
       [ 9.44092383e-05, -9.44092383e-05],
       [ 8.41139997e-05, -8.41139997e-05],
       [ 1.66335969e-04, -1.66335969e-04],
       [-1.46728483e-04,  1.46728483e-04],
       [-9.65587349e-04,  9.65587349e-04],
       [-2.79787246e-04,  2.79787246e-04],
       [ 2.50735537e-04, -2.50735537e-04],
       [-1.87871893e-05,  1.87871893e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.77598271e-06,  1.77598271e-06],
       [ 2.45247170e-05, -2.45247170e-05],
       [ 8.96239832e-05, -8.96239832e-05],
       [-1.96700609e-05,  1.96700609e-05],
       [-6.54095227e-04,  6.54095227e-04],
       [ 6.65771659e-05, -6.65771659e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.22884123e-04, -1.22884123e-04],
       [ 1.12570681e-04, -1.12570681e-04],
       [ 2.25189146e-04, -2.25189146e-04],
       [ 2.81130895e-05, -2.81130895e-05],
       [ 1.14508220e-04, -1.14508220e-04],
       [ 3.04681723e-06, -3.04681723e-06],
       [-4.67126685e-04,  4.67126685e-04],
       [ 1.65315433e-04, -1.65315433e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-4.89438762e-03,  4.89438762e-03],
       [-9.38937368e-04,  9.38937368e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 7.05136811e-05, -7.05136811e-05],
       [ 9.79540361e-04, -9.79540361e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00]])}"
Logistic Regression,0.994912379875636,0.9967153698040548,0.9958130587303384,0.9957904317651743,0.5473625659942627,"{'SHAP': array([[-5.64607137e-05,  5.64607137e-05],
       [-6.79483730e-04,  6.79483730e-04],
       [-6.33226811e-03,  6.33226811e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [-4.23427946e-07,  4.23427946e-07],
       [ 7.77633295e-05, -7.77633295e-05],
       [-3.02207637e-03,  3.02207637e-03],
       [ 6.28093491e-08, -6.28093491e-08],
       [-2.02884841e-07,  2.02884841e-07],
       [ 0.00000000e+00,  0.00000000e+00],
       [-7.29876771e-09,  7.29876771e-09],
       [-3.71902792e-04,  3.71902792e-04],
       [-2.95814652e-05,  2.95814652e-05],
       [ 2.57844568e-04, -2.57844568e-04],
       [-8.76406908e-05,  8.76406908e-05],
       [-4.36825657e-05,  4.36825657e-05],
       [-1.63741926e-05,  1.63741926e-05],
       [ 5.10010137e-07, -5.10010137e-07],
       [-8.72749217e-06,  8.72749217e-06],
       [ 5.15401634e-03, -5.15401634e-03],
       [ 2.29735541e-03, -2.29735541e-03],
       [ 1.11412146e-03, -1.11412146e-03],
       [ 2.18546863e-03, -2.18546863e-03],
       [ 6.05393046e-05, -6.05393046e-05],
       [ 1.05917055e-05, -1.05917055e-05],
       [ 6.10793142e-05, -6.10793142e-05],
       [ 1.14690252e-04, -1.14690252e-04],
       [-5.35963481e-05,  5.35963481e-05],
       [ 9.83949767e-05, -9.83949767e-05],
       [ 1.47465891e-05, -1.47465891e-05],
       [ 1.15163746e-05, -1.15163746e-05],
       [-3.11293252e-05,  3.11293252e-05],
       [ 9.33145298e-06, -9.33145298e-06],
       [ 1.10933141e-05, -1.10933141e-05],
       [ 1.01167877e-05, -1.01167877e-05],
       [ 1.24565097e-05, -1.24565097e-05],
       [-1.69474859e-05,  1.69474859e-05],
       [ 5.44163008e-05, -5.44163008e-05],
       [-1.62466922e-05,  1.62466922e-05],
       [ 2.67482072e-04, -2.67482072e-04],
       [ 1.50484854e-05, -1.50484854e-05],
       [ 2.45013197e-04, -2.45013197e-04],
       [ 2.11116766e-04, -2.11116766e-04],
       [-1.10545031e-04,  1.10545031e-04],
       [-1.56182421e-04,  1.56182421e-04],
       [-6.03012234e-05,  6.03012234e-05],
       [-4.48945157e-06,  4.48945157e-06],
       [ 1.13621839e-09, -1.13621839e-09],
       [-5.56242853e-03,  5.56242853e-03],
       [-1.76527870e-05,  1.76527870e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 6.84387172e-05, -6.84387172e-05],
       [-9.80212755e-04,  9.80212755e-04],
       [-6.71933308e-06,  6.71933308e-06],
       [-3.62220277e-09,  3.62220277e-09]])}"
Naive Bayes,0.9897534061479563,0.9955827387020048,0.9926595143986447,0.9926048125604414,0.07252335548400879,"{'SHAP': array([[ 2.28117261e-04, -2.28117261e-04],
       [-7.79055434e-05,  7.79055434e-05],
       [-4.08645265e-04,  4.08645265e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-3.09743893e-04,  3.09743893e-04],
       [ 1.14967044e-06, -1.14967044e-06],
       [-7.24584759e-04,  7.24584759e-04],
       [-2.93542971e-04,  2.93542971e-04],
       [-4.59356085e-04,  4.59356085e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-6.45489874e-04,  6.45489874e-04],
       [-4.38123574e-04,  4.38123574e-04],
       [-4.70179477e-05,  4.70179477e-05],
       [ 5.39051332e-04, -5.39051332e-04],
       [-6.92231428e-04,  6.92231428e-04],
       [ 9.45128601e-05, -9.45128601e-05],
       [-2.25655111e-06,  2.25655111e-06],
       [-1.62635911e-04,  1.62635911e-04],
       [-3.50472577e-04,  3.50472577e-04],
       [ 1.06267833e-03, -1.06267833e-03],
       [ 1.44857725e-03, -1.44857725e-03],
       [ 8.66149816e-04, -8.66149816e-04],
       [ 1.64782404e-03, -1.64782404e-03],
       [ 5.18310452e-05, -5.18310452e-05],
       [ 3.45318693e-04, -3.45318693e-04],
       [ 5.85272383e-05, -5.85272383e-05],
       [ 6.32100517e-04, -6.32100517e-04],
       [-1.88159605e-03,  1.88159605e-03],
       [ 4.46022629e-04, -4.46022629e-04],
       [ 1.16282692e-03, -1.16282692e-03],
       [-8.64498837e-06,  8.64498837e-06],
       [-4.67610945e-04,  4.67610945e-04],
       [-5.66565534e-05,  5.66565534e-05],
       [-7.44219733e-06,  7.44219733e-06],
       [-5.40930355e-05,  5.40930355e-05],
       [-6.46001540e-06,  6.46001540e-06],
       [-4.30256712e-05,  4.30256712e-05],
       [-1.38516471e-05,  1.38516471e-05],
       [-2.63572986e-04,  2.63572986e-04],
       [-1.09005522e-05,  1.09005522e-05],
       [-1.47794099e-05,  1.47794099e-05],
       [-1.70650970e-05,  1.70650970e-05],
       [-1.55886695e-05,  1.55886695e-05],
       [-1.77566426e-05,  1.77566426e-05],
       [ 1.62471839e-04, -1.62471839e-04],
       [-4.79321798e-04,  4.79321798e-04],
       [-9.16459218e-04,  9.16459218e-04],
       [-5.53629604e-05,  5.53629604e-05],
       [-1.40287242e-03,  1.40287242e-03],
       [-7.05563890e-04,  7.05563890e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-2.16055483e-05,  2.16055483e-05],
       [-2.65145394e-03,  2.65145394e-03],
       [-1.90456516e-04,  1.90456516e-04],
       [-8.58861964e-06,  8.58861964e-06]])}"
MLP,0.9981879954699887,0.9983010533469249,0.9982445212073163,0.9982365322259514,6.27371072769165,"{'SHAP': array([[-5.96542046e-04,  5.96542046e-04],
       [-1.63871013e-03,  1.63871013e-03],
       [-4.43277070e-03,  4.43277070e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.80145827e-05,  1.80145827e-05],
       [ 5.74101443e-04, -5.74101443e-04],
       [-1.80726277e-03,  1.80726277e-03],
       [ 1.26481853e-05, -1.26481853e-05],
       [-1.07998797e-05,  1.07998797e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 6.37944364e-06, -6.37944364e-06],
       [-4.98603056e-04,  4.98603056e-04],
       [-4.48378682e-04,  4.48378682e-04],
       [-5.22822926e-04,  5.22822926e-04],
       [-4.44032719e-04,  4.44032719e-04],
       [-4.96257019e-04,  4.96257019e-04],
       [-2.53727580e-04,  2.53727580e-04],
       [ 7.26644730e-05, -7.26644730e-05],
       [-4.33073583e-05,  4.33073583e-05],
       [ 3.47140134e-03, -3.47140134e-03],
       [ 3.08236939e-03, -3.08236939e-03],
       [ 8.45406321e-04, -8.45406321e-04],
       [ 3.31806668e-03, -3.31806668e-03],
       [-2.50586637e-04,  2.50586637e-04],
       [-3.43137137e-04,  3.43137137e-04],
       [-1.08161673e-04,  1.08161673e-04],
       [ 1.97170063e-04, -1.97170063e-04],
       [-6.06926820e-04,  6.06926820e-04],
       [ 2.76591859e-04, -2.76591859e-04],
       [-2.84601757e-05,  2.84601757e-05],
       [ 2.81994120e-04, -2.81994120e-04],
       [-1.33895939e-04,  1.33895939e-04],
       [ 9.95934876e-05, -9.95934876e-05],
       [ 1.41909882e-04, -1.41909882e-04],
       [ 1.40679256e-04, -1.40679256e-04],
       [ 1.10104387e-04, -1.10104387e-04],
       [-3.41965186e-04,  3.41965186e-04],
       [-8.35560119e-05,  8.35560119e-05],
       [-6.78656238e-06,  6.78656238e-06],
       [ 6.11195792e-04, -6.11195792e-04],
       [-7.37472075e-05,  7.37472075e-05],
       [ 2.16066914e-04, -2.16066914e-04],
       [ 1.02625827e-04, -1.02625827e-04],
       [-7.40460639e-04,  7.40460639e-04],
       [-3.58065457e-04,  3.58065457e-04],
       [ 9.43211487e-05, -9.43211487e-05],
       [ 1.24657071e-05, -1.24657071e-05],
       [ 9.69613849e-06, -9.69613849e-06],
       [-5.17902525e-03,  5.17902525e-03],
       [ 1.38970148e-05, -1.38970148e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [-3.04088968e-04,  3.04088968e-04],
       [ 4.27663945e-05, -4.27663945e-05],
       [-7.67248355e-05,  7.67248355e-05],
       [ 3.57439586e-05, -3.57439586e-05]])}"
Stochastic Gradient Descent,0.9906521004617637,0.9962623173632348,0.9934492884571945,0.9934012173616247,0.1243584156036377,"{'SHAP': array([[-2.30548812e-05,  2.30548812e-05],
       [-6.05409928e-04,  6.05409928e-04],
       [-5.56044507e-03,  5.56044507e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [-3.68806488e-07,  3.68806488e-07],
       [-1.08689845e-04,  1.08689845e-04],
       [-4.13795402e-03,  4.13795402e-03],
       [ 4.44403043e-09, -4.44403043e-09],
       [-1.60703157e-07,  1.60703157e-07],
       [ 0.00000000e+00,  0.00000000e+00],
       [-4.45176394e-08,  4.45176394e-08],
       [-7.93019114e-04,  7.93019114e-04],
       [ 1.99385549e-05, -1.99385549e-05],
       [ 3.89183549e-04, -3.89183549e-04],
       [-1.52506138e-04,  1.52506138e-04],
       [-2.05609745e-05,  2.05609745e-05],
       [ 6.67716540e-07, -6.67716540e-07],
       [-1.46169260e-05,  1.46169260e-05],
       [-9.11131193e-06,  9.11131193e-06],
       [ 3.85695137e-03, -3.85695137e-03],
       [ 2.19359023e-03, -2.19359023e-03],
       [ 1.13880485e-03, -1.13880485e-03],
       [ 2.22292657e-03, -2.22292657e-03],
       [ 7.38157598e-05, -7.38157598e-05],
       [ 1.23664108e-05, -1.23664108e-05],
       [ 7.16778499e-05, -7.16778499e-05],
       [ 8.63898881e-05, -8.63898881e-05],
       [-3.49184606e-05,  3.49184606e-05],
       [ 8.14871336e-05, -8.14871336e-05],
       [ 1.35064568e-05, -1.35064568e-05],
       [ 5.54759814e-06, -5.54759814e-06],
       [-3.18239284e-05,  3.18239284e-05],
       [ 5.88975558e-06, -5.88975558e-06],
       [ 3.68014132e-06, -3.68014132e-06],
       [ 5.32023488e-06, -5.32023488e-06],
       [ 5.89683999e-06, -5.89683999e-06],
       [-9.24535912e-06,  9.24535912e-06],
       [ 9.62642237e-05, -9.62642237e-05],
       [-8.73365998e-06,  8.73365998e-06],
       [ 2.10947603e-04, -2.10947603e-04],
       [ 3.13605623e-05, -3.13605623e-05],
       [ 2.26070562e-04, -2.26070562e-04],
       [ 1.78893150e-04, -1.78893150e-04],
       [ 6.89264117e-05, -6.89264117e-05],
       [-9.24520495e-05,  9.24520495e-05],
       [-2.79527725e-05,  2.79527725e-05],
       [ 1.94473081e-06, -1.94473081e-06],
       [ 2.57002058e-06, -2.57002058e-06],
       [-3.69872261e-03,  3.69872261e-03],
       [-1.74440791e-05,  1.74440791e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.72597770e-05, -1.72597770e-05],
       [-8.39091893e-04,  8.39091893e-04],
       [-4.28950760e-06,  4.28950760e-06],
       [ 1.63922756e-06, -1.63922756e-06]])}"
ADA Boost,1.0,1.0,1.0,1.0,16.40636157989502,"{'SHAP': array([[ 2.86204747e-04, -2.86204747e-04],
       [-1.48964253e-04,  1.48964253e-04],
       [ 3.89670788e-04, -3.89670788e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 6.22322686e-05, -6.22322686e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 9.96645790e-05, -9.96645790e-05],
       [-2.56813546e-05,  2.56813546e-05],
       [-2.92338520e-04,  2.92338520e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-8.10114451e-05,  8.10114451e-05],
       [-8.70698585e-05,  8.70698585e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.08991766e-06, -1.08991766e-06],
       [-2.68718124e-04,  2.68718124e-04],
       [ 1.33964955e-04, -1.33964955e-04],
       [-1.27358906e-05,  1.27358906e-05],
       [ 2.40069126e-04, -2.40069126e-04],
       [ 5.41381968e-05, -5.41381968e-05],
       [ 1.20910641e-03, -1.20910641e-03],
       [ 9.12032690e-04, -9.12032690e-04],
       [-7.48411991e-05,  7.48411991e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 3.15236103e-03, -3.15236103e-03],
       [ 3.32499253e-04, -3.32499253e-04],
       [ 1.89740604e-03, -1.89740604e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [-2.91196483e-05,  2.91196483e-05],
       [ 1.04066365e-04, -1.04066365e-04],
       [ 1.48622759e-05, -1.48622759e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 6.71679428e-05, -6.71679428e-05],
       [-5.14637273e-06,  5.14637273e-06],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 3.62252412e-04, -3.62252412e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-3.83309422e-05,  3.83309422e-05],
       [-1.38604147e-04,  1.38604147e-04],
       [ 1.42080205e-04, -1.42080205e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.27602196e-04,  1.27602196e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.46783579e-02,  1.46783579e-02],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 5.69565393e-04, -5.69565393e-04],
       [ 9.63869735e-04, -9.63869735e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00]])}"
Gradient Boosting,1.0,0.9996602106693849,0.9998300764655904,0.9998293418283178,42.384204149246216,"{'SHAP': array([[ 0.00000000e+00,  0.00000000e+00],
       [-7.56579472e-05,  7.56579472e-05],
       [ 8.22601987e-07, -8.22601987e-07],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.12715106e-03, -1.12715106e-03],
       [-3.86858568e-06,  3.86858568e-06],
       [ 1.42430102e-05, -1.42430102e-05],
       [ 2.91076510e-04, -2.91076510e-04],
       [-5.16857683e-03,  5.16857683e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.53334370e-05, -1.53334370e-05],
       [ 1.06013694e-03, -1.06013694e-03],
       [-1.59570791e-03,  1.59570791e-03],
       [-3.59327164e-04,  3.59327164e-04],
       [-6.94163424e-04,  6.94163424e-04],
       [-1.21024870e-05,  1.21024870e-05],
       [-9.67107425e-05,  9.67107425e-05],
       [-4.98928734e-05,  4.98928734e-05],
       [ 5.37143845e-05, -5.37143845e-05],
       [ 2.26808026e-04, -2.26808026e-04],
       [ 9.16152099e-05, -9.16152099e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 9.64563409e-05, -9.64563409e-05],
       [ 5.11471399e-04, -5.11471399e-04],
       [-1.07041098e-04,  1.07041098e-04],
       [ 9.51839028e-04, -9.51839028e-04],
       [ 1.23336498e-05, -1.23336498e-05],
       [-6.70052731e-05,  6.70052731e-05],
       [ 1.02235313e-04, -1.02235313e-04],
       [ 5.30972671e-05, -5.30972671e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [-3.32260621e-06,  3.32260621e-06],
       [ 0.00000000e+00,  0.00000000e+00],
       [-5.42515870e-06,  5.42515870e-06],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.20646261e-04,  1.20646261e-04],
       [ 9.90177363e-06, -9.90177363e-06],
       [ 0.00000000e+00,  0.00000000e+00],
       [-5.89952599e-06,  5.89952599e-06],
       [ 1.20698447e-05, -1.20698447e-05],
       [-4.57178706e-05,  4.57178706e-05],
       [-9.94898263e-06,  9.94898263e-06],
       [ 4.17053156e-05, -4.17053156e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 4.72731073e-03, -4.72731073e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.38622413e-02,  1.38622413e-02],
       [ 3.24385512e-04, -3.24385512e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-7.63449291e-05,  7.63449291e-05],
       [ 6.28161485e-04, -6.28161485e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00]])}"
XGBoost,1.0,0.999886736889795,0.9999433652375829,0.9999431139427726,12.274630308151245,"{'SHAP': array([[-1.32096499e-07,  1.32096498e-07],
       [-3.56659422e-04,  3.56659376e-04],
       [-1.76459524e-03,  1.76459525e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.37758393e-04,  1.37758458e-04],
       [-1.46192961e-05,  1.46192963e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 4.22165973e-05, -4.22165962e-05],
       [-1.01510410e-02,  1.01510410e-02],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 7.19438985e-06, -7.19435039e-06],
       [-1.98398396e-04,  1.98398406e-04],
       [-2.24754178e-04,  2.24754179e-04],
       [-3.17900906e-04,  3.17900947e-04],
       [-8.82408718e-04,  8.82408659e-04],
       [-1.70157547e-04,  1.70157512e-04],
       [ 1.54523446e-05, -1.54523506e-05],
       [ 6.03993774e-05, -6.03993753e-05],
       [-1.07709753e-04,  1.07709733e-04],
       [ 5.39062282e-04, -5.39062333e-04],
       [ 2.44165690e-04, -2.44165718e-04],
       [-5.29381007e-05,  5.29381012e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 3.58900223e-03, -3.58900196e-03],
       [ 1.19558070e-03, -1.19558099e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.15369723e-04, -1.15369717e-04],
       [-1.70250970e-04,  1.70250931e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.88163202e-04, -1.88163305e-04],
       [-1.31554988e-06,  1.31554952e-06],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 7.79687084e-05, -7.79687074e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.29611265e-04,  1.29611178e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-5.71878583e-05,  5.71878732e-05],
       [ 8.47793204e-05, -8.47792808e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.72516497e-04, -1.72516547e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.40394420e-05,  1.40394420e-05],
       [ 1.37540961e-05, -1.37540223e-05],
       [-4.25142217e-06,  4.25144590e-06],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 6.67989666e-03, -6.67989661e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.28841235e-02,  1.28841235e-02],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 2.22258290e-05, -2.22258205e-05],
       [ 2.47634694e-03, -2.47634692e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00]])}"
LightGBM,0.9998867497168743,1.0,0.9999433716518489,0.9999431139427726,1.0485882759094238,"{'SHAP': array([[-4.43836595e-05,  4.43836595e-05],
       [-1.45991383e-06,  1.45991383e-06],
       [-2.09246057e-04,  2.09246057e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-3.09237795e-04,  3.09237795e-04],
       [-1.46759360e-04,  1.46759360e-04],
       [ 2.83956822e-04, -2.83956822e-04],
       [-8.56164695e-05,  8.56164695e-05],
       [-4.74459592e-03,  4.74459592e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [-5.65138771e-05,  5.65138771e-05],
       [-6.56110058e-04,  6.56110058e-04],
       [-8.26979810e-05,  8.26979810e-05],
       [-9.30964294e-05,  9.30964294e-05],
       [-7.93497244e-04,  7.93497244e-04],
       [-2.27487659e-04,  2.27487659e-04],
       [-2.77001300e-05,  2.77001300e-05],
       [ 2.19998039e-04, -2.19998039e-04],
       [-5.57858584e-07,  5.57858584e-07],
       [ 1.31148843e-04, -1.31148843e-04],
       [-1.64605617e-05,  1.64605617e-05],
       [-5.51866323e-04,  5.51866323e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 2.27391113e-04, -2.27391113e-04],
       [-6.40903052e-04,  6.40903052e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.91521966e-04, -1.91521966e-04],
       [-3.00592232e-04,  3.00592232e-04],
       [ 1.05593024e-05, -1.05593024e-05],
       [-1.72483820e-04,  1.72483820e-04],
       [-7.21463244e-08,  7.21463244e-08],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 6.35013178e-05, -6.35013178e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.15863474e-05, -1.15863474e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 5.06682420e-04, -5.06682420e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.21320343e-04, -1.21320343e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 7.85252999e-05, -7.85252999e-05],
       [ 1.56513959e-04, -1.56513959e-04],
       [ 5.67392775e-05, -5.67392775e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 6.84560414e-03, -6.84560414e-03],
       [-3.25937600e-06,  3.25937600e-06],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.61520183e-02,  1.61520183e-02],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [-5.95453234e-05,  5.95453234e-05],
       [ 4.17218226e-03, -4.17218226e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00]])}"
