Model,Precision,Recall,F1Score,Accuracy,RunTime,XAI
DecisionTree,1.0,0.999886736889795,0.9999433652375829,0.9999431139427726,0.7011268138885498,"{'SHAP': array([[ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.20245748e-03, -1.20245748e-03],
       [-5.68604585e-03,  5.68604585e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.84794357e-03,  1.84794357e-03],
       [-9.59838444e-04,  9.59838444e-04],
       [-7.37243302e-05,  7.37243302e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [-5.04636214e-04,  5.04636214e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 5.64935434e-04, -5.64935434e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 6.52767507e-04, -6.52767507e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.87155128e-05,  1.87155128e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 6.73889300e-03, -6.73889300e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.53251038e-02,  1.53251038e-02],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 3.06684112e-03, -3.06684112e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00]])}"
RandomForest,0.999886736889795,0.999886736889795,0.999886736889795,0.9998862278855453,4.38812780380249,"{'SHAP': array([[-7.92274873e-05,  7.92274873e-05],
       [-8.82806758e-04,  8.82806758e-04],
       [-4.51265715e-05,  4.51265715e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [-9.96620968e-04,  9.96620968e-04],
       [-3.18290005e-04,  3.18290005e-04],
       [-1.93204733e-03,  1.93204733e-03],
       [ 1.01607486e-03, -1.01607486e-03],
       [-7.35609534e-04,  7.35609534e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-6.63268673e-04,  6.63268673e-04],
       [-4.33305649e-04,  4.33305649e-04],
       [-3.14892770e-04,  3.14892770e-04],
       [-2.75635702e-04,  2.75635702e-04],
       [-6.54806303e-04,  6.54806303e-04],
       [ 1.08251891e-04, -1.08251891e-04],
       [ 1.04439388e-04, -1.04439388e-04],
       [-5.20158143e-04,  5.20158143e-04],
       [ 5.24499687e-04, -5.24499687e-04],
       [ 4.30721884e-04, -4.30721884e-04],
       [ 4.92200922e-05, -4.92200922e-05],
       [ 2.93128164e-04, -2.93128164e-04],
       [ 2.33070141e-04, -2.33070141e-04],
       [ 1.91869845e-04, -1.91869845e-04],
       [ 2.92937027e-04, -2.92937027e-04],
       [-1.07061835e-04,  1.07061835e-04],
       [-2.75330792e-04,  2.75330792e-04],
       [-4.06929859e-04,  4.06929859e-04],
       [-1.92657148e-04,  1.92657148e-04],
       [ 4.60291257e-04, -4.60291257e-04],
       [ 8.14813129e-05, -8.14813129e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.00472154e-04, -1.00472154e-04],
       [ 2.13061039e-05, -2.13061039e-05],
       [ 5.42806758e-06, -5.42806758e-06],
       [ 3.77347972e-05, -3.77347972e-05],
       [-7.80543831e-04,  7.80543831e-04],
       [ 7.99556289e-05, -7.99556289e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 9.94550316e-05, -9.94550316e-05],
       [ 1.25464475e-04, -1.25464475e-04],
       [ 2.33909779e-04, -2.33909779e-04],
       [ 9.32351101e-05, -9.32351101e-05],
       [ 1.20506286e-04, -1.20506286e-04],
       [ 1.42203766e-05, -1.42203766e-05],
       [-1.81625007e-03,  1.81625007e-03],
       [-3.33740258e-04,  3.33740258e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-4.87382445e-03,  4.87382445e-03],
       [-1.12070311e-03,  1.12070311e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 4.80262814e-04, -4.80262814e-04],
       [ 2.66356448e-04, -2.66356448e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00]])}"
Logistic Regression,0.994912379875636,0.9967153698040548,0.9958130587303384,0.9957904317651743,0.6097369194030762,"{'SHAP': array([[-6.01680525e-05,  6.01680525e-05],
       [-6.61854995e-04,  6.61854995e-04],
       [-6.39938025e-03,  6.39938025e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [-4.32449363e-07,  4.32449363e-07],
       [ 6.43499630e-05, -6.43499630e-05],
       [-2.99455970e-03,  2.99455970e-03],
       [ 1.10123586e-07, -1.10123586e-07],
       [-2.64887659e-07,  2.64887659e-07],
       [ 0.00000000e+00,  0.00000000e+00],
       [-5.99082156e-09,  5.99082156e-09],
       [-4.01511792e-04,  4.01511792e-04],
       [-3.75952442e-05,  3.75952442e-05],
       [ 3.04770512e-04, -3.04770512e-04],
       [-7.14349377e-05,  7.14349377e-05],
       [-5.04935056e-05,  5.04935056e-05],
       [-1.72879537e-05,  1.72879537e-05],
       [ 3.58483728e-07, -3.58483728e-07],
       [-8.52688839e-06,  8.52688839e-06],
       [ 4.80727067e-03, -4.80727067e-03],
       [ 2.32478001e-03, -2.32478001e-03],
       [ 1.19969558e-03, -1.19969558e-03],
       [ 2.23522192e-03, -2.23522192e-03],
       [ 6.24161557e-05, -6.24161557e-05],
       [ 1.06545686e-05, -1.06545686e-05],
       [ 6.21900223e-05, -6.21900223e-05],
       [ 1.11058449e-04, -1.11058449e-04],
       [-4.23498604e-05,  4.23498604e-05],
       [ 1.05202088e-04, -1.05202088e-04],
       [ 2.40300649e-05, -2.40300649e-05],
       [ 1.12009332e-05, -1.12009332e-05],
       [-3.33674133e-05,  3.33674133e-05],
       [ 1.01200446e-05, -1.01200446e-05],
       [ 1.11075799e-05, -1.11075799e-05],
       [ 9.66321192e-06, -9.66321192e-06],
       [ 1.30642099e-05, -1.30642099e-05],
       [-1.57194013e-05,  1.57194013e-05],
       [ 4.98489335e-05, -4.98489335e-05],
       [-1.74216107e-05,  1.74216107e-05],
       [ 2.75072072e-04, -2.75072072e-04],
       [ 1.55432611e-05, -1.55432611e-05],
       [ 2.68530440e-04, -2.68530440e-04],
       [ 1.83552427e-04, -1.83552427e-04],
       [-9.07584091e-05,  9.07584091e-05],
       [-1.61021649e-04,  1.61021649e-04],
       [-5.71795075e-05,  5.71795075e-05],
       [-3.74310875e-06,  3.74310875e-06],
       [ 1.93200717e-09, -1.93200717e-09],
       [-5.41869682e-03,  5.41869682e-03],
       [-1.89214112e-05,  1.89214112e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 6.87760183e-05, -6.87760183e-05],
       [-9.61890994e-04,  9.61890994e-04],
       [-6.07105810e-06,  6.07105810e-06],
       [-2.70151815e-09,  2.70151815e-09]])}"
Naive Bayes,0.9897534061479563,0.9955827387020048,0.9926595143986447,0.9926048125604414,0.10454273223876953,"{'SHAP': array([[ 2.56227181e-04, -2.56227181e-04],
       [-7.91356888e-05,  7.91356888e-05],
       [-3.77212605e-04,  3.77212605e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-4.03441704e-04,  4.03441704e-04],
       [ 5.71630062e-05, -5.71630062e-05],
       [-5.80763813e-04,  5.80763813e-04],
       [-2.28194743e-04,  2.28194743e-04],
       [-3.77125542e-04,  3.77125542e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-5.12655701e-04,  5.12655701e-04],
       [-3.26025973e-04,  3.26025973e-04],
       [-5.70973527e-05,  5.70973527e-05],
       [ 3.85010096e-04, -3.85010096e-04],
       [-6.88696052e-04,  6.88696052e-04],
       [ 7.51691341e-05, -7.51691341e-05],
       [-1.04466619e-04,  1.04466619e-04],
       [-9.83581089e-05,  9.83581089e-05],
       [-6.82551842e-04,  6.82551842e-04],
       [ 8.32073710e-04, -8.32073710e-04],
       [ 1.37343311e-03, -1.37343311e-03],
       [ 1.00388513e-03, -1.00388513e-03],
       [ 1.70779170e-03, -1.70779170e-03],
       [ 4.48441443e-05, -4.48441443e-05],
       [ 3.15248285e-04, -3.15248285e-04],
       [ 4.50685392e-05, -4.50685392e-05],
       [ 6.51728981e-04, -6.51728981e-04],
       [-1.98158595e-03,  1.98158595e-03],
       [ 4.94175330e-04, -4.94175330e-04],
       [ 1.21818804e-03, -1.21818804e-03],
       [-9.25193510e-06,  9.25193510e-06],
       [-4.78064072e-04,  4.78064072e-04],
       [-5.12168829e-05,  5.12168829e-05],
       [-5.44642605e-06,  5.44642605e-06],
       [-2.58039944e-05,  2.58039944e-05],
       [-3.97444988e-06,  3.97444988e-06],
       [-4.95038052e-05,  4.95038052e-05],
       [-1.75077783e-05,  1.75077783e-05],
       [-2.31644626e-04,  2.31644626e-04],
       [-1.06409419e-05,  1.06409419e-05],
       [-1.25083381e-05,  1.25083381e-05],
       [-1.87368982e-05,  1.87368982e-05],
       [-1.15231957e-05,  1.15231957e-05],
       [-2.04349470e-05,  2.04349470e-05],
       [ 1.32172796e-04, -1.32172796e-04],
       [-4.93246749e-04,  4.93246749e-04],
       [-4.42893943e-04,  4.42893943e-04],
       [-8.54428574e-05,  8.54428574e-05],
       [-1.50306628e-03,  1.50306628e-03],
       [-1.01531173e-03,  1.01531173e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.98477764e-05,  1.98477764e-05],
       [-2.56536168e-03,  2.56536168e-03],
       [-1.93438994e-04,  1.93438994e-04],
       [-5.57548872e-06,  5.57548872e-06]])}"
MLP,0.9981879954699887,0.9983010533469249,0.9982445212073163,0.9982365322259514,7.956512928009033,"{'SHAP': array([[-6.28138330e-04,  6.28138330e-04],
       [-1.56329902e-03,  1.56329902e-03],
       [-4.74284777e-03,  4.74284777e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.61049610e-05,  1.61049610e-05],
       [ 7.51378067e-04, -7.51378067e-04],
       [-1.87064720e-03,  1.87064720e-03],
       [ 9.41467292e-06, -9.41467292e-06],
       [-1.19140310e-05,  1.19140310e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 5.85961058e-06, -5.85961058e-06],
       [ 1.28023716e-04, -1.28023716e-04],
       [-4.33312267e-04,  4.33312267e-04],
       [-5.32846757e-04,  5.32846757e-04],
       [-4.37186042e-04,  4.37186042e-04],
       [-4.98208622e-04,  4.98208622e-04],
       [-2.73564485e-04,  2.73564485e-04],
       [ 8.52067405e-05, -8.52067405e-05],
       [-6.21566223e-05,  6.21566223e-05],
       [ 3.54325411e-03, -3.54325411e-03],
       [ 2.83418469e-03, -2.83418469e-03],
       [ 8.36841374e-04, -8.36841374e-04],
       [ 3.41047885e-03, -3.41047885e-03],
       [-2.54975666e-04,  2.54975666e-04],
       [-3.36961338e-04,  3.36961338e-04],
       [-1.11073853e-04,  1.11073853e-04],
       [ 4.92685351e-05, -4.92685351e-05],
       [-5.47512417e-04,  5.47512417e-04],
       [ 3.10388405e-04, -3.10388405e-04],
       [-5.66871906e-05,  5.66871906e-05],
       [ 2.49872493e-04, -2.49872493e-04],
       [-1.41652278e-04,  1.41652278e-04],
       [ 1.59668229e-04, -1.59668229e-04],
       [ 1.11970577e-04, -1.11970577e-04],
       [ 1.43947954e-04, -1.43947954e-04],
       [ 8.04764903e-05, -8.04764903e-05],
       [-3.44145060e-04,  3.44145060e-04],
       [-1.06274877e-04,  1.06274877e-04],
       [-7.28663840e-06,  7.28663840e-06],
       [ 6.94585515e-04, -6.94585515e-04],
       [-1.03336848e-04,  1.03336848e-04],
       [ 2.11073941e-04, -2.11073941e-04],
       [ 1.11160273e-04, -1.11160273e-04],
       [-9.57855094e-04,  9.57855094e-04],
       [-3.57939859e-04,  3.57939859e-04],
       [ 9.36453370e-05, -9.36453370e-05],
       [ 8.22885882e-06, -8.22885882e-06],
       [ 1.20700152e-05, -1.20700152e-05],
       [-5.17833991e-03,  5.17833991e-03],
       [ 1.90957089e-06, -1.90957089e-06],
       [ 0.00000000e+00,  0.00000000e+00],
       [-3.16809066e-04,  3.16809066e-04],
       [ 4.79972213e-05, -4.79972213e-05],
       [-9.26601016e-05,  9.26601016e-05],
       [ 1.58723140e-05, -1.58723140e-05]])}"
Stochastic Gradient Descent,0.9906521004617637,0.9962623173632348,0.9934492884571945,0.9934012173616247,0.17772126197814941,"{'SHAP': array([[-1.77269049e-05,  1.77269049e-05],
       [-5.84668259e-04,  5.84668259e-04],
       [-5.58921935e-03,  5.58921935e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [-3.46263193e-07,  3.46263193e-07],
       [ 5.53964394e-05, -5.53964394e-05],
       [-4.31262401e-03,  4.31262401e-03],
       [ 3.94569788e-08, -3.94569788e-08],
       [-1.80439151e-07,  1.80439151e-07],
       [ 0.00000000e+00,  0.00000000e+00],
       [-4.93582127e-08,  4.93582127e-08],
       [-1.00774257e-03,  1.00774257e-03],
       [ 1.59390804e-05, -1.59390804e-05],
       [ 4.00788469e-04, -4.00788469e-04],
       [-1.41334862e-04,  1.41334862e-04],
       [-1.82709726e-05,  1.82709726e-05],
       [ 5.95668163e-07, -5.95668163e-07],
       [-6.43402479e-06,  6.43402479e-06],
       [-9.10572848e-06,  9.10572848e-06],
       [ 4.01725903e-03, -4.01725903e-03],
       [ 2.25187825e-03, -2.25187825e-03],
       [ 1.16337593e-03, -1.16337593e-03],
       [ 2.22840866e-03, -2.22840866e-03],
       [ 7.72401202e-05, -7.72401202e-05],
       [ 1.14042145e-05, -1.14042145e-05],
       [ 7.35577971e-05, -7.35577971e-05],
       [ 8.56840331e-05, -8.56840331e-05],
       [-3.69602649e-05,  3.69602649e-05],
       [ 8.69741481e-05, -8.69741481e-05],
       [ 2.29874064e-05, -2.29874064e-05],
       [ 5.79787930e-06, -5.79787930e-06],
       [-2.79657577e-05,  2.79657577e-05],
       [ 5.45344979e-06, -5.45344979e-06],
       [ 3.97581412e-06, -3.97581412e-06],
       [ 5.50184975e-06, -5.50184975e-06],
       [ 5.63742283e-06, -5.63742283e-06],
       [-8.77294927e-06,  8.77294927e-06],
       [ 9.50547937e-05, -9.50547937e-05],
       [-9.10839563e-06,  9.10839563e-06],
       [ 2.04465140e-04, -2.04465140e-04],
       [ 3.00525873e-05, -3.00525873e-05],
       [ 2.50736601e-04, -2.50736601e-04],
       [ 2.01976456e-04, -2.01976456e-04],
       [ 6.62420937e-05, -6.62420937e-05],
       [-1.02659795e-04,  1.02659795e-04],
       [-2.91398688e-05,  2.91398688e-05],
       [ 1.82762995e-06, -1.82762995e-06],
       [ 2.41117981e-06, -2.41117981e-06],
       [-3.81278018e-03,  3.81278018e-03],
       [-1.92080836e-05,  1.92080836e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.98055131e-05, -1.98055131e-05],
       [-8.21260493e-04,  8.21260493e-04],
       [-4.07147793e-06,  4.07147793e-06],
       [ 2.06795645e-06, -2.06795645e-06]])}"
ADA Boost,1.0,1.0,1.0,1.0,24.812581300735474,"{'SHAP': array([[ 2.85987329e-04, -2.85987329e-04],
       [-1.49353191e-04,  1.49353191e-04],
       [ 3.96752293e-04, -3.96752293e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 6.07294743e-05, -6.07294743e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.03976100e-04, -1.03976100e-04],
       [-3.00074898e-05,  3.00074898e-05],
       [-3.04676421e-04,  3.04676421e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-7.96335994e-05,  7.96335994e-05],
       [-1.00484654e-04,  1.00484654e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.30444833e-06,  1.30444833e-06],
       [-2.67731720e-04,  2.67731720e-04],
       [ 1.33770409e-04, -1.33770409e-04],
       [-1.04101333e-05,  1.04101333e-05],
       [ 2.38794032e-04, -2.38794032e-04],
       [ 5.54272512e-05, -5.54272512e-05],
       [ 1.20594256e-03, -1.20594256e-03],
       [ 9.19400164e-04, -9.19400164e-04],
       [-7.51232902e-05,  7.51232902e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 2.88513892e-03, -2.88513892e-03],
       [ 3.32723236e-04, -3.32723236e-04],
       [ 2.15667306e-03, -2.15667306e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [-2.73497806e-05,  2.73497806e-05],
       [ 1.05160874e-04, -1.05160874e-04],
       [ 1.35305207e-05, -1.35305207e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 6.69504978e-05, -6.69504978e-05],
       [ 1.68108292e-04, -1.68108292e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 3.59789425e-04, -3.59789425e-04],
       [-1.73626043e-04,  1.73626043e-04],
       [-4.02383370e-05,  4.02383370e-05],
       [-1.48371469e-04,  1.48371469e-04],
       [ 1.40334859e-04, -1.40334859e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.38534043e-04,  1.38534043e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.46719022e-02,  1.46719022e-02],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 5.75589819e-04, -5.75589819e-04],
       [ 9.99207601e-04, -9.99207601e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00]])}"
Gradient Boosting,1.0,0.9996602106693849,0.9998300764655904,0.9998293418283178,92.09803342819214,"{'SHAP': array([[ 4.84931980e-13, -4.84931983e-13],
       [-7.07215654e-05,  7.07215654e-05],
       [ 1.07449618e-06, -1.07449618e-06],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.10010074e-03, -1.10010074e-03],
       [-1.05784818e-05,  1.05784818e-05],
       [ 6.10863340e-07, -6.10863340e-07],
       [ 2.31135534e-04, -2.31135534e-04],
       [-5.00328902e-03,  5.00328902e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 4.41962975e-06, -4.41962975e-06],
       [ 1.43336513e-03, -1.43336513e-03],
       [-1.64699754e-03,  1.64699754e-03],
       [-4.50581610e-04,  4.50581610e-04],
       [-5.37261915e-04,  5.37261915e-04],
       [-1.60589603e-05,  1.60589603e-05],
       [-4.86365223e-05,  4.86365223e-05],
       [-2.97622850e-04,  2.97622850e-04],
       [ 4.87871162e-05, -4.87871162e-05],
       [ 2.30347261e-04, -2.30347261e-04],
       [ 2.04947287e-04, -2.04947287e-04],
       [ 0.00000000e+00, -2.39302829e-22],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.17732889e-03, -1.17732889e-03],
       [-1.16485119e-04,  1.16485119e-04],
       [ 3.50746987e-04, -3.50746987e-04],
       [ 6.43858244e-06, -6.43858244e-06],
       [-1.00303458e-05,  1.00303458e-05],
       [ 7.72021637e-05, -7.72021637e-05],
       [ 2.04732388e-05, -2.04732388e-05],
       [-4.22636329e-06,  4.22636329e-06],
       [ 0.00000000e+00,  0.00000000e+00],
       [-8.66599042e-06,  8.66599042e-06],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.10403928e-04,  1.10403928e-04],
       [ 4.97027479e-06, -4.97027479e-06],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 4.25450912e-05, -4.25450912e-05],
       [ 3.82221135e-06, -3.82221135e-06],
       [-3.71161380e-05,  3.71161380e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 3.66411203e-05, -3.66411203e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 4.43323182e-03, -4.43323182e-03],
       [ 4.91605232e-05, -4.91605232e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.40340359e-02,  1.40340359e-02],
       [ 2.80267042e-04, -2.80267042e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-8.30613007e-05,  8.30613007e-05],
       [ 7.38793687e-04, -7.38793687e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00]])}"
XGBoost,1.0,0.999886736889795,0.9999433652375829,0.9999431139427726,0.4854118824005127,"{'SHAP': array([[-5.94330116e-07,  5.94330122e-07],
       [-3.42877713e-04,  3.42877667e-04],
       [-1.85483443e-03,  1.85483444e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.82014419e-04,  1.82014482e-04],
       [ 7.61345631e-06, -7.61345363e-06],
       [ 0.00000000e+00,  0.00000000e+00],
       [-9.06445908e-05,  9.06445890e-05],
       [-9.78766038e-03,  9.78766043e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 9.30452081e-06, -9.30447782e-06],
       [-5.33381233e-05,  5.33381516e-05],
       [-2.20028957e-04,  2.20028957e-04],
       [-3.51568355e-04,  3.51568398e-04],
       [-9.21961136e-04,  9.21961081e-04],
       [-1.73356133e-04,  1.73356096e-04],
       [ 7.51743060e-05, -7.51743021e-05],
       [ 3.59312000e-05, -3.59312005e-05],
       [-1.10995604e-04,  1.10995571e-04],
       [ 5.10919338e-04, -5.10919389e-04],
       [ 2.58959722e-04, -2.58959762e-04],
       [-5.10526017e-05,  5.10526015e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 3.58924267e-03, -3.58924239e-03],
       [ 1.18891671e-03, -1.18891699e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.19619154e-04, -1.19619151e-04],
       [-1.69251433e-04,  1.69251401e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.89649133e-04, -1.89649230e-04],
       [-5.20985656e-07,  5.20984986e-07],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 2.80658490e-05, -2.80658489e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.31613025e-04,  1.31612936e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-5.73802815e-05,  5.73802962e-05],
       [ 7.14027437e-05, -7.14027031e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.55485297e-04, -1.55485359e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-6.21358982e-06,  6.21358992e-06],
       [-2.61709499e-05,  2.61710222e-05],
       [ 1.29700300e-06, -1.29697924e-06],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 6.59032084e-03, -6.59032079e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.31970384e-02,  1.31970384e-02],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.51947278e-05, -1.51947175e-05],
       [ 2.76626030e-03, -2.76626029e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00]])}"
LightGBM,0.9998867497168743,1.0,0.9999433716518489,0.9999431139427726,59.93141794204712,"{'SHAP': array([[-5.89414654e-05,  5.89414654e-05],
       [-1.61285399e-05,  1.61285399e-05],
       [-3.60362439e-04,  3.60362439e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.73569736e-04,  1.73569736e-04],
       [-1.22860976e-04,  1.22860976e-04],
       [ 2.43082976e-04, -2.43082976e-04],
       [-1.36940746e-04,  1.36940746e-04],
       [-4.54935801e-03,  4.54935801e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 9.65932309e-06, -9.65932309e-06],
       [-7.83948710e-04,  7.83948710e-04],
       [-8.92719305e-05,  8.92719305e-05],
       [-9.29841601e-05,  9.29841601e-05],
       [-9.25643341e-04,  9.25643341e-04],
       [-2.35265596e-04,  2.35265596e-04],
       [-2.55679054e-05,  2.55679054e-05],
       [ 2.59951152e-04, -2.59951152e-04],
       [-1.03240863e-06,  1.03240863e-06],
       [ 1.17727929e-04, -1.17727929e-04],
       [-1.97210051e-05,  1.97210051e-05],
       [-5.90351215e-04,  5.90351215e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 2.36273341e-04, -2.36273341e-04],
       [-6.71528547e-04,  6.71528547e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 2.16109993e-04, -2.16109993e-04],
       [-3.07577671e-04,  3.07577671e-04],
       [ 2.38148876e-05, -2.38148876e-05],
       [-1.58690470e-04,  1.58690470e-04],
       [ 3.58858005e-09, -3.58858005e-09],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 2.60361209e-05, -2.60361209e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.30982270e-05, -1.30982270e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 4.47750112e-04, -4.47750112e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.20651875e-04, -1.20651875e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.06328027e-04, -1.06328027e-04],
       [ 1.20820977e-04, -1.20820977e-04],
       [ 6.22746541e-05, -6.22746541e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 6.80777366e-03, -6.80777366e-03],
       [-6.30024920e-07,  6.30024920e-07],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.60159226e-02,  1.60159226e-02],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [-4.80271124e-05,  4.80271124e-05],
       [ 4.27403770e-03, -4.27403770e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00]])}"
