Model,Precision,Recall,F1Score,Accuracy,RunTime,XAI
DecisionTree,0.99977347377959,0.99977347377959,0.99977347377959,0.9997724557710905,0.5322740077972412,"{'SHAP': array([[ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [-0.00281216,  0.00281216],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.00143737, -0.00143737],
       [-0.00047678,  0.00047678],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.00106612, -0.00106612],
       [-0.00098299,  0.00098299],
       [ 0.00240728, -0.00240728],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.00302086, -0.00302086],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.00076562, -0.00076562],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.0003101 , -0.0003101 ],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [-0.00161848,  0.00161848],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [-0.01905199,  0.01905199],
       [ 0.00089304, -0.00089304],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.00279503, -0.00279503],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ]])}"
RandomForest,0.9997734994337486,0.999886736889795,0.9998301149555467,0.9998293418283178,3.2352068424224854,"{'SHAP': array([[-6.51132033e-05,  6.51132033e-05],
       [ 1.09892485e-04, -1.09892485e-04],
       [-5.58353718e-04,  5.58353718e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.08109107e-04,  1.08109107e-04],
       [ 9.81213380e-05, -9.81213380e-05],
       [-1.04650151e-03,  1.04650151e-03],
       [-4.46328005e-05,  4.46328005e-05],
       [-1.76655384e-04,  1.76655384e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 2.78040560e-04, -2.78040560e-04],
       [ 1.21657944e-04, -1.21657944e-04],
       [-2.94479208e-04,  2.94479208e-04],
       [-7.04917800e-05,  7.04917800e-05],
       [ 1.02844303e-04, -1.02844303e-04],
       [ 2.72826953e-04, -2.72826953e-04],
       [-2.52370726e-04,  2.52370726e-04],
       [-4.70294101e-04,  4.70294101e-04],
       [ 1.81736731e-04, -1.81736731e-04],
       [ 4.67985949e-04, -4.67985949e-04],
       [-2.82921383e-04,  2.82921383e-04],
       [ 2.30772513e-05, -2.30772513e-05],
       [ 6.66078844e-05, -6.66078844e-05],
       [-7.95753456e-04,  7.95753456e-04],
       [-1.02566983e-04,  1.02566983e-04],
       [-6.18067012e-05,  6.18067012e-05],
       [ 1.66698902e-04, -1.66698902e-04],
       [-8.86408499e-04,  8.86408499e-04],
       [ 9.97354798e-05, -9.97354798e-05],
       [ 1.49893339e-04, -1.49893339e-04],
       [ 3.68962967e-05, -3.68962967e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.78849764e-04,  1.78849764e-04],
       [ 1.42321804e-04, -1.42321804e-04],
       [-3.31304397e-05,  3.31304397e-05],
       [ 9.22805620e-05, -9.22805620e-05],
       [-2.08633739e-03,  2.08633739e-03],
       [ 1.35218158e-04, -1.35218158e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 2.58153194e-04, -2.58153194e-04],
       [-1.79006201e-05,  1.79006201e-05],
       [ 2.60950566e-04, -2.60950566e-04],
       [ 3.78799989e-04, -3.78799989e-04],
       [-4.03108823e-05,  4.03108823e-05],
       [-9.52542807e-05,  9.52542807e-05],
       [-9.21967973e-04,  9.21967973e-04],
       [-5.44389613e-04,  5.44389613e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.02102750e-02,  1.02102750e-02],
       [ 1.30627595e-03, -1.30627595e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 7.29327607e-04, -7.29327607e-04],
       [ 1.61966978e-03, -1.61966978e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00]])}"
Logistic Regression,0.9997733967822343,0.999433684448975,0.9996035117530445,0.9996017975994084,62.821839570999146,"{'SHAP': array([[-9.35391485e-03,  9.35391485e-03],
       [-2.09475854e-03,  2.09475854e-03],
       [-4.91230945e-03,  4.91230945e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 9.52593933e-03, -9.52593933e-03],
       [ 1.15706932e-02, -1.15706932e-02],
       [ 1.02104991e-03, -1.02104991e-03],
       [ 1.82630034e-03, -1.82630034e-03],
       [-7.69172861e-03,  7.69172861e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 2.62548629e-04, -2.62548629e-04],
       [ 4.27920374e-03, -4.27920374e-03],
       [-5.59799167e-03,  5.59799167e-03],
       [-2.65753631e-03,  2.65753631e-03],
       [-1.21162706e-04,  1.21162706e-04],
       [ 3.17277797e-03, -3.17277797e-03],
       [-1.06921254e-03,  1.06921254e-03],
       [-7.54139917e-04,  7.54139917e-04],
       [ 1.27692569e-05, -1.27692569e-05],
       [ 1.46258443e-03, -1.46258443e-03],
       [ 1.63290434e-03, -1.63290434e-03],
       [-2.61347860e-03,  2.61347860e-03],
       [ 1.50478071e-03, -1.50478071e-03],
       [-3.34889124e-08,  3.34889124e-08],
       [-4.13777453e-08,  4.13777453e-08],
       [-3.61539457e-08,  3.61539457e-08],
       [-2.02333828e-03,  2.02333828e-03],
       [-2.76498968e-03,  2.76498968e-03],
       [ 2.14397105e-03, -2.14397105e-03],
       [ 4.37356832e-04, -4.37356832e-04],
       [ 1.15896089e-03, -1.15896089e-03],
       [ 3.19693890e-08, -3.19693889e-08],
       [ 1.48908359e-03, -1.48908359e-03],
       [ 3.63971923e-04, -3.63971923e-04],
       [ 1.24231407e-03, -1.24231407e-03],
       [ 1.05763546e-03, -1.05763546e-03],
       [-4.47490396e-03,  4.47490396e-03],
       [-8.87300420e-08,  8.87300420e-08],
       [-8.04997814e-11,  8.04997832e-11],
       [ 5.71094725e-07, -5.71094725e-07],
       [-4.40000465e-07,  4.40000465e-07],
       [ 1.75451127e-06, -1.75451127e-06],
       [ 6.57448853e-07, -6.57448853e-07],
       [-6.13151356e-07,  6.13151356e-07],
       [-3.82398531e-04,  3.82398531e-04],
       [-1.70566001e-03,  1.70566001e-03],
       [-7.44478824e-05,  7.44478824e-05],
       [ 3.96086874e-07, -3.96086874e-07],
       [-4.02204648e-03,  4.02204648e-03],
       [-8.72563320e-04,  8.72563320e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-2.89961806e-03,  2.89961806e-03],
       [-1.01587179e-04,  1.01587179e-04],
       [ 1.46010755e-07, -1.46010755e-07],
       [ 6.39616248e-11, -6.39616248e-11]])}"
Naive Bayes,0.9884256658051467,0.9962623173632348,0.9923285198555957,0.9922634962170772,0.077545166015625,"{'SHAP': array([[ 6.67926344e-05, -6.67926344e-05],
       [-8.94072562e-05,  8.94072562e-05],
       [-7.33597380e-04,  7.33597380e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-4.02414337e-04,  4.02414337e-04],
       [-2.55875656e-04,  2.55875656e-04],
       [-1.62148502e-03,  1.62148502e-03],
       [ 8.91421132e-05, -8.91421132e-05],
       [-6.41112437e-04,  6.41112437e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 2.93331652e-03, -2.93331652e-03],
       [ 5.80541480e-04, -5.80541480e-04],
       [ 1.21908407e-04, -1.21908407e-04],
       [-8.83609562e-05,  8.83609562e-05],
       [-3.44523120e-05,  3.44523120e-05],
       [ 1.12455680e-04, -1.12455680e-04],
       [ 3.68050606e-04, -3.68050606e-04],
       [ 3.92678526e-04, -3.92678526e-04],
       [-1.18619051e-05,  1.18619051e-05],
       [ 4.15979175e-04, -4.15979175e-04],
       [ 5.44616788e-04, -5.44616788e-04],
       [ 3.59153228e-04, -3.59153228e-04],
       [ 4.01457797e-04, -4.01457797e-04],
       [ 8.47233973e-08, -8.47233973e-08],
       [ 3.25508930e-08, -3.25508930e-08],
       [ 1.30260737e-07, -1.30260737e-07],
       [ 3.44570059e-04, -3.44570059e-04],
       [-1.31975180e-03,  1.31975180e-03],
       [ 5.26926359e-04, -5.26926359e-04],
       [ 4.03045072e-04, -4.03045072e-04],
       [-1.38104393e-05,  1.38104393e-05],
       [ 2.36659543e-05, -2.36659543e-05],
       [-2.91227518e-04,  2.91227518e-04],
       [-1.95990891e-05,  1.95990891e-05],
       [-3.05776867e-04,  3.05776867e-04],
       [-1.12510989e-05,  1.12510989e-05],
       [-2.79642333e-04,  2.79642333e-04],
       [-2.05685371e-06,  2.05685371e-06],
       [ 6.36587976e-11, -6.36587976e-11],
       [-3.05548437e-06,  3.05548437e-06],
       [-2.25185181e-06,  2.25185181e-06],
       [-3.93914403e-06,  3.93914403e-06],
       [-2.76635061e-06,  2.76635061e-06],
       [-5.80542089e-06,  5.80542089e-06],
       [ 2.04713668e-04, -2.04713668e-04],
       [-5.35959874e-04,  5.35959874e-04],
       [ 7.91375293e-04, -7.91375293e-04],
       [-1.91812469e-05,  1.91812469e-05],
       [-1.14262355e-03,  1.14262355e-03],
       [ 1.82708311e-03, -1.82708311e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 7.18626960e-04, -7.18626960e-04],
       [ 3.61669612e-04, -3.61669612e-04],
       [ 1.11877310e-05, -1.11877310e-05],
       [-8.83030785e-09,  8.83030785e-09]])}"
MLP,0.9501399956924402,0.99932042133877,0.974109853712393,0.9733204391603618,22.582359790802002,"{'SHAP': array([[-1.47705913e-03,  1.47705913e-03],
       [-4.57423625e-04,  4.57423625e-04],
       [-4.62044418e-05,  4.62044418e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.92758716e-04,  1.92758716e-04],
       [-1.15162494e-03,  1.15162494e-03],
       [-1.65872837e-04,  1.65872837e-04],
       [ 1.36170804e-03, -1.36170804e-03],
       [-1.40618943e-04,  1.40618943e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 2.18988320e-03, -2.18988320e-03],
       [-9.20250191e-04,  9.20250191e-04],
       [-6.86938626e-04,  6.86938626e-04],
       [-2.42843589e-04,  2.42843589e-04],
       [ 8.25879318e-04, -8.25879318e-04],
       [-1.20288063e-03,  1.20288063e-03],
       [-2.37583875e-03,  2.37583875e-03],
       [ 1.98898909e-04, -1.98898909e-04],
       [ 1.19846579e-03, -1.19846579e-03],
       [ 1.37921514e-03, -1.37921514e-03],
       [ 4.75535800e-04, -4.75535800e-04],
       [ 8.42824074e-04, -8.42824074e-04],
       [ 1.20710995e-03, -1.20710995e-03],
       [-4.11007686e-06,  4.11007686e-06],
       [-5.23667692e-06,  5.23667692e-06],
       [-4.59093306e-06,  4.59093306e-06],
       [-6.41350764e-05,  6.41350764e-05],
       [-1.46458572e-03,  1.46458572e-03],
       [ 1.32032126e-04, -1.32032126e-04],
       [ 1.97174919e-05, -1.97174919e-05],
       [ 6.23631242e-04, -6.23631242e-04],
       [ 1.49934598e-05, -1.49934598e-05],
       [ 1.32252083e-03, -1.32252083e-03],
       [ 3.46685180e-04, -3.46685180e-04],
       [ 6.82335514e-05, -6.82335514e-05],
       [ 8.38833967e-05, -8.38833967e-05],
       [-1.29660345e-03,  1.29660345e-03],
       [ 1.10375590e-05, -1.10375590e-05],
       [ 7.22205068e-08, -7.22205068e-08],
       [ 1.72056116e-05, -1.72056116e-05],
       [ 1.39294397e-06, -1.39294397e-06],
       [ 5.69409447e-06, -5.69409447e-06],
       [-1.09245782e-06,  1.09245782e-06],
       [-1.02617749e-05,  1.02617749e-05],
       [-1.90856507e-05,  1.90856507e-05],
       [ 6.67734617e-06, -6.67734617e-06],
       [-2.99448242e-06,  2.99448242e-06],
       [ 1.79943766e-07, -1.79943766e-07],
       [-1.04834670e-04,  1.04834670e-04],
       [-1.83641885e-05,  1.83641885e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [-2.24538375e-04,  2.24538375e-04],
       [ 1.14843836e-06, -1.14843836e-06],
       [ 8.39138263e-06, -8.39138263e-06],
       [ 2.72501340e-09, -2.72501340e-09]])}"
Stochastic Gradient Descent,0.9966262651505685,0.9033865669951296,0.9477186311787071,0.9499402696399113,9.07331919670105,"{'SHAP': array([[-1.58405020e-04,  1.58405020e-04],
       [-4.11535634e-05,  4.11535634e-05],
       [-1.05927843e-05,  1.05927843e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [-2.78397624e-03,  2.78397624e-03],
       [-3.55292174e-04,  3.55292174e-04],
       [-1.41221569e-04,  1.41221569e-04],
       [-1.97584897e-04,  1.97584897e-04],
       [-2.24694666e-03,  2.24694666e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.39749262e-03, -1.39749262e-03],
       [ 1.14643498e-02, -1.14643498e-02],
       [-8.33011189e-05,  8.33011189e-05],
       [-2.74346258e-05,  2.74346258e-05],
       [-8.97208491e-03,  8.97208491e-03],
       [-3.98533551e-04,  3.98533551e-04],
       [-1.79359423e-03,  1.79359423e-03],
       [ 1.09826503e-04, -1.09826503e-04],
       [-8.45917447e-04,  8.45917447e-04],
       [-6.60889195e-04,  6.60889195e-04],
       [-6.77474414e-05,  6.77474414e-05],
       [ 1.50520501e-05, -1.50520501e-05],
       [ 4.18837918e-05, -4.18837918e-05],
       [-4.24720225e-10,  4.24720225e-10],
       [-4.63502108e-09,  4.63502108e-09],
       [ 6.31715238e-10, -6.31715238e-10],
       [-3.12312415e-06,  3.12312415e-06],
       [-1.87220864e-04,  1.87220864e-04],
       [ 2.38682683e-04, -2.38682683e-04],
       [ 3.22111409e-07, -3.22111409e-07],
       [ 1.57706890e-05, -1.57706890e-05],
       [-3.49823646e-12,  3.49823646e-12],
       [ 1.49724032e-05, -1.49724032e-05],
       [ 7.39235124e-06, -7.39235124e-06],
       [ 8.01941237e-06, -8.01941237e-06],
       [ 8.66199230e-06, -8.66199230e-06],
       [-3.75651177e-05,  3.75651177e-05],
       [-5.61214379e-09,  5.61214379e-09],
       [-1.04419439e-15,  1.04419448e-15],
       [ 1.17908823e-08, -1.17908823e-08],
       [ 5.88164128e-10, -5.88164128e-10],
       [ 1.82572210e-08, -1.82572210e-08],
       [-3.52547929e-09,  3.52547929e-09],
       [-6.82242484e-09,  6.82242484e-09],
       [-1.11657783e-05,  1.11657783e-05],
       [ 4.10429998e-04, -4.10429998e-04],
       [ 6.49626374e-05, -6.49626374e-05],
       [ 2.81430693e-07, -2.81430693e-07],
       [-3.33229466e-06,  3.33229466e-06],
       [ 3.21963746e-05, -3.21963746e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [-5.32206045e-05,  5.32206045e-05],
       [-9.11988377e-06,  9.11988377e-06],
       [ 2.32288445e-11, -2.32288445e-11],
       [ 0.00000000e+00,  0.00000000e+00]])}"
ADA Boost,0.9997735250820972,1.0,0.9998867497168743,0.9998862278855453,97.83350276947021,"{'SHAP': array([[ 0.00000000e+00,  0.00000000e+00],
       [-2.92299497e-04,  2.92299497e-04],
       [-1.37416233e-03,  1.37416233e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [-4.53698281e-04,  4.53698281e-04],
       [-6.21029847e-06,  6.21029847e-06],
       [-2.54121251e-04,  2.54121251e-04],
       [ 6.72933307e-05, -6.72933307e-05],
       [-2.20652267e-04,  2.20652267e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 2.64574041e-05, -2.64574041e-05],
       [ 7.05569957e-04, -7.05569957e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 5.14588707e-04, -5.14588707e-04],
       [ 7.66007298e-05, -7.66007298e-05],
       [ 4.17182466e-04, -4.17182466e-04],
       [-1.08296020e-04,  1.08296020e-04],
       [ 4.18203629e-04, -4.18203629e-04],
       [-1.16862810e-03,  1.16862810e-03],
       [-1.76938809e-04,  1.76938809e-04],
       [-1.23867360e-04,  1.23867360e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 2.16489394e-04, -2.16489394e-04],
       [ 4.70136400e-04, -4.70136400e-04],
       [ 1.41347192e-03, -1.41347192e-03],
       [ 1.67787769e-04, -1.67787769e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-4.70905086e-04,  4.70905086e-04],
       [ 7.26036036e-05, -7.26036036e-05],
       [ 1.43586203e-04, -1.43586203e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 3.01316271e-04, -3.01316271e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 8.29729561e-04, -8.29729561e-04],
       [ 1.47065432e-04, -1.47065432e-04],
       [ 5.99396626e-04, -5.99396626e-04],
       [-5.63175891e-04,  5.63175891e-04],
       [ 9.71444554e-05, -9.71444554e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 5.43867276e-06, -5.43867276e-06],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.70480352e-02,  1.70480352e-02],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.18974038e-04, -1.18974038e-04],
       [ 7.55968297e-03, -7.55968297e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00]])}"
Gradient Boosting,0.9995470501641943,0.99977347377959,0.9996602491506229,0.9996586836566358,46.0545539855957,"{'SHAP': array([[ 0.00000000e+00,  0.00000000e+00],
       [-8.51486904e-05,  8.51486904e-05],
       [-2.62217925e-04,  2.62217925e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 4.58001613e-04, -4.58001613e-04],
       [-4.64949593e-05,  4.64949593e-05],
       [ 6.27410603e-05, -6.27410603e-05],
       [ 3.73050565e-04, -3.73050565e-04],
       [-2.60603092e-03,  2.60603092e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 2.68930779e-05, -2.68930779e-05],
       [ 4.35442990e-04, -4.35442990e-04],
       [-3.19457193e-05,  3.19457193e-05],
       [-6.24772009e-05,  6.24772009e-05],
       [-1.60120128e-04,  1.60120128e-04],
       [ 5.02073987e-05, -5.02073987e-05],
       [-2.82097798e-06,  2.82097798e-06],
       [ 2.87443170e-05, -2.87443170e-05],
       [-1.25179650e-04,  1.25179650e-04],
       [ 3.41534515e-05, -3.41534515e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 3.69314887e-05, -3.69314887e-05],
       [ 4.15345050e-05, -4.15345050e-05],
       [ 1.00504155e-03, -1.00504155e-03],
       [ 1.17922810e-04, -1.17922810e-04],
       [ 8.44998275e-05, -8.44998275e-05],
       [ 1.14295821e-04, -1.14295821e-04],
       [-1.91200554e-04,  1.91200554e-04],
       [ 7.17956611e-05, -7.17956611e-05],
       [ 1.94680727e-05, -1.94680727e-05],
       [-2.62678955e-07,  2.62678955e-07],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [-5.87777143e-08,  5.87777143e-08],
       [-5.41634654e-07,  5.41634654e-07],
       [-2.11721152e-07,  2.11721152e-07],
       [-2.57521602e-04,  2.57521602e-04],
       [ 7.76767912e-05, -7.76767912e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 2.08402447e-07, -2.08402447e-07],
       [-3.28202262e-08,  3.28202262e-08],
       [-8.28867293e-08,  8.28867293e-08],
       [-1.24550246e-07,  1.24550246e-07],
       [-3.72600570e-05,  3.72600570e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 7.54773942e-03, -7.54773942e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [-2.33642643e-02,  2.33642643e-02],
       [ 1.45267092e-04, -1.45267092e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-5.34485363e-05,  5.34485363e-05],
       [ 4.25832324e-03, -4.25832324e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00]])}"
XGBoost,0.9997734994337486,0.999886736889795,0.9998301149555467,0.9998293418283178,0.29404449462890625,"{'SHAP': array([[-8.40395901e-06,  8.40395899e-06],
       [-7.27454689e-05,  7.27454636e-05],
       [-3.07057061e-03,  3.07057059e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [-2.89590526e-04,  2.89590527e-04],
       [-2.27524438e-04,  2.27524383e-04],
       [-8.18259364e-06,  8.18259644e-06],
       [-4.56164168e-03,  4.56164165e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.82209723e-05,  1.82209658e-05],
       [-2.05719314e-04,  2.05719313e-04],
       [-8.76960923e-05,  8.76964412e-05],
       [-4.58399943e-04,  4.58399969e-04],
       [-1.04036102e-05,  1.04036308e-05],
       [ 5.46500758e-05, -5.46501339e-05],
       [-2.01156342e-04,  2.01156338e-04],
       [-2.00648898e-04,  2.00648962e-04],
       [ 8.53768464e-05, -8.53768571e-05],
       [-3.13762829e-04,  3.13762899e-04],
       [ 1.00268949e-04, -1.00268953e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.26793588e-03, -1.26793593e-03],
       [ 8.01486979e-04, -8.01487058e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 2.32742523e-05, -2.32742581e-05],
       [-4.09164760e-04,  4.09164791e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 7.82198789e-04, -7.82198769e-04],
       [ 1.23800877e-04, -1.23800875e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-3.55568170e-05,  3.55568163e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.33050656e-04,  1.33050642e-04],
       [ 7.84841096e-05, -7.84840681e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [-5.58470006e-05,  5.58470008e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 2.83235515e-05, -2.83236156e-05],
       [ 4.46478848e-04, -4.46478901e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 5.23157851e-03, -5.23157845e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.28546206e-02,  1.28546206e-02],
       [ 2.55876890e-04, -2.55876952e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 7.47381705e-05, -7.47381535e-05],
       [ 1.65196332e-03, -1.65196340e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00]])}"
LightGBM,0.9996602876231457,0.999886736889795,0.9997734994337486,0.9997724557710905,0.41752147674560547,"{'SHAP': array([[-4.89627955e-06,  4.89627955e-06],
       [-1.45769161e-06,  1.45769161e-06],
       [-3.12052016e-04,  3.12052016e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 5.46438413e-07, -5.46438413e-07],
       [-2.53254910e-04,  2.53254910e-04],
       [-5.64212082e-06,  5.64212082e-06],
       [ 4.01066166e-04, -4.01066166e-04],
       [-4.37607405e-03,  4.37607405e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [-5.46870631e-06,  5.46870631e-06],
       [-2.66593470e-03,  2.66593470e-03],
       [-2.44243962e-04,  2.44243962e-04],
       [ 1.73456523e-04, -1.73456523e-04],
       [-1.16533761e-04,  1.16533761e-04],
       [ 7.85445046e-05, -7.85445046e-05],
       [-1.76136847e-07,  1.76136847e-07],
       [ 1.47281828e-04, -1.47281828e-04],
       [ 1.39204411e-07, -1.39204411e-07],
       [ 1.50151254e-05, -1.50151254e-05],
       [ 8.60681443e-08, -8.60681443e-08],
       [-3.77816665e-07,  3.77816665e-07],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.19130090e-05, -1.19130090e-05],
       [ 2.73394921e-04, -2.73394921e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.20901475e-03,  1.20901475e-03],
       [-1.91661061e-06,  1.91661061e-06],
       [-5.25257403e-07,  5.25257403e-07],
       [ 2.49130068e-03, -2.49130068e-03],
       [-7.76633920e-07,  7.76633920e-07],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.16869637e-08,  1.16869637e-08],
       [ 0.00000000e+00,  0.00000000e+00],
       [-3.33267679e-11,  3.33267680e-11],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 5.34310632e-05, -5.34310632e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.39952044e-09, -1.39952044e-09],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.08288652e-07, -1.08288652e-07],
       [ 1.72301569e-04, -1.72301569e-04],
       [-5.13337114e-09,  5.13337114e-09],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 8.73882480e-03, -8.73882480e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [-2.26501435e-02,  2.26501435e-02],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [-4.36328896e-07,  4.36328896e-07],
       [ 6.92120128e-03, -6.92120128e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00]])}"
