Model,Precision,Recall,F1Score,Accuracy,RunTime,XAI
DecisionTree,1.0,0.999886736889795,0.9999433652375829,0.9999431139427726,0.6895363330841064,"{'SHAP': array([[ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [-3.04454178e-04,  3.04454178e-04],
       [-5.35354685e-04,  5.35354685e-04],
       [-5.65322260e-03,  5.65322260e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 2.96586837e-03, -2.96586837e-03],
       [-9.87598840e-04,  9.87598840e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [-7.49530690e-04,  7.49530690e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [-7.28710393e-05,  7.28710393e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 4.19989761e-04, -4.19989761e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 4.78315035e-03, -4.78315035e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.50981284e-02,  1.50981284e-02],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 3.04203880e-03, -3.04203880e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00]])}"
RandomForest,1.0,0.999886736889795,0.9999433652375829,0.9999431139427726,3.596297025680542,"{'SHAP': array([[-2.91217930e-04,  2.91217930e-04],
       [-6.45975311e-05,  6.45975311e-05],
       [-4.00818022e-04,  4.00818022e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-6.23898970e-04,  6.23898970e-04],
       [-4.33752773e-04,  4.33752773e-04],
       [-1.36153365e-04,  1.36153365e-04],
       [-1.33852893e-04,  1.33852893e-04],
       [-4.10224700e-04,  4.10224700e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-2.34249957e-04,  2.34249957e-04],
       [-5.73293134e-04,  5.73293134e-04],
       [-1.05827408e-04,  1.05827408e-04],
       [-8.30982422e-04,  8.30982422e-04],
       [-1.05931282e-03,  1.05931282e-03],
       [-5.91023380e-05,  5.91023380e-05],
       [-2.68339496e-04,  2.68339496e-04],
       [-7.57506115e-05,  7.57506115e-05],
       [ 1.09056260e-04, -1.09056260e-04],
       [ 7.70744638e-04, -7.70744638e-04],
       [ 7.34774447e-05, -7.34774447e-05],
       [ 3.90525058e-04, -3.90525058e-04],
       [-6.95545822e-05,  6.95545822e-05],
       [ 7.65777348e-05, -7.65777348e-05],
       [-2.06548723e-04,  2.06548723e-04],
       [-3.61355026e-04,  3.61355026e-04],
       [-5.87667103e-05,  5.87667103e-05],
       [-4.48752489e-04,  4.48752489e-04],
       [-3.41204847e-04,  3.41204847e-04],
       [ 1.65916150e-04, -1.65916150e-04],
       [ 2.06439502e-05, -2.06439502e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 9.15410433e-06, -9.15410433e-06],
       [ 7.47551055e-05, -7.47551055e-05],
       [ 3.69634223e-05, -3.69634223e-05],
       [ 5.97121566e-05, -5.97121566e-05],
       [-7.66007168e-04,  7.66007168e-04],
       [ 6.11172422e-05, -6.11172422e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.93536606e-04, -1.93536606e-04],
       [-6.43495079e-06,  6.43495079e-06],
       [ 3.90026736e-04, -3.90026736e-04],
       [ 4.96410490e-05, -4.96410490e-05],
       [-5.94117982e-05,  5.94117982e-05],
       [-1.32905171e-04,  1.32905171e-04],
       [-7.79510780e-04,  7.79510780e-04],
       [-5.55279595e-04,  5.55279595e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-4.38224245e-03,  4.38224245e-03],
       [-9.40042096e-04,  9.40042096e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 4.63518972e-04, -4.63518972e-04],
       [-3.15849593e-04,  3.15849593e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00]])}"
Logistic Regression,0.994912379875636,0.9967153698040548,0.9958130587303384,0.9957904317651743,0.4859912395477295,"{'SHAP': array([[-6.09046960e-05,  6.09046960e-05],
       [-6.53049032e-04,  6.53049032e-04],
       [-6.07763316e-03,  6.07763316e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [-4.31257460e-07,  4.31257460e-07],
       [ 6.74086864e-05, -6.74086864e-05],
       [-3.26149461e-03,  3.26149461e-03],
       [ 1.96120919e-07, -1.96120919e-07],
       [-2.75683537e-07,  2.75683537e-07],
       [ 0.00000000e+00,  0.00000000e+00],
       [-5.67218999e-09,  5.67219000e-09],
       [-3.65434017e-04,  3.65434017e-04],
       [-4.79024676e-05,  4.79024676e-05],
       [ 2.72495641e-04, -2.72495641e-04],
       [-3.98600373e-05,  3.98600373e-05],
       [-5.28198714e-05,  5.28198714e-05],
       [-1.80284269e-05,  1.80284269e-05],
       [ 1.71917688e-07, -1.71917688e-07],
       [-6.09568986e-06,  6.09568986e-06],
       [ 4.81994848e-03, -4.81994848e-03],
       [ 2.25993033e-03, -2.25993033e-03],
       [ 1.16243204e-03, -1.16243204e-03],
       [ 2.31682992e-03, -2.31682992e-03],
       [ 6.34765389e-05, -6.34765389e-05],
       [ 1.04930747e-05, -1.04930747e-05],
       [ 6.08548990e-05, -6.08548990e-05],
       [ 1.05452122e-04, -1.05452122e-04],
       [-4.75462576e-05,  4.75462576e-05],
       [ 1.04132567e-04, -1.04132567e-04],
       [ 2.12039219e-05, -2.12039219e-05],
       [ 1.13226806e-05, -1.13226806e-05],
       [-3.47718823e-05,  3.47718823e-05],
       [ 9.86132193e-06, -9.86132193e-06],
       [ 1.07986728e-05, -1.07986728e-05],
       [ 1.06042032e-05, -1.06042032e-05],
       [ 1.17003431e-05, -1.17003431e-05],
       [-1.62024009e-05,  1.62024009e-05],
       [ 5.32863202e-05, -5.32863202e-05],
       [-1.50605860e-05,  1.50605860e-05],
       [ 2.82943240e-04, -2.82943240e-04],
       [ 1.49936917e-05, -1.49936917e-05],
       [ 2.94944158e-04, -2.94944158e-04],
       [ 1.88714913e-04, -1.88714913e-04],
       [-1.04249511e-04,  1.04249511e-04],
       [-1.64733421e-04,  1.64733421e-04],
       [-6.13214727e-05,  6.13214727e-05],
       [-3.74668102e-06,  3.74668102e-06],
       [ 1.59947751e-09, -1.59947751e-09],
       [-5.44097245e-03,  5.44097245e-03],
       [-1.19728283e-05,  1.19728283e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 6.57546923e-05, -6.57546923e-05],
       [-1.03087552e-03,  1.03087552e-03],
       [-6.63075099e-06,  6.63075099e-06],
       [-4.64372989e-09,  4.64372989e-09]])}"
Naive Bayes,0.9897534061479563,0.9955827387020048,0.9926595143986447,0.9926048125604414,0.06717801094055176,"{'SHAP': array([[ 2.51697867e-04, -2.51697867e-04],
       [-9.94631997e-05,  9.94631997e-05],
       [-4.45549012e-04,  4.45549012e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-3.94248668e-04,  3.94248668e-04],
       [ 1.02310750e-04, -1.02310750e-04],
       [-5.97651350e-04,  5.97651350e-04],
       [-3.19651660e-04,  3.19651660e-04],
       [-4.08183175e-04,  4.08183175e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-6.07420894e-04,  6.07420894e-04],
       [-5.50415958e-04,  5.50415958e-04],
       [-3.85305668e-05,  3.85305668e-05],
       [ 4.04910993e-04, -4.04910993e-04],
       [-8.93603294e-04,  8.93603294e-04],
       [ 8.16335823e-05, -8.16335823e-05],
       [-1.51891837e-05,  1.51891837e-05],
       [-1.53541030e-04,  1.53541030e-04],
       [-7.21631551e-04,  7.21631551e-04],
       [ 9.10343304e-04, -9.10343304e-04],
       [ 1.68263371e-03, -1.68263371e-03],
       [ 8.29774352e-04, -8.29774352e-04],
       [ 1.50409297e-03, -1.50409297e-03],
       [ 5.56180134e-05, -5.56180134e-05],
       [ 3.52124159e-04, -3.52124159e-04],
       [ 4.29920733e-05, -4.29920733e-05],
       [ 5.07468883e-04, -5.07468883e-04],
       [-2.00709283e-03,  2.00709283e-03],
       [ 5.06941271e-04, -5.06941271e-04],
       [ 1.26921781e-03, -1.26921781e-03],
       [-5.51168023e-06,  5.51168023e-06],
       [-4.74643607e-04,  4.74643607e-04],
       [-4.31118981e-05,  4.31118981e-05],
       [-5.00266162e-06,  5.00266162e-06],
       [-3.23497490e-05,  3.23497490e-05],
       [-4.66059151e-06,  4.66059151e-06],
       [-5.50545951e-05,  5.50545951e-05],
       [-1.37554762e-05,  1.37554762e-05],
       [-2.65752898e-04,  2.65752898e-04],
       [-1.04326491e-05,  1.04326491e-05],
       [-1.45281311e-05,  1.45281311e-05],
       [-1.99786204e-05,  1.99786204e-05],
       [-1.82741462e-05,  1.82741462e-05],
       [-1.65730743e-05,  1.65730743e-05],
       [ 1.40815514e-04, -1.40815514e-04],
       [-5.02093429e-04,  5.02093429e-04],
       [-3.01903121e-04,  3.01903121e-04],
       [-6.78116464e-05,  6.78116464e-05],
       [-1.62247339e-03,  1.62247339e-03],
       [-3.23670256e-04,  3.23670256e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 3.16462763e-05, -3.16462763e-05],
       [-2.60692883e-03,  2.60692883e-03],
       [-1.87483385e-04,  1.87483385e-04],
       [-5.63163347e-06,  5.63163347e-06]])}"
MLP,0.9981879954699887,0.9983010533469249,0.9982445212073163,0.9982365322259514,6.410442352294922,"{'SHAP': array([[-6.27636080e-04,  6.27636080e-04],
       [-1.46211499e-03,  1.46211499e-03],
       [-4.54817765e-03,  4.54817765e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.31700891e-05,  1.31700891e-05],
       [ 9.48057462e-04, -9.48057462e-04],
       [-1.86623716e-03,  1.86623716e-03],
       [ 1.37835861e-05, -1.37835861e-05],
       [-1.49531503e-05,  1.49531503e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 7.51672500e-06, -7.51672500e-06],
       [-6.08805396e-04,  6.08805396e-04],
       [-4.80875747e-04,  4.80875747e-04],
       [-5.53274454e-04,  5.53274454e-04],
       [-3.65402115e-04,  3.65402115e-04],
       [-5.22935317e-04,  5.22935317e-04],
       [-2.20963940e-04,  2.20963940e-04],
       [ 1.44281826e-04, -1.44281826e-04],
       [-5.59830624e-05,  5.59830624e-05],
       [ 3.33458716e-03, -3.33458716e-03],
       [ 3.04783879e-03, -3.04783879e-03],
       [ 8.73397389e-04, -8.73397389e-04],
       [ 3.28621907e-03, -3.28621907e-03],
       [-2.68962030e-04,  2.68962030e-04],
       [-3.57770906e-04,  3.57770906e-04],
       [-1.08928777e-04,  1.08928777e-04],
       [ 1.14126662e-04, -1.14126662e-04],
       [-5.52346049e-04,  5.52346049e-04],
       [ 2.00777674e-04, -2.00777674e-04],
       [-6.50954420e-05,  6.50954420e-05],
       [ 2.55711998e-04, -2.55711998e-04],
       [-1.49574345e-04,  1.49574345e-04],
       [ 1.54813944e-04, -1.54813944e-04],
       [ 1.40702073e-04, -1.40702073e-04],
       [ 1.22521822e-04, -1.22521822e-04],
       [ 1.32713357e-04, -1.32713357e-04],
       [-2.99090725e-04,  2.99090725e-04],
       [-1.70036679e-04,  1.70036679e-04],
       [-7.41336710e-06,  7.41336710e-06],
       [ 6.67682349e-04, -6.67682349e-04],
       [-1.00845389e-04,  1.00845389e-04],
       [ 1.84495654e-04, -1.84495654e-04],
       [ 1.13457715e-04, -1.13457715e-04],
       [-7.68575309e-04,  7.68575309e-04],
       [-3.71784109e-04,  3.71784109e-04],
       [ 9.04723119e-05, -9.04723119e-05],
       [ 8.10109035e-06, -8.10109035e-06],
       [ 1.32206998e-05, -1.32206998e-05],
       [-5.07326388e-03,  5.07326388e-03],
       [ 2.11104715e-05, -2.11104715e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [-3.01994641e-04,  3.01994641e-04],
       [ 4.92249925e-05, -4.92249925e-05],
       [-7.69215231e-05,  7.69215231e-05],
       [ 1.13587729e-05, -1.13587729e-05]])}"
Stochastic Gradient Descent,0.9906521004617637,0.9962623173632348,0.9934492884571945,0.9934012173616247,0.1347048282623291,"{'SHAP': array([[-1.81241333e-05,  1.81241333e-05],
       [-5.87465023e-04,  5.87465023e-04],
       [-6.09754031e-03,  6.09754031e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [-3.77691885e-07,  3.77691885e-07],
       [ 3.67059692e-05, -3.67059692e-05],
       [-3.83642188e-03,  3.83642188e-03],
       [ 4.40330888e-08, -4.40330888e-08],
       [-1.33315146e-07,  1.33315146e-07],
       [ 0.00000000e+00,  0.00000000e+00],
       [-6.63559715e-08,  6.63559715e-08],
       [-8.05254717e-04,  8.05254717e-04],
       [ 1.94562353e-05, -1.94562353e-05],
       [ 3.85537314e-04, -3.85537314e-04],
       [-1.27665515e-04,  1.27665515e-04],
       [-1.52768253e-05,  1.52768253e-05],
       [ 7.49242462e-07, -7.49242462e-07],
       [-2.58337398e-06,  2.58337398e-06],
       [-8.41533214e-06,  8.41533214e-06],
       [ 3.72573486e-03, -3.72573486e-03],
       [ 2.32495964e-03, -2.32495964e-03],
       [ 1.17075368e-03, -1.17075368e-03],
       [ 2.18396528e-03, -2.18396528e-03],
       [ 7.53123275e-05, -7.53123275e-05],
       [ 1.22850344e-05, -1.22850344e-05],
       [ 7.83438213e-05, -7.83438213e-05],
       [ 8.74288199e-05, -8.74288199e-05],
       [-3.58867164e-05,  3.58867164e-05],
       [ 8.32433326e-05, -8.32433326e-05],
       [ 1.79722174e-05, -1.79722174e-05],
       [ 5.40155386e-06, -5.40155386e-06],
       [-3.11322529e-05,  3.11322529e-05],
       [ 5.00552273e-06, -5.00552273e-06],
       [ 4.18995056e-06, -4.18995056e-06],
       [ 5.30793408e-06, -5.30793408e-06],
       [ 5.55167863e-06, -5.55167863e-06],
       [-8.57497198e-06,  8.57497198e-06],
       [ 1.06773263e-04, -1.06773263e-04],
       [-1.02335002e-05,  1.02335002e-05],
       [ 1.92234707e-04, -1.92234707e-04],
       [ 3.16002643e-05, -3.16002643e-05],
       [ 2.18811246e-04, -2.18811246e-04],
       [ 1.78975233e-04, -1.78975233e-04],
       [ 6.83651591e-05, -6.83651591e-05],
       [-9.30789988e-05,  9.30789988e-05],
       [-2.44205841e-05,  2.44205841e-05],
       [ 1.56033724e-06, -1.56033724e-06],
       [ 2.57882264e-06, -2.57882264e-06],
       [-3.69310346e-03,  3.69310346e-03],
       [-1.34185262e-05,  1.34185262e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.94058384e-05, -1.94058384e-05],
       [-8.03566149e-04,  8.03566149e-04],
       [-4.30302416e-06,  4.30302416e-06],
       [ 1.69441243e-06, -1.69441243e-06]])}"
ADA Boost,1.0,1.0,1.0,1.0,17.19125247001648,"{'SHAP': array([[ 2.85653618e-04, -2.85653618e-04],
       [-1.48786190e-04,  1.48786190e-04],
       [ 3.95601430e-04, -3.95601430e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 6.02214436e-05, -6.02214436e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 9.66630847e-05, -9.66630847e-05],
       [-3.37900336e-05,  3.37900336e-05],
       [-2.99368838e-04,  2.99368838e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-8.08111899e-05,  8.08111899e-05],
       [-7.99308151e-05,  7.99308151e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [-2.70142346e-07,  2.70142346e-07],
       [-2.73776995e-04,  2.73776995e-04],
       [ 1.33582573e-04, -1.33582573e-04],
       [-1.40583733e-05,  1.40583733e-05],
       [ 2.36506865e-04, -2.36506865e-04],
       [ 5.48445033e-05, -5.48445033e-05],
       [ 1.20640484e-03, -1.20640484e-03],
       [ 9.27184468e-04, -9.27184468e-04],
       [-7.67814958e-05,  7.67814958e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 3.15134657e-03, -3.15134657e-03],
       [ 3.33103923e-04, -3.33103923e-04],
       [ 1.89750584e-03, -1.89750584e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [-3.14159691e-05,  3.14159691e-05],
       [ 1.05674126e-04, -1.05674126e-04],
       [ 1.50335629e-05, -1.50335629e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 6.78601986e-05, -6.78601986e-05],
       [ 1.67714982e-04, -1.67714982e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 3.61624244e-04, -3.61624244e-04],
       [-1.74149282e-04,  1.74149282e-04],
       [-4.17166515e-05,  4.17166515e-05],
       [-1.43390176e-04,  1.43390176e-04],
       [ 1.41350656e-04, -1.41350656e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.22418843e-04,  1.22418843e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.46518201e-02,  1.46518201e-02],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 5.70689820e-04, -5.70689820e-04],
       [ 9.49772939e-04, -9.49772939e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00]])}"
Gradient Boosting,1.0,0.9996602106693849,0.9998300764655904,0.9998293418283178,41.81373906135559,"{'SHAP': array([[ 0.00000000e+00,  0.00000000e+00],
       [-7.61375330e-05,  7.61375330e-05],
       [ 1.23989783e-06, -1.23989783e-06],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.11709222e-03, -1.11709222e-03],
       [-6.23591453e-07,  6.23591453e-07],
       [-9.32085797e-08,  9.32085797e-08],
       [ 3.69426728e-04, -3.69426728e-04],
       [-5.13497753e-03,  5.13497753e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 2.08952228e-05, -2.08952228e-05],
       [ 1.25335477e-03, -1.25335477e-03],
       [-1.63982046e-03,  1.63982046e-03],
       [-2.51067698e-04,  2.51067698e-04],
       [-7.07158827e-04,  7.07158827e-04],
       [-2.37046953e-06,  2.37046953e-06],
       [-1.11498539e-05,  1.11498539e-05],
       [-1.18350445e-04,  1.18350445e-04],
       [ 5.21896949e-05, -5.21896949e-05],
       [ 4.30614063e-04, -4.30614063e-04],
       [ 1.84336245e-04, -1.84336245e-04],
       [-5.46581662e-05,  5.46581662e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.15328628e-03, -1.15328628e-03],
       [-1.56748906e-04,  1.56748906e-04],
       [ 3.72388372e-04, -3.72388372e-04],
       [ 1.22430153e-05, -1.22430153e-05],
       [-1.15744974e-04,  1.15744974e-04],
       [ 1.12921042e-04, -1.12921042e-04],
       [ 1.11508152e-04, -1.11508152e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [-4.56460014e-06,  4.56460014e-06],
       [-2.36527102e-06,  2.36527102e-06],
       [-7.87405686e-06,  7.87405686e-06],
       [-3.16643693e-06,  3.16643693e-06],
       [-1.14977263e-04,  1.14977263e-04],
       [ 5.54003497e-06, -5.54003497e-06],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 2.12423623e-06, -2.12423623e-06],
       [ 1.54861584e-05, -1.54861584e-05],
       [-3.55203012e-05,  3.55203012e-05],
       [ 1.00127702e-05, -1.00127702e-05],
       [ 5.27493017e-05, -5.27493017e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 4.41462695e-03, -4.41462695e-03],
       [ 4.83900557e-05, -4.83900557e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.43285204e-02,  1.43285204e-02],
       [ 4.35616011e-04, -4.35616011e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-8.46993514e-05,  8.46993514e-05],
       [ 6.68052653e-04, -6.68052653e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00]])}"
XGBoost,1.0,0.999886736889795,0.9999433652375829,0.9999431139427726,0.38892102241516113,"{'SHAP': array([[-7.65039795e-07,  7.65039759e-07],
       [-3.47866133e-04,  3.47866084e-04],
       [-1.46259963e-03,  1.46259965e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.93820760e-04,  1.93820800e-04],
       [-2.12609532e-05,  2.12609533e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 3.83402811e-05, -3.83402795e-05],
       [-9.60777229e-03,  9.60777235e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.06111307e-05, -1.06110992e-05],
       [-1.67723019e-04,  1.67723055e-04],
       [-2.47699513e-04,  2.47699512e-04],
       [-3.56742898e-04,  3.56742917e-04],
       [-7.53971296e-04,  7.53971237e-04],
       [-1.69171974e-04,  1.69171951e-04],
       [ 5.46194816e-05, -5.46194664e-05],
       [ 4.52070690e-05, -4.52070673e-05],
       [-5.96806750e-05,  5.96806450e-05],
       [ 4.70754702e-04, -4.70754751e-04],
       [ 1.97702199e-04, -1.97702238e-04],
       [-4.50424965e-05,  4.50424967e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 3.52115877e-03, -3.52115849e-03],
       [ 1.18774533e-03, -1.18774562e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 7.74430076e-05, -7.74430011e-05],
       [-1.24036762e-04,  1.24036722e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.98426292e-04, -1.98426382e-04],
       [ 1.89063819e-06, -1.89064029e-06],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.42380319e-05, -1.42380317e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.39124147e-04,  1.39124085e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-5.78727341e-05,  5.78727486e-05],
       [ 8.20117548e-05, -8.20117227e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.82216151e-04, -1.82216198e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.33553732e-05,  1.33553737e-05],
       [-8.17617760e-05,  8.17618521e-05],
       [ 7.22682780e-06, -7.22680706e-06],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 6.05994305e-03, -6.05994301e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.27982156e-02,  1.27982157e-02],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 2.13589256e-05, -2.13589181e-05],
       [ 2.36183104e-03, -2.36183105e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00]])}"
LightGBM,0.9998867497168743,1.0,0.9999433716518489,0.9999431139427726,2.468259572982788,"{'SHAP': array([[-6.47847913e-05,  6.47847913e-05],
       [ 1.21763240e-05, -1.21763240e-05],
       [-2.51910667e-04,  2.51910667e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-2.58521095e-04,  2.58521095e-04],
       [-1.34892788e-04,  1.34892788e-04],
       [ 3.08682011e-04, -3.08682011e-04],
       [-9.97220391e-05,  9.97220391e-05],
       [-4.72408969e-03,  4.72408969e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 3.44752622e-06, -3.44752622e-06],
       [-6.93810354e-04,  6.93810354e-04],
       [-9.32081918e-05,  9.32081918e-05],
       [-9.24750207e-05,  9.24750207e-05],
       [-9.81997593e-04,  9.81997593e-04],
       [-2.69849307e-04,  2.69849307e-04],
       [-2.48344455e-05,  2.48344455e-05],
       [ 2.87732040e-04, -2.87732040e-04],
       [-9.11062261e-07,  9.11062261e-07],
       [ 1.12753440e-04, -1.12753440e-04],
       [-2.91021569e-05,  2.91021569e-05],
       [-5.80397491e-04,  5.80397491e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 2.35255644e-04, -2.35255644e-04],
       [-6.39577126e-04,  6.39577126e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 2.35408507e-04, -2.35408507e-04],
       [-3.13321685e-04,  3.13321685e-04],
       [ 4.63129073e-06, -4.63129073e-06],
       [-1.68858999e-04,  1.68858999e-04],
       [ 5.53417092e-08, -5.53417092e-08],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 9.43729987e-05, -9.43729987e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.35485864e-05, -1.35485864e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 4.79591659e-04, -4.79591659e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.09751069e-04, -1.09751069e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 7.90350288e-05, -7.90350288e-05],
       [ 6.56248637e-05, -6.56248637e-05],
       [ 3.93784758e-05, -3.93784758e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 6.82436355e-03, -6.82436355e-03],
       [-1.14165697e-06,  1.14165697e-06],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.61048563e-02,  1.61048563e-02],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.99766391e-05,  1.99766391e-05],
       [ 4.34350063e-03, -4.34350063e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00]])}"
