Model,Precision,Recall,F1Score,Accuracy,RunTime,XAI
DecisionTree,1.0,0.999886736889795,0.9999433652375829,0.9999431139427726,0.7064187526702881,"{'SHAP': array([[ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.18948746e-03, -1.18948746e-03],
       [-5.95739234e-03,  5.95739234e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [-2.48119916e-03,  2.48119916e-03],
       [-1.06126628e-03,  1.06126628e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 2.03367655e-04, -2.03367655e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-5.83594061e-04,  5.83594061e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 4.03891006e-04, -4.03891006e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [-2.21855623e-05,  2.21855623e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.37641504e-03, -1.37641504e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 6.86421298e-03, -6.86421298e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.51776552e-02,  1.51776552e-02],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 3.05580522e-03, -3.05580522e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00]])}"
RandomForest,0.999886736889795,0.999886736889795,0.999886736889795,0.9998862278855453,3.978919744491577,"{'SHAP': array([[-2.32609363e-04,  2.32609363e-04],
       [-2.71132601e-04,  2.71132601e-04],
       [-6.08615962e-04,  6.08615962e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-4.60680357e-04,  4.60680357e-04],
       [-1.08811081e-03,  1.08811081e-03],
       [-9.70644519e-04,  9.70644519e-04],
       [ 2.21640594e-04, -2.21640594e-04],
       [-1.39093691e-03,  1.39093691e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [-2.41970533e-05,  2.41970533e-05],
       [-4.56413903e-04,  4.56413903e-04],
       [-2.42937596e-04,  2.42937596e-04],
       [-4.02769213e-04,  4.02769213e-04],
       [-1.17680983e-03,  1.17680983e-03],
       [-1.57202344e-04,  1.57202344e-04],
       [ 2.32959782e-04, -2.32959782e-04],
       [-1.59466409e-04,  1.59466409e-04],
       [ 3.13887024e-04, -3.13887024e-04],
       [ 7.53823312e-04, -7.53823312e-04],
       [ 5.33321577e-04, -5.33321577e-04],
       [-2.05712498e-04,  2.05712498e-04],
       [ 3.49941407e-04, -3.49941407e-04],
       [ 2.01532510e-04, -2.01532510e-04],
       [-5.26767165e-04,  5.26767165e-04],
       [ 9.45099266e-04, -9.45099266e-04],
       [-3.71731043e-04,  3.71731043e-04],
       [-6.36419592e-04,  6.36419592e-04],
       [-1.67050458e-04,  1.67050458e-04],
       [ 2.37805336e-04, -2.37805336e-04],
       [ 5.34637920e-05, -5.34637920e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 6.54587861e-05, -6.54587861e-05],
       [ 3.39040901e-06, -3.39040901e-06],
       [-9.44194778e-06,  9.44194778e-06],
       [ 7.89658115e-05, -7.89658115e-05],
       [-6.03070709e-04,  6.03070709e-04],
       [ 6.44439388e-05, -6.44439388e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 9.28187041e-05, -9.28187041e-05],
       [ 1.50180329e-04, -1.50180329e-04],
       [ 2.63804540e-04, -2.63804540e-04],
       [ 8.25826270e-05, -8.25826270e-05],
       [-1.31277092e-04,  1.31277092e-04],
       [-5.29757097e-05,  5.29757097e-05],
       [-1.18566585e-03,  1.18566585e-03],
       [-4.65509984e-05,  4.65509984e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [-5.39194266e-03,  5.39194266e-03],
       [-3.85399625e-04,  3.85399625e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.89486319e-04, -1.89486319e-04],
       [-2.72290802e-05,  2.72290802e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00]])}"
Logistic Regression,0.994912379875636,0.9967153698040548,0.9958130587303384,0.9957904317651743,0.6486465930938721,"{'SHAP': array([[-5.41565737e-05,  5.41565737e-05],
       [-6.63643232e-04,  6.63643232e-04],
       [-6.30439645e-03,  6.30439645e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [-4.53530452e-07,  4.53530452e-07],
       [ 6.64108961e-05, -6.64108961e-05],
       [-3.05943488e-03,  3.05943488e-03],
       [ 1.24732682e-07, -1.24732682e-07],
       [-2.73144027e-07,  2.73144027e-07],
       [ 0.00000000e+00,  0.00000000e+00],
       [-6.47178119e-09,  6.47178119e-09],
       [-3.30251628e-04,  3.30251628e-04],
       [-3.53956388e-05,  3.53956388e-05],
       [ 2.64021121e-04, -2.64021121e-04],
       [-8.29779993e-05,  8.29779993e-05],
       [-5.86965137e-05,  5.86965137e-05],
       [-1.47467260e-05,  1.47467260e-05],
       [ 5.32736929e-07, -5.32736929e-07],
       [-4.87937680e-06,  4.87937680e-06],
       [ 4.84196796e-03, -4.84196796e-03],
       [ 2.26610663e-03, -2.26610663e-03],
       [ 1.11198613e-03, -1.11198613e-03],
       [ 2.34624837e-03, -2.34624837e-03],
       [ 6.10283476e-05, -6.10283476e-05],
       [ 1.01411123e-05, -1.01411123e-05],
       [ 6.10913322e-05, -6.10913322e-05],
       [ 1.00952790e-04, -1.00952790e-04],
       [-4.37225513e-05,  4.37225513e-05],
       [ 9.74461893e-05, -9.74461893e-05],
       [ 1.78417374e-05, -1.78417374e-05],
       [ 1.23222021e-05, -1.23222021e-05],
       [-3.42286113e-05,  3.42286113e-05],
       [ 9.30225955e-06, -9.30225955e-06],
       [ 1.05630291e-05, -1.05630291e-05],
       [ 1.07647019e-05, -1.07647019e-05],
       [ 1.34755887e-05, -1.34755887e-05],
       [-1.65121363e-05,  1.65121363e-05],
       [ 5.29182712e-05, -5.29182712e-05],
       [-1.59663880e-05,  1.59663880e-05],
       [ 2.89043298e-04, -2.89043298e-04],
       [ 1.64984467e-05, -1.64984467e-05],
       [ 2.73730372e-04, -2.73730372e-04],
       [ 1.95136897e-04, -1.95136897e-04],
       [-9.44185715e-05,  9.44185715e-05],
       [-1.52392855e-04,  1.52392855e-04],
       [-6.79384535e-05,  6.79384535e-05],
       [-2.68286337e-06,  2.68286337e-06],
       [ 1.45716171e-09, -1.45716171e-09],
       [-5.39311656e-03,  5.39311656e-03],
       [-1.64126639e-05,  1.64126639e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 6.01025495e-05, -6.01025495e-05],
       [-1.03934564e-03,  1.03934564e-03],
       [-5.77726309e-06,  5.77726309e-06],
       [-3.36096607e-09,  3.36096607e-09]])}"
Naive Bayes,0.9897534061479563,0.9955827387020048,0.9926595143986447,0.9926048125604414,0.0998983383178711,"{'SHAP': array([[ 2.40300061e-04, -2.40300061e-04],
       [-8.42000193e-05,  8.42000193e-05],
       [-5.39093085e-04,  5.39093085e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-3.80263010e-04,  3.80263010e-04],
       [ 1.50753628e-04, -1.50753628e-04],
       [-5.60721963e-04,  5.60721963e-04],
       [-3.13064154e-04,  3.13064154e-04],
       [-2.38278233e-04,  2.38278233e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-6.80784476e-04,  6.80784476e-04],
       [-4.83415870e-04,  4.83415870e-04],
       [-3.13375503e-05,  3.13375503e-05],
       [ 4.03121244e-04, -4.03121244e-04],
       [-7.24763917e-04,  7.24763917e-04],
       [ 9.13677404e-05, -9.13677404e-05],
       [-2.54453571e-05,  2.54453571e-05],
       [-2.28141116e-04,  2.28141116e-04],
       [-6.22286893e-04,  6.22286893e-04],
       [ 1.31504614e-03, -1.31504614e-03],
       [ 1.50107580e-03, -1.50107580e-03],
       [ 9.60368216e-04, -9.60368216e-04],
       [ 1.41103203e-03, -1.41103203e-03],
       [ 2.10114055e-05, -2.10114055e-05],
       [ 3.59885988e-04, -3.59885988e-04],
       [ 2.03418793e-05, -2.03418793e-05],
       [ 6.50372380e-04, -6.50372380e-04],
       [-2.11482313e-03,  2.11482313e-03],
       [ 5.04193125e-04, -5.04193125e-04],
       [ 1.23150222e-03, -1.23150222e-03],
       [-4.61979800e-06,  4.61979800e-06],
       [-4.49966760e-04,  4.49966760e-04],
       [-4.44026292e-05,  4.44026292e-05],
       [-6.11271219e-06,  6.11271219e-06],
       [-3.05992339e-05,  3.05992339e-05],
       [-5.47592628e-06,  5.47592628e-06],
       [-4.45722370e-05,  4.45722370e-05],
       [-1.45443079e-05,  1.45443079e-05],
       [-2.67698228e-04,  2.67698228e-04],
       [-1.27489556e-05,  1.27489556e-05],
       [-1.34862209e-05,  1.34862209e-05],
       [-1.73708204e-05,  1.73708204e-05],
       [-1.44683070e-05,  1.44683070e-05],
       [-2.23140071e-05,  2.23140071e-05],
       [ 1.45299168e-04, -1.45299168e-04],
       [-3.77350701e-04,  3.77350701e-04],
       [-6.59262789e-04,  6.59262789e-04],
       [-6.28504489e-05,  6.28504489e-05],
       [-1.67765323e-03,  1.67765323e-03],
       [-5.70550038e-04,  5.70550038e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 4.85861555e-05, -4.85861555e-05],
       [-2.70981302e-03,  2.70981302e-03],
       [-1.86098876e-04,  1.86098876e-04],
       [-1.12554758e-05,  1.12554758e-05]])}"
MLP,0.9981879954699887,0.9983010533469249,0.9982445212073163,0.9982365322259514,7.26297926902771,"{'SHAP': array([[-6.23463866e-04,  6.23463866e-04],
       [-1.66390257e-03,  1.66390257e-03],
       [-4.55954397e-03,  4.55954397e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.65823826e-05,  1.65823826e-05],
       [ 7.40776670e-04, -7.40776670e-04],
       [-1.57314492e-03,  1.57314492e-03],
       [ 1.02319331e-05, -1.02319331e-05],
       [-1.14502440e-05,  1.14502440e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 6.86519733e-06, -6.86519733e-06],
       [-3.26590538e-04,  3.26590538e-04],
       [-4.43796710e-04,  4.43796710e-04],
       [-5.08581378e-04,  5.08581378e-04],
       [-4.40876575e-04,  4.40876575e-04],
       [-5.20626528e-04,  5.20626528e-04],
       [-2.34902689e-04,  2.34902689e-04],
       [ 2.12727249e-05, -2.12727249e-05],
       [-1.11039360e-04,  1.11039360e-04],
       [ 3.37758230e-03, -3.37758230e-03],
       [ 2.82862363e-03, -2.82862363e-03],
       [ 8.15084099e-04, -8.15084099e-04],
       [ 3.28735032e-03, -3.28735032e-03],
       [-2.66938081e-04,  2.66938081e-04],
       [-3.46465721e-04,  3.46465721e-04],
       [-1.11458964e-04,  1.11458964e-04],
       [ 1.87235284e-04, -1.87235284e-04],
       [-5.86780243e-04,  5.86780243e-04],
       [ 3.04171640e-04, -3.04171640e-04],
       [-7.77659722e-05,  7.77659722e-05],
       [ 1.90970044e-04, -1.90970044e-04],
       [-1.37423894e-04,  1.37423894e-04],
       [ 1.10504928e-04, -1.10504928e-04],
       [ 1.13181808e-04, -1.13181808e-04],
       [ 1.28299533e-04, -1.28299533e-04],
       [ 9.32488442e-05, -9.32488442e-05],
       [-3.01367320e-04,  3.01367320e-04],
       [-1.66650000e-04,  1.66650000e-04],
       [-7.25669420e-06,  7.25669420e-06],
       [ 5.87166046e-04, -5.87166046e-04],
       [-7.42009618e-05,  7.42009618e-05],
       [ 1.14365859e-04, -1.14365859e-04],
       [ 1.26390558e-04, -1.26390558e-04],
       [-8.61941359e-04,  8.61941359e-04],
       [-3.62825880e-04,  3.62825880e-04],
       [ 7.71096014e-05, -7.71096014e-05],
       [ 1.15645110e-05, -1.15645110e-05],
       [ 9.17327519e-06, -9.17327519e-06],
       [-4.58384931e-03,  4.58384931e-03],
       [ 1.78749722e-05, -1.78749722e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [-3.00813685e-04,  3.00813685e-04],
       [ 5.01785182e-05, -5.01785182e-05],
       [-8.23599671e-05,  8.23599671e-05],
       [ 1.64187716e-05, -1.64187716e-05]])}"
Stochastic Gradient Descent,0.9906521004617637,0.9962623173632348,0.9934492884571945,0.9934012173616247,0.18570542335510254,"{'SHAP': array([[-2.62462743e-05,  2.62462743e-05],
       [-6.03472892e-04,  6.03472892e-04],
       [-6.09149739e-03,  6.09149739e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [-3.41204498e-07,  3.41204498e-07],
       [ 6.57966011e-05, -6.57966011e-05],
       [-3.90107403e-03,  3.90107403e-03],
       [ 9.49117749e-09, -9.49117749e-09],
       [-1.66827012e-07,  1.66827012e-07],
       [ 0.00000000e+00,  0.00000000e+00],
       [-5.45808668e-08,  5.45808668e-08],
       [-6.66556255e-04,  6.66556255e-04],
       [ 1.38528263e-05, -1.38528263e-05],
       [ 3.85172382e-04, -3.85172382e-04],
       [-1.16310144e-04,  1.16310144e-04],
       [-1.94757925e-05,  1.94757925e-05],
       [ 6.91295929e-07, -6.91295929e-07],
       [-1.91997178e-05,  1.91997178e-05],
       [-8.96467763e-06,  8.96467763e-06],
       [ 3.82736411e-03, -3.82736411e-03],
       [ 2.21961403e-03, -2.21961403e-03],
       [ 1.19725950e-03, -1.19725950e-03],
       [ 2.21216184e-03, -2.21216184e-03],
       [ 7.53643640e-05, -7.53643640e-05],
       [ 1.26078006e-05, -1.26078006e-05],
       [ 7.65806781e-05, -7.65806781e-05],
       [ 8.27722576e-05, -8.27722576e-05],
       [-3.50349465e-05,  3.50349465e-05],
       [ 8.46341545e-05, -8.46341545e-05],
       [ 1.91110146e-05, -1.91110146e-05],
       [ 5.17489963e-06, -5.17489963e-06],
       [-3.20798318e-05,  3.20798318e-05],
       [ 5.56839357e-06, -5.56839357e-06],
       [ 3.77070600e-06, -3.77070600e-06],
       [ 5.76924616e-06, -5.76924616e-06],
       [ 5.83858122e-06, -5.83858122e-06],
       [-9.21800572e-06,  9.21800572e-06],
       [ 1.13602162e-04, -1.13602162e-04],
       [-1.06701869e-05,  1.06701869e-05],
       [ 2.03179222e-04, -2.03179222e-04],
       [ 2.98030641e-05, -2.98030641e-05],
       [ 2.77742027e-04, -2.77742027e-04],
       [ 1.89097170e-04, -1.89097170e-04],
       [ 6.85571219e-05, -6.85571219e-05],
       [-9.77513222e-05,  9.77513222e-05],
       [-2.70906461e-05,  2.70906461e-05],
       [ 1.65365967e-06, -1.65365967e-06],
       [ 2.58129853e-06, -2.58129853e-06],
       [-3.86153325e-03,  3.86153325e-03],
       [-1.87029934e-05,  1.87029934e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.96089985e-05, -1.96089985e-05],
       [-8.24727043e-04,  8.24727043e-04],
       [-4.14998452e-06,  4.14998452e-06],
       [ 2.28416395e-06, -2.28416395e-06]])}"
ADA Boost,1.0,1.0,1.0,1.0,21.215054988861084,"{'SHAP': array([[ 2.86015507e-04, -2.86015507e-04],
       [-1.48526396e-04,  1.48526396e-04],
       [ 3.94871316e-04, -3.94871316e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 6.09300549e-05, -6.09300549e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.01178288e-04, -1.01178288e-04],
       [-3.73987074e-05,  3.73987074e-05],
       [-2.92942936e-04,  2.92942936e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-8.15555254e-05,  8.15555254e-05],
       [-8.50312940e-05,  8.50312940e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.49250007e-06, -1.49250007e-06],
       [-2.69779435e-04,  2.69779435e-04],
       [ 1.33740063e-04, -1.33740063e-04],
       [-1.77171602e-05,  1.77171602e-05],
       [ 2.41068069e-04, -2.41068069e-04],
       [ 5.39560593e-05, -5.39560593e-05],
       [ 1.20962094e-03, -1.20962094e-03],
       [ 9.20108442e-04, -9.20108442e-04],
       [-7.54936830e-05,  7.54936830e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 2.87879107e-03, -2.87879107e-03],
       [ 3.33616070e-04, -3.33616070e-04],
       [ 2.16322464e-03, -2.16322464e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [-2.07392009e-05,  2.07392009e-05],
       [ 1.05050561e-04, -1.05050561e-04],
       [ 1.46853218e-05, -1.46853218e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 6.72664820e-05, -6.72664820e-05],
       [-4.59942219e-06,  4.59942219e-06],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 3.62405713e-04, -3.62405713e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-3.96448290e-05,  3.96448290e-05],
       [-1.41171870e-04,  1.41171870e-04],
       [ 1.41717171e-04, -1.41717171e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.27063869e-04,  1.27063869e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.46715519e-02,  1.46715519e-02],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 5.74031698e-04, -5.74031698e-04],
       [ 9.54614496e-04, -9.54614496e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00]])}"
Gradient Boosting,1.0,0.9996602106693849,0.9998300764655904,0.9998293418283178,36.66566848754883,"{'SHAP': array([[ 0.00000000e+00,  0.00000000e+00],
       [-7.21074133e-05,  7.21074133e-05],
       [ 8.06406246e-07, -8.06406246e-07],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 8.26100996e-04, -8.26100996e-04],
       [-6.52453704e-07,  6.52453704e-07],
       [-1.14855471e-07,  1.14855471e-07],
       [ 1.23168986e-04, -1.23168986e-04],
       [-4.71688069e-03,  4.71688069e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.52190451e-05, -1.52190451e-05],
       [ 1.40896353e-03, -1.40896353e-03],
       [-1.59071186e-03,  1.59071186e-03],
       [-1.98784990e-04,  1.98784990e-04],
       [-5.66078464e-04,  5.66078464e-04],
       [-1.00557259e-05,  1.00557259e-05],
       [-7.56797005e-05,  7.56797005e-05],
       [-1.19168800e-04,  1.19168800e-04],
       [ 5.91383349e-05, -5.91383349e-05],
       [ 3.06183329e-04, -3.06183329e-04],
       [ 1.80730194e-04, -1.80730194e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 7.90601915e-04, -7.90601915e-04],
       [-1.28590678e-04,  1.28590678e-04],
       [ 6.64726677e-04, -6.64726677e-04],
       [ 4.40088189e-05, -4.40088189e-05],
       [-5.55171076e-05,  5.55171076e-05],
       [ 1.39006203e-04, -1.39006203e-04],
       [ 1.80883308e-05, -1.80883308e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.48972961e-06,  1.48972961e-06],
       [-4.58726469e-06,  4.58726469e-06],
       [-2.86926266e-06,  2.86926266e-06],
       [-1.10641206e-04,  1.10641206e-04],
       [ 1.15911218e-05, -1.15911218e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [-5.55981835e-06,  5.55981835e-06],
       [ 1.88789288e-05, -1.88789288e-05],
       [-3.62147523e-05,  3.62147523e-05],
       [-4.56195604e-06,  4.56195604e-06],
       [ 4.93887137e-05, -4.93887137e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 4.06493372e-03, -4.06493372e-03],
       [ 7.76673456e-05, -7.76673456e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.40680053e-02,  1.40680053e-02],
       [ 4.53597786e-04, -4.53597786e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-9.05041124e-05,  9.05041124e-05],
       [ 5.97844411e-04, -5.97844411e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00]])}"
XGBoost,1.0,0.999886736889795,0.9999433652375829,0.9999431139427726,0.34710240364074707,"{'SHAP': array([[-1.05087300e-06,  1.05087296e-06],
       [-3.61101042e-04,  3.61100993e-04],
       [-1.45164725e-03,  1.45164727e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.66117736e-04,  1.66117788e-04],
       [-2.88897640e-05,  2.88897645e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [-8.70517297e-05,  8.70517365e-05],
       [-1.02214200e-02,  1.02214201e-02],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.23426434e-05, -1.23426092e-05],
       [ 5.91883341e-05, -5.91883097e-05],
       [-2.55715665e-04,  2.55715666e-04],
       [-2.95381575e-04,  2.95381613e-04],
       [-7.64716743e-04,  7.64716669e-04],
       [-1.65394599e-04,  1.65394559e-04],
       [ 6.96512468e-05, -6.96512354e-05],
       [ 5.57290943e-05, -5.57290947e-05],
       [-1.11436830e-04,  1.11436826e-04],
       [ 5.40188770e-04, -5.40188825e-04],
       [ 3.30951582e-04, -3.30951614e-04],
       [-5.16362660e-05,  5.16362660e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 3.45909969e-03, -3.45909940e-03],
       [ 1.18658918e-03, -1.18658946e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.54601297e-04, -1.54601293e-04],
       [-1.70587400e-04,  1.70587365e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.85922653e-04, -1.85922747e-04],
       [-8.66898715e-08,  8.66912470e-08],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.71447073e-05, -1.71447055e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.29782140e-04,  1.29782057e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-5.94772875e-05,  5.94773037e-05],
       [ 6.81979169e-05, -6.81978797e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.68418425e-04, -1.68418475e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.53425948e-05,  1.53425962e-05],
       [-1.52840373e-04,  1.52840441e-04],
       [-8.37873443e-07,  8.37895399e-07],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 6.59802833e-03, -6.59802828e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.28747397e-02,  1.28747398e-02],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.21812887e-05, -1.21812772e-05],
       [ 2.33126063e-03, -2.33126063e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00]])}"
LightGBM,0.9998867497168743,1.0,0.9999433716518489,0.9999431139427726,0.6177685260772705,"{'SHAP': array([[-7.20867271e-05,  7.20867271e-05],
       [ 7.32658145e-06, -7.32658145e-06],
       [-3.62075451e-04,  3.62075451e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-2.62654441e-04,  2.62654441e-04],
       [-9.35150965e-05,  9.35150965e-05],
       [ 1.82425502e-04, -1.82425502e-04],
       [-1.57479124e-04,  1.57479124e-04],
       [-4.64739272e-03,  4.64739272e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [-3.41692640e-05,  3.41692640e-05],
       [-7.08549882e-04,  7.08549882e-04],
       [-1.26219445e-04,  1.26219445e-04],
       [-8.35497788e-05,  8.35497788e-05],
       [-9.57001897e-04,  9.57001897e-04],
       [-2.71177701e-04,  2.71177701e-04],
       [-2.30706312e-05,  2.30706312e-05],
       [ 2.40870261e-04, -2.40870261e-04],
       [-7.95195027e-07,  7.95195027e-07],
       [ 1.29338451e-04, -1.29338451e-04],
       [-1.87751361e-05,  1.87751361e-05],
       [-5.59589067e-04,  5.59589067e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 2.10657189e-04, -2.10657189e-04],
       [-6.67663181e-04,  6.67663181e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 2.60044959e-04, -2.60044959e-04],
       [-2.56445589e-04,  2.56445589e-04],
       [ 1.60617161e-05, -1.60617161e-05],
       [-1.86904112e-04,  1.86904112e-04],
       [-1.51776892e-07,  1.51776892e-07],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 8.53298817e-05, -8.53298817e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.15958080e-05, -1.15958080e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 5.52786110e-04, -5.52786110e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.31725529e-04, -1.31725529e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.07678552e-04, -1.07678552e-04],
       [ 1.42231656e-04, -1.42231656e-04],
       [ 4.79124482e-05, -4.79124482e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 6.80532157e-03, -6.80532157e-03],
       [-2.90768806e-06,  2.90768806e-06],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.61270931e-02,  1.61270931e-02],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [-5.22504973e-05,  5.22504973e-05],
       [ 4.44128117e-03, -4.44128117e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00]])}"
