Model,Precision,Recall,F1Score,Accuracy,RunTime,XAI
DecisionTree,0.9997734224538348,0.9995469475591799,0.9996601721794289,0.9996586836566358,0.14130783081054688,"{'SHAP': array([[ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [-0.0152719 ,  0.0152719 ],
       [ 0.00340691, -0.00340691],
       [-0.00074392,  0.00074392],
       [ 0.00413086, -0.00413086],
       [ 0.        ,  0.        ],
       [ 0.00097355, -0.00097355],
       [ 0.00611131, -0.00611131],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.00364247, -0.00364247],
       [ 0.        ,  0.        ],
       [-0.0158798 ,  0.0158798 ],
       [ 0.        ,  0.        ],
       [ 0.0014973 , -0.0014973 ]])}"
RandomForest,1.0,0.999886736889795,0.9999433652375829,0.9999431139427726,1.6992182731628418,"{'SHAP': array([[-1.55197148e-03,  1.55197148e-03],
       [ 1.61703927e-04, -1.61703927e-04],
       [-3.04252119e-03,  3.04252119e-03],
       [-1.75187402e-03,  1.75187402e-03],
       [-8.45332499e-04,  8.45332499e-04],
       [-1.18937786e-03,  1.18937786e-03],
       [-9.09346379e-05,  9.09346379e-05],
       [ 1.26996151e-03, -1.26996151e-03],
       [ 2.37094867e-03, -2.37094867e-03],
       [ 5.93692095e-04, -5.93692095e-04],
       [ 2.52079944e-03, -2.52079944e-03],
       [-1.54505983e-03,  1.54505983e-03],
       [ 7.64872480e-04, -7.64872480e-04],
       [-1.15048782e-02,  1.15048782e-02],
       [ 2.03575858e-04, -2.03575858e-04],
       [ 1.59759941e-03, -1.59759941e-03]])}"
Logistic Regression,0.9995463309515709,0.9981877902367199,0.9988665986625863,0.9988622788554525,20.42401146888733,"{'SHAP': array([[-3.16106700e-03,  3.16106700e-03],
       [ 8.35985983e-04, -8.35985983e-04],
       [-1.53159366e-04,  1.53159366e-04],
       [ 1.37250129e-03, -1.37250129e-03],
       [-4.15389574e-03,  4.15389574e-03],
       [-5.23161610e-04,  5.23161610e-04],
       [-1.18031688e-03,  1.18031688e-03],
       [ 1.94527428e-03, -1.94527428e-03],
       [ 8.47031915e-03, -8.47031915e-03],
       [-6.06184097e-04,  6.06184097e-04],
       [-2.81950761e-03,  2.81950761e-03],
       [ 2.48843568e-04, -2.48843568e-04],
       [ 3.63764358e-06, -3.63764358e-06],
       [-1.08001552e-02,  1.08001552e-02],
       [-5.84755954e-04,  5.84755954e-04],
       [ 1.13942773e-03, -1.13942773e-03]])}"
Naive Bayes,0.9887438090950023,0.9949031600407747,0.9918139219782081,0.9917515217020308,0.03143930435180664,"{'SHAP': array([[-0.00082615,  0.00082615],
       [-0.00023161,  0.00023161],
       [-0.00184819,  0.00184819],
       [-0.0013117 ,  0.0013117 ],
       [ 0.00037071, -0.00037071],
       [-0.00168732,  0.00168732],
       [-0.00019276,  0.00019276],
       [ 0.00082012, -0.00082012],
       [ 0.00172091, -0.00172091],
       [ 0.00091036, -0.00091036],
       [ 0.00165716, -0.00165716],
       [-0.0007164 ,  0.0007164 ],
       [-0.00069983,  0.00069983],
       [-0.00252596,  0.00252596],
       [-0.00100699,  0.00100699],
       [ 0.00010177, -0.00010177]])}"
MLP,0.9962487211549392,0.9926378978366746,0.994440031771247,0.9944251663917174,13.766648530960083,"{'SHAP': array([[-8.35646997e-04,  8.35646997e-04],
       [ 2.23775556e-03, -2.23775556e-03],
       [-3.71615977e-03,  3.71615977e-03],
       [-3.99705504e-03,  3.99705504e-03],
       [ 1.52428505e-04, -1.52428505e-04],
       [-4.11171566e-03,  4.11171566e-03],
       [ 3.47557433e-03, -3.47557433e-03],
       [ 4.86068364e-03, -4.86068364e-03],
       [ 2.15396869e-03, -2.15396869e-03],
       [-6.66177708e-04,  6.66177708e-04],
       [-3.42638426e-04,  3.42638426e-04],
       [ 6.54900108e-04, -6.54900108e-04],
       [-2.94036895e-05,  2.94036895e-05],
       [-1.12537613e-03,  1.12537613e-03],
       [ 6.90689294e-05, -6.90689294e-05],
       [-1.45294358e-04,  1.45294358e-04]])}"
Stochastic Gradient Descent,0.982906937772316,0.9964888435836448,0.9896512935883015,0.9895329654701632,1.4174160957336426,"{'SHAP': array([[-1.77945784e-05,  1.77945784e-05],
       [ 2.62578788e-03, -2.62578788e-03],
       [ 2.79790825e-04, -2.79790825e-04],
       [-8.82644506e-03,  8.82644506e-03],
       [ 3.56479218e-04, -3.56479218e-04],
       [-4.53219378e-03,  4.53219378e-03],
       [ 1.44193341e-03, -1.44193341e-03],
       [ 6.93855214e-03, -6.93855214e-03],
       [ 1.28263803e-03, -1.28263803e-03],
       [-1.21290115e-04,  1.21290115e-04],
       [ 1.19964626e-03, -1.19964626e-03],
       [ 6.48835398e-05, -6.48835398e-05],
       [ 6.95761770e-05, -6.95761770e-05],
       [-4.38214111e-05,  4.38214111e-05],
       [ 1.72777647e-05, -1.72777647e-05],
       [ 7.78814109e-05, -7.78814109e-05]])}"
ADA Boost,0.9998866983911171,0.9995469475591799,0.9997167941093175,0.9997155697138631,6.338651418685913,"{'SHAP': array([[ 3.59448194e-05, -3.59448194e-05],
       [-2.41992865e-04,  2.41992865e-04],
       [-3.84077625e-04,  3.84077625e-04],
       [-4.56295303e-04,  4.56295303e-04],
       [-2.19218278e-03,  2.19218278e-03],
       [ 3.69685032e-04, -3.69685032e-04],
       [-1.70086043e-04,  1.70086043e-04],
       [ 2.42483870e-03, -2.42483870e-03],
       [ 2.24624871e-03, -2.24624871e-03],
       [ 7.19700547e-05, -7.19700547e-05],
       [ 2.12751175e-03, -2.12751175e-03],
       [-8.68599741e-05,  8.68599741e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [-8.15663913e-03,  8.15663913e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.14638209e-03, -1.14638209e-03]])}"
Gradient Boosting,1.0,0.9996602106693849,0.9998300764655904,0.9998293418283178,11.53614854812622,"{'SHAP': array([[-1.39841289e-05,  1.39841289e-05],
       [ 7.11181813e-04, -7.11181813e-04],
       [-3.81182581e-03,  3.81182581e-03],
       [-1.72633487e-03,  1.72633487e-03],
       [-8.35615532e-04,  8.35615532e-04],
       [ 1.31834665e-03, -1.31834665e-03],
       [-3.34249161e-05,  3.34249161e-05],
       [ 2.39445580e-04, -2.39445580e-04],
       [ 2.74677081e-03, -2.74677081e-03],
       [ 2.41118167e-04, -2.41118167e-04],
       [ 3.06891978e-03, -3.06891978e-03],
       [ 3.18254326e-03, -3.18254326e-03],
       [ 6.76650399e-05, -6.76650399e-05],
       [-1.97108909e-02,  1.97108909e-02],
       [ 4.52301561e-04, -4.52301561e-04],
       [ 2.14004757e-03, -2.14004757e-03]])}"
XGBoost,1.0,0.99977347377959,0.9998867240598097,0.9998862278855453,0.3246138095855713,"{'SHAP': array([[-1.87735542e-03,  1.87735533e-03],
       [ 1.19169308e-03, -1.19169331e-03],
       [-4.35906449e-03,  4.35906443e-03],
       [-4.37872324e-04,  4.37872360e-04],
       [-1.28615293e-03,  1.28615277e-03],
       [-5.48975743e-04,  5.48975603e-04],
       [-4.72958068e-05,  4.72957541e-05],
       [ 1.23787632e-04, -1.23788223e-04],
       [ 4.07458311e-03, -4.07458354e-03],
       [ 2.01409455e-04, -2.01409426e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 6.33955589e-03, -6.33955598e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.62850973e-02,  1.62850972e-02],
       [ 2.84460416e-04, -2.84460271e-04],
       [ 5.66375133e-04, -5.66375169e-04]])}"
LightGBM,0.9998866855524079,0.999433684448975,0.9996601336807522,0.9996586836566358,0.17504549026489258,"{'SHAP': array([[-1.80135725e-03,  1.80135725e-03],
       [ 3.54861980e-04, -3.54861980e-04],
       [-3.92989349e-03,  3.92989349e-03],
       [ 5.94122790e-05, -5.94122790e-05],
       [-6.17207147e-04,  6.17207147e-04],
       [-1.00258235e-03,  1.00258235e-03],
       [-1.44955330e-04,  1.44955330e-04],
       [-2.38119384e-04,  2.38119384e-04],
       [ 4.59317569e-03, -4.59317569e-03],
       [ 7.80595162e-05, -7.80595162e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 5.11228154e-03, -5.11228154e-03],
       [ 9.99982386e-05, -9.99982386e-05],
       [-1.55417970e-02,  1.55417970e-02],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 9.35416405e-04, -9.35416405e-04]])}"
