Model,Precision,Recall,F1Score,Accuracy,RunTime,XAI
DecisionTree,1.0,0.999886736889795,0.9999433652375829,0.9999431139427726,0.9386115074157715,"{'SHAP': array([[ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 5.60498322e-04, -5.60498322e-04],
       [-6.70521645e-03,  6.70521645e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 2.31287331e-03, -2.31287331e-03],
       [-1.06923033e-03,  1.06923033e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.63547415e-04, -1.63547415e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-5.64082143e-04,  5.64082143e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 2.20547244e-03, -2.20547244e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [-2.93532055e-05,  2.93532055e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 5.00927243e-03, -5.00927243e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.71341942e-02,  1.71341942e-02],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 3.06029922e-03, -3.06029922e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00]])}"
RandomForest,1.0,0.999886736889795,0.9999433652375829,0.9999431139427726,4.949376106262207,"{'SHAP': array([[-8.91176973e-05,  8.91176973e-05],
       [-7.38954434e-04,  7.38954434e-04],
       [-7.34007623e-04,  7.34007623e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.51412708e-03,  1.51412708e-03],
       [-4.25795552e-04,  4.25795552e-04],
       [-1.32124694e-03,  1.32124694e-03],
       [-8.48011832e-05,  8.48011832e-05],
       [ 6.65769384e-04, -6.65769384e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-3.81194607e-04,  3.81194607e-04],
       [-6.96867854e-04,  6.96867854e-04],
       [ 6.68866261e-06, -6.68866261e-06],
       [-6.33801695e-04,  6.33801695e-04],
       [-8.16081688e-04,  8.16081688e-04],
       [ 6.24404119e-05, -6.24404119e-05],
       [ 5.32612777e-04, -5.32612777e-04],
       [-1.17506115e-04,  1.17506115e-04],
       [ 2.54821093e-04, -2.54821093e-04],
       [ 6.29064224e-04, -6.29064224e-04],
       [ 3.95900791e-04, -3.95900791e-04],
       [ 3.95262529e-04, -3.95262529e-04],
       [ 1.63087775e-04, -1.63087775e-04],
       [ 1.05232380e-04, -1.05232380e-04],
       [-3.55037260e-05,  3.55037260e-05],
       [ 3.42962626e-04, -3.42962626e-04],
       [-3.01529097e-04,  3.01529097e-04],
       [-2.37121566e-04,  2.37121566e-04],
       [-2.56182946e-04,  2.56182946e-04],
       [ 3.42415382e-04, -3.42415382e-04],
       [ 3.41669037e-05, -3.41669037e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 4.71300984e-05, -4.71300984e-05],
       [ 1.01211673e-05, -1.01211673e-05],
       [-1.37163661e-05,  1.37163661e-05],
       [ 2.06541897e-05, -2.06541897e-05],
       [-7.19740600e-04,  7.19740600e-04],
       [ 3.49143865e-05, -3.49143865e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.01332271e-04, -1.01332271e-04],
       [ 1.30749189e-04, -1.30749189e-04],
       [ 6.02923943e-05, -6.02923943e-05],
       [-2.10168952e-04,  2.10168952e-04],
       [-2.00227544e-05,  2.00227544e-05],
       [-1.50168952e-04,  1.50168952e-04],
       [-2.47901473e-04,  2.47901473e-04],
       [ 7.94561693e-05, -7.94561693e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [-6.62545196e-03,  6.62545196e-03],
       [-3.42406280e-04,  3.42406280e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 2.77362762e-04, -2.77362762e-04],
       [-3.08834405e-04,  3.08834405e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00]])}"
Logistic Regression,0.994912379875636,0.9967153698040548,0.9958130587303384,0.9957904317651743,0.6337947845458984,"{'SHAP': array([[-6.16954577e-05,  6.16954577e-05],
       [-6.86382445e-04,  6.86382445e-04],
       [-5.85483077e-03,  5.85483077e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [-4.77986896e-07,  4.77986896e-07],
       [ 6.66273675e-05, -6.66273675e-05],
       [-2.88140592e-03,  2.88140592e-03],
       [ 1.22441890e-07, -1.22441890e-07],
       [-3.16152334e-07,  3.16152334e-07],
       [ 0.00000000e+00,  0.00000000e+00],
       [-6.22639542e-09,  6.22639542e-09],
       [-4.48462474e-04,  4.48462474e-04],
       [-3.46281845e-05,  3.46281845e-05],
       [ 2.91563037e-04, -2.91563037e-04],
       [-8.16222398e-05,  8.16222398e-05],
       [-5.46607607e-05,  5.46607607e-05],
       [-1.70246470e-05,  1.70246470e-05],
       [ 4.55399092e-07, -4.55399092e-07],
       [-3.91708697e-06,  3.91708697e-06],
       [ 4.35364007e-03, -4.35364007e-03],
       [ 2.21163827e-03, -2.21163827e-03],
       [ 1.14133313e-03, -1.14133313e-03],
       [ 2.25118559e-03, -2.25118559e-03],
       [ 6.09269744e-05, -6.09269744e-05],
       [ 1.05494064e-05, -1.05494064e-05],
       [ 6.10906592e-05, -6.10906592e-05],
       [ 1.05805423e-04, -1.05805423e-04],
       [-4.65584749e-05,  4.65584749e-05],
       [ 1.06764339e-04, -1.06764339e-04],
       [ 2.61966886e-05, -2.61966886e-05],
       [ 1.24511913e-05, -1.24511913e-05],
       [-3.61100074e-05,  3.61100074e-05],
       [ 1.02012249e-05, -1.02012249e-05],
       [ 9.70470048e-06, -9.70470048e-06],
       [ 9.86553265e-06, -9.86553265e-06],
       [ 1.10827764e-05, -1.10827764e-05],
       [-1.63773828e-05,  1.63773828e-05],
       [ 5.21955542e-05, -5.21955542e-05],
       [-1.45967831e-05,  1.45967831e-05],
       [ 2.63130637e-04, -2.63130637e-04],
       [ 1.58546084e-05, -1.58546084e-05],
       [ 2.74691884e-04, -2.74691884e-04],
       [ 1.81328206e-04, -1.81328206e-04],
       [-1.09711717e-04,  1.09711717e-04],
       [-1.58232388e-04,  1.58232388e-04],
       [-6.14824695e-05,  6.14824695e-05],
       [-2.86377592e-06,  2.86377592e-06],
       [ 1.52770028e-09, -1.52770028e-09],
       [-5.30057766e-03,  5.30057766e-03],
       [-3.05960063e-06,  3.05960063e-06],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 6.87656189e-05, -6.87656189e-05],
       [-1.01750970e-03,  1.01750970e-03],
       [-6.73071130e-06,  6.73071130e-06],
       [-2.16657310e-09,  2.16657310e-09]])}"
Naive Bayes,0.9897534061479563,0.9955827387020048,0.9926595143986447,0.9926048125604414,0.09102296829223633,"{'SHAP': array([[ 2.68018511e-04, -2.68018511e-04],
       [-8.92350995e-05,  8.92350995e-05],
       [-3.72368991e-04,  3.72368991e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-4.09075049e-04,  4.09075049e-04],
       [ 1.11025192e-04, -1.11025192e-04],
       [-5.62665145e-04,  5.62665145e-04],
       [-1.95140632e-04,  1.95140632e-04],
       [-4.26568617e-04,  4.26568617e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-5.90281910e-04,  5.90281910e-04],
       [-7.02444361e-04,  7.02444361e-04],
       [-5.69784781e-05,  5.69784781e-05],
       [ 4.39857074e-04, -4.39857074e-04],
       [-7.02528219e-04,  7.02528219e-04],
       [ 7.73818448e-05, -7.73818448e-05],
       [ 5.35672556e-05, -5.35672556e-05],
       [-1.39173847e-04,  1.39173847e-04],
       [-6.48378547e-04,  6.48378547e-04],
       [ 7.87068510e-04, -7.87068510e-04],
       [ 1.59294001e-03, -1.59294001e-03],
       [ 8.04772105e-04, -8.04772105e-04],
       [ 1.55026544e-03, -1.55026544e-03],
       [ 1.18970829e-05, -1.18970829e-05],
       [ 3.76855823e-04, -3.76855823e-04],
       [ 4.64349693e-05, -4.64349693e-05],
       [ 4.34851507e-04, -4.34851507e-04],
       [-2.16733882e-03,  2.16733882e-03],
       [ 6.11349149e-04, -6.11349149e-04],
       [ 1.31194448e-03, -1.31194448e-03],
       [-7.86801642e-06,  7.86801642e-06],
       [-4.83688743e-04,  4.83688743e-04],
       [-5.93808762e-05,  5.93808762e-05],
       [-4.46526828e-06,  4.46526828e-06],
       [-5.02511349e-05,  5.02511349e-05],
       [-6.94866280e-06,  6.94866280e-06],
       [-4.05526709e-05,  4.05526709e-05],
       [-1.31588977e-05,  1.31588977e-05],
       [-2.23323674e-04,  2.23323674e-04],
       [-1.50319469e-05,  1.50319469e-05],
       [-1.47760423e-05,  1.47760423e-05],
       [-1.50094423e-05,  1.50094423e-05],
       [-2.09475321e-05,  2.09475321e-05],
       [-2.08995353e-05,  2.08995353e-05],
       [ 1.44881213e-04, -1.44881213e-04],
       [-4.29318267e-04,  4.29318267e-04],
       [-5.11802096e-04,  5.11802096e-04],
       [-5.52361592e-05,  5.52361592e-05],
       [-1.34702902e-03,  1.34702902e-03],
       [-5.57850818e-04,  5.57850818e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-2.76105605e-05,  2.76105605e-05],
       [-2.64184262e-03,  2.64184262e-03],
       [-1.80351160e-04,  1.80351160e-04],
       [-9.16561922e-06,  9.16561922e-06]])}"
MLP,0.9981879954699887,0.9983010533469249,0.9982445212073163,0.9982365322259514,6.634045124053955,"{'SHAP': array([[-6.28267590e-04,  6.28267590e-04],
       [-1.72958459e-03,  1.72958459e-03],
       [-4.73854505e-03,  4.73854505e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.52179365e-05,  1.52179365e-05],
       [ 6.67760456e-04, -6.67760456e-04],
       [-1.99853371e-03,  1.99853371e-03],
       [ 2.03755949e-05, -2.03755949e-05],
       [-1.18324692e-05,  1.18324692e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 6.51042132e-06, -6.51042132e-06],
       [-3.78613096e-04,  3.78613096e-04],
       [-4.09391889e-04,  4.09391889e-04],
       [-4.67219210e-04,  4.67219210e-04],
       [-3.77243436e-04,  3.77243436e-04],
       [-5.04347584e-04,  5.04347584e-04],
       [-2.25449381e-04,  2.25449381e-04],
       [ 3.08814938e-05, -3.08814938e-05],
       [-5.72148990e-05,  5.72148990e-05],
       [ 3.98654061e-03, -3.98654061e-03],
       [ 2.90424817e-03, -2.90424817e-03],
       [ 8.44675494e-04, -8.44675494e-04],
       [ 3.39620225e-03, -3.39620225e-03],
       [-2.44456396e-04,  2.44456396e-04],
       [-3.28465305e-04,  3.28465305e-04],
       [-1.13142796e-04,  1.13142796e-04],
       [ 8.90210215e-05, -8.90210215e-05],
       [-6.11186711e-04,  6.11186711e-04],
       [ 3.18191707e-04, -3.18191707e-04],
       [-1.08401907e-04,  1.08401907e-04],
       [ 2.36509178e-04, -2.36509178e-04],
       [-1.29608383e-04,  1.29608383e-04],
       [ 1.22008868e-04, -1.22008868e-04],
       [ 1.41489909e-04, -1.41489909e-04],
       [ 1.29196075e-04, -1.29196075e-04],
       [ 1.44814626e-04, -1.44814626e-04],
       [-3.01283635e-04,  3.01283635e-04],
       [-1.42037080e-04,  1.42037080e-04],
       [-5.03229227e-06,  5.03229227e-06],
       [ 6.40211124e-04, -6.40211124e-04],
       [-1.13345971e-04,  1.13345971e-04],
       [ 1.83337357e-04, -1.83337357e-04],
       [ 8.84551186e-05, -8.84551186e-05],
       [-9.74010076e-04,  9.74010076e-04],
       [-3.92889030e-04,  3.92889030e-04],
       [ 9.49348330e-05, -9.49348330e-05],
       [ 1.39390364e-05, -1.39390364e-05],
       [ 1.18322093e-05, -1.18322093e-05],
       [-4.84380337e-03,  4.84380337e-03],
       [ 1.16974841e-05, -1.16974841e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [-3.11693971e-04,  3.11693971e-04],
       [ 4.90294413e-05, -4.90294413e-05],
       [-7.24293188e-05,  7.24293188e-05],
       [ 2.44258812e-05, -2.44258812e-05]])}"
Stochastic Gradient Descent,0.9906521004617637,0.9962623173632348,0.9934492884571945,0.9934012173616247,0.13245606422424316,"{'SHAP': array([[-1.61609205e-05,  1.61609205e-05],
       [-6.21105112e-04,  6.21105112e-04],
       [-5.63652087e-03,  5.63652087e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [-4.12020417e-07,  4.12020417e-07],
       [-4.41540358e-05,  4.41540358e-05],
       [-4.03770898e-03,  4.03770898e-03],
       [ 2.07785492e-08, -2.07785492e-08],
       [-1.85974355e-07,  1.85974355e-07],
       [ 0.00000000e+00,  0.00000000e+00],
       [-4.63635939e-08,  4.63635940e-08],
       [-7.60053457e-04,  7.60053457e-04],
       [ 1.25763470e-05, -1.25763470e-05],
       [ 3.68507054e-04, -3.68507054e-04],
       [-1.52252528e-04,  1.52252528e-04],
       [-1.84674526e-05,  1.84674526e-05],
       [ 5.43782744e-07, -5.43782744e-07],
       [-8.05155579e-06,  8.05155579e-06],
       [-7.09107911e-06,  7.09107911e-06],
       [ 3.76421137e-03, -3.76421137e-03],
       [ 2.18039676e-03, -2.18039676e-03],
       [ 1.14733123e-03, -1.14733123e-03],
       [ 2.20441021e-03, -2.20441021e-03],
       [ 7.63459257e-05, -7.63459257e-05],
       [ 1.21983173e-05, -1.21983173e-05],
       [ 7.31562653e-05, -7.31562653e-05],
       [ 8.50717104e-05, -8.50717104e-05],
       [-3.44064725e-05,  3.44064725e-05],
       [ 8.19917404e-05, -8.19917404e-05],
       [ 1.52443970e-05, -1.52443970e-05],
       [ 5.40609850e-06, -5.40609850e-06],
       [-2.97927736e-05,  2.97927736e-05],
       [ 5.59522449e-06, -5.59522449e-06],
       [ 4.30077060e-06, -4.30077060e-06],
       [ 5.41342795e-06, -5.41342795e-06],
       [ 5.62060894e-06, -5.62060894e-06],
       [-9.74000667e-06,  9.74000667e-06],
       [ 1.10938908e-04, -1.10938908e-04],
       [-9.46518622e-06,  9.46518622e-06],
       [ 2.10905700e-04, -2.10905700e-04],
       [ 3.04254081e-05, -3.04254081e-05],
       [ 2.43930001e-04, -2.43930001e-04],
       [ 1.97151433e-04, -1.97151433e-04],
       [ 6.96439251e-05, -6.96439251e-05],
       [-9.21895545e-05,  9.21895545e-05],
       [-2.72265303e-05,  2.72265303e-05],
       [ 1.68002228e-06, -1.68002228e-06],
       [ 3.22174261e-06, -3.22174261e-06],
       [-3.75361883e-03,  3.75361883e-03],
       [-1.40838422e-05,  1.40838422e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.77019714e-05, -1.77019714e-05],
       [-8.26878178e-04,  8.26878178e-04],
       [-4.45963776e-06,  4.45963776e-06],
       [ 3.03530214e-06, -3.03530214e-06]])}"
ADA Boost,1.0,1.0,1.0,1.0,18.9148006439209,"{'SHAP': array([[ 2.86007251e-04, -2.86007251e-04],
       [-1.48467937e-04,  1.48467937e-04],
       [ 4.18780183e-04, -4.18780183e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 6.13699071e-05, -6.13699071e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 9.81740873e-05, -9.81740873e-05],
       [-2.95096439e-05,  2.95096439e-05],
       [-2.88649014e-04,  2.88649014e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-8.20013050e-05,  8.20013050e-05],
       [-1.22996034e-04,  1.22996034e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-3.30656245e-06,  3.30656245e-06],
       [-2.75243594e-04,  2.75243594e-04],
       [ 1.33973318e-04, -1.33973318e-04],
       [-9.03375595e-06,  9.03375595e-06],
       [ 2.40303089e-04, -2.40303089e-04],
       [ 5.50286729e-05, -5.50286729e-05],
       [ 1.20616025e-03, -1.20616025e-03],
       [ 9.23990604e-04, -9.23990604e-04],
       [-7.56298203e-05,  7.56298203e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 2.75629024e-03, -2.75629024e-03],
       [ 3.33626998e-04, -3.33626998e-04],
       [ 2.27635682e-03, -2.27635682e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [-3.12579171e-05,  3.12579171e-05],
       [ 1.05339144e-04, -1.05339144e-04],
       [ 1.37850755e-05, -1.37850755e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 6.77958802e-05, -6.77958802e-05],
       [-5.72703064e-06,  5.72703064e-06],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 3.59356002e-04, -3.59356002e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-3.82493483e-05,  3.82493483e-05],
       [-1.35422572e-04,  1.35422572e-04],
       [ 1.42209520e-04, -1.42209520e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.18361610e-04,  1.18361610e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.46645973e-02,  1.46645973e-02],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 5.71257172e-04, -5.71257172e-04],
       [ 9.64698652e-04, -9.64698652e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00]])}"
Gradient Boosting,1.0,0.9996602106693849,0.9998300764655904,0.9998293418283178,44.45885467529297,"{'SHAP': array([[ 0.00000000e+00,  0.00000000e+00],
       [-7.60092415e-05,  7.60092415e-05],
       [ 6.62337464e-07, -6.62337464e-07],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.33890023e-03, -1.33890023e-03],
       [-2.55177355e-06,  2.55177355e-06],
       [ 5.74869156e-07, -5.74869156e-07],
       [ 1.24315850e-04, -1.24315850e-04],
       [-4.96999416e-03,  4.96999416e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 3.13349816e-05, -3.13349816e-05],
       [ 1.44464821e-03, -1.44464821e-03],
       [-1.57611545e-03,  1.57611545e-03],
       [-2.97903950e-04,  2.97903950e-04],
       [-6.99075781e-04,  6.99075781e-04],
       [-1.60788237e-05,  1.60788237e-05],
       [-1.47096703e-05,  1.47096703e-05],
       [-6.48469916e-05,  6.48469916e-05],
       [ 2.17604211e-05, -2.17604211e-05],
       [ 4.44002720e-04, -4.44002720e-04],
       [ 5.50804184e-05, -5.50804184e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.01557406e-04, -1.01557406e-04],
       [ 9.32463096e-04, -9.32463096e-04],
       [-1.73320835e-04,  1.73320835e-04],
       [ 5.09629476e-04, -5.09629476e-04],
       [ 7.52942407e-06, -7.52942407e-06],
       [-5.64738544e-05,  5.64738544e-05],
       [ 1.64635061e-04, -1.64635061e-04],
       [ 8.38329838e-05, -8.38329838e-05],
       [-1.08692958e-05,  1.08692958e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.80089484e-06,  1.80089484e-06],
       [-8.32094030e-06,  8.32094030e-06],
       [-4.71835920e-06,  4.71835920e-06],
       [-2.81260862e-06,  2.81260862e-06],
       [-1.17544729e-04,  1.17544729e-04],
       [-5.18303982e-06,  5.18303982e-06],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 2.56912072e-05, -2.56912072e-05],
       [ 1.39032190e-05, -1.39032190e-05],
       [-4.83866625e-05,  4.83866625e-05],
       [ 2.82428037e-06, -2.82428037e-06],
       [ 1.78617478e-05, -1.78617478e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 4.00505200e-03, -4.00505200e-03],
       [ 5.44298182e-05, -5.44298182e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.42337616e-02,  1.42337616e-02],
       [ 5.15822683e-04, -5.15822683e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-8.53582017e-05,  8.53582017e-05],
       [ 5.65952937e-04, -5.65952937e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00]])}"
XGBoost,1.0,0.999886736889795,0.9999433652375829,0.9999431139427726,22.88760733604431,"{'SHAP': array([[-9.70662905e-07,  9.70662853e-07],
       [-3.26014070e-04,  3.26014028e-04],
       [-1.74745826e-03,  1.74745825e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [-2.15075087e-04,  2.15075135e-04],
       [-2.52164029e-05,  2.52164038e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [-3.41159710e-05,  3.41159716e-05],
       [-9.75879099e-03,  9.75879105e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 7.52015363e-06, -7.52012053e-06],
       [ 1.05901306e-05, -1.05901194e-05],
       [-2.44018843e-04,  2.44018843e-04],
       [-2.94873469e-04,  2.94873520e-04],
       [-1.04187192e-03,  1.04187186e-03],
       [-1.75322734e-04,  1.75322705e-04],
       [ 4.84196880e-05, -4.84196734e-05],
       [ 4.30104454e-05, -4.30104494e-05],
       [-7.10664135e-05,  7.10663975e-05],
       [ 4.79359784e-04, -4.79359813e-04],
       [ 2.12083798e-04, -2.12083833e-04],
       [-4.65358423e-05,  4.65358431e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 3.59973729e-03, -3.59973700e-03],
       [ 1.15017609e-03, -1.15017636e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.09438850e-04, -1.09438843e-04],
       [-2.65365845e-04,  2.65365808e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.04416403e-04, -1.04416509e-04],
       [-2.88288111e-06,  2.88288292e-06],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.31235212e-06, -1.31235014e-06],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.26626559e-04,  1.26626473e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-5.83683009e-05,  5.83683160e-05],
       [ 6.66800953e-05, -6.66800627e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.69792612e-04, -1.69792663e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.93267888e-05,  1.93267887e-05],
       [-1.30043118e-04,  1.30043196e-04],
       [-1.18482411e-05,  1.18482625e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 6.46859258e-03, -6.46859254e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.26909188e-02,  1.26909188e-02],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.95333904e-05, -1.95333785e-05],
       [ 2.68028912e-03, -2.68028912e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00]])}"
LightGBM,0.9998867497168743,1.0,0.9999433716518489,0.9999431139427726,0.7945973873138428,"{'SHAP': array([[-7.91461311e-05,  7.91461311e-05],
       [ 5.51105679e-06, -5.51105679e-06],
       [-2.32565509e-04,  2.32565509e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.57545922e-04,  1.57545922e-04],
       [-1.06576915e-04,  1.06576915e-04],
       [ 2.83138584e-04, -2.83138584e-04],
       [-1.14713751e-04,  1.14713751e-04],
       [-4.74831094e-03,  4.74831094e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [-3.55741454e-05,  3.55741454e-05],
       [-5.08585522e-04,  5.08585522e-04],
       [-1.16946857e-04,  1.16946857e-04],
       [-1.03165510e-04,  1.03165510e-04],
       [-1.12979185e-03,  1.12979185e-03],
       [-2.33767957e-04,  2.33767957e-04],
       [-2.27203615e-05,  2.27203615e-05],
       [ 2.37898301e-04, -2.37898301e-04],
       [-5.72480841e-07,  5.72480841e-07],
       [ 1.31515618e-04, -1.31515618e-04],
       [-2.19572754e-05,  2.19572754e-05],
       [-5.72212279e-04,  5.72212279e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 2.39261970e-04, -2.39261970e-04],
       [-6.53691381e-04,  6.53691381e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.47971623e-04, -1.47971623e-04],
       [-3.38378512e-04,  3.38378512e-04],
       [ 1.88840608e-05, -1.88840608e-05],
       [-1.99817120e-04,  1.99817120e-04],
       [ 1.86213630e-07, -1.86213630e-07],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.00368737e-04, -1.00368737e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.50283662e-05, -1.50283662e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 4.44890571e-04, -4.44890571e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.26202790e-04, -1.26202790e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 8.29161903e-05, -8.29161903e-05],
       [ 8.51178693e-05, -8.51178693e-05],
       [ 5.17972440e-05, -5.17972440e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 6.93923390e-03, -6.93923390e-03],
       [-4.59881475e-07,  4.59881475e-07],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.62257244e-02,  1.62257244e-02],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [-7.58533193e-05,  7.58533193e-05],
       [ 4.46922488e-03, -4.46922488e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00]])}"
