Model,Precision,Recall,F1Score,Accuracy,RunTime,XAI
DecisionTree,1.0,0.999886736889795,0.9999433652375829,0.9999431139427726,0.7073955535888672,"{'SHAP': array([[ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [-2.50241766e-04,  2.50241766e-04],
       [-6.41845384e-04,  6.41845384e-04],
       [-5.88019796e-03,  5.88019796e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 2.97457193e-03, -2.97457193e-03],
       [-9.46640878e-04,  9.46640878e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [-6.59992036e-04,  6.59992036e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [-7.05387110e-05,  7.05387110e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 5.28585244e-04, -5.28585244e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [-3.93651516e-05,  3.93651516e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 4.89800330e-03, -4.89800330e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.51632630e-02,  1.51632630e-02],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 3.06081120e-03, -3.06081120e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00]])}"
RandomForest,0.999886736889795,0.999886736889795,0.999886736889795,0.9998862278855453,4.150798320770264,"{'SHAP': array([[-8.95557199e-05,  8.95557199e-05],
       [-5.46218784e-04,  5.46218784e-04],
       [-5.56982764e-04,  5.56982764e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-5.74855225e-04,  5.74855225e-04],
       [-5.33735707e-04,  5.33735707e-04],
       [-1.16553388e-03,  1.16553388e-03],
       [ 6.82757836e-05, -6.82757836e-05],
       [-1.20053587e-03,  1.20053587e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 2.47518061e-04, -2.47518061e-04],
       [-8.79762216e-04,  8.79762216e-04],
       [-4.29728654e-05,  4.29728654e-05],
       [-8.44382502e-05,  8.44382502e-05],
       [-6.94384208e-04,  6.94384208e-04],
       [-2.67023153e-04,  2.67023153e-04],
       [ 3.82729393e-04, -3.82729393e-04],
       [ 8.40775926e-06, -8.40775926e-06],
       [-6.39035212e-05,  6.39035212e-05],
       [ 4.43924000e-04, -4.43924000e-04],
       [ 2.49914102e-04, -2.49914102e-04],
       [-1.38503897e-04,  1.38503897e-04],
       [ 2.28871949e-04, -2.28871949e-04],
       [ 4.40430059e-04, -4.40430059e-04],
       [-6.63257296e-05,  6.63257296e-05],
       [ 2.16934979e-04, -2.16934979e-04],
       [-1.40131976e-04,  1.40131976e-04],
       [-2.39412936e-04,  2.39412936e-04],
       [-2.25520223e-04,  2.25520223e-04],
       [ 9.30314580e-05, -9.30314580e-05],
       [ 4.48341771e-05, -4.48341771e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 5.35525343e-05, -5.35525343e-05],
       [ 6.95341032e-05, -6.95341032e-05],
       [ 4.40070539e-05, -4.40070539e-05],
       [ 2.08316742e-06, -2.08316742e-06],
       [-9.84004778e-04,  9.84004778e-04],
       [ 3.23442744e-05, -3.23442744e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 9.86529382e-05, -9.86529382e-05],
       [-1.96393424e-05,  1.96393424e-05],
       [-1.55003129e-05,  1.55003129e-05],
       [ 8.95659594e-05, -8.95659594e-05],
       [-1.05484954e-04,  1.05484954e-04],
       [-1.42392628e-04,  1.42392628e-04],
       [-1.60152113e-03,  1.60152113e-03],
       [ 6.54674327e-04, -6.54674327e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-4.73208487e-03,  4.73208487e-03],
       [-5.55637977e-04,  5.55637977e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 2.60912452e-04, -2.60912452e-04],
       [-2.08218898e-04,  2.08218898e-04],
       [-5.21076284e-07,  5.21076284e-07],
       [ 0.00000000e+00,  0.00000000e+00]])}"
Logistic Regression,0.994912379875636,0.9967153698040548,0.9958130587303384,0.9957904317651743,0.668635368347168,"{'SHAP': array([[-5.55691249e-05,  5.55691249e-05],
       [-7.07374928e-04,  7.07374928e-04],
       [-6.62606457e-03,  6.62606457e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [-4.66055390e-07,  4.66055390e-07],
       [ 1.09046108e-04, -1.09046108e-04],
       [-3.19726673e-03,  3.19726673e-03],
       [ 1.17995624e-07, -1.17995624e-07],
       [-2.69195738e-07,  2.69195738e-07],
       [ 0.00000000e+00,  0.00000000e+00],
       [-4.26295160e-09,  4.26295160e-09],
       [-4.81584444e-05,  4.81584444e-05],
       [-3.08316760e-05,  3.08316760e-05],
       [ 2.88134499e-04, -2.88134499e-04],
       [-6.39053707e-05,  6.39053707e-05],
       [-4.79960107e-05,  4.79960107e-05],
       [-1.65364103e-05,  1.65364103e-05],
       [ 8.87264168e-08, -8.87264168e-08],
       [-7.31762220e-06,  7.31762220e-06],
       [ 4.69305329e-03, -4.69305329e-03],
       [ 2.24860126e-03, -2.24860126e-03],
       [ 1.10603384e-03, -1.10603384e-03],
       [ 2.25324439e-03, -2.25324439e-03],
       [ 6.15710321e-05, -6.15710321e-05],
       [ 1.06458353e-05, -1.06458353e-05],
       [ 6.43303699e-05, -6.43303699e-05],
       [ 1.09574621e-04, -1.09574621e-04],
       [-4.93789038e-05,  4.93789038e-05],
       [ 9.47681946e-05, -9.47681946e-05],
       [ 1.06405827e-05, -1.06405827e-05],
       [ 1.16780652e-05, -1.16780652e-05],
       [-3.81509933e-05,  3.81509933e-05],
       [ 1.00067379e-05, -1.00067379e-05],
       [ 1.06547024e-05, -1.06547024e-05],
       [ 9.37612787e-06, -9.37612787e-06],
       [ 1.14120884e-05, -1.14120884e-05],
       [-1.59205029e-05,  1.59205029e-05],
       [ 5.26960703e-05, -5.26960703e-05],
       [-1.57149836e-05,  1.57149836e-05],
       [ 2.74108278e-04, -2.74108278e-04],
       [ 1.52325969e-05, -1.52325969e-05],
       [ 2.83766278e-04, -2.83766278e-04],
       [ 1.85224110e-04, -1.85224110e-04],
       [-1.00138960e-04,  1.00138960e-04],
       [-1.80724777e-04,  1.80724777e-04],
       [-6.57678461e-05,  6.57678461e-05],
       [-3.60083019e-06,  3.60083019e-06],
       [ 1.83750773e-09, -1.83750773e-09],
       [-5.01182099e-03,  5.01182099e-03],
       [-2.76300304e-05,  2.76300304e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 6.79996931e-05, -6.79996931e-05],
       [-9.66594112e-04,  9.66594112e-04],
       [-6.86991594e-06,  6.86991594e-06],
       [-5.00934974e-09,  5.00934974e-09]])}"
Naive Bayes,0.9897534061479563,0.9955827387020048,0.9926595143986447,0.9926048125604414,0.13553643226623535,"{'SHAP': array([[ 2.35705211e-04, -2.35705211e-04],
       [-9.64101214e-05,  9.64101214e-05],
       [-4.81893731e-04,  4.81893731e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-3.47741563e-04,  3.47741563e-04],
       [ 2.31905207e-04, -2.31905207e-04],
       [-7.44665217e-04,  7.44665217e-04],
       [-1.64843996e-04,  1.64843996e-04],
       [-1.83624590e-04,  1.83624590e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-5.03062814e-04,  5.03062814e-04],
       [-4.68555833e-04,  4.68555833e-04],
       [-4.50506130e-05,  4.50506130e-05],
       [ 4.44238641e-04, -4.44238641e-04],
       [-7.11032772e-04,  7.11032772e-04],
       [ 6.93972457e-05, -6.93972457e-05],
       [-1.21221933e-05,  1.21221933e-05],
       [-1.56820755e-04,  1.56820755e-04],
       [-3.64856469e-04,  3.64856469e-04],
       [ 1.00523761e-03, -1.00523761e-03],
       [ 1.46630898e-03, -1.46630898e-03],
       [ 8.83852045e-04, -8.83852045e-04],
       [ 1.45513731e-03, -1.45513731e-03],
       [ 4.40759325e-05, -4.40759325e-05],
       [ 3.70818138e-04, -3.70818138e-04],
       [ 3.92705678e-05, -3.92705678e-05],
       [ 6.28380023e-04, -6.28380023e-04],
       [-1.90805479e-03,  1.90805479e-03],
       [ 4.03835621e-04, -4.03835621e-04],
       [ 1.25840760e-03, -1.25840760e-03],
       [-8.11487624e-06,  8.11487624e-06],
       [-4.83206134e-04,  4.83206134e-04],
       [-6.02711541e-05,  6.02711541e-05],
       [-7.04597006e-06,  7.04597006e-06],
       [-6.45294783e-05,  6.45294783e-05],
       [-8.05232984e-06,  8.05232984e-06],
       [-8.03690938e-05,  8.03690938e-05],
       [-1.37731690e-05,  1.37731690e-05],
       [-2.65139375e-04,  2.65139375e-04],
       [-1.11800996e-05,  1.11800996e-05],
       [-1.26450588e-05,  1.26450588e-05],
       [-1.64322379e-05,  1.64322379e-05],
       [-1.46506616e-05,  1.46506616e-05],
       [-1.75003011e-05,  1.75003011e-05],
       [ 1.62588373e-04, -1.62588373e-04],
       [-5.36042470e-04,  5.36042470e-04],
       [-8.71294844e-04,  8.71294844e-04],
       [-7.98682485e-05,  7.98682485e-05],
       [-1.58440865e-03,  1.58440865e-03],
       [-7.22956589e-04,  7.22956589e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.15057498e-05,  1.15057498e-05],
       [-2.62424638e-03,  2.62424638e-03],
       [-1.78555580e-04,  1.78555580e-04],
       [-1.42108991e-05,  1.42108991e-05]])}"
MLP,0.9981879954699887,0.9983010533469249,0.9982445212073163,0.9982365322259514,8.701581954956055,"{'SHAP': array([[-6.43663955e-04,  6.43663955e-04],
       [-1.69740653e-03,  1.69740653e-03],
       [-4.67991623e-03,  4.67991623e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.32118054e-05,  1.32118054e-05],
       [ 8.26832132e-04, -8.26832132e-04],
       [-1.78468863e-03,  1.78468863e-03],
       [ 1.39815216e-05, -1.39815216e-05],
       [-1.07575160e-05,  1.07575160e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 8.14833583e-06, -8.14833583e-06],
       [-3.77790836e-05,  3.77790836e-05],
       [-4.35147496e-04,  4.35147496e-04],
       [-5.42176397e-04,  5.42176397e-04],
       [-4.52400713e-04,  4.52400713e-04],
       [-5.46274814e-04,  5.46274814e-04],
       [-2.70674613e-04,  2.70674613e-04],
       [ 5.79389635e-05, -5.79389635e-05],
       [-3.52557303e-05,  3.52557303e-05],
       [ 3.61611278e-03, -3.61611278e-03],
       [ 3.03357788e-03, -3.03357788e-03],
       [ 8.14911356e-04, -8.14911356e-04],
       [ 3.42503223e-03, -3.42503223e-03],
       [-2.61480849e-04,  2.61480849e-04],
       [-3.57640695e-04,  3.57640695e-04],
       [-1.03499556e-04,  1.03499556e-04],
       [ 1.15139394e-04, -1.15139394e-04],
       [-6.25120067e-04,  6.25120067e-04],
       [ 1.90501517e-04, -1.90501517e-04],
       [-4.39504015e-05,  4.39504015e-05],
       [ 1.73207375e-04, -1.73207375e-04],
       [-1.11300063e-04,  1.11300063e-04],
       [ 1.47050320e-04, -1.47050320e-04],
       [ 9.97268985e-05, -9.97268985e-05],
       [ 1.22864397e-04, -1.22864397e-04],
       [ 1.15515357e-04, -1.15515357e-04],
       [-3.40106537e-04,  3.40106537e-04],
       [-1.11642897e-04,  1.11642897e-04],
       [-8.34113293e-06,  8.34113293e-06],
       [ 6.30667844e-04, -6.30667844e-04],
       [-9.24437350e-05,  9.24437350e-05],
       [ 1.65834730e-04, -1.65834730e-04],
       [ 1.16873352e-04, -1.16873352e-04],
       [-9.72639405e-04,  9.72639405e-04],
       [-3.86382580e-04,  3.86382580e-04],
       [ 8.37969652e-05, -8.37969652e-05],
       [ 9.51382141e-06, -9.51382141e-06],
       [ 1.46739605e-05, -1.46739605e-05],
       [-4.95973087e-03,  4.95973087e-03],
       [ 1.43462219e-05, -1.43462219e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [-3.43043799e-04,  3.43043799e-04],
       [ 4.85455056e-05, -4.85455056e-05],
       [-7.31231517e-05,  7.31231517e-05],
       [ 1.80476743e-05, -1.80476743e-05]])}"
Stochastic Gradient Descent,0.9906521004617637,0.9962623173632348,0.9934492884571945,0.9934012173616247,0.16720938682556152,"{'SHAP': array([[-1.88820890e-05,  1.88820890e-05],
       [-6.36784864e-04,  6.36784864e-04],
       [-5.76839423e-03,  5.76839423e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [-3.57188267e-07,  3.57188267e-07],
       [-3.67565840e-06,  3.67565840e-06],
       [-4.33771906e-03,  4.33771906e-03],
       [ 1.55571504e-08, -1.55571504e-08],
       [-1.52058412e-07,  1.52058412e-07],
       [ 0.00000000e+00,  0.00000000e+00],
       [-4.71710418e-08,  4.71710418e-08],
       [-7.48222102e-04,  7.48222102e-04],
       [ 1.36696915e-05, -1.36696915e-05],
       [ 3.79876690e-04, -3.79876690e-04],
       [-1.60455358e-04,  1.60455358e-04],
       [-1.76769475e-05,  1.76769475e-05],
       [ 6.83748092e-07, -6.83748092e-07],
       [-1.04008004e-05,  1.04008004e-05],
       [-1.08488791e-05,  1.08488791e-05],
       [ 4.01107172e-03, -4.01107172e-03],
       [ 2.18163592e-03, -2.18163592e-03],
       [ 1.15673317e-03, -1.15673317e-03],
       [ 2.26529113e-03, -2.26529113e-03],
       [ 7.61077297e-05, -7.61077297e-05],
       [ 1.16938448e-05, -1.16938448e-05],
       [ 7.64039155e-05, -7.64039155e-05],
       [ 9.08745515e-05, -9.08745515e-05],
       [-3.75058926e-05,  3.75058926e-05],
       [ 8.23653852e-05, -8.23653852e-05],
       [ 1.62729960e-05, -1.62729960e-05],
       [ 5.76070095e-06, -5.76070095e-06],
       [-2.86826185e-05,  2.86826185e-05],
       [ 5.16026333e-06, -5.16026333e-06],
       [ 3.90731381e-06, -3.90731381e-06],
       [ 5.33137688e-06, -5.33137688e-06],
       [ 5.42642282e-06, -5.42642282e-06],
       [-8.69085585e-06,  8.69085585e-06],
       [ 1.04267336e-04, -1.04267336e-04],
       [-9.59134881e-06,  9.59134881e-06],
       [ 2.07401130e-04, -2.07401130e-04],
       [ 2.94339635e-05, -2.94339635e-05],
       [ 2.37820270e-04, -2.37820270e-04],
       [ 1.96235569e-04, -1.96235569e-04],
       [ 7.15590604e-05, -7.15590604e-05],
       [-9.53906169e-05,  9.53906169e-05],
       [-2.77119376e-05,  2.77119376e-05],
       [ 1.82954422e-06, -1.82954422e-06],
       [ 2.93568169e-06, -2.93568169e-06],
       [-3.67696635e-03,  3.67696635e-03],
       [-2.05133124e-05,  2.05133124e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.71734241e-05, -1.71734241e-05],
       [-8.03032411e-04,  8.03032411e-04],
       [-4.73959763e-06,  4.73959763e-06],
       [ 2.40830872e-06, -2.40830872e-06]])}"
ADA Boost,1.0,1.0,1.0,1.0,23.152278661727905,"{'SHAP': array([[ 2.86132546e-04, -2.86132546e-04],
       [-1.49447031e-04,  1.49447031e-04],
       [ 3.85646266e-04, -3.85646266e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 6.20196894e-05, -6.20196894e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 9.99034969e-05, -9.99034969e-05],
       [-2.21789854e-05,  2.21789854e-05],
       [-2.93434617e-04,  2.93434617e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-7.83470208e-05,  7.83470208e-05],
       [-8.35426498e-05,  8.35426498e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [-4.93928633e-07,  4.93928633e-07],
       [-2.69060953e-04,  2.69060953e-04],
       [ 1.34314136e-04, -1.34314136e-04],
       [-1.21096515e-05,  1.21096515e-05],
       [ 2.39868338e-04, -2.39868338e-04],
       [ 5.53387211e-05, -5.53387211e-05],
       [ 1.20627962e-03, -1.20627962e-03],
       [ 9.04907803e-04, -9.04907803e-04],
       [-7.60165033e-05,  7.60165033e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 2.28703038e-03, -2.28703038e-03],
       [ 3.33204198e-04, -3.33204198e-04],
       [ 2.75853004e-03, -2.75853004e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.71986287e-05,  1.71986287e-05],
       [ 1.05223895e-04, -1.05223895e-04],
       [ 1.43468087e-05, -1.43468087e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 6.75706339e-05, -6.75706339e-05],
       [ 1.67213102e-04, -1.67213102e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 3.61244443e-04, -3.61244443e-04],
       [-1.71735470e-04,  1.71735470e-04],
       [-4.12119641e-05,  4.12119641e-05],
       [-1.45282666e-04,  1.45282666e-04],
       [ 1.42958496e-04, -1.42958496e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.33607317e-04,  1.33607317e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.46806645e-02,  1.46806645e-02],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 5.72782146e-04, -5.72782146e-04],
       [ 9.75456175e-04, -9.75456175e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00]])}"
Gradient Boosting,1.0,0.9996602106693849,0.9998300764655904,0.9998293418283178,95.75840592384338,"{'SHAP': array([[ 0.00000000e+00,  0.00000000e+00],
       [-8.11918234e-05,  8.11918234e-05],
       [ 1.88239231e-06, -1.88239231e-06],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 9.11821223e-04, -9.11821223e-04],
       [-2.43461626e-06,  2.43461626e-06],
       [-9.26734986e-08,  9.26734986e-08],
       [ 2.00750667e-04, -2.00750667e-04],
       [-4.95100460e-03,  4.95100460e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 5.67402479e-05, -5.67402479e-05],
       [ 1.03180382e-03, -1.03180382e-03],
       [-1.54837448e-03,  1.54837448e-03],
       [-4.04901345e-04,  4.04901345e-04],
       [-5.55366759e-04,  5.55366759e-04],
       [-2.86198771e-06,  2.86198771e-06],
       [-4.18550866e-05,  4.18550866e-05],
       [-1.73442245e-04,  1.73442245e-04],
       [ 3.31348858e-05, -3.31348858e-05],
       [ 2.94533066e-04, -2.94533066e-04],
       [ 1.77015867e-04, -1.77015867e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 3.67776572e-13, -3.67776564e-13],
       [ 5.45965595e-04, -5.45965595e-04],
       [-1.76074621e-04,  1.76074621e-04],
       [ 9.24355385e-04, -9.24355385e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-3.20422790e-05,  3.20422790e-05],
       [ 1.64669116e-04, -1.64669116e-04],
       [ 1.33691017e-05, -1.33691017e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [-6.08423744e-06,  6.08423744e-06],
       [ 0.00000000e+00,  0.00000000e+00],
       [-3.25829363e-06,  3.25829363e-06],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.10131531e-04,  1.10131531e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 9.38382642e-06, -9.38382642e-06],
       [ 0.00000000e+00,  0.00000000e+00],
       [-5.07250523e-05,  5.07250523e-05],
       [ 3.38301396e-05, -3.38301396e-05],
       [ 1.98100081e-05, -1.98100081e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 4.93321968e-03, -4.93321968e-03],
       [ 1.73616232e-05, -1.73616232e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.39547633e-02,  1.39547633e-02],
       [ 2.02581234e-04, -2.02581234e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-8.04012613e-05,  8.04012613e-05],
       [ 5.95361573e-04, -5.95361573e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00]])}"
XGBoost,1.0,0.999886736889795,0.9999433652375829,0.9999431139427726,0.7417409420013428,"{'SHAP': array([[-1.68883510e-06,  1.68883512e-06],
       [-3.35363934e-04,  3.35363891e-04],
       [-1.48293625e-03,  1.48293626e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.69844078e-04,  1.69844140e-04],
       [-9.94729993e-06,  9.94729832e-06],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 2.73980619e-05, -2.73980585e-05],
       [-9.95696255e-03,  9.95696259e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 6.65451354e-06, -6.65447140e-06],
       [-2.62645530e-04,  2.62645545e-04],
       [-1.99196756e-04,  1.99196756e-04],
       [-2.76082037e-04,  2.76082084e-04],
       [-7.40997852e-04,  7.40997791e-04],
       [-1.61569630e-04,  1.61569606e-04],
       [ 8.45417634e-05, -8.45417577e-05],
       [ 4.51873550e-05, -4.51873538e-05],
       [-8.12889762e-05,  8.12889542e-05],
       [ 5.13637670e-04, -5.13637740e-04],
       [ 2.25618660e-04, -2.25618699e-04],
       [-4.52374337e-05,  4.52374354e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 3.38918242e-03, -3.38918213e-03],
       [ 1.17866006e-03, -1.17866033e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 9.25608339e-05, -9.25608290e-05],
       [-1.45013875e-04,  1.45013846e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.63437012e-04, -1.63437106e-04],
       [-2.93516250e-06,  2.93516385e-06],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.45663223e-05, -1.45663199e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.22904021e-04,  1.22903938e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-6.00612728e-05,  6.00612876e-05],
       [ 7.79408763e-05, -7.79408425e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 2.01470128e-04, -2.01470176e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.54729461e-05,  1.54729468e-05],
       [-4.22943264e-05,  4.22944051e-05],
       [-1.31059591e-05,  1.31059824e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 6.52414642e-03, -6.52414638e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.31531527e-02,  1.31531527e-02],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.38204035e-05, -1.38203911e-05],
       [ 2.60412053e-03, -2.60412054e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00]])}"
LightGBM,0.9998867497168743,1.0,0.9999433716518489,0.9999431139427726,1.090996265411377,"{'SHAP': array([[-6.25799807e-05,  6.25799807e-05],
       [-2.12526626e-06,  2.12526626e-06],
       [-2.19230827e-04,  2.19230827e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.50263565e-04,  1.50263565e-04],
       [-1.36440589e-04,  1.36440589e-04],
       [ 2.81016679e-04, -2.81016679e-04],
       [-1.07733625e-04,  1.07733625e-04],
       [-4.59403241e-03,  4.59403241e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [-6.32580536e-05,  6.32580536e-05],
       [-8.63635240e-04,  8.63635240e-04],
       [-9.51061551e-05,  9.51061551e-05],
       [-8.62343943e-05,  8.62343943e-05],
       [-1.04818507e-03,  1.04818507e-03],
       [-2.24957246e-04,  2.24957246e-04],
       [-2.93854872e-05,  2.93854872e-05],
       [ 2.70996412e-04, -2.70996412e-04],
       [-1.30788139e-06,  1.30788139e-06],
       [ 1.62340049e-04, -1.62340049e-04],
       [-1.36458762e-05,  1.36458762e-05],
       [-5.83358144e-04,  5.83358144e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 2.27669833e-04, -2.27669833e-04],
       [-6.65933041e-04,  6.65933041e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 2.24180619e-04, -2.24180619e-04],
       [-3.10421126e-04,  3.10421126e-04],
       [ 1.45569849e-05, -1.45569849e-05],
       [-1.97338369e-04,  1.97338369e-04],
       [ 4.60750788e-08, -4.60750788e-08],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 6.49420325e-05, -6.49420325e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.51446302e-05, -1.51446302e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 4.15733206e-04, -4.15733206e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.16146827e-04, -1.16146827e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.05916414e-04, -1.05916414e-04],
       [ 7.43048936e-05, -7.43048936e-05],
       [ 5.27648681e-05, -5.27648681e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 6.94394782e-03, -6.94394782e-03],
       [-1.54893020e-06,  1.54893020e-06],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.59731134e-02,  1.59731134e-02],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [-7.59062986e-05,  7.59062986e-05],
       [ 4.23710360e-03, -4.23710360e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00]])}"
