Model,Precision,Recall,F1Score,Accuracy,RunTime,XAI
DecisionTree,1.0,0.999886736889795,0.9999433652375829,0.9999431139427726,1.965592384338379,"{'SHAP': array([[ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [-2.88753626e-04,  2.88753626e-04],
       [-6.08265544e-03,  6.08265544e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 4.74486603e-04, -4.74486603e-04],
       [-9.90955117e-04,  9.90955117e-04],
       [-5.24489448e-05,  5.24489448e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [-5.19540361e-04,  5.19540361e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [-3.12873315e-05,  3.12873315e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.98964674e-03, -1.98964674e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 5.14141874e-03, -5.14141874e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.48717219e-02,  1.48717219e-02],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 3.04169748e-03, -3.04169748e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00]])}"
RandomForest,0.999886736889795,0.999886736889795,0.999886736889795,0.9998862278855453,3.4483513832092285,"{'SHAP': array([[-3.27292793e-04,  3.27292793e-04],
       [-6.05149326e-04,  6.05149326e-04],
       [-1.13440127e-03,  1.13440127e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [-9.31488708e-04,  9.31488708e-04],
       [-5.91898288e-04,  5.91898288e-04],
       [-8.10724160e-04,  8.10724160e-04],
       [-6.61658797e-04,  6.61658797e-04],
       [-1.09454690e-03,  1.09454690e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 2.32683315e-04, -2.32683315e-04],
       [-1.01404858e-03,  1.01404858e-03],
       [ 1.94850674e-04, -1.94850674e-04],
       [-5.97179589e-04,  5.97179589e-04],
       [-1.16492292e-03,  1.16492292e-03],
       [ 6.98697309e-05, -6.98697309e-05],
       [ 2.17032823e-04, -2.17032823e-04],
       [ 4.18931680e-05, -4.18931680e-05],
       [-5.47308721e-04,  5.47308721e-04],
       [ 2.35908755e-04, -2.35908755e-04],
       [-1.42451789e-04,  1.42451789e-04],
       [ 5.67127823e-04, -5.67127823e-04],
       [ 2.46867285e-04, -2.46867285e-04],
       [ 5.09952785e-04, -5.09952785e-04],
       [-3.56083964e-05,  3.56083964e-05],
       [ 7.72533136e-04, -7.72533136e-04],
       [-3.30005120e-04,  3.30005120e-04],
       [-2.35533307e-04,  2.35533307e-04],
       [ 1.31431822e-04, -1.31431822e-04],
       [ 3.93822174e-04, -3.93822174e-04],
       [ 1.09016440e-04, -1.09016440e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 3.53831276e-06, -3.53831276e-06],
       [-1.28869674e-05,  1.28869674e-05],
       [-1.06069742e-05,  1.06069742e-05],
       [ 5.90636555e-05, -5.90636555e-05],
       [-6.82886399e-04,  6.82886399e-04],
       [ 2.69019853e-04, -2.69019853e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 2.68556801e-04, -2.68556801e-04],
       [ 1.29724103e-04, -1.29724103e-04],
       [ 1.83018374e-04, -1.83018374e-04],
       [ 1.26667046e-04, -1.26667046e-04],
       [-4.44598669e-05,  4.44598669e-05],
       [ 7.55788156e-06, -7.55788156e-06],
       [-1.13445020e-03,  1.13445020e-03],
       [ 3.52615052e-04, -3.52615052e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-5.53699528e-03,  5.53699528e-03],
       [ 1.53838102e-04, -1.53838102e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 2.35841629e-04, -2.35841629e-04],
       [ 7.59360601e-05, -7.59360601e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00]])}"
Logistic Regression,0.994912379875636,0.9967153698040548,0.9958130587303384,0.9957904317651743,0.7168474197387695,"{'SHAP': array([[-6.58659669e-05,  6.58659669e-05],
       [-6.71958777e-04,  6.71958777e-04],
       [-6.15231047e-03,  6.15231047e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [-5.54403156e-07,  5.54403156e-07],
       [ 8.79075318e-05, -8.79075318e-05],
       [-3.51536787e-03,  3.51536787e-03],
       [ 1.17775007e-07, -1.17775007e-07],
       [-3.03735478e-07,  3.03735478e-07],
       [ 0.00000000e+00,  0.00000000e+00],
       [-3.94804571e-09,  3.94804571e-09],
       [-3.10950826e-04,  3.10950826e-04],
       [-3.63862316e-05,  3.63862316e-05],
       [ 2.92883121e-04, -2.92883121e-04],
       [-1.09081718e-04,  1.09081718e-04],
       [-4.93025346e-05,  4.93025346e-05],
       [-1.94996315e-05,  1.94996315e-05],
       [ 4.89665780e-07, -4.89665780e-07],
       [-7.75600731e-06,  7.75600731e-06],
       [ 5.33966622e-03, -5.33966622e-03],
       [ 2.23899258e-03, -2.23899258e-03],
       [ 1.14619273e-03, -1.14619273e-03],
       [ 2.27637909e-03, -2.27637909e-03],
       [ 6.31873422e-05, -6.31873422e-05],
       [ 1.05664700e-05, -1.05664700e-05],
       [ 6.33277016e-05, -6.33277016e-05],
       [ 1.06908796e-04, -1.06908796e-04],
       [-4.38355464e-05,  4.38355464e-05],
       [ 1.03638215e-04, -1.03638215e-04],
       [ 2.30199384e-05, -2.30199384e-05],
       [ 1.16452295e-05, -1.16452295e-05],
       [-3.65397180e-05,  3.65397180e-05],
       [ 9.38841526e-06, -9.38841526e-06],
       [ 1.03011876e-05, -1.03011876e-05],
       [ 9.63781613e-06, -9.63781613e-06],
       [ 1.21547474e-05, -1.21547474e-05],
       [-1.67635285e-05,  1.67635285e-05],
       [ 5.46822315e-05, -5.46822315e-05],
       [-1.59328073e-05,  1.59328073e-05],
       [ 2.74179284e-04, -2.74179284e-04],
       [ 1.41672463e-05, -1.41672463e-05],
       [ 3.18586377e-04, -3.18586377e-04],
       [ 1.71035174e-04, -1.71035174e-04],
       [-9.91321663e-05,  9.91321663e-05],
       [-1.59636076e-04,  1.59636076e-04],
       [-6.24448193e-05,  6.24448193e-05],
       [-4.00325303e-06,  4.00325303e-06],
       [ 1.84177328e-09, -1.84177328e-09],
       [-5.62719329e-03,  5.62719329e-03],
       [-8.14438733e-06,  8.14438733e-06],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 7.09476411e-05, -7.09476411e-05],
       [-9.92443381e-04,  9.92443381e-04],
       [-6.66074326e-06,  6.66074326e-06],
       [-3.47051775e-09,  3.47051775e-09]])}"
Naive Bayes,0.9897534061479563,0.9955827387020048,0.9926595143986447,0.9926048125604414,0.0802297592163086,"{'SHAP': array([[ 2.37762752e-04, -2.37762752e-04],
       [-9.47948423e-05,  9.47948423e-05],
       [-3.93106437e-04,  3.93106437e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-2.73375231e-04,  2.73375231e-04],
       [ 1.15837299e-04, -1.15837299e-04],
       [-5.32185619e-04,  5.32185619e-04],
       [-1.62162500e-04,  1.62162500e-04],
       [-4.99153969e-04,  4.99153969e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-5.75976046e-04,  5.75976046e-04],
       [-1.96793358e-04,  1.96793358e-04],
       [-5.88467778e-05,  5.88467778e-05],
       [ 3.23783234e-04, -3.23783234e-04],
       [-9.38217807e-04,  9.38217807e-04],
       [ 7.47378482e-05, -7.47378482e-05],
       [-6.01919916e-05,  6.01919916e-05],
       [-1.13840884e-04,  1.13840884e-04],
       [-6.43699083e-04,  6.43699083e-04],
       [ 1.06420368e-03, -1.06420368e-03],
       [ 1.56492839e-03, -1.56492839e-03],
       [ 9.55297201e-04, -9.55297201e-04],
       [ 1.39513508e-03, -1.39513508e-03],
       [-1.35656055e-06,  1.35656055e-06],
       [ 3.60648471e-04, -3.60648471e-04],
       [ 5.15811162e-05, -5.15811162e-05],
       [ 5.16216580e-04, -5.16216580e-04],
       [-2.07743599e-03,  2.07743599e-03],
       [ 6.60182954e-04, -6.60182954e-04],
       [ 1.19377569e-03, -1.19377569e-03],
       [-8.61072356e-06,  8.61072356e-06],
       [-4.59592872e-04,  4.59592872e-04],
       [-5.97066356e-05,  5.97066356e-05],
       [-5.85258050e-06,  5.85258050e-06],
       [-4.71781607e-05,  4.71781607e-05],
       [-6.59065489e-06,  6.59065489e-06],
       [-9.35018022e-05,  9.35018022e-05],
       [-1.66549473e-05,  1.66549473e-05],
       [-2.54265951e-04,  2.54265951e-04],
       [-1.30980157e-05,  1.30980157e-05],
       [-1.53022294e-05,  1.53022294e-05],
       [-1.51229066e-05,  1.51229066e-05],
       [-1.70956005e-05,  1.70956005e-05],
       [-1.23121733e-05,  1.23121733e-05],
       [ 1.52431746e-04, -1.52431746e-04],
       [-4.44605376e-04,  4.44605376e-04],
       [-9.43171289e-04,  9.43171289e-04],
       [-4.26641369e-05,  4.26641369e-05],
       [-1.58448353e-03,  1.58448353e-03],
       [-3.87880071e-04,  3.87880071e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.37103451e-05,  1.37103451e-05],
       [-2.58177088e-03,  2.58177088e-03],
       [-1.84128626e-04,  1.84128626e-04],
       [-1.36617507e-05,  1.36617507e-05]])}"
MLP,0.9981879954699887,0.9983010533469249,0.9982445212073163,0.9982365322259514,7.548049688339233,"{'SHAP': array([[-7.19042349e-04,  7.19042349e-04],
       [-1.66047229e-03,  1.66047229e-03],
       [-4.56797076e-03,  4.56797076e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.85733421e-05,  1.85733421e-05],
       [ 7.62116936e-04, -7.62116936e-04],
       [-1.88343860e-03,  1.88343860e-03],
       [ 1.67179768e-05, -1.67179768e-05],
       [-1.48007659e-05,  1.48007659e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 5.90515356e-06, -5.90515356e-06],
       [-3.57104562e-04,  3.57104562e-04],
       [-4.71350750e-04,  4.71350750e-04],
       [-5.00004107e-04,  5.00004107e-04],
       [-3.35140656e-04,  3.35140656e-04],
       [-5.41658129e-04,  5.41658129e-04],
       [-2.41424194e-04,  2.41424194e-04],
       [ 6.24146708e-05, -6.24146708e-05],
       [-6.01817912e-05,  6.01817912e-05],
       [ 3.73169416e-03, -3.73169416e-03],
       [ 2.98247570e-03, -2.98247570e-03],
       [ 8.20020385e-04, -8.20020385e-04],
       [ 3.37461424e-03, -3.37461424e-03],
       [-2.59582463e-04,  2.59582463e-04],
       [-3.57610365e-04,  3.57610365e-04],
       [-1.09556778e-04,  1.09556778e-04],
       [ 2.85702080e-04, -2.85702080e-04],
       [-5.24422325e-04,  5.24422325e-04],
       [ 2.19753647e-04, -2.19753647e-04],
       [-1.42180341e-04,  1.42180341e-04],
       [ 2.17051509e-04, -2.17051509e-04],
       [-1.37716753e-04,  1.37716753e-04],
       [ 1.09114018e-04, -1.09114018e-04],
       [ 1.30120704e-04, -1.30120704e-04],
       [ 1.36638039e-04, -1.36638039e-04],
       [ 1.54911096e-04, -1.54911096e-04],
       [-3.21002428e-04,  3.21002428e-04],
       [-1.41257157e-04,  1.41257157e-04],
       [-7.59768023e-06,  7.59768023e-06],
       [ 6.65485100e-04, -6.65485100e-04],
       [-1.08996348e-04,  1.08996348e-04],
       [ 1.78649858e-04, -1.78649858e-04],
       [ 1.27174031e-04, -1.27174031e-04],
       [-8.62760591e-04,  8.62760591e-04],
       [-3.61423401e-04,  3.61423401e-04],
       [ 9.37239702e-05, -9.37239702e-05],
       [ 8.24786055e-06, -8.24786055e-06],
       [ 1.14606238e-05, -1.14606238e-05],
       [-5.11646804e-03,  5.11646804e-03],
       [-9.02833887e-07,  9.02833887e-07],
       [ 0.00000000e+00,  0.00000000e+00],
       [-3.23034780e-04,  3.23034780e-04],
       [ 4.60742716e-05, -4.60742716e-05],
       [-9.12365541e-05,  9.12365541e-05],
       [ 1.98863738e-05, -1.98863738e-05]])}"
Stochastic Gradient Descent,0.9906521004617637,0.9962623173632348,0.9934492884571945,0.9934012173616247,0.13948559761047363,"{'SHAP': array([[-1.75581115e-05,  1.75581115e-05],
       [-5.91135625e-04,  5.91135625e-04],
       [-5.71650255e-03,  5.71650255e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [-3.99071224e-07,  3.99071224e-07],
       [-8.31953634e-07,  8.31953634e-07],
       [-4.18997865e-03,  4.18997865e-03],
       [ 2.68407274e-08, -2.68407274e-08],
       [-1.73172413e-07,  1.73172413e-07],
       [ 0.00000000e+00,  0.00000000e+00],
       [-4.21562640e-08,  4.21562640e-08],
       [-7.01052385e-04,  7.01052385e-04],
       [ 2.02941589e-05, -2.02941589e-05],
       [ 3.76903626e-04, -3.76903626e-04],
       [-1.43916961e-04,  1.43916961e-04],
       [-2.71917133e-05,  2.71917133e-05],
       [ 5.93199376e-07, -5.93199376e-07],
       [-1.16452944e-05,  1.16452944e-05],
       [-9.69124520e-06,  9.69124520e-06],
       [ 3.76511500e-03, -3.76511500e-03],
       [ 2.23558213e-03, -2.23558213e-03],
       [ 1.17374226e-03, -1.17374226e-03],
       [ 2.19422189e-03, -2.19422189e-03],
       [ 7.42642330e-05, -7.42642330e-05],
       [ 1.18755734e-05, -1.18755734e-05],
       [ 7.57438785e-05, -7.57438785e-05],
       [ 9.30794917e-05, -9.30794917e-05],
       [-3.32908536e-05,  3.32908536e-05],
       [ 8.61188921e-05, -8.61188921e-05],
       [ 1.61575038e-05, -1.61575038e-05],
       [ 5.65952508e-06, -5.65952508e-06],
       [-3.40186015e-05,  3.40186015e-05],
       [ 5.34635385e-06, -5.34635385e-06],
       [ 3.76691834e-06, -3.76691834e-06],
       [ 5.30614349e-06, -5.30614349e-06],
       [ 5.63692532e-06, -5.63692532e-06],
       [-9.05055235e-06,  9.05055235e-06],
       [ 1.00572211e-04, -1.00572211e-04],
       [-1.05267454e-05,  1.05267454e-05],
       [ 2.00915366e-04, -2.00915366e-04],
       [ 2.98874459e-05, -2.98874459e-05],
       [ 2.39037946e-04, -2.39037946e-04],
       [ 1.76882717e-04, -1.76882717e-04],
       [ 7.06300850e-05, -7.06300850e-05],
       [-8.57246327e-05,  8.57246327e-05],
       [-2.76712492e-05,  2.76712492e-05],
       [ 1.86249183e-06, -1.86249183e-06],
       [ 2.76401463e-06, -2.76401463e-06],
       [-3.73755080e-03,  3.73755080e-03],
       [-1.70925829e-05,  1.70925829e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.76125277e-05, -1.76125277e-05],
       [-7.89462134e-04,  7.89462134e-04],
       [-4.46333057e-06,  4.46333057e-06],
       [ 2.27608391e-06, -2.27608391e-06]])}"
ADA Boost,1.0,1.0,1.0,1.0,19.654929876327515,"{'SHAP': array([[ 2.86109089e-04, -2.86109089e-04],
       [-1.48494254e-04,  1.48494254e-04],
       [ 4.09512571e-04, -4.09512571e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 5.97438592e-05, -5.97438592e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 9.84159070e-05, -9.84159070e-05],
       [-2.09375999e-05,  2.09375999e-05],
       [-2.95081601e-04,  2.95081601e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-8.17956857e-05,  8.17956857e-05],
       [-8.08148147e-05,  8.08148147e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [-6.68560357e-07,  6.68560357e-07],
       [-2.72859755e-04,  2.72859755e-04],
       [ 1.33438901e-04, -1.33438901e-04],
       [-6.59261467e-06,  6.59261467e-06],
       [ 2.44685077e-04, -2.44685077e-04],
       [ 5.38931419e-05, -5.38931419e-05],
       [ 1.20923973e-03, -1.20923973e-03],
       [ 9.19993472e-04, -9.19993472e-04],
       [-7.76992824e-05,  7.76992824e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 2.75765829e-03, -2.75765829e-03],
       [ 3.33079213e-04, -3.33079213e-04],
       [ 2.28534860e-03, -2.28534860e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [-2.14287950e-05,  2.14287950e-05],
       [ 1.05148155e-04, -1.05148155e-04],
       [ 1.45952450e-05, -1.45952450e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 6.70728431e-05, -6.70728431e-05],
       [ 1.66791360e-04, -1.66791360e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 3.60978190e-04, -3.60978190e-04],
       [-1.72217066e-04,  1.72217066e-04],
       [-3.81989884e-05,  3.81989884e-05],
       [-1.43660672e-04,  1.43660672e-04],
       [ 1.41744285e-04, -1.41744285e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.10902714e-04,  1.10902714e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.47151676e-02,  1.47151676e-02],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 5.66177798e-04, -5.66177798e-04],
       [ 9.59015812e-04, -9.59015812e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00]])}"
Gradient Boosting,1.0,0.9996602106693849,0.9998300764655904,0.9998293418283178,44.073237657547,"{'SHAP': array([[ 0.00000000e+00,  0.00000000e+00],
       [-7.45999535e-05,  7.45999535e-05],
       [ 1.85289160e-06, -1.85289160e-06],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 9.55395393e-04, -9.55395393e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 6.68773654e-07, -6.68773654e-07],
       [ 2.08548356e-04, -2.08548356e-04],
       [-4.73595401e-03,  4.73595401e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 7.64616996e-05, -7.64616996e-05],
       [ 1.02236129e-03, -1.02236129e-03],
       [-1.75747969e-03,  1.75747969e-03],
       [-3.71118539e-04,  3.71118539e-04],
       [-7.25300387e-04,  7.25300387e-04],
       [-1.23221385e-06,  1.23221385e-06],
       [-8.79885476e-05,  8.79885476e-05],
       [-1.94516391e-04,  1.94516391e-04],
       [ 1.89211012e-05, -1.89211012e-05],
       [ 1.94981599e-04, -1.94981599e-04],
       [ 6.12975862e-05, -6.12975862e-05],
       [-6.74593370e-05,  6.74593370e-05],
       [ 1.00010975e-04, -1.00010975e-04],
       [ 9.35970802e-04, -9.35970802e-04],
       [-1.11642502e-04,  1.11642502e-04],
       [ 5.39039593e-04, -5.39039593e-04],
       [ 3.85668981e-05, -3.85668981e-05],
       [-8.30055575e-05,  8.30055575e-05],
       [ 9.75075092e-05, -9.75075092e-05],
       [ 2.59963807e-05, -2.59963807e-05],
       [-3.25469461e-06,  3.25469461e-06],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 2.52270406e-13, -2.52270392e-13],
       [-4.24024124e-06,  4.24024124e-06],
       [-4.64803761e-06,  4.64803761e-06],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.14834495e-04,  1.14834495e-04],
       [ 1.51763710e-05, -1.51763710e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 4.03680600e-05, -4.03680600e-05],
       [-4.15525591e-06,  4.15525591e-06],
       [-3.94141700e-05,  3.94141700e-05],
       [ 1.60010389e-05, -1.60010389e-05],
       [ 1.57632144e-05, -1.57632144e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 4.99236732e-03, -4.99236732e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.40455285e-02,  1.40455285e-02],
       [ 4.86306374e-04, -4.86306374e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-9.00548287e-05,  9.00548287e-05],
       [ 6.63437468e-04, -6.63437468e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00]])}"
XGBoost,1.0,0.999886736889795,0.9999433652375829,0.9999431139427726,0.5472960472106934,"{'SHAP': array([[-1.68416415e-07,  1.68416412e-07],
       [-3.21575636e-04,  3.21575603e-04],
       [-1.57335579e-03,  1.57335578e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.94053807e-04,  1.94053858e-04],
       [-2.61501595e-05,  2.61501609e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [-2.32385006e-05,  2.32385043e-05],
       [-1.00023516e-02,  1.00023516e-02],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.13130507e-05, -1.13130111e-05],
       [-2.78358951e-04,  2.78358976e-04],
       [-2.20111807e-04,  2.20111807e-04],
       [-3.14852575e-04,  3.14852618e-04],
       [-9.42020940e-04,  9.42020881e-04],
       [-1.62216079e-04,  1.62216039e-04],
       [ 3.15681866e-05, -3.15681844e-05],
       [ 5.26802296e-05, -5.26802300e-05],
       [-9.67099042e-05,  9.67098758e-05],
       [ 5.03974969e-04, -5.03975012e-04],
       [ 1.99926622e-04, -1.99926657e-04],
       [-4.89920743e-05,  4.89920750e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 3.57722688e-03, -3.57722659e-03],
       [ 1.18951719e-03, -1.18951745e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.20406987e-04, -1.20406982e-04],
       [-1.59667987e-04,  1.59667957e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 2.32064948e-04, -2.32065034e-04],
       [-2.33170856e-06,  2.33170846e-06],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 3.33636431e-05, -3.33636432e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.36735567e-04,  1.36735477e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-5.66980619e-05,  5.66980776e-05],
       [ 7.46312233e-05, -7.46312040e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.90557704e-04, -1.90557750e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.70520718e-05,  1.70520723e-05],
       [ 3.81736942e-05, -3.81736223e-05],
       [-4.05073095e-06,  4.05075131e-06],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 6.52675758e-03, -6.52675753e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.29181220e-02,  1.29181220e-02],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.23073042e-05, -1.23072983e-05],
       [ 2.58858573e-03, -2.58858571e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00]])}"
LightGBM,0.9998867497168743,1.0,0.9999433716518489,0.9999431139427726,0.6833415031433105,"{'SHAP': array([[-7.91673554e-05,  7.91673554e-05],
       [ 4.16097087e-06, -4.16097087e-06],
       [-2.17646921e-04,  2.17646921e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-2.18144021e-04,  2.18144021e-04],
       [-1.37207553e-04,  1.37207553e-04],
       [ 2.88068545e-04, -2.88068545e-04],
       [-1.30870780e-04,  1.30870780e-04],
       [-4.89795770e-03,  4.89795770e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [-3.60021252e-05,  3.60021252e-05],
       [-6.67157834e-04,  6.67157834e-04],
       [-1.16699135e-04,  1.16699135e-04],
       [-9.95569797e-05,  9.95569797e-05],
       [-8.45356654e-04,  8.45356654e-04],
       [-2.40209185e-04,  2.40209185e-04],
       [-2.78385839e-05,  2.78385839e-05],
       [ 2.51712435e-04, -2.51712435e-04],
       [-8.84691418e-07,  8.84691418e-07],
       [ 1.36830693e-04, -1.36830693e-04],
       [-2.10398749e-05,  2.10398749e-05],
       [-6.04170554e-04,  6.04170554e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 2.20525607e-04, -2.20525607e-04],
       [-6.45089966e-04,  6.45089966e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 2.10302518e-04, -2.10302518e-04],
       [-2.10744928e-04,  2.10744928e-04],
       [ 1.37893065e-05, -1.37893065e-05],
       [-1.78557783e-04,  1.78557783e-04],
       [ 4.69906290e-08, -4.69906290e-08],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 7.27639923e-05, -7.27639923e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.31431255e-05, -1.31431255e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 5.70144867e-04, -5.70144867e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.32930670e-04, -1.32930670e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 7.60306814e-05, -7.60306814e-05],
       [ 1.04196744e-04, -1.04196744e-04],
       [ 5.20825729e-05, -5.20825729e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 6.85529196e-03, -6.85529196e-03],
       [-1.20218883e-06,  1.20218883e-06],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.60714993e-02,  1.60714993e-02],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [-3.08323952e-05,  3.08323952e-05],
       [ 4.17688471e-03, -4.17688471e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00]])}"
