Model,Precision,Recall,F1Score,Accuracy,RunTime,XAI
DecisionTree,1.0,0.999886736889795,0.9999433652375829,0.9999431139427726,0.6710262298583984,"{'SHAP': array([[ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.0012619 , -0.0012619 ],
       [-0.0057047 ,  0.0057047 ],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [-0.0007489 ,  0.0007489 ],
       [-0.00196553,  0.00196553],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [-0.00014728,  0.00014728],
       [ 0.        ,  0.        ],
       [ 0.00018437, -0.00018437],
       [ 0.        ,  0.        ],
       [-0.00059355,  0.00059355],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.00048666, -0.00048666],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.00634092, -0.00634092],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [-0.01435861,  0.01435861],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.00305461, -0.00305461],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ]])}"
RandomForest,0.999886736889795,0.999886736889795,0.999886736889795,0.9998862278855453,4.582217454910278,"{'SHAP': array([[-3.52204335e-04,  3.52204335e-04],
       [-4.16776836e-04,  4.16776836e-04],
       [-9.38668866e-04,  9.38668866e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.18576825e-03,  1.18576825e-03],
       [-9.30974458e-04,  9.30974458e-04],
       [-1.28137095e-03,  1.28137095e-03],
       [-1.01163889e-04,  1.01163889e-04],
       [-8.74747141e-04,  8.74747141e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 2.25694294e-04, -2.25694294e-04],
       [-4.83250469e-04,  4.83250469e-04],
       [ 2.84326754e-04, -2.84326754e-04],
       [-3.05091302e-05,  3.05091302e-05],
       [-6.58421981e-05,  6.58421981e-05],
       [-5.47539678e-05,  5.47539678e-05],
       [ 1.68699016e-04, -1.68699016e-04],
       [-4.84899027e-04,  4.84899027e-04],
       [-2.57246715e-04,  2.57246715e-04],
       [ 6.31991581e-04, -6.31991581e-04],
       [ 6.34728938e-04, -6.34728938e-04],
       [ 8.88070994e-05, -8.88070994e-05],
       [ 1.87915126e-04, -1.87915126e-04],
       [ 4.54161215e-04, -4.54161215e-04],
       [-1.81232152e-04,  1.81232152e-04],
       [-4.11520564e-04,  4.11520564e-04],
       [-2.90215598e-04,  2.90215598e-04],
       [-7.32825530e-04,  7.32825530e-04],
       [-1.62303885e-04,  1.62303885e-04],
       [ 4.89766198e-04, -4.89766198e-04],
       [ 3.76233005e-05, -3.76233005e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.40201377e-05, -1.40201377e-05],
       [ 8.65362080e-05, -8.65362080e-05],
       [-4.95113488e-05,  4.95113488e-05],
       [ 3.10597872e-05, -3.10597872e-05],
       [-4.34876842e-04,  4.34876842e-04],
       [ 3.84788668e-05, -3.84788668e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 9.73092895e-05, -9.73092895e-05],
       [ 8.19762216e-05, -8.19762216e-05],
       [-6.81950054e-06,  6.81950054e-06],
       [ 5.69611468e-05, -5.69611468e-05],
       [ 3.27549918e-04, -3.27549918e-04],
       [-7.02315263e-05,  7.02315263e-05],
       [-1.09533989e-03,  1.09533989e-03],
       [-1.39245691e-05,  1.39245691e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [-5.44276808e-03,  5.44276808e-03],
       [-1.75578816e-04,  1.75578816e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 3.73240799e-04, -3.73240799e-04],
       [ 1.04005916e-04, -1.04005916e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00]])}"
Logistic Regression,0.994912379875636,0.9967153698040548,0.9958130587303384,0.9957904317651743,0.6153364181518555,"{'SHAP': array([[-6.74515704e-05,  6.74515704e-05],
       [-6.58706503e-04,  6.58706503e-04],
       [-6.19224929e-03,  6.19224929e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [-4.98377935e-07,  4.98377935e-07],
       [ 8.64314303e-05, -8.64314303e-05],
       [-3.15234101e-03,  3.15234101e-03],
       [ 1.21974763e-07, -1.21974763e-07],
       [-2.91427123e-07,  2.91427123e-07],
       [ 0.00000000e+00,  0.00000000e+00],
       [-5.08347332e-09,  5.08347332e-09],
       [-2.86815789e-04,  2.86815789e-04],
       [-3.43022542e-05,  3.43022542e-05],
       [ 2.74828811e-04, -2.74828811e-04],
       [-8.22619833e-05,  8.22619833e-05],
       [-5.44959411e-05,  5.44959411e-05],
       [-1.75321446e-05,  1.75321446e-05],
       [ 4.37178849e-07, -4.37178849e-07],
       [-8.21985672e-06,  8.21985672e-06],
       [ 4.79465167e-03, -4.79465167e-03],
       [ 2.33525799e-03, -2.33525799e-03],
       [ 1.13423263e-03, -1.13423263e-03],
       [ 2.22678632e-03, -2.22678632e-03],
       [ 6.20448032e-05, -6.20448032e-05],
       [ 1.10888664e-05, -1.10888664e-05],
       [ 6.24198764e-05, -6.24198764e-05],
       [ 1.01125621e-04, -1.01125621e-04],
       [-4.47469816e-05,  4.47469816e-05],
       [ 1.01221872e-04, -1.01221872e-04],
       [ 1.84947124e-05, -1.84947124e-05],
       [ 1.19169704e-05, -1.19169704e-05],
       [-3.37217194e-05,  3.37217194e-05],
       [ 9.40454884e-06, -9.40454884e-06],
       [ 1.12139971e-05, -1.12139971e-05],
       [ 1.11993945e-05, -1.11993945e-05],
       [ 1.23803907e-05, -1.23803907e-05],
       [-1.61620413e-05,  1.61620413e-05],
       [ 5.63799361e-05, -5.63799361e-05],
       [-1.61314909e-05,  1.61314909e-05],
       [ 2.85093696e-04, -2.85093696e-04],
       [ 1.60584033e-05, -1.60584033e-05],
       [ 2.63096216e-04, -2.63096216e-04],
       [ 1.86120620e-04, -1.86120620e-04],
       [-9.47862466e-05,  9.47862466e-05],
       [-1.46896893e-04,  1.46896893e-04],
       [-6.07851665e-05,  6.07851665e-05],
       [-3.89900820e-06,  3.89900820e-06],
       [ 1.81529862e-09, -1.81529862e-09],
       [-5.47260972e-03,  5.47260972e-03],
       [-1.03493985e-05,  1.03493985e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 7.64255614e-05, -7.64255614e-05],
       [-9.87971024e-04,  9.87971024e-04],
       [-7.27300520e-06,  7.27300520e-06],
       [-2.30129183e-09,  2.30129183e-09]])}"
Naive Bayes,0.9897534061479563,0.9955827387020048,0.9926595143986447,0.9926048125604414,0.10874414443969727,"{'SHAP': array([[ 2.46697267e-04, -2.46697267e-04],
       [-7.07417546e-05,  7.07417546e-05],
       [-4.78333326e-04,  4.78333326e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-5.27201936e-04,  5.27201936e-04],
       [ 1.80531041e-04, -1.80531041e-04],
       [-4.55004046e-04,  4.55004046e-04],
       [-2.32538015e-04,  2.32538015e-04],
       [-3.80581295e-04,  3.80581295e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-5.60641494e-04,  5.60641494e-04],
       [-5.59287082e-04,  5.59287082e-04],
       [-4.99400334e-05,  4.99400334e-05],
       [ 4.33458865e-04, -4.33458865e-04],
       [-6.79510922e-04,  6.79510922e-04],
       [ 7.03484797e-05, -7.03484797e-05],
       [-5.17433156e-05,  5.17433156e-05],
       [-1.11753887e-04,  1.11753887e-04],
       [-6.04274838e-04,  6.04274838e-04],
       [ 9.69383001e-04, -9.69383001e-04],
       [ 1.50190608e-03, -1.50190608e-03],
       [ 9.06033423e-04, -9.06033423e-04],
       [ 1.50794299e-03, -1.50794299e-03],
       [ 8.42508740e-05, -8.42508740e-05],
       [ 3.72539611e-04, -3.72539611e-04],
       [ 7.27726465e-05, -7.27726465e-05],
       [ 7.63178552e-04, -7.63178552e-04],
       [-2.20900023e-03,  2.20900023e-03],
       [ 6.48172141e-04, -6.48172141e-04],
       [ 1.11587544e-03, -1.11587544e-03],
       [-7.35359057e-06,  7.35359057e-06],
       [-4.72129526e-04,  4.72129526e-04],
       [-6.58487986e-05,  6.58487986e-05],
       [-6.57325362e-06,  6.57325362e-06],
       [-4.26817478e-05,  4.26817478e-05],
       [-6.06183142e-06,  6.06183142e-06],
       [-5.00286025e-05,  5.00286025e-05],
       [-1.28299675e-05,  1.28299675e-05],
       [-2.65256032e-04,  2.65256032e-04],
       [-1.15022611e-05,  1.15022611e-05],
       [-1.60311760e-05,  1.60311760e-05],
       [-1.54909334e-05,  1.54909334e-05],
       [-1.65474769e-05,  1.65474769e-05],
       [-1.95157521e-05,  1.95157521e-05],
       [ 1.22498419e-04, -1.22498419e-04],
       [-4.83677355e-04,  4.83677355e-04],
       [-7.26479287e-04,  7.26479287e-04],
       [-7.73698384e-05,  7.73698384e-05],
       [-1.41715418e-03,  1.41715418e-03],
       [-5.51711314e-04,  5.51711314e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-6.89051188e-05,  6.89051188e-05],
       [-2.65727947e-03,  2.65727947e-03],
       [-2.04952593e-04,  2.04952593e-04],
       [-5.23286878e-06,  5.23286878e-06]])}"
MLP,0.9981879954699887,0.9983010533469249,0.9982445212073163,0.9982365322259514,7.234786510467529,"{'SHAP': array([[-6.05868912e-04,  6.05868912e-04],
       [-1.65475710e-03,  1.65475710e-03],
       [-4.74923050e-03,  4.74923050e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.65521589e-05,  1.65521589e-05],
       [ 9.24104317e-04, -9.24104317e-04],
       [-2.00802408e-03,  2.00802408e-03],
       [ 1.50277040e-05, -1.50277040e-05],
       [-1.17309030e-05,  1.17309030e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 8.02041142e-06, -8.02041142e-06],
       [-4.39394456e-04,  4.39394456e-04],
       [-4.43113898e-04,  4.43113898e-04],
       [-5.12221743e-04,  5.12221743e-04],
       [-3.56602490e-04,  3.56602490e-04],
       [-5.35766432e-04,  5.35766432e-04],
       [-2.37095899e-04,  2.37095899e-04],
       [ 7.35498576e-05, -7.35498576e-05],
       [-6.12276797e-05,  6.12276797e-05],
       [ 3.93134622e-03, -3.93134622e-03],
       [ 2.89595058e-03, -2.89595058e-03],
       [ 8.02758141e-04, -8.02758141e-04],
       [ 3.22373976e-03, -3.22373976e-03],
       [-2.54304940e-04,  2.54304940e-04],
       [-3.58813284e-04,  3.58813284e-04],
       [-1.14178391e-04,  1.14178391e-04],
       [ 7.67540701e-05, -7.67540701e-05],
       [-6.47814477e-04,  6.47814477e-04],
       [ 2.79195896e-04, -2.79195896e-04],
       [-4.62881566e-05,  4.62881566e-05],
       [ 2.42348490e-04, -2.42348490e-04],
       [-1.73425459e-04,  1.73425459e-04],
       [ 1.51694184e-04, -1.51694184e-04],
       [ 1.40398431e-04, -1.40398431e-04],
       [ 1.01075964e-04, -1.01075964e-04],
       [ 1.48560289e-04, -1.48560289e-04],
       [-3.34245346e-04,  3.34245346e-04],
       [-1.20793789e-04,  1.20793789e-04],
       [-5.79334704e-06,  5.79334704e-06],
       [ 5.91554896e-04, -5.91554896e-04],
       [-1.04401326e-04,  1.04401326e-04],
       [ 1.94922182e-04, -1.94922182e-04],
       [ 1.49514851e-04, -1.49514851e-04],
       [-8.14901569e-04,  8.14901569e-04],
       [-3.53564910e-04,  3.53564910e-04],
       [ 9.25038519e-05, -9.25038519e-05],
       [ 1.31191425e-05, -1.31191425e-05],
       [ 1.37513920e-05, -1.37513920e-05],
       [-4.91224825e-03,  4.91224825e-03],
       [ 6.41262544e-06, -6.41262544e-06],
       [ 0.00000000e+00,  0.00000000e+00],
       [-2.82806404e-04,  2.82806404e-04],
       [ 4.56863268e-05, -4.56863268e-05],
       [-7.30923130e-05,  7.30923130e-05],
       [ 2.93099071e-05, -2.93099071e-05]])}"
Stochastic Gradient Descent,0.9906521004617637,0.9962623173632348,0.9934492884571945,0.9934012173616247,0.17258930206298828,"{'SHAP': array([[-1.91178826e-05,  1.91178826e-05],
       [-5.78075010e-04,  5.78075010e-04],
       [-5.93148827e-03,  5.93148827e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [-3.89133401e-07,  3.89133401e-07],
       [-1.73329895e-05,  1.73329895e-05],
       [-3.95524536e-03,  3.95524536e-03],
       [-6.94124631e-10,  6.94124631e-10],
       [-1.93892747e-07,  1.93892747e-07],
       [ 0.00000000e+00,  0.00000000e+00],
       [-4.66549718e-08,  4.66549718e-08],
       [-7.84130848e-04,  7.84130848e-04],
       [ 2.10079719e-05, -2.10079719e-05],
       [ 3.92539429e-04, -3.92539429e-04],
       [-1.60899342e-04,  1.60899342e-04],
       [-2.49661778e-05,  2.49661778e-05],
       [ 6.13237445e-07, -6.13237445e-07],
       [ 2.88705323e-06, -2.88705323e-06],
       [-1.08079652e-05,  1.08079652e-05],
       [ 3.88446810e-03, -3.88446810e-03],
       [ 2.19667305e-03, -2.19667305e-03],
       [ 1.18426898e-03, -1.18426898e-03],
       [ 2.19226075e-03, -2.19226075e-03],
       [ 7.47005914e-05, -7.47005914e-05],
       [ 1.19870240e-05, -1.19870240e-05],
       [ 7.40457799e-05, -7.40457799e-05],
       [ 9.12365466e-05, -9.12365466e-05],
       [-3.44433211e-05,  3.44433211e-05],
       [ 8.34516742e-05, -8.34516742e-05],
       [ 1.72813481e-05, -1.72813481e-05],
       [ 4.84690973e-06, -4.84690973e-06],
       [-3.05610903e-05,  3.05610903e-05],
       [ 6.08955576e-06, -6.08955576e-06],
       [ 3.94746279e-06, -3.94746279e-06],
       [ 5.43516576e-06, -5.43516576e-06],
       [ 5.95026225e-06, -5.95026225e-06],
       [-9.61177341e-06,  9.61177341e-06],
       [ 1.07422015e-04, -1.07422015e-04],
       [-9.87595267e-06,  9.87595267e-06],
       [ 2.04827842e-04, -2.04827842e-04],
       [ 3.36611967e-05, -3.36611967e-05],
       [ 2.38826084e-04, -2.38826084e-04],
       [ 2.01448176e-04, -2.01448176e-04],
       [ 7.36357022e-05, -7.36357022e-05],
       [-8.40588005e-05,  8.40588005e-05],
       [-2.80082665e-05,  2.80082665e-05],
       [ 1.78115808e-06, -1.78115808e-06],
       [ 2.34383937e-06, -2.34383937e-06],
       [-3.78411694e-03,  3.78411694e-03],
       [-1.87001214e-05,  1.87001214e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.82145430e-05, -1.82145430e-05],
       [-8.18988623e-04,  8.18988623e-04],
       [-3.78997792e-06,  3.78997792e-06],
       [ 1.90271118e-06, -1.90271118e-06]])}"
ADA Boost,1.0,1.0,1.0,1.0,22.537248611450195,"{'SHAP': array([[ 2.85757451e-04, -2.85757451e-04],
       [-1.48656781e-04,  1.48656781e-04],
       [ 3.95361969e-04, -3.95361969e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 6.04485794e-05, -6.04485794e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 9.98591261e-05, -9.98591261e-05],
       [-1.40058756e-05,  1.40058756e-05],
       [-3.02698207e-04,  3.02698207e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-7.98236614e-05,  7.98236614e-05],
       [-8.60862593e-05,  8.60862593e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.18514650e-07,  1.18514650e-07],
       [-2.66965196e-04,  2.66965196e-04],
       [ 1.33878728e-04, -1.33878728e-04],
       [-1.42774994e-05,  1.42774994e-05],
       [ 2.42204016e-04, -2.42204016e-04],
       [ 5.36667927e-05, -5.36667927e-05],
       [ 1.20855816e-03, -1.20855816e-03],
       [ 9.35799553e-04, -9.35799553e-04],
       [-7.71678046e-05,  7.71678046e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 2.28888217e-03, -2.28888217e-03],
       [ 3.33054685e-04, -3.33054685e-04],
       [ 2.75882078e-03, -2.75882078e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [-2.80590487e-05,  2.80590487e-05],
       [ 1.04577201e-04, -1.04577201e-04],
       [ 1.41259112e-05, -1.41259112e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 6.67296403e-05, -6.67296403e-05],
       [-5.10010172e-06,  5.10010172e-06],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 3.60462684e-04, -3.60462684e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-3.95054821e-05,  3.95054821e-05],
       [-1.38093210e-04,  1.38093210e-04],
       [ 1.42339234e-04, -1.42339234e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.11393454e-04,  1.11393454e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.46988536e-02,  1.46988536e-02],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 5.72753917e-04, -5.72753917e-04],
       [ 9.39091557e-04, -9.39091557e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00]])}"
Gradient Boosting,1.0,0.9996602106693849,0.9998300764655904,0.9998293418283178,33.45710349082947,"{'SHAP': array([[ 0.00000000e+00,  0.00000000e+00],
       [-8.68442910e-05,  8.68442910e-05],
       [ 2.49034768e-07, -2.49034768e-07],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.11649470e-03, -1.11649470e-03],
       [-2.27023847e-06,  2.27023847e-06],
       [-9.56906650e-08,  9.56906650e-08],
       [ 1.27726567e-04, -1.27726567e-04],
       [-5.18206048e-03,  5.18206048e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 3.09887691e-05, -3.09887691e-05],
       [ 1.03212900e-03, -1.03212900e-03],
       [-1.66605815e-03,  1.66605815e-03],
       [-1.37006556e-04,  1.37006556e-04],
       [-4.97485847e-04,  4.97485847e-04],
       [-1.19694690e-05,  1.19694690e-05],
       [-4.14214808e-06,  4.14214808e-06],
       [-8.24615996e-05,  8.24615996e-05],
       [ 4.23279499e-05, -4.23279499e-05],
       [ 4.44908910e-04, -4.44908910e-04],
       [ 8.51922970e-05, -8.51922970e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.06319255e-04, -1.06319255e-04],
       [ 5.91014465e-04, -5.91014465e-04],
       [-1.66426912e-04,  1.66426912e-04],
       [ 7.69845933e-04, -7.69845933e-04],
       [ 4.30106013e-05, -4.30106013e-05],
       [-7.34284428e-05,  7.34284428e-05],
       [ 8.73484558e-05, -8.73484558e-05],
       [ 2.26961367e-05, -2.26961367e-05],
       [-2.06905930e-06,  2.06905930e-06],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.21823527e-05,  1.21823527e-05],
       [-4.31151540e-06,  4.31151540e-06],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.13706186e-04,  1.13706186e-04],
       [-6.53048084e-06,  6.53048084e-06],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 3.12917165e-06, -3.12917165e-06],
       [ 1.04342529e-05, -1.04342529e-05],
       [-2.70108054e-05,  2.70108054e-05],
       [ 2.17010256e-05, -2.17010256e-05],
       [ 1.78660530e-05, -1.78660530e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 4.65731739e-03, -4.65731739e-03],
       [ 2.43267601e-05, -2.43267601e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.43029193e-02,  1.43029193e-02],
       [ 4.89299439e-04, -4.89299439e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-7.74876662e-05,  7.74876662e-05],
       [ 7.31466744e-04, -7.31466744e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00]])}"
XGBoost,1.0,0.999886736889795,0.9999433652375829,0.9999431139427726,0.300386905670166,"{'SHAP': array([[-8.17079811e-07,  8.17079846e-07],
       [-3.52297990e-04,  3.52297956e-04],
       [-1.65233384e-03,  1.65233384e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.77854708e-04,  1.77854762e-04],
       [-3.24403690e-05,  3.24403705e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [-2.20444814e-05,  2.20444833e-05],
       [-9.79232932e-03,  9.79232934e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 5.29145743e-06, -5.29142188e-06],
       [-2.61268733e-05,  2.61269004e-05],
       [-1.95888359e-04,  1.95888358e-04],
       [-3.26509833e-04,  3.26509886e-04],
       [-5.94298130e-04,  5.94298076e-04],
       [-1.61196878e-04,  1.61196850e-04],
       [ 6.30834733e-05, -6.30834714e-05],
       [ 5.37820566e-05, -5.37820565e-05],
       [-1.33557540e-04,  1.33557513e-04],
       [ 4.73179043e-04, -4.73179104e-04],
       [ 2.29992336e-04, -2.29992377e-04],
       [-4.46986144e-05,  4.46986155e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 3.61216310e-03, -3.61216284e-03],
       [ 1.17566750e-03, -1.17566776e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.07857833e-04, -1.07857827e-04],
       [-8.35769956e-05,  8.35769545e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.87496756e-04, -1.87496836e-04],
       [-3.03176408e-06,  3.03176313e-06],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 6.11219843e-05, -6.11219833e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.38868525e-04,  1.38868450e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-5.75935217e-05,  5.75935358e-05],
       [ 6.61985506e-05, -6.61985158e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.71877160e-04, -1.71877204e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.95509631e-05,  1.95509640e-05],
       [-2.29440813e-04,  2.29440903e-04],
       [-1.40600668e-05,  1.40600853e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 6.00130099e-03, -6.00130095e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.30133022e-02,  1.30133022e-02],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 4.73092636e-06, -4.73092038e-06],
       [ 2.74231726e-03, -2.74231726e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00]])}"
LightGBM,0.9998867497168743,1.0,0.9999433716518489,0.9999431139427726,0.685579776763916,"{'SHAP': array([[-5.16659491e-05,  5.16659491e-05],
       [-6.71735145e-07,  6.71735145e-07],
       [-2.30783333e-04,  2.30783333e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-3.91647385e-04,  3.91647385e-04],
       [-1.48601450e-04,  1.48601450e-04],
       [ 2.59577591e-04, -2.59577591e-04],
       [-8.02206738e-05,  8.02206738e-05],
       [-4.76744702e-03,  4.76744702e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.72180759e-06, -1.72180759e-06],
       [-7.85825443e-04,  7.85825443e-04],
       [-9.48212250e-05,  9.48212250e-05],
       [-8.73703032e-05,  8.73703032e-05],
       [-1.07377660e-03,  1.07377660e-03],
       [-2.53244331e-04,  2.53244331e-04],
       [-2.43244265e-05,  2.43244265e-05],
       [ 2.48944458e-04, -2.48944458e-04],
       [-7.47881704e-08,  7.47881704e-08],
       [ 1.68477462e-04, -1.68477462e-04],
       [-2.38785363e-05,  2.38785363e-05],
       [-5.59421323e-04,  5.59421323e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 2.28921366e-04, -2.28921366e-04],
       [-6.73090662e-04,  6.73090662e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 2.05049415e-04, -2.05049415e-04],
       [-2.87644914e-04,  2.87644914e-04],
       [ 2.65255349e-05, -2.65255349e-05],
       [-1.67391216e-04,  1.67391216e-04],
       [ 1.06420249e-07, -1.06420249e-07],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 6.71277623e-05, -6.71277623e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.51667767e-05, -1.51667767e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 6.41948119e-04, -6.41948119e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.34950219e-04, -1.34950219e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.17071374e-04, -1.17071374e-04],
       [ 1.39953055e-04, -1.39953055e-04],
       [ 3.74969724e-05, -3.74969724e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 6.60336405e-03, -6.60336405e-03],
       [-4.53497304e-07,  4.53497304e-07],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.59971571e-02,  1.59971571e-02],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [-9.82222740e-05,  9.82222740e-05],
       [ 4.60240177e-03, -4.60240177e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00]])}"
