Model,Precision,Recall,F1Score,Accuracy,RunTime,XAI
DecisionTree,0.999886736889795,0.999886736889795,0.999886736889795,0.9998862278855453,0.6172101497650146,"{'SHAP': array([[ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 6.56465100e-05, -6.56465100e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 6.71539906e-04, -6.71539906e-04],
       [-5.59713294e-03,  5.59713294e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.23004722e-03,  1.23004722e-03],
       [-1.10660447e-03,  1.10660447e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [-3.46663633e-04,  3.46663633e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [-3.46436089e-05,  3.46436089e-05],
       [ 3.87678480e-04, -3.87678480e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 9.69622845e-04, -9.69622845e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 6.44365436e-03, -6.44365436e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.55519085e-02,  1.55519085e-02],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 3.08185904e-03, -3.08185904e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00]])}"
RandomForest,1.0,1.0,1.0,1.0,4.655780076980591,"{'SHAP': array([[-1.23302804e-04,  1.23302804e-04],
       [-7.54926901e-04,  7.54926901e-04],
       [-3.21889755e-04,  3.21889755e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-6.99249104e-04,  6.99249104e-04],
       [-2.96268275e-04,  2.96268275e-04],
       [-1.07903521e-03,  1.07903521e-03],
       [-7.03185619e-04,  7.03185619e-04],
       [-6.62972865e-04,  6.62972865e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 3.88315604e-05, -3.88315604e-05],
       [-9.44387053e-04,  9.44387053e-04],
       [ 3.83893282e-04, -3.83893282e-04],
       [-6.31535355e-04,  6.31535355e-04],
       [-7.44934297e-05,  7.44934297e-05],
       [-4.27232493e-04,  4.27232493e-04],
       [-4.66181239e-05,  4.66181239e-05],
       [-1.67648899e-04,  1.67648899e-04],
       [-1.79351499e-04,  1.79351499e-04],
       [ 4.18914614e-04, -4.18914614e-04],
       [ 1.31412481e-04, -1.31412481e-04],
       [ 1.59541498e-04, -1.59541498e-04],
       [ 1.49494283e-04, -1.49494283e-04],
       [ 7.79805450e-04, -7.79805450e-04],
       [-3.09852665e-04,  3.09852665e-04],
       [ 6.45926389e-04, -6.45926389e-04],
       [-3.80681495e-04,  3.80681495e-04],
       [-3.66849081e-04,  3.66849081e-04],
       [-1.46589681e-04,  1.46589681e-04],
       [ 2.27158541e-04, -2.27158541e-04],
       [ 1.36947494e-04, -1.36947494e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 5.08629615e-05, -5.08629615e-05],
       [ 1.19210422e-05, -1.19210422e-05],
       [ 6.99084134e-05, -6.99084134e-05],
       [ 9.45332499e-06, -9.45332499e-06],
       [-8.89804881e-04,  8.89804881e-04],
       [ 8.98458388e-05, -8.98458388e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 4.48785483e-05, -4.48785483e-05],
       [ 2.84974117e-04, -2.84974117e-04],
       [ 4.06223335e-05, -4.06223335e-05],
       [ 1.26178964e-04, -1.26178964e-04],
       [-5.90431765e-05,  5.90431765e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [-2.02060072e-03,  2.02060072e-03],
       [ 3.70860686e-04, -3.70860686e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-5.16131634e-03,  5.16131634e-03],
       [-4.88797998e-04,  4.88797998e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.45280164e-04, -1.45280164e-04],
       [ 3.74198760e-04, -3.74198760e-04],
       [-1.13772114e-09,  1.13772114e-09],
       [ 0.00000000e+00,  0.00000000e+00]])}"
Logistic Regression,0.994912379875636,0.9967153698040548,0.9958130587303384,0.9957904317651743,0.5435850620269775,"{'SHAP': array([[-5.94330617e-05,  5.94330617e-05],
       [-6.79715729e-04,  6.79715729e-04],
       [-6.15435641e-03,  6.15435641e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [-4.95073185e-07,  4.95073185e-07],
       [ 9.06196977e-05, -9.06196977e-05],
       [-2.93420739e-03,  2.93420739e-03],
       [ 7.48158424e-08, -7.48158424e-08],
       [-2.35221771e-07,  2.35221771e-07],
       [ 0.00000000e+00,  0.00000000e+00],
       [-6.09018530e-09,  6.09018530e-09],
       [-1.34723582e-04,  1.34723582e-04],
       [-3.22805596e-05,  3.22805596e-05],
       [ 2.95782799e-04, -2.95782799e-04],
       [-6.57372598e-05,  6.57372598e-05],
       [-6.72978007e-05,  6.72978007e-05],
       [-1.61128584e-05,  1.61128584e-05],
       [ 1.03294909e-06, -1.03294909e-06],
       [-5.28577160e-06,  5.28577160e-06],
       [ 4.57948409e-03, -4.57948409e-03],
       [ 2.36266802e-03, -2.36266802e-03],
       [ 1.12202692e-03, -1.12202692e-03],
       [ 2.15872482e-03, -2.15872482e-03],
       [ 6.31611102e-05, -6.31611102e-05],
       [ 1.04890449e-05, -1.04890449e-05],
       [ 6.33126513e-05, -6.33126513e-05],
       [ 1.12197429e-04, -1.12197429e-04],
       [-4.46306760e-05,  4.46306760e-05],
       [ 1.07118056e-04, -1.07118056e-04],
       [ 2.04591572e-05, -2.04591572e-05],
       [ 1.11365984e-05, -1.11365984e-05],
       [-3.32615549e-05,  3.32615549e-05],
       [ 1.01448745e-05, -1.01448745e-05],
       [ 9.98059542e-06, -9.98059542e-06],
       [ 9.12911661e-06, -9.12911661e-06],
       [ 1.10758139e-05, -1.10758139e-05],
       [-1.61447884e-05,  1.61447884e-05],
       [ 4.63861765e-05, -4.63861765e-05],
       [-1.72685461e-05,  1.72685461e-05],
       [ 2.68547598e-04, -2.68547598e-04],
       [ 1.44674846e-05, -1.44674846e-05],
       [ 2.91526069e-04, -2.91526069e-04],
       [ 1.91185809e-04, -1.91185809e-04],
       [-1.00011457e-04,  1.00011457e-04],
       [-1.50257828e-04,  1.50257828e-04],
       [-5.60597614e-05,  5.60597614e-05],
       [-3.14137026e-06,  3.14137026e-06],
       [ 1.95801613e-09, -1.95801613e-09],
       [-5.59546811e-03,  5.59546811e-03],
       [-8.56783140e-06,  8.56783140e-06],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 7.44093634e-05, -7.44093634e-05],
       [-1.04662947e-03,  1.04662947e-03],
       [-5.88280278e-06,  5.88280278e-06],
       [-2.93200528e-09,  2.93200528e-09]])}"
Naive Bayes,0.9897534061479563,0.9955827387020048,0.9926595143986447,0.9926048125604414,0.06658101081848145,"{'SHAP': array([[ 2.53235179e-04, -2.53235179e-04],
       [-9.92812443e-05,  9.92812443e-05],
       [-5.48034522e-04,  5.48034522e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-3.05616087e-04,  3.05616087e-04],
       [ 5.84923857e-05, -5.84923857e-05],
       [-6.85111931e-04,  6.85111931e-04],
       [-2.79891099e-04,  2.79891099e-04],
       [-3.76937397e-04,  3.76937397e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-6.22289171e-04,  6.22289171e-04],
       [-4.81196323e-04,  4.81196323e-04],
       [-2.65503222e-05,  2.65503222e-05],
       [ 4.38914589e-04, -4.38914589e-04],
       [-7.51055582e-04,  7.51055582e-04],
       [ 8.83460070e-05, -8.83460070e-05],
       [-7.30472052e-05,  7.30472052e-05],
       [-3.85777601e-05,  3.85777601e-05],
       [-6.21045983e-04,  6.21045983e-04],
       [ 1.00097177e-03, -1.00097177e-03],
       [ 1.52122168e-03, -1.52122168e-03],
       [ 9.46678152e-04, -9.46678152e-04],
       [ 1.52825193e-03, -1.52825193e-03],
       [ 5.49600144e-05, -5.49600144e-05],
       [ 3.47017695e-04, -3.47017695e-04],
       [ 1.47423409e-05, -1.47423409e-05],
       [ 6.11849184e-04, -6.11849184e-04],
       [-1.89893155e-03,  1.89893155e-03],
       [ 5.93923529e-04, -5.93923529e-04],
       [ 1.11927094e-03, -1.11927094e-03],
       [-6.83555524e-06,  6.83555524e-06],
       [-4.70168878e-04,  4.70168878e-04],
       [-6.83414828e-05,  6.83414828e-05],
       [-6.04552060e-06,  6.04552060e-06],
       [-5.16974131e-05,  5.16974131e-05],
       [-8.50432361e-06,  8.50432361e-06],
       [-5.25441498e-05,  5.25441498e-05],
       [-1.79550962e-05,  1.79550962e-05],
       [-3.14985786e-04,  3.14985786e-04],
       [-1.32193910e-05,  1.32193910e-05],
       [-1.43433112e-05,  1.43433112e-05],
       [-1.42291648e-05,  1.42291648e-05],
       [-1.29062050e-05,  1.29062050e-05],
       [-2.00135581e-05,  2.00135581e-05],
       [ 1.64978640e-04, -1.64978640e-04],
       [-3.39944515e-04,  3.39944515e-04],
       [-6.97191787e-04,  6.97191787e-04],
       [-5.94724980e-05,  5.94724980e-05],
       [-1.52879856e-03,  1.52879856e-03],
       [-6.69845052e-04,  6.69845052e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 3.89391616e-07, -3.89391616e-07],
       [-2.54898846e-03,  2.54898846e-03],
       [-1.86459492e-04,  1.86459492e-04],
       [-8.76336952e-06,  8.76336952e-06]])}"
MLP,0.9981879954699887,0.9983010533469249,0.9982445212073163,0.9982365322259514,6.80274510383606,"{'SHAP': array([[-5.87480577e-04,  5.87480577e-04],
       [-1.63371000e-03,  1.63371000e-03],
       [-4.49294700e-03,  4.49294700e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.72811488e-05,  1.72811488e-05],
       [ 6.57871380e-04, -6.57871380e-04],
       [-2.04859374e-03,  2.04859374e-03],
       [ 1.13560030e-05, -1.13560030e-05],
       [-1.34898171e-05,  1.34898171e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 8.24994111e-06, -8.24994111e-06],
       [-4.81623728e-04,  4.81623728e-04],
       [-4.69633386e-04,  4.69633386e-04],
       [-4.96012933e-04,  4.96012933e-04],
       [-5.53221163e-04,  5.53221163e-04],
       [-5.00914283e-04,  5.00914283e-04],
       [-2.21980972e-04,  2.21980972e-04],
       [ 8.80539410e-05, -8.80539410e-05],
       [-1.05521430e-04,  1.05521430e-04],
       [ 3.88155050e-03, -3.88155050e-03],
       [ 3.07647159e-03, -3.07647159e-03],
       [ 8.35097068e-04, -8.35097068e-04],
       [ 3.32911912e-03, -3.32911912e-03],
       [-2.49131754e-04,  2.49131754e-04],
       [-3.71632919e-04,  3.71632919e-04],
       [-1.08360889e-04,  1.08360889e-04],
       [ 7.94927921e-05, -7.94927921e-05],
       [-5.73733605e-04,  5.73733605e-04],
       [ 2.68910710e-04, -2.68910710e-04],
       [-9.52567079e-05,  9.52567079e-05],
       [ 2.75482047e-04, -2.75482047e-04],
       [-1.63828749e-04,  1.63828749e-04],
       [ 1.21451527e-04, -1.21451527e-04],
       [ 1.46590346e-04, -1.46590346e-04],
       [ 1.19193916e-04, -1.19193916e-04],
       [ 8.46638078e-05, -8.46638078e-05],
       [-3.26913094e-04,  3.26913094e-04],
       [-8.35319982e-05,  8.35319982e-05],
       [-5.59768323e-06,  5.59768323e-06],
       [ 5.07055923e-04, -5.07055923e-04],
       [-6.67241091e-05,  6.67241091e-05],
       [ 2.36349861e-04, -2.36349861e-04],
       [ 8.95133246e-05, -8.95133246e-05],
       [-7.51060264e-04,  7.51060264e-04],
       [-3.66067543e-04,  3.66067543e-04],
       [ 1.02922508e-04, -1.02922508e-04],
       [ 1.09413405e-05, -1.09413405e-05],
       [ 1.36114272e-05, -1.36114272e-05],
       [-4.96375167e-03,  4.96375167e-03],
       [ 1.95686988e-05, -1.95686988e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [-2.96546512e-04,  2.96546512e-04],
       [ 4.63659468e-05, -4.63659468e-05],
       [-6.19452313e-05,  6.19452313e-05],
       [ 1.96504530e-05, -1.96504530e-05]])}"
Stochastic Gradient Descent,0.9906521004617637,0.9962623173632348,0.9934492884571945,0.9934012173616247,0.12753677368164062,"{'SHAP': array([[-2.26807712e-05,  2.26807712e-05],
       [-6.06079495e-04,  6.06079495e-04],
       [-5.76360442e-03,  5.76360442e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [-3.74832229e-07,  3.74832229e-07],
       [ 6.01670712e-05, -6.01670712e-05],
       [-4.24266924e-03,  4.24266924e-03],
       [ 5.68471002e-09, -5.68471002e-09],
       [-1.82844451e-07,  1.82844451e-07],
       [ 0.00000000e+00,  0.00000000e+00],
       [-3.69080313e-08,  3.69080313e-08],
       [-6.79676996e-04,  6.79676996e-04],
       [ 2.34253340e-05, -2.34253340e-05],
       [ 3.91478672e-04, -3.91478672e-04],
       [-1.61077396e-04,  1.61077396e-04],
       [-2.06629966e-05,  2.06629966e-05],
       [ 5.30698556e-07, -5.30698556e-07],
       [-5.17534217e-06,  5.17534217e-06],
       [-1.01401450e-05,  1.01401450e-05],
       [ 3.57922712e-03, -3.57922712e-03],
       [ 2.29509543e-03, -2.29509543e-03],
       [ 1.22171814e-03, -1.22171814e-03],
       [ 2.21729516e-03, -2.21729516e-03],
       [ 7.64765776e-05, -7.64765776e-05],
       [ 1.20017419e-05, -1.20017419e-05],
       [ 7.76291156e-05, -7.76291156e-05],
       [ 8.82693677e-05, -8.82693677e-05],
       [-3.24824446e-05,  3.24824446e-05],
       [ 8.79197815e-05, -8.79197815e-05],
       [ 1.68928670e-05, -1.68928670e-05],
       [ 5.48673572e-06, -5.48673572e-06],
       [-3.01125334e-05,  3.01125334e-05],
       [ 5.01983314e-06, -5.01983314e-06],
       [ 3.94606669e-06, -3.94606669e-06],
       [ 5.36328494e-06, -5.36328494e-06],
       [ 5.60813527e-06, -5.60813527e-06],
       [-9.14036334e-06,  9.14036334e-06],
       [ 1.04646407e-04, -1.04646407e-04],
       [-1.02499700e-05,  1.02499700e-05],
       [ 2.17241347e-04, -2.17241347e-04],
       [ 3.11499209e-05, -3.11499209e-05],
       [ 2.64000177e-04, -2.64000177e-04],
       [ 2.15279480e-04, -2.15279480e-04],
       [ 6.91946014e-05, -6.91946014e-05],
       [-8.72570509e-05,  8.72570509e-05],
       [-2.79783786e-05,  2.79783786e-05],
       [ 1.80645274e-06, -1.80645274e-06],
       [ 2.52706316e-06, -2.52706316e-06],
       [-3.74253034e-03,  3.74253034e-03],
       [-1.11039504e-05,  1.11039504e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.91196374e-05, -1.91196374e-05],
       [-7.99752559e-04,  7.99752559e-04],
       [-4.17482401e-06,  4.17482401e-06],
       [ 1.52696547e-06, -1.52696547e-06]])}"
ADA Boost,1.0,1.0,1.0,1.0,21.476348161697388,"{'SHAP': array([[ 2.85613962e-04, -2.85613962e-04],
       [-1.48666750e-04,  1.48666750e-04],
       [ 4.00191123e-04, -4.00191123e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 6.39488215e-05, -6.39488215e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.00654858e-04, -1.00654858e-04],
       [-2.84971009e-05,  2.84971009e-05],
       [-3.00577735e-04,  3.00577735e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-8.32176734e-05,  8.32176734e-05],
       [-1.07078326e-04,  1.07078326e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-8.68552189e-07,  8.68552189e-07],
       [-2.77619252e-04,  2.77619252e-04],
       [ 1.33441634e-04, -1.33441634e-04],
       [-1.34981977e-05,  1.34981977e-05],
       [ 2.40092863e-04, -2.40092863e-04],
       [ 5.48234324e-05, -5.48234324e-05],
       [ 1.20944324e-03, -1.20944324e-03],
       [ 9.07728097e-04, -9.07728097e-04],
       [-7.38990336e-05,  7.38990336e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.57199466e-03, -1.57199466e-03],
       [ 3.33024384e-04, -3.33024384e-04],
       [ 3.47076433e-03, -3.47076433e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [-2.42283307e-05,  2.42283307e-05],
       [ 1.05747966e-04, -1.05747966e-04],
       [ 1.47711229e-05, -1.47711229e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 6.75362478e-05, -6.75362478e-05],
       [ 1.67698993e-04, -1.67698993e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 3.60464038e-04, -3.60464038e-04],
       [-1.74523981e-04,  1.74523981e-04],
       [-4.14477889e-05,  4.14477889e-05],
       [-1.37464588e-04,  1.37464588e-04],
       [ 1.41446606e-04, -1.41446606e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.18687357e-04,  1.18687357e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.46634592e-02,  1.46634592e-02],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 5.70367970e-04, -5.70367970e-04],
       [ 9.80100583e-04, -9.80100583e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00]])}"
Gradient Boosting,1.0,0.9996602106693849,0.9998300764655904,0.9998293418283178,57.079976081848145,"{'SHAP': array([[ 0.00000000e+00,  0.00000000e+00],
       [-5.90382138e-05,  5.90382138e-05],
       [ 6.96252662e-07, -6.96252662e-07],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 8.65692199e-04, -8.65692199e-04],
       [-2.37992608e-06,  2.37992608e-06],
       [-1.02961269e-07,  1.02961269e-07],
       [ 1.27022931e-04, -1.27022931e-04],
       [-4.56172396e-03,  4.56172396e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 4.81628460e-05, -4.81628460e-05],
       [ 1.34919926e-03, -1.34919926e-03],
       [-1.60452811e-03,  1.60452811e-03],
       [-3.13870901e-04,  3.13870901e-04],
       [-6.50242270e-04,  6.50242270e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.00872392e-04,  1.00872392e-04],
       [-1.24592316e-04,  1.24592316e-04],
       [ 5.40962068e-05, -5.40962068e-05],
       [ 2.90525142e-04, -2.90525142e-04],
       [ 1.71276571e-04, -1.71276571e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 9.37449762e-04, -9.37449762e-04],
       [-1.79771157e-04,  1.79771157e-04],
       [ 5.66744724e-04, -5.66744724e-04],
       [ 8.30809577e-06, -8.30809577e-06],
       [-1.31014953e-04,  1.31014953e-04],
       [ 9.37280884e-05, -9.37280884e-05],
       [ 6.12205255e-05, -6.12205255e-05],
       [ 3.19750483e-13, -3.19750485e-13],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [-2.29177970e-06,  2.29177970e-06],
       [-5.86004977e-06,  5.86004977e-06],
       [-1.20674727e-04,  1.20674727e-04],
       [ 2.73907426e-05, -2.73907426e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.84324215e-06, -1.84324215e-06],
       [-7.16707308e-06,  7.16707308e-06],
       [-5.99543735e-05,  5.99543735e-05],
       [ 1.28840842e-08, -1.28840842e-08],
       [ 3.32747569e-05, -3.32747569e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 5.07399222e-03, -5.07399222e-03],
       [ 2.11555402e-05, -2.11555402e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.46104914e-02,  1.46104914e-02],
       [ 2.60591847e-04, -2.60591847e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-7.96669222e-05,  7.96669222e-05],
       [ 6.15018137e-04, -6.15018137e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00]])}"
XGBoost,1.0,0.999886736889795,0.9999433652375829,0.9999431139427726,0.5540246963500977,"{'SHAP': array([[-5.56341061e-07,  5.56341077e-07],
       [-3.36139935e-04,  3.36139900e-04],
       [-1.56132285e-03,  1.56132285e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [-2.21690892e-04,  2.21690954e-04],
       [-1.57689765e-05,  1.57689785e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [-4.28677201e-05,  4.28677230e-05],
       [-9.98256912e-03,  9.98256917e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.79371671e-05, -1.79371272e-05],
       [ 9.40117037e-05, -9.40116759e-05],
       [-2.29272693e-04,  2.29272694e-04],
       [-3.55180320e-04,  3.55180373e-04],
       [-9.68695898e-04,  9.68695825e-04],
       [-1.70790592e-04,  1.70790565e-04],
       [ 4.78851379e-05, -4.78851434e-05],
       [ 8.70673954e-05, -8.70673933e-05],
       [-8.22158749e-05,  8.22158576e-05],
       [ 5.18978635e-04, -5.18978676e-04],
       [ 2.61364606e-04, -2.61364650e-04],
       [-4.78856307e-05,  4.78856304e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 3.47959643e-03, -3.47959614e-03],
       [ 1.28182622e-03, -1.28182650e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.31329341e-04, -1.31329333e-04],
       [-2.05550120e-04,  2.05550083e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.20915880e-04, -1.20915978e-04],
       [ 2.21250980e-06, -2.21251101e-06],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 7.69998744e-05, -7.69998740e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.35889993e-04,  1.35889900e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-5.71211652e-05,  5.71211808e-05],
       [ 7.74982592e-05, -7.74982317e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 2.06489268e-04, -2.06489313e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.67669343e-05,  1.67669356e-05],
       [-8.15341996e-05,  8.15342675e-05],
       [-2.91162701e-06,  2.91165056e-06],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 6.46064905e-03, -6.46064899e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.31213815e-02,  1.31213815e-02],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.19801337e-05, -1.19801259e-05],
       [ 2.64361235e-03, -2.64361235e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00]])}"
LightGBM,0.9998867497168743,1.0,0.9999433716518489,0.9999431139427726,0.6812679767608643,"{'SHAP': array([[-6.82580658e-05,  6.82580658e-05],
       [-1.34650337e-05,  1.34650337e-05],
       [-4.27559076e-04,  4.27559076e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.89546395e-04,  1.89546395e-04],
       [-1.33991309e-04,  1.33991309e-04],
       [ 2.94080431e-04, -2.94080431e-04],
       [-5.26137760e-05,  5.26137760e-05],
       [-4.52620378e-03,  4.52620378e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 2.47860689e-05, -2.47860689e-05],
       [-6.74729419e-04,  6.74729419e-04],
       [-8.36684722e-05,  8.36684722e-05],
       [-6.88044318e-05,  6.88044318e-05],
       [-9.69028472e-04,  9.69028472e-04],
       [-2.33395200e-04,  2.33395200e-04],
       [-2.60837479e-05,  2.60837479e-05],
       [ 2.13258570e-04, -2.13258570e-04],
       [-6.74181673e-07,  6.74181673e-07],
       [ 1.35001476e-04, -1.35001476e-04],
       [-1.99667602e-05,  1.99667602e-05],
       [-5.78788637e-04,  5.78788637e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 2.28424200e-04, -2.28424200e-04],
       [-6.34685263e-04,  6.34685263e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.98158821e-04, -1.98158821e-04],
       [-2.64323367e-04,  2.64323367e-04],
       [ 1.61324648e-05, -1.61324648e-05],
       [-1.64135170e-04,  1.64135170e-04],
       [-5.82679271e-08,  5.82679271e-08],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 4.02240566e-05, -4.02240566e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.42961022e-05, -1.42961022e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 5.50902258e-04, -5.50902258e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.35956428e-04, -1.35956428e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 9.67404111e-05, -9.67404111e-05],
       [ 8.98992865e-05, -8.98992865e-05],
       [ 7.02868293e-05, -7.02868293e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 6.49642077e-03, -6.49642077e-03],
       [-9.41847726e-07,  9.41847726e-07],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.61796896e-02,  1.61796896e-02],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [-5.34198661e-05,  5.34198661e-05],
       [ 4.46053192e-03, -4.46053192e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00]])}"
