Model,Precision,Recall,F1Score,Accuracy,RunTime,XAI
DecisionTree,1.0,0.999886736889795,0.9999433652375829,0.9999431139427726,0.7713329792022705,"{'SHAP': array([[ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.00198089, -0.00198089],
       [-0.00653558,  0.00653558],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [-0.00181745,  0.00181745],
       [-0.00111986,  0.00111986],
       [ 0.        ,  0.        ],
       [ 0.00013084, -0.00013084],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [-0.00036868,  0.00036868],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [-0.00162899,  0.00162899],
       [ 0.00197309, -0.00197309],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.00701576, -0.00701576],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [-0.0147526 ,  0.0147526 ],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ],
       [ 0.00293248, -0.00293248],
       [ 0.        ,  0.        ],
       [ 0.        ,  0.        ]])}"
RandomForest,0.9998867497168743,1.0,0.9999433716518489,0.9999431139427726,5.421117782592773,"{'SHAP': array([[-2.71709426e-04,  2.71709426e-04],
       [-9.31273679e-04,  9.31273679e-04],
       [-4.20668980e-04,  4.20668980e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-7.32681040e-04,  7.32681040e-04],
       [-1.11529439e-03,  1.11529439e-03],
       [-1.76099096e-03,  1.76099096e-03],
       [ 3.21645145e-05, -3.21645145e-05],
       [-5.41427840e-04,  5.41427840e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-6.98518687e-04,  6.98518687e-04],
       [-1.72813471e-03,  1.72813471e-03],
       [ 1.99101200e-06, -1.99101200e-06],
       [-2.44826213e-04,  2.44826213e-04],
       [-9.85521361e-04,  9.85521361e-04],
       [ 1.93296547e-04, -1.93296547e-04],
       [ 3.42251550e-04, -3.42251550e-04],
       [-1.56432106e-04,  1.56432106e-04],
       [-9.07673929e-05,  9.07673929e-05],
       [ 6.53884749e-04, -6.53884749e-04],
       [ 3.75331930e-04, -3.75331930e-04],
       [ 3.62819273e-04, -3.62819273e-04],
       [ 4.56061209e-04, -4.56061209e-04],
       [ 5.04529268e-04, -5.04529268e-04],
       [ 2.43472325e-05, -2.43472325e-05],
       [ 3.00104670e-04, -3.00104670e-04],
       [-6.81369816e-05,  6.81369816e-05],
       [-4.17022584e-04,  4.17022584e-04],
       [-1.70248592e-05,  1.70248592e-05],
       [ 1.59283236e-04, -1.59283236e-04],
       [ 9.77530007e-05, -9.77530007e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.49656977e-04, -1.49656977e-04],
       [ 7.39075033e-05, -7.39075033e-05],
       [ 1.25209625e-04, -1.25209625e-04],
       [ 5.27310996e-05, -5.27310996e-05],
       [-9.30781046e-04,  9.30781046e-04],
       [ 3.00200239e-04, -3.00200239e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 4.48148359e-05, -4.48148359e-05],
       [ 8.72506969e-05, -8.72506969e-05],
       [ 9.13248763e-05, -9.13248763e-05],
       [-5.10609250e-06,  5.10609250e-06],
       [-5.09699073e-07,  5.09699073e-07],
       [-2.13049662e-05,  2.13049662e-05],
       [-9.76114682e-04,  9.76114682e-04],
       [ 1.87993629e-04, -1.87993629e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-5.03177996e-03,  5.03177996e-03],
       [ 2.44110586e-04, -2.44110586e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 3.49816258e-04, -3.49816258e-04],
       [-2.12709483e-04,  2.12709483e-04],
       [-1.14909836e-07,  1.14909836e-07],
       [ 0.00000000e+00,  0.00000000e+00]])}"
Logistic Regression,0.994912379875636,0.9967153698040548,0.9958130587303384,0.9957904317651743,0.774324893951416,"{'SHAP': array([[-5.46609892e-05,  5.46609892e-05],
       [-6.92549927e-04,  6.92549927e-04],
       [-5.85597978e-03,  5.85597978e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [-5.45871254e-07,  5.45871254e-07],
       [ 3.96359778e-05, -3.96359778e-05],
       [-3.28410756e-03,  3.28410756e-03],
       [ 4.75564840e-08, -4.75564840e-08],
       [-2.65608128e-07,  2.65608128e-07],
       [ 0.00000000e+00,  0.00000000e+00],
       [-4.32759535e-09,  4.32759535e-09],
       [-5.29338405e-04,  5.29338405e-04],
       [-4.04189053e-05,  4.04189053e-05],
       [ 2.81658764e-04, -2.81658764e-04],
       [-9.62359257e-05,  9.62359257e-05],
       [-5.35439002e-05,  5.35439002e-05],
       [-1.45221466e-05,  1.45221466e-05],
       [ 4.75319151e-07, -4.75319151e-07],
       [-5.98368092e-06,  5.98368092e-06],
       [ 4.97248027e-03, -4.97248027e-03],
       [ 2.22893677e-03, -2.22893677e-03],
       [ 1.18966300e-03, -1.18966300e-03],
       [ 2.21895058e-03, -2.21895058e-03],
       [ 6.08158664e-05, -6.08158664e-05],
       [ 1.04077244e-05, -1.04077244e-05],
       [ 6.16139599e-05, -6.16139599e-05],
       [ 1.13497618e-04, -1.13497618e-04],
       [-4.50211325e-05,  4.50211325e-05],
       [ 9.38271522e-05, -9.38271522e-05],
       [ 2.09350212e-05, -2.09350212e-05],
       [ 1.17658894e-05, -1.17658894e-05],
       [-3.24795327e-05,  3.24795327e-05],
       [ 1.08115968e-05, -1.08115968e-05],
       [ 1.12479509e-05, -1.12479509e-05],
       [ 1.03003446e-05, -1.03003446e-05],
       [ 1.16382453e-05, -1.16382453e-05],
       [-1.52454264e-05,  1.52454264e-05],
       [ 5.23343216e-05, -5.23343216e-05],
       [-1.67424101e-05,  1.67424101e-05],
       [ 2.90566877e-04, -2.90566877e-04],
       [ 1.57593995e-05, -1.57593995e-05],
       [ 2.48578129e-04, -2.48578129e-04],
       [ 1.93589962e-04, -1.93589962e-04],
       [-1.03337959e-04,  1.03337959e-04],
       [-1.55206002e-04,  1.55206002e-04],
       [-6.04563242e-05,  6.04563242e-05],
       [-4.30346411e-06,  4.30346411e-06],
       [ 1.52168402e-09, -1.52168402e-09],
       [-5.45129592e-03,  5.45129592e-03],
       [-1.73292380e-05,  1.73292380e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 6.82919494e-05, -6.82919494e-05],
       [-9.83830673e-04,  9.83830673e-04],
       [-6.49347911e-06,  6.49347911e-06],
       [-4.10588933e-09,  4.10588933e-09]])}"
Naive Bayes,0.9897534061479563,0.9955827387020048,0.9926595143986447,0.9926048125604414,0.14904999732971191,"{'SHAP': array([[ 2.60950970e-04, -2.60950970e-04],
       [-9.14544188e-05,  9.14544188e-05],
       [-3.74005085e-04,  3.74005085e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-4.33313135e-04,  4.33313135e-04],
       [-3.58954397e-05,  3.58954397e-05],
       [-6.19153313e-04,  6.19153313e-04],
       [-2.65481782e-04,  2.65481782e-04],
       [-1.60376689e-04,  1.60376689e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-6.95496094e-04,  6.95496094e-04],
       [-4.59411377e-04,  4.59411377e-04],
       [-5.95408443e-05,  5.95408443e-05],
       [ 4.38020521e-04, -4.38020521e-04],
       [-8.17109159e-04,  8.17109159e-04],
       [ 7.87619227e-05, -7.87619227e-05],
       [-1.39981381e-05,  1.39981381e-05],
       [-1.83399738e-04,  1.83399738e-04],
       [-4.19687063e-04,  4.19687063e-04],
       [ 9.90182927e-04, -9.90182927e-04],
       [ 1.50955935e-03, -1.50955935e-03],
       [ 9.43739646e-04, -9.43739646e-04],
       [ 1.48098018e-03, -1.48098018e-03],
       [ 5.70563453e-05, -5.70563453e-05],
       [ 3.39257894e-04, -3.39257894e-04],
       [ 4.95475178e-05, -4.95475178e-05],
       [ 5.48490611e-04, -5.48490611e-04],
       [-1.95494761e-03,  1.95494761e-03],
       [ 3.89915231e-04, -3.89915231e-04],
       [ 1.28109686e-03, -1.28109686e-03],
       [-3.60465294e-06,  3.60465294e-06],
       [-4.57642499e-04,  4.57642499e-04],
       [-7.30248841e-05,  7.30248841e-05],
       [-5.84625846e-06,  5.84625846e-06],
       [-5.75887565e-05,  5.75887565e-05],
       [-8.17500750e-06,  8.17500750e-06],
       [-3.75814398e-05,  3.75814398e-05],
       [-1.70458184e-05,  1.70458184e-05],
       [-2.51636711e-04,  2.51636711e-04],
       [-9.40329968e-06,  9.40329968e-06],
       [-1.45472892e-05,  1.45472892e-05],
       [-1.35344723e-05,  1.35344723e-05],
       [-1.65347255e-05,  1.65347255e-05],
       [-2.03735186e-05,  2.03735186e-05],
       [ 1.77102980e-04, -1.77102980e-04],
       [-4.61487552e-04,  4.61487552e-04],
       [-8.06522959e-04,  8.06522959e-04],
       [-5.12790661e-05,  5.12790661e-05],
       [-1.56759979e-03,  1.56759979e-03],
       [-4.59404837e-04,  4.59404837e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.31969586e-05,  1.31969586e-05],
       [-2.59833030e-03,  2.59833030e-03],
       [-1.84129785e-04,  1.84129785e-04],
       [-8.47878193e-06,  8.47878193e-06]])}"
MLP,0.9981879954699887,0.9983010533469249,0.9982445212073163,0.9982365322259514,7.5365471839904785,"{'SHAP': array([[-6.70659037e-04,  6.70659037e-04],
       [-1.74521642e-03,  1.74521642e-03],
       [-4.47171231e-03,  4.47171231e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.42434332e-05,  1.42434332e-05],
       [ 6.84683504e-04, -6.84683504e-04],
       [-1.84581661e-03,  1.84581661e-03],
       [ 1.43151589e-05, -1.43151589e-05],
       [-9.70038250e-06,  9.70038250e-06],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 5.44156207e-06, -5.44156207e-06],
       [-3.68368811e-04,  3.68368811e-04],
       [-3.66277841e-04,  3.66277841e-04],
       [-5.24296548e-04,  5.24296548e-04],
       [-2.68007105e-04,  2.68007105e-04],
       [-5.42135495e-04,  5.42135495e-04],
       [-2.54219694e-04,  2.54219694e-04],
       [ 5.59835628e-05, -5.59835628e-05],
       [-5.21217876e-05,  5.21217876e-05],
       [ 3.59055862e-03, -3.59055862e-03],
       [ 2.91787473e-03, -2.91787473e-03],
       [ 8.06811621e-04, -8.06811621e-04],
       [ 3.27942707e-03, -3.27942707e-03],
       [-2.64470820e-04,  2.64470820e-04],
       [-3.65767526e-04,  3.65767526e-04],
       [-1.00523586e-04,  1.00523586e-04],
       [ 1.91477658e-04, -1.91477658e-04],
       [-6.39086020e-04,  6.39086020e-04],
       [ 3.10089414e-04, -3.10089414e-04],
       [-7.59805036e-05,  7.59805036e-05],
       [ 2.65594207e-04, -2.65594207e-04],
       [-1.31077410e-04,  1.31077410e-04],
       [ 1.16365109e-04, -1.16365109e-04],
       [ 1.50519183e-04, -1.50519183e-04],
       [ 1.56031642e-04, -1.56031642e-04],
       [ 9.05854560e-05, -9.05854560e-05],
       [-3.15098718e-04,  3.15098718e-04],
       [-1.09548464e-04,  1.09548464e-04],
       [-6.75630653e-06,  6.75630653e-06],
       [ 6.03096993e-04, -6.03096993e-04],
       [-1.40814049e-04,  1.40814049e-04],
       [ 1.63316459e-04, -1.63316459e-04],
       [ 1.12755829e-04, -1.12755829e-04],
       [-7.96915883e-04,  7.96915883e-04],
       [-3.67248319e-04,  3.67248319e-04],
       [ 1.05933308e-04, -1.05933308e-04],
       [ 1.08506821e-05, -1.08506821e-05],
       [ 1.23643534e-05, -1.23643534e-05],
       [-4.92946021e-03,  4.92946021e-03],
       [ 1.40808391e-05, -1.40808391e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [-3.41184899e-04,  3.41184899e-04],
       [ 4.58513341e-05, -4.58513341e-05],
       [-7.97704327e-05,  7.97704327e-05],
       [ 1.55115854e-05, -1.55115854e-05]])}"
Stochastic Gradient Descent,0.9906521004617637,0.9962623173632348,0.9934492884571945,0.9934012173616247,0.14354872703552246,"{'SHAP': array([[-2.41146743e-05,  2.41146743e-05],
       [-6.05920019e-04,  6.05920019e-04],
       [-5.79118552e-03,  5.79118552e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [-3.72031923e-07,  3.72031923e-07],
       [-7.73081081e-06,  7.73081081e-06],
       [-4.03231543e-03,  4.03231543e-03],
       [ 1.62313066e-08, -1.62313066e-08],
       [-1.69012299e-07,  1.69012299e-07],
       [ 0.00000000e+00,  0.00000000e+00],
       [-6.63795627e-08,  6.63795627e-08],
       [-8.38567970e-04,  8.38567970e-04],
       [ 8.43867714e-06, -8.43867714e-06],
       [ 3.87758412e-04, -3.87758412e-04],
       [-1.43739274e-04,  1.43739274e-04],
       [-1.84337326e-05,  1.84337326e-05],
       [ 7.56162897e-07, -7.56162897e-07],
       [-7.05439550e-06,  7.05439550e-06],
       [-9.89677832e-06,  9.89677832e-06],
       [ 3.85644006e-03, -3.85644006e-03],
       [ 2.27806269e-03, -2.27806269e-03],
       [ 1.12540892e-03, -1.12540892e-03],
       [ 2.23602390e-03, -2.23602390e-03],
       [ 7.62694149e-05, -7.62694149e-05],
       [ 1.23477202e-05, -1.23477202e-05],
       [ 7.62564349e-05, -7.62564349e-05],
       [ 8.20979801e-05, -8.20979801e-05],
       [-3.69915059e-05,  3.69915059e-05],
       [ 8.44388381e-05, -8.44388381e-05],
       [ 2.23297719e-05, -2.23297719e-05],
       [ 5.52300656e-06, -5.52300656e-06],
       [-2.73457885e-05,  2.73457885e-05],
       [ 5.48105616e-06, -5.48105616e-06],
       [ 4.02843234e-06, -4.02843234e-06],
       [ 5.23932848e-06, -5.23932848e-06],
       [ 5.95331395e-06, -5.95331395e-06],
       [-9.10521663e-06,  9.10521663e-06],
       [ 1.10820456e-04, -1.10820456e-04],
       [-9.73895456e-06,  9.73895456e-06],
       [ 2.10678023e-04, -2.10678023e-04],
       [ 3.15448229e-05, -3.15448229e-05],
       [ 2.45540062e-04, -2.45540062e-04],
       [ 1.90052221e-04, -1.90052221e-04],
       [ 7.44976378e-05, -7.44976378e-05],
       [-9.48003886e-05,  9.48003886e-05],
       [-2.92570761e-05,  2.92570761e-05],
       [ 1.46845508e-06, -1.46845508e-06],
       [ 2.53465730e-06, -2.53465730e-06],
       [-3.83367906e-03,  3.83367906e-03],
       [-1.76454444e-05,  1.76454444e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.95398376e-05, -1.95398376e-05],
       [-7.86550304e-04,  7.86550304e-04],
       [-4.29175863e-06,  4.29175863e-06],
       [ 2.33005836e-06, -2.33005836e-06]])}"
ADA Boost,1.0,1.0,1.0,1.0,21.081485748291016,"{'SHAP': array([[ 2.86008744e-04, -2.86008744e-04],
       [-1.48148295e-04,  1.48148295e-04],
       [ 4.03297159e-04, -4.03297159e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 6.23388754e-05, -6.23388754e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.01089826e-04, -1.01089826e-04],
       [-1.90759554e-05,  1.90759554e-05],
       [-2.93370421e-04,  2.93370421e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-8.11353349e-05,  8.11353349e-05],
       [-1.05559735e-04,  1.05559735e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.26548020e-06,  1.26548020e-06],
       [-2.71883260e-04,  2.71883260e-04],
       [ 1.33914039e-04, -1.33914039e-04],
       [-1.31706666e-05,  1.31706666e-05],
       [ 2.41500063e-04, -2.41500063e-04],
       [ 5.38956821e-05, -5.38956821e-05],
       [ 1.20465939e-03, -1.20465939e-03],
       [ 9.15965652e-04, -9.15965652e-04],
       [-7.59874760e-05,  7.59874760e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 2.75404763e-03, -2.75404763e-03],
       [ 3.33495887e-04, -3.33495887e-04],
       [ 2.27805473e-03, -2.27805473e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [-2.76574011e-05,  2.76574011e-05],
       [ 1.05376659e-04, -1.05376659e-04],
       [ 1.45835527e-05, -1.45835527e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 6.74160245e-05, -6.74160245e-05],
       [-4.68128990e-06,  4.68128990e-06],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 3.61146558e-04, -3.61146558e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-4.03908822e-05,  4.03908822e-05],
       [-1.39353766e-04,  1.39353766e-04],
       [ 1.40896250e-04, -1.40896250e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.26104567e-04,  1.26104567e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.46649274e-02,  1.46649274e-02],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 5.73605646e-04, -5.73605646e-04],
       [ 9.67469056e-04, -9.67469056e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00]])}"
Gradient Boosting,1.0,0.9996602106693849,0.9998300764655904,0.9998293418283178,31.368258476257324,"{'SHAP': array([[ 0.00000000e+00,  0.00000000e+00],
       [-8.46112256e-05,  8.46112256e-05],
       [ 4.73072369e-07, -4.73072369e-07],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.16446648e-03, -1.16446648e-03],
       [-4.66046106e-07,  4.66046106e-07],
       [-8.97834927e-08,  8.97834927e-08],
       [ 9.10603052e-05, -9.10603052e-05],
       [-4.99584362e-03,  4.99584362e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 2.60670767e-05, -2.60670767e-05],
       [ 1.61590117e-03, -1.61590117e-03],
       [-1.59055069e-03,  1.59055069e-03],
       [-2.32163424e-04,  2.32163424e-04],
       [-6.80654735e-04,  6.80654735e-04],
       [-1.38295727e-05,  1.38295727e-05],
       [-8.72261470e-05,  8.72261470e-05],
       [-1.01353710e-04,  1.01353710e-04],
       [ 1.17756673e-05, -1.17756673e-05],
       [ 2.43608847e-04, -2.43608847e-04],
       [ 1.53256151e-04, -1.53256151e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 6.48536497e-04, -6.48536497e-04],
       [-1.60559629e-04,  1.60559629e-04],
       [ 7.93443914e-04, -7.93443914e-04],
       [ 4.23578462e-05, -4.23578462e-05],
       [-1.00423088e-04,  1.00423088e-04],
       [ 8.06853818e-05, -8.06853818e-05],
       [ 9.69365844e-05, -9.69365844e-05],
       [-2.05913034e-06,  2.05913034e-06],
       [ 0.00000000e+00,  0.00000000e+00],
       [-4.85277753e-06,  4.85277753e-06],
       [-5.74436219e-06,  5.74436219e-06],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.78072728e-06,  1.78072728e-06],
       [-1.04539156e-04,  1.04539156e-04],
       [ 2.17120850e-06, -2.17120850e-06],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 6.91180796e-06, -6.91180796e-06],
       [ 2.91843396e-05, -2.91843396e-05],
       [-4.04402284e-05,  4.04402284e-05],
       [ 2.26525621e-05, -2.26525621e-05],
       [ 1.39270654e-05, -1.39270654e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 4.11020803e-03, -4.11020803e-03],
       [ 2.60554075e-05, -2.60554075e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.42023054e-02,  1.42023054e-02],
       [ 5.83283756e-04, -5.83283756e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-4.90937363e-05,  4.90937363e-05],
       [ 6.89760789e-04, -6.89760789e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00]])}"
XGBoost,1.0,0.999886736889795,0.9999433652375829,0.9999431139427726,0.26172518730163574,"{'SHAP': array([[-1.51140965e-06,  1.51140977e-06],
       [-3.50720662e-04,  3.50720616e-04],
       [-1.81926186e-03,  1.81926187e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.48222597e-04,  1.48222674e-04],
       [-1.44388283e-05,  1.44388281e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [-3.21063080e-05,  3.21063112e-05],
       [-1.02386749e-02,  1.02386750e-02],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 8.46971189e-06, -8.46968127e-06],
       [-1.38135351e-04,  1.38135371e-04],
       [-2.34094831e-04,  2.34094831e-04],
       [-2.78718764e-04,  2.78718798e-04],
       [-8.54677136e-04,  8.54677077e-04],
       [-1.62091495e-04,  1.62091465e-04],
       [ 2.80516242e-05, -2.80516182e-05],
       [ 5.85013858e-05, -5.85013850e-05],
       [-7.50303909e-05,  7.50303699e-05],
       [ 5.13091581e-04, -5.13091637e-04],
       [ 2.57299521e-04, -2.57299555e-04],
       [-4.27760793e-05,  4.27760791e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 3.69739585e-03, -3.69739557e-03],
       [ 1.20648201e-03, -1.20648229e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.26646755e-04, -1.26646748e-04],
       [-1.77477797e-04,  1.77477760e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.71342611e-04, -1.71342694e-04],
       [-2.63584782e-06,  2.63584987e-06],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 2.64815657e-05, -2.64815647e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.36078250e-04,  1.36078177e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-5.31863131e-05,  5.31863289e-05],
       [ 6.92332721e-05, -6.92332434e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.65949067e-04, -1.65949112e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-2.26354763e-05,  2.26354771e-05],
       [-3.15733927e-05,  3.15734595e-05],
       [ 2.25423304e-06, -2.25420829e-06],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 6.46560387e-03, -6.46560384e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.27878878e-02,  1.27878878e-02],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 2.49520335e-05, -2.49520297e-05],
       [ 2.66442199e-03, -2.66442198e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00]])}"
LightGBM,0.9998867497168743,1.0,0.9999433716518489,0.9999431139427726,0.337299108505249,"{'SHAP': array([[-7.02883154e-05,  7.02883154e-05],
       [-8.88364550e-06,  8.88364550e-06],
       [-3.53754122e-04,  3.53754122e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.61294188e-04,  1.61294188e-04],
       [-1.19636153e-04,  1.19636153e-04],
       [ 2.43981989e-04, -2.43981989e-04],
       [-7.40124730e-05,  7.40124730e-05],
       [-4.68621084e-03,  4.68621084e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [-9.68446744e-07,  9.68446744e-07],
       [-8.06997988e-04,  8.06997988e-04],
       [-8.82051526e-05,  8.82051526e-05],
       [-8.93892019e-05,  8.93892019e-05],
       [-1.07814150e-03,  1.07814150e-03],
       [-2.36527562e-04,  2.36527562e-04],
       [-2.73394646e-05,  2.73394646e-05],
       [ 2.66445875e-04, -2.66445875e-04],
       [-6.67759945e-07,  6.67759945e-07],
       [ 1.38233728e-04, -1.38233728e-04],
       [-2.68745743e-05,  2.68745743e-05],
       [-5.75786707e-04,  5.75786707e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 2.31205993e-04, -2.31205993e-04],
       [-6.33967520e-04,  6.33967520e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 2.29185401e-04, -2.29185401e-04],
       [-3.06596171e-04,  3.06596171e-04],
       [ 1.35912197e-05, -1.35912197e-05],
       [-1.53819072e-04,  1.53819072e-04],
       [ 1.29794827e-08, -1.29794827e-08],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 6.76947071e-05, -6.76947071e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 6.79600289e-06, -6.79600289e-06],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 4.70560479e-04, -4.70560479e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.41414859e-04, -1.41414859e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 8.54642133e-05, -8.54642133e-05],
       [ 5.21317804e-05, -5.21317804e-05],
       [ 5.28996677e-05, -5.28996677e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 7.00619329e-03, -7.00619329e-03],
       [-2.26070200e-06,  2.26070200e-06],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.60658698e-02,  1.60658698e-02],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [-5.60800819e-05,  5.60800819e-05],
       [ 4.31882920e-03, -4.31882920e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00]])}"
