Model,Precision,Recall,F1Score,Accuracy,RunTime,XAI
DecisionTree,0.9994330422950448,0.9983010533469249,0.9988667271078875,0.9988622788554525,0.15854144096374512,"{'SHAP': array([[-0.00504912,  0.00504912],
       [-0.00118334,  0.00118334],
       [-0.00535984,  0.00535984],
       [ 0.00378532, -0.00378532],
       [-0.00377676,  0.00377676]])}"
RandomForest,0.9989801699716714,0.998527579567335,0.9987538234960915,0.9987485067409978,2.450727701187134,"{'SHAP': array([[-0.0100656 ,  0.0100656 ],
       [-0.00103187,  0.00103187],
       [-0.00099701,  0.00099701],
       [ 0.0016104 , -0.0016104 ],
       [-0.00130795,  0.00130795]])}"
Logistic Regression,0.9925782142041562,0.9845962170121192,0.9885711036561097,0.9885659024972979,0.07352352142333984,"{'SHAP': array([[-1.34740249e-02,  1.34740249e-02],
       [ 4.05866348e-03, -4.05866348e-03],
       [ 3.38715338e-05, -3.38715338e-05],
       [ 9.50469312e-05, -9.50469312e-05],
       [-4.46988579e-04,  4.46988579e-04]])}"
Naive Bayes,0.9824876515491693,0.9912787405142145,0.9868636184247618,0.9867455486660219,0.018004179000854492,"{'SHAP': array([[-3.23288192e-03,  3.23288192e-03],
       [ 1.83449350e-03, -1.83449350e-03],
       [-9.60268741e-04,  9.60268741e-04],
       [-4.66843232e-05,  4.66843232e-05],
       [ 5.12041719e-03, -5.12041719e-03]])}"
MLP,0.9951064071924434,0.9903726356325745,0.9927338782924614,0.9927185846748962,9.84696888923645,"{'SHAP': array([[-0.01114586,  0.01114586],
       [ 0.00377983, -0.00377983],
       [ 0.00029841, -0.00029841],
       [ 0.00015098, -0.00015098],
       [-0.00044179,  0.00044179]])}"
Stochastic Gradient Descent,0.9903507776138041,0.9881073734284743,0.9892278036058509,0.989191649126799,0.055013418197631836,"{'SHAP': array([[-1.24395929e-02,  1.24395929e-02],
       [ 4.10684711e-03, -4.10684711e-03],
       [ 9.97054205e-06, -9.97054205e-06],
       [ 7.73021293e-05, -7.73021293e-05],
       [-2.06103703e-04,  2.06103703e-04]])}"
ADA Boost,0.9986386840612592,0.9970551591346698,0.9978462933575153,0.9978383298253598,3.4750499725341797,"{'SHAP': array([[-0.00100657,  0.00100657],
       [-0.00058898,  0.00058898],
       [ 0.00017413, -0.00017413],
       [ 0.00031751, -0.00031751],
       [-0.00042756,  0.00042756]])}"
Gradient Boosting,0.9984130582634323,0.9976214746856948,0.9980171095122089,0.998008987997042,4.505514621734619,"{'SHAP': array([[-0.01230715,  0.01230715],
       [-0.00137914,  0.00137914],
       [ 0.00230431, -0.00230431],
       [ 0.00102549, -0.00102549],
       [-0.00152681,  0.00152681]])}"
XGBoost,0.9992066190638105,0.998527579567335,0.9988669839111716,0.9988622788554525,0.1515519618988037,"{'SHAP': array([[-0.00539686,  0.00539686],
       [-0.00403922,  0.00403922],
       [ 0.00161602, -0.00161602],
       [-0.00099641,  0.00099641],
       [-0.00260523,  0.00260523]])}"
LightGBM,0.9995465366738465,0.9986408426775399,0.9990934844192635,0.999089823084362,0.13634109497070312,"{'SHAP': array([[-0.01774093,  0.01774093],
       [-0.00188234,  0.00188234],
       [ 0.00890631, -0.00890631],
       [ 0.00022771, -0.00022771],
       [-0.001237  ,  0.001237  ]])}"
CatBoost,0.9972823009851659,0.9975082115754899,0.9973952434881087,0.9973832413675409,2.374157667160034,"{'SHAP': array([[-0.00863392,  0.00863392],
       [-0.00205896,  0.00205896],
       [ 0.00288742, -0.00288742],
       [ 0.00046674, -0.00046674],
       [-0.0019177 ,  0.0019177 ]])}"
DNN,0.9959049027414401,0.9916185298448296,0.9937570942111237,0.9937425337049889,7.148904800415039,{'SHAP': array([0.10114204])}
CNN,0.9949988633780404,0.9915052667346246,0.9932489930220684,0.9932305591899425,26.676481008529663,{'SHAP': None}
RNN,0.988527724665392,0.9954694755917998,0.9919864559819414,0.991922179873713,24.501221895217896,{'SHAP': None}
