Model,Precision,Recall,F1Score,Accuracy,RunTime,XAI
DecisionTree,1.0,0.99977347377959,0.9998867240598097,0.9998862278855453,1.6492102146148682,"{'SHAP': array([[ 1.05635196e-03, -1.05635196e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.82405142e-04, -1.82405142e-04],
       [-9.57748197e-03,  9.57748197e-03],
       [-2.82800185e-03,  2.82800185e-03],
       [-9.01530235e-04,  9.01530235e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 9.26332872e-03, -9.26332872e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 2.71125585e-03, -2.71125585e-03],
       [-1.20113519e-02,  1.20113519e-02],
       [-2.82028430e-05,  2.82028430e-05]])}"
RandomForest,0.9998867240598097,0.99977347377959,0.9998300957127485,0.9998293418283178,11.959371328353882,"{'SHAP': array([[-7.85721410e-04,  7.85721410e-04],
       [-3.11914336e-03,  3.11914336e-03],
       [ 3.84992447e-04, -3.84992447e-04],
       [-2.67169091e-03,  2.67169091e-03],
       [ 1.82965849e-04, -1.82965849e-04],
       [-9.95601444e-05,  9.95601444e-05],
       [ 9.44733931e-05, -9.44733931e-05],
       [-9.28383235e-04,  9.28383235e-04],
       [ 1.30680673e-04, -1.30680673e-04],
       [ 1.05722921e-03, -1.05722921e-03],
       [ 1.37996656e-03, -1.37996656e-03],
       [ 9.91715936e-04, -9.91715936e-04],
       [ 9.01391180e-04, -9.01391180e-04],
       [-3.04827730e-05,  3.04827730e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 4.56145274e-05, -4.56145274e-05],
       [ 5.11407551e-05, -5.11407551e-05],
       [ 1.97730183e-04, -1.97730183e-04],
       [-1.38400238e-04,  1.38400238e-04],
       [ 2.10934764e-04, -2.10934764e-04],
       [-7.48674871e-05,  7.48674871e-05],
       [-2.49932242e-04,  2.49932242e-04],
       [ 4.78072953e-05, -4.78072953e-05],
       [-8.63275872e-03,  8.63275872e-03],
       [-1.21749246e-03,  1.21749246e-03]])}"
Logistic Regression,0.9944626511470223,0.9967153698040548,0.99558773616925,0.9955628875362649,0.15465950965881348,"{'SHAP': array([[-6.66294810e-04,  6.66294810e-04],
       [-6.49456498e-03,  6.49456498e-03],
       [ 5.02578779e-05, -5.02578779e-05],
       [-3.31478464e-03,  3.31478464e-03],
       [-3.12122248e-04,  3.12122248e-04],
       [-4.18016080e-05,  4.18016080e-05],
       [ 2.75420000e-04, -2.75420000e-04],
       [-5.52911773e-05,  5.52911773e-05],
       [-5.84402236e-06,  5.84402236e-06],
       [ 5.10954987e-03, -5.10954987e-03],
       [ 2.44992967e-03, -2.44992967e-03],
       [ 1.15082174e-03, -1.15082174e-03],
       [ 2.41866019e-03, -2.41866019e-03],
       [-2.30958369e-05,  2.30958369e-05],
       [-4.06349166e-05,  4.06349166e-05],
       [-2.42588850e-05,  2.42588850e-05],
       [-2.32859604e-05,  2.32859604e-05],
       [ 6.32029617e-05, -6.32029617e-05],
       [ 2.71125295e-04, -2.71125295e-04],
       [ 1.68831155e-05, -1.68831155e-05],
       [ 2.98992377e-04, -2.98992377e-04],
       [ 2.07310769e-04, -2.07310769e-04],
       [-8.63671238e-05,  8.63671238e-05],
       [-5.45328555e-03,  5.45328555e-03],
       [-1.01451820e-03,  1.01451820e-03]])}"
Naive Bayes,0.9883904418394951,0.9932042133876996,0.9907914807073047,0.9907275726719381,0.03934741020202637,"{'SHAP': array([[-2.24268380e-04,  2.24268380e-04],
       [-9.26509315e-04,  9.26509315e-04],
       [-1.51127302e-03,  1.51127302e-03],
       [-3.27669326e-03,  3.27669326e-03],
       [-1.86644747e-03,  1.86644747e-03],
       [-1.71196129e-03,  1.71196129e-03],
       [ 5.18668489e-04, -5.18668489e-04],
       [-2.90900363e-03,  2.90900363e-03],
       [-5.39872368e-04,  5.39872368e-04],
       [ 1.47538825e-03, -1.47538825e-03],
       [ 2.78208570e-03, -2.78208570e-03],
       [ 1.31502277e-04, -1.31502277e-04],
       [ 2.61557942e-03, -2.61557942e-03],
       [ 5.00816150e-05, -5.00816150e-05],
       [-7.10310333e-04,  7.10310333e-04],
       [ 3.93712232e-05, -3.93712232e-05],
       [ 4.68964387e-05, -4.68964387e-05],
       [ 1.01444699e-05, -1.01444699e-05],
       [-1.96931824e-05,  1.96931824e-05],
       [ 5.55652903e-06, -5.55652903e-06],
       [-1.84739536e-05,  1.84739536e-05],
       [ 2.12373946e-05, -2.12373946e-05],
       [-7.00416096e-05,  7.00416096e-05],
       [-4.37937886e-03,  4.37937886e-03],
       [-4.13437548e-03,  4.13437548e-03]])}"
MLP,0.9993197278911564,0.9983010533469249,0.9988101308856026,0.9988053927982251,13.875294208526611,"{'SHAP': array([[-7.56183030e-04,  7.56183030e-04],
       [-4.26337448e-03,  4.26337448e-03],
       [ 3.33636039e-04, -3.33636039e-04],
       [-9.34995804e-04,  9.34995804e-04],
       [-3.14083643e-04,  3.14083643e-04],
       [-2.55004518e-03,  2.55004518e-03],
       [-6.98718937e-04,  6.98718937e-04],
       [-1.47886124e-04,  1.47886124e-04],
       [-5.51856981e-05,  5.51856981e-05],
       [ 2.85210696e-03, -2.85210696e-03],
       [ 5.23101392e-03, -5.23101392e-03],
       [-3.16716318e-03,  3.16716318e-03],
       [ 3.58070554e-03, -3.58070554e-03],
       [ 4.17533330e-04, -4.17533330e-04],
       [-4.59212771e-05,  4.59212771e-05],
       [ 3.82235268e-04, -3.82235268e-04],
       [ 4.43510617e-04, -4.43510617e-04],
       [ 2.09086579e-04, -2.09086579e-04],
       [ 1.85595988e-03, -1.85595988e-03],
       [ 4.51937027e-05, -4.51937027e-05],
       [ 5.73671111e-04, -5.73671111e-04],
       [-1.28732216e-03,  1.28732216e-03],
       [-5.38524872e-03,  5.38524872e-03],
       [-6.30614443e-03,  6.30614443e-03],
       [ 9.57093442e-04, -9.57093442e-04]])}"
Stochastic Gradient Descent,0.9908722109533469,0.9959225280326198,0.9933909506863243,0.9933443313043973,0.13041996955871582,"{'SHAP': array([[-5.31187573e-04,  5.31187573e-04],
       [-5.70631681e-03,  5.70631681e-03],
       [ 1.24307076e-05, -1.24307076e-05],
       [-3.66973708e-03,  3.66973708e-03],
       [-5.73099690e-04,  5.73099690e-04],
       [ 2.87010336e-05, -2.87010336e-05],
       [ 3.54167802e-04, -3.54167802e-04],
       [-1.06290636e-04,  1.06290636e-04],
       [-3.18735605e-06,  3.18735605e-06],
       [ 3.75879801e-03, -3.75879801e-03],
       [ 2.28890174e-03, -2.28890174e-03],
       [ 1.30395665e-03, -1.30395665e-03],
       [ 2.34329337e-03, -2.34329337e-03],
       [-1.51259948e-05,  1.51259948e-05],
       [-3.01258629e-05,  3.01258629e-05],
       [-1.69876007e-05,  1.69876007e-05],
       [-1.52609444e-05,  1.52609444e-05],
       [ 1.04924178e-04, -1.04924178e-04],
       [ 1.93294832e-04, -1.93294832e-04],
       [ 3.20336231e-05, -3.20336231e-05],
       [ 2.55548413e-04, -2.55548413e-04],
       [ 1.89442765e-04, -1.89442765e-04],
       [ 9.95445005e-05, -9.95445005e-05],
       [-4.09763574e-03,  4.09763574e-03],
       [-1.33097437e-03,  1.33097437e-03]])}"
ADA Boost,0.9998867497168743,1.0,0.9999433716518489,0.9999431139427726,12.586750745773315,"{'SHAP': array([[ 6.74435105e-04, -6.74435105e-04],
       [-3.20621622e-04,  3.20621622e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-5.12443811e-04,  5.12443811e-04],
       [-6.83485951e-04,  6.83485951e-04],
       [-3.06238401e-04,  3.06238401e-04],
       [-4.08728099e-04,  4.08728099e-04],
       [-3.52953960e-04,  3.52953960e-04],
       [-1.31591764e-04,  1.31591764e-04],
       [ 1.91637040e-03, -1.91637040e-03],
       [ 2.46060269e-03, -2.46060269e-03],
       [ 1.60412362e-04, -1.60412362e-04],
       [ 3.28247484e-03, -3.28247484e-03],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.78176390e-04, -1.78176390e-04],
       [ 1.93089980e-04, -1.93089980e-04],
       [-2.25579522e-04,  2.25579522e-04],
       [ 1.21554047e-04, -1.21554047e-04],
       [ 5.57118359e-05, -5.57118359e-05],
       [ 2.94334466e-04, -2.94334466e-04],
       [-1.15016532e-02,  1.15016532e-02],
       [ 1.23948037e-03, -1.23948037e-03]])}"
Gradient Boosting,0.9998867240598097,0.99977347377959,0.9998300957127485,0.9998293418283178,18.417781352996826,"{'SHAP': array([[ 1.05371670e-03, -1.05371670e-03],
       [ 2.12241429e-04, -2.12241429e-04],
       [-2.37045213e-05,  2.37045213e-05],
       [-1.77730137e-03,  1.77730137e-03],
       [ 2.49007191e-03, -2.49007191e-03],
       [ 2.58197114e-05, -2.58197114e-05],
       [ 9.16311653e-05, -9.16311653e-05],
       [ 1.22512159e-04, -1.22512159e-04],
       [-1.18604075e-05,  1.18604075e-05],
       [ 1.70079414e-03, -1.70079414e-03],
       [ 8.22265008e-04, -8.22265008e-04],
       [-6.84041438e-05,  6.84041438e-05],
       [ 6.78501786e-04, -6.78501786e-04],
       [-4.33260520e-08,  4.33260520e-08],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.48071217e-07,  1.48071217e-07],
       [-5.09028620e-08,  5.09028620e-08],
       [ 4.11828076e-05, -4.11828076e-05],
       [ 1.34922428e-04, -1.34922428e-04],
       [ 2.82319792e-08, -2.82319792e-08],
       [ 9.85228069e-06, -9.85228069e-06],
       [ 6.55268645e-06, -6.55268645e-06],
       [ 1.41677829e-04, -1.41677829e-04],
       [-1.55895827e-02,  1.55895827e-02],
       [-2.11230504e-03,  2.11230504e-03]])}"
XGBoost,1.0,0.999886736889795,0.9999433652375829,0.9999431139427726,0.4424285888671875,"{'SHAP': array([[-8.38715177e-04,  8.38715221e-04],
       [-6.22438020e-04,  6.22438132e-04],
       [ 4.66446718e-05, -4.66445249e-05],
       [-5.70764765e-03,  5.70764759e-03],
       [-2.43302930e-05,  2.43301618e-05],
       [-2.11972169e-04,  2.11972218e-04],
       [-3.04739372e-04,  3.04739551e-04],
       [ 2.01005137e-05, -2.01004619e-05],
       [ 2.76752285e-05, -2.76752281e-05],
       [ 6.65658101e-03, -6.65658090e-03],
       [ 1.13901579e-03, -1.13901546e-03],
       [ 3.64943761e-05, -3.64944310e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 5.54355737e-06, -5.54355773e-06],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 2.53441190e-04, -2.53441199e-04],
       [ 1.42060511e-04, -1.42060559e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.69599765e-04, -1.69599743e-04],
       [ 1.34417622e-04, -1.34417556e-04],
       [ 1.46585884e-04, -1.46585896e-04],
       [-1.29164218e-02,  1.29164219e-02],
       [-3.48136924e-04,  3.48136973e-04]])}"
LightGBM,0.999886736889795,0.999886736889795,0.999886736889795,0.9998862278855453,0.5190706253051758,"{'SHAP': array([[-5.94993692e-03,  5.94993692e-03],
       [ 1.45878650e-04, -1.45878650e-04],
       [ 7.84274898e-05, -7.84274898e-05],
       [-4.63241059e-03,  4.63241059e-03],
       [ 7.07402949e-04, -7.07402949e-04],
       [-4.85290191e-05,  4.85290191e-05],
       [ 6.31331984e-05, -6.31331984e-05],
       [ 4.57106570e-04, -4.57106570e-04],
       [ 1.14673812e-05, -1.14673812e-05],
       [ 7.92914560e-03, -7.92914560e-03],
       [ 3.39491295e-04, -3.39491295e-04],
       [-1.73252045e-05,  1.73252045e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 1.93513544e-04, -1.93513544e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [ 0.00000000e+00,  0.00000000e+00],
       [-1.86536312e-05,  1.86536312e-05],
       [-5.16861187e-05,  5.16861187e-05],
       [ 0.00000000e+00,  0.00000000e+00],
       [-2.70955574e-05,  2.70955574e-05],
       [-3.50629468e-07,  3.50629468e-07],
       [-4.64545225e-06,  4.64545225e-06],
       [-1.25261534e-02,  1.25261534e-02],
       [ 1.09556461e-03, -1.09556461e-03]])}"
