Model,Precision,Recall,F1 Score,Accuracy,Runtime,XAI
DecisionTree,0.9997734224538348,0.9995469475591799,0.9996601721794289,0.9996586836566358,0.22626352310180664,"{'SHAP': array([[ 2.66360597e-05, -2.66360597e-05],
       [-9.62545551e-04,  9.62545551e-04],
       [-4.95393663e-03,  4.95393663e-03],
       [-3.31277627e-04,  3.31277627e-04],
       [-3.23466072e-03,  3.23466072e-03],
       [-1.14548442e-03,  1.14548442e-03],
       [-3.98869258e-04,  3.98869258e-04],
       [-1.15026954e-03,  1.15026954e-03],
       [-1.12318174e-03,  1.12318174e-03],
       [-7.76026208e-04,  7.76026208e-04],
       [-1.32914990e-04,  1.32914990e-04],
       [ 8.62208584e-04, -8.62208584e-04],
       [-5.76004792e-04,  5.76004792e-04],
       [ 1.76309969e-03, -1.76309969e-03]])}"
RandomForest,0.999886736889795,0.999886736889795,0.999886736889795,0.9998862278855453,1.9066181182861328,"{'SHAP': array([[-2.47214357e-03,  2.47214357e-03],
       [-1.07927172e-03,  1.07927172e-03],
       [-2.56033737e-03,  2.56033737e-03],
       [-1.62065800e-03,  1.62065800e-03],
       [-1.00568861e-04,  1.00568861e-04],
       [-5.53801160e-04,  5.53801160e-04],
       [ 4.67547508e-04, -4.67547508e-04],
       [-2.88032847e-04,  2.88032847e-04],
       [-1.00036139e-03,  1.00036139e-03],
       [ 3.08088193e-05, -3.08088193e-05],
       [-1.13902651e-03,  1.13902651e-03],
       [-6.95471201e-04,  6.95471201e-04],
       [-5.96645730e-04,  5.96645730e-04],
       [-6.65204807e-04,  6.65204807e-04]])}"
Logistic Regression,0.9904794287657259,0.9898063200815495,0.9901427600271924,0.990101826042437,6.225909233093262,"{'SHAP': array([[ 1.19146481e-02, -1.19146481e-02],
       [ 4.07531330e-03, -4.07531330e-03],
       [-5.54767337e-03,  5.54767337e-03],
       [-1.03028740e-02,  1.03028740e-02],
       [-4.04700161e-03,  4.04700161e-03],
       [ 1.49729615e-04, -1.49729615e-04],
       [ 2.65319700e-03, -2.65319700e-03],
       [-3.07003702e-05,  3.07003702e-05],
       [ 4.00906820e-03, -4.00906820e-03],
       [ 1.96438403e-03, -1.96438403e-03],
       [-1.69465362e-03,  1.69465362e-03],
       [-1.97298296e-04,  1.97298296e-04],
       [-3.64320948e-03,  3.64320948e-03],
       [-3.82028407e-04,  3.82028407e-04]])}"
Naive Bayes,0.9783482142857143,0.9928644240570846,0.9855528697509697,0.985380283292565,0.03617501258850098,"{'SHAP': array([[-1.02945176e-03,  1.02945176e-03],
       [ 8.33322383e-04, -8.33322383e-04],
       [ 1.29455407e-03, -1.29455407e-03],
       [-7.22719210e-04,  7.22719210e-04],
       [-7.15645250e-04,  7.15645250e-04],
       [-7.52921385e-04,  7.52921385e-04],
       [ 2.53779254e-03, -2.53779254e-03],
       [-6.60860941e-05,  6.60860941e-05],
       [ 3.20094442e-03, -3.20094442e-03],
       [ 2.93341877e-03, -2.93341877e-03],
       [ 1.02513964e-03, -1.02513964e-03],
       [ 6.77686074e-04, -6.77686074e-04],
       [ 4.46474116e-04, -4.46474116e-04],
       [ 4.58929347e-04, -4.58929347e-04]])}"
MLP,0.9710144927536232,0.007588628383735418,0.015059563946954372,0.5014505944592981,2.3243629932403564,"{'SHAP': array([[ 4.17702727e-05, -4.17702727e-05],
       [ 4.41178505e-04, -4.41178505e-04],
       [ 1.20773286e-05, -1.20773286e-05],
       [-5.86856521e-03,  5.86856521e-03],
       [ 3.01566511e-05, -3.01566511e-05],
       [ 1.01972867e-03, -1.01972867e-03],
       [ 2.01328507e-03, -2.01328507e-03],
       [ 5.14402608e-05, -5.14402608e-05],
       [-1.20485321e-05,  1.20485321e-05],
       [ 4.27178328e-04, -4.27178328e-04],
       [-1.00520142e-04,  1.00520142e-04],
       [ 7.92938421e-06, -7.92938421e-06],
       [ 1.32026087e-05, -1.32026087e-05],
       [-1.07807530e-06,  1.07807530e-06]])}"
Stochastic Gradient Descent,0.9803987455197133,0.9913920036244195,0.9858647294024891,0.9857215996359292,1.6429026126861572,"{'SHAP': array([[-3.60681456e-04,  3.60681456e-04],
       [-1.13761258e-02,  1.13761258e-02],
       [ 3.66723771e-07, -3.66723771e-07],
       [-9.80169292e-03,  9.80169292e-03],
       [-8.37257547e-04,  8.37257547e-04],
       [-1.22470763e-02,  1.22470763e-02],
       [ 1.68720891e-02, -1.68720891e-02],
       [-7.51996018e-04,  7.51996018e-04],
       [ 8.92233797e-03, -8.92233797e-03],
       [ 7.45676872e-03, -7.45676872e-03],
       [-4.21470627e-03,  4.21470627e-03],
       [-4.70749293e-04,  4.70749293e-04],
       [-5.88690418e-04,  5.88690418e-04],
       [-4.81305415e-04,  4.81305415e-04]])}"
ADA Boost,0.9990941003283886,0.99932042133877,0.99920724801812,0.9992035951988167,7.904788017272949,"{'SHAP': array([[ 0.00000000e+00,  0.00000000e+00],
       [-4.27764745e-04,  4.27764745e-04],
       [-1.03840463e-03,  1.03840463e-03],
       [-9.34200449e-04,  9.34200449e-04],
       [ 1.20417724e-03, -1.20417724e-03],
       [-1.50308239e-04,  1.50308239e-04],
       [ 5.57795557e-03, -5.57795557e-03],
       [-8.27480471e-05,  8.27480471e-05],
       [-1.20653630e-03,  1.20653630e-03],
       [ 4.38711350e-05, -4.38711350e-05],
       [ 2.01170944e-03, -2.01170944e-03],
       [ 3.62795983e-04, -3.62795983e-04],
       [ 1.01389067e-05, -1.01389067e-05],
       [ 1.70029152e-04, -1.70029152e-04]])}"
Gradient Boosting,0.9994338127052429,0.9996602106693849,0.9995469988674971,0.9995449115421811,16.262183904647827,"{'SHAP': array([[-2.77027150e-04,  2.77027150e-04],
       [-2.45732551e-04,  2.45732551e-04],
       [-4.97592187e-03,  4.97592187e-03],
       [-4.26508871e-04,  4.26508871e-04],
       [-4.85000699e-03,  4.85000699e-03],
       [-1.58202444e-04,  1.58202444e-04],
       [ 1.00907049e-03, -1.00907049e-03],
       [ 4.01013427e-04, -4.01013427e-04],
       [-1.86165252e-03,  1.86165252e-03],
       [ 5.11065323e-05, -5.11065323e-05],
       [-1.09410846e-03,  1.09410846e-03],
       [ 3.61965389e-04, -3.61965389e-04],
       [-6.30490443e-04,  6.30490443e-04],
       [ 6.06184418e-04, -6.06184418e-04]])}"
XGBoost,0.9997735250820972,1.0,0.9998867497168743,0.9998862278855453,0.21809673309326172,"{'SHAP': array([[-1.45916621e-03,  1.45916631e-03],
       [-1.13407498e-03,  1.13407491e-03],
       [-6.02802151e-03,  6.02802167e-03],
       [-1.81124628e-04,  1.81124749e-04],
       [-2.56048946e-03,  2.56048949e-03],
       [ 2.64180937e-04, -2.64180931e-04],
       [-1.09250730e-04,  1.09250858e-04],
       [ 4.77091486e-05, -4.77089945e-05],
       [-9.40625242e-04,  9.40625188e-04],
       [-6.94658645e-04,  6.94658665e-04],
       [ 4.59877544e-04, -4.59877530e-04],
       [ 2.59550348e-04, -2.59550515e-04],
       [-2.43557081e-04,  2.43557165e-04],
       [ 0.00000000e+00,  0.00000000e+00]])}"
LightGBM,0.9997734994337486,0.999886736889795,0.9998301149555467,0.9998293418283178,0.1627662181854248,"{'SHAP': array([[-1.83187664e-04,  1.83187664e-04],
       [-5.90400944e-04,  5.90400944e-04],
       [-6.68955885e-03,  6.68955885e-03],
       [-1.33250794e-04,  1.33250794e-04],
       [-1.64508595e-03,  1.64508595e-03],
       [-9.36401241e-04,  9.36401241e-04],
       [ 5.15707273e-04, -5.15707273e-04],
       [-3.00329037e-04,  3.00329037e-04],
       [-1.66854783e-03,  1.66854783e-03],
       [-7.02950428e-04,  7.02950428e-04],
       [-1.22294096e-03,  1.22294096e-03],
       [ 1.19285540e-03, -1.19285540e-03],
       [-1.43614844e-05,  1.43614844e-05],
       [ 0.00000000e+00,  0.00000000e+00]])}"
